[100.0, 1800.0, 0.089125, [3.0669934199999997], [200.58897999999996], [23.324299999999997], [1.0843460681904094]]
[100.0, 800.0, 0.094646, [6.55362], [391.84824], [51.31345999999999], [1.5894860527856163]]
[100.0, 500.0, 0.116977, [1.7335716399999999], [64.841554], [8.396747999999999], [0.5778572748525366]]
[100.0, 1100.0, 0.07023, [0.4805194499999999], [23.324299999999997], [2.33243], [0.2148948477744406]]
[100.0, 600.0, 0.078265, [1.1526983599999998], [64.841554], [8.396747999999999], [0.4705872506772788]]
[100.0, 1400.0, 0.100629, [3.4667150199999996], [200.58897999999996], [23.324299999999997], [1.1555715474171209]]
[100.0, 1700.0, 0.103802, [1.5349390399999998], [64.841554], [8.396747999999999], [0.5426828920281161]]
[100.0, 100.0, 0.129871, [1.9289938999999996], [64.841554], [8.396747999999999], [0.6100015408177262]]
[100.0, 1200.0, 0.052394, [0.76882744], [64.841554], [8.396747999999999], [0.38441374611218054]]
[100.0, 1000.0, 0.0899, [3.09388916], [200.58897999999996], [23.324299999999997], [1.0938546590841034]]
[100.0, 2000.0, 0.07846, [1.1556159099999999], [64.841554], [8.396747999999999], [0.4717782179160034]]
[100.0, 400.0, 0.071733, [0.7256700099999999], [32.18753399999999], [5.5978319999999995], [0.4189658181761371]]
[100.0, 1600.0, 0.078232, [2.6894824600000002], [200.58897999999996], [23.324299999999997], [1.0165289160668278]]
[100.0, 1300.0, 0.05659, [0.385778655], [23.324299999999997], [2.33243], [0.19288935293322956]]
[100.0, 1500.0, 0.100575, [3.4648156799999996], [200.58897999999996], [23.324299999999997], [1.1549384444203075]]
[100.0, 900.0, 0.091349, [1.34810521], [64.841554], [8.396747999999999], [0.5095358144429103]]
[100.0, 1900.0, 0.078327, [1.1536289399999997], [64.841554], [8.396747999999999], [0.4709669401348676]]
[100.0, 200.0, 0.078502, [1.1562378299999998], [64.841554], [8.396747999999999], [0.4720321216824126]]
[100.0, 700.0, 0.078063, [2.6836455200000002], [200.58897999999996], [23.324299999999997], [1.0143228432801854]]
[100.0, 300.0, 0.141905, [2.11235473], [64.841554], [8.396747999999999], [0.6368989466155521]]
[200.0, 1800.0, 0.043506, [0.6376497], [64.841554], [8.396747999999999], [0.1768522182218815]]
[200.0, 700.0, 0.036987, [0.5416587399999999], [64.841554], [8.396747999999999], [0.16331627735776982]]
[200.0, 2000.0, 0.043356, [0.29454398], [23.324299999999997], [2.33243], [0.08502754246419214]]
[200.0, 1300.0, 0.025527, [0.17264455499999998], [23.324299999999997], [2.33243], [0.0652534969561019]]
[200.0, 1400.0, 0.043532, [0.29575780500000004], [23.324299999999997], [2.33243], [0.08537794710872358]]
[200.0, 400.0, 0.043582, [0.29609567499999995], [23.324299999999997], [2.33243], [0.0854754626047733]]
[200.0, 1900.0, 0.026947, [0.39413467], [64.841554], [8.396747999999999], [0.1393476406330584]]
[200.0, 1700.0, 0.056779, [0.8336740999999999], [64.841554], [8.396747999999999], [0.20219565423124206]]
[200.0, 500.0, 0.039789, [0.2700683], [23.324299999999997], [2.33243], [0.08142864890503831]]
[200.0, 1500.0, 0.040362, [0.59132839], [64.841554], [8.396747999999999], [0.17070181024230527]]
[200.0, 100.0, 0.043694, [0.6404212], [64.841554], [8.396747999999999], [0.17762085615152293]]
[200.0, 600.0, 0.054495, [0.37129750999999994], [23.324299999999997], [2.33243], [0.09586861727124261]]
[200.0, 1000.0, 0.047068, [0.32006995499999996], [23.324299999999997], [2.33243], [0.08877144907006981]]
[200.0, 1200.0, 0.054097, [0.36854418], [23.324299999999997], [2.33243], [0.09515769489379196]]
[200.0, 300.0, 0.032671, [0.22135786500000001], [23.324299999999997], [2.33243], [0.0737859572683041]]
[200.0, 1600.0, 0.043539, [0.295806795], [23.324299999999997], [2.33243], [0.0853920572857921]]
[200.0, 900.0, 0.047027, [0.319785675], [23.324299999999997], [2.33243], [0.08869258228566805]]
[200.0, 800.0, 0.03991, [0.27089929], [23.324299999999997], [2.33243], [0.08167919830042407]]
[200.0, 1100.0, 0.037015, [0.5420692899999999], [64.841554], [8.396747999999999], [0.16344006176577391]]
[200.0, 200.0, 0.051826, [1.7779395599999999], [200.58897999999996], [23.324299999999997], [0.4190643424582912]]
[300.0, 2000.0, 0.028252, [0.19120106999999997], [23.324299999999997], [2.33243], [0.042753869707898955]]
[300.0, 400.0, 0.035213, [0.23873217999999996], [23.324299999999997], [2.33243], [0.04774644337539708]]
[300.0, 1000.0, 0.01849, [0.12483962999999998], [23.324299999999997], [2.33243], [0.03462426943994631]]
[300.0, 200.0, 0.028284, [0.191420605], [23.324299999999997], [2.33243], [0.042802962923143534]]
[300.0, 1600.0, 0.018486, [0.12480800499999999], [23.324299999999997], [2.33243], [0.0346155310590492]]
[300.0, 1300.0, 0.014394, [0.21021666499999997], [64.841554], [8.396747999999999], [0.06338270460464747]]
[300.0, 800.0, 0.015705, [0.229392501], [64.841554], [8.396747999999999], [0.06621991188456837]]
[300.0, 700.0, 0.017036, [0.114982267], [23.324299999999997], [2.33243], [0.03319252233561047]]
[300.0, 300.0, 0.022637, [0.15298863999999998], [23.324299999999997], [2.33243], [0.0382471397623404]]
[300.0, 900.0, 0.021261, [0.14364523499999998], [23.324299999999997], [2.33243], [0.03708904221599689]]
[300.0, 600.0, 0.015747, [0.23000827999999998], [64.841554], [8.396747999999999], [0.06639770566819309]]
[300.0, 1400.0, 0.024094, [0.16289726999999998], [23.324299999999997], [2.33243], [0.03950838347743425]]
[300.0, 500.0, 0.02411, [0.16300652], [23.324299999999997], [2.33243], [0.039534902649431165]]
[300.0, 1200.0, 0.021203, [0.14324652999999998], [23.324299999999997], [2.33243], [0.03698608109816448]]
[300.0, 100.0, 0.014573, [0.49875269999999994], [200.58897999999996], [23.324299999999997], [0.13832916675813525]]
[300.0, 1100.0, 0.025442, [0.17206369], [23.324299999999997], [2.33243], [0.04055580615029123]]
[300.0, 1900.0, 0.017038, [0.11499181199999998], [23.324299999999997], [2.33243], [0.03319527141024757]]
[300.0, 1500.0, 0.01425, [0.09611183649999998], [23.324299999999997], [2.33243], [0.030393235974473003]]
[300.0, 1700.0, 0.026826, [0.18148977999999996], [23.324299999999997], [2.33243], [0.04163660721048246]]
[300.0, 1800.0, 0.021139, [0.142814015], [23.324299999999997], [2.33243], [0.036874405249440974]]
[400.0, 900.0, 0.011297, [0.07613831449999998], [23.324299999999997], [2.33243], [0.018466253687470013]]
[400.0, 1200.0, 0.009953, [0.06705875399999998], [23.324299999999997], [2.33243], [0.017314494101763413]]
[400.0, 1500.0, 0.009302, [0.0626612575], [23.324299999999997], [2.33243], [0.016746926083613077]]
[400.0, 200.0, 0.01391, [0.09380794949999999], [23.324299999999997], [2.33243], [0.020470571761677787]]
[400.0, 1600.0, 0.01395, [0.09407826849999999], [23.324299999999997], [2.33243], [0.020529558300168074]]
[400.0, 500.0, 0.011266, [0.0759327175], [23.324299999999997], [2.33243], [0.01841638739003934]]
[400.0, 1700.0, 0.00931, [0.06271692899999999], [23.324299999999997], [2.33243], [0.01676180526524515]]
[400.0, 300.0, 0.009297, [0.06263128849999999], [23.324299999999997], [2.33243], [0.01673891663907793]]
[400.0, 1300.0, 0.006753, [0.09853662299999999], [64.841554], [8.396747999999999], [0.029709902238142752]]
[400.0, 1400.0, 0.00735, [0.10725348499999998], [64.841554], [8.396747999999999], [0.030961408801926306]]
[400.0, 1100.0, 0.008649, [0.05825719449999999], [23.324299999999997], [2.33243], [0.016157639145308326]]
[400.0, 800.0, 0.007976, [0.053711911499999994], [23.324299999999997], [2.33243], [0.015505292677018384]]
[400.0, 100.0, 0.009405, [0.32178770999999995], [200.58897999999996], [23.324299999999997], [0.07584610510764545]]
[400.0, 1000.0, 0.011915, [0.0803171155], [23.324299999999997], [2.33243], [0.018930924719886243]]
[400.0, 400.0, 0.007336, [0.107055087], [64.841554], [8.396747999999999], [0.030904144091043837]]
[400.0, 1800.0, 0.010582, [0.07130987849999999], [23.324299999999997], [2.33243], [0.017827470473962364]]
[400.0, 2000.0, 0.014633, [0.098704684], [23.324299999999997], [2.33243], [0.021043906528969376]]
[400.0, 600.0, 0.009959, [0.06709789999999999], [23.324299999999997], [2.33243], [0.017324604007018456]]
