[100.0, 1800.0, 0.063117, [1.9168715200000002], [198.25654999999998], [19.592412], [0.857250821405264]]
[100.0, 800.0, 0.054976, [3.86112684], [494.47515999999996], [51.31345999999999], [3.8611272177953415]]
[100.0, 500.0, 0.126035, [3.8523813199999997], [198.25654999999998], [19.592412], [1.2182300813885691]]
[100.0, 1100.0, 0.07465, [0.9610922599999999], [60.643179999999994], [6.530804], [0.6795946965655338]]
[100.0, 600.0, 0.089313, [1.1526983599999998], [60.643179999999994], [6.530804], [0.665510792699863]]
[100.0, 1400.0, 0.177185, [1.92047516], [43.38319799999999], [5.131346], [1.9204749339681575]]
[100.0, 1700.0, 0.067452, [0.47954494], [23.0444084], [2.8455645999999994], [0.3390894297969195]]
[100.0, 100.0, 0.105393, [3.2138838399999994], [198.25654999999998], [19.592412], [1.4372922121823384]]
[100.0, 1200.0, 0.177888, [1.9284391399999998], [43.38319799999999], [5.131346], [1.9284388369870586]]
[100.0, 1000.0, 0.079211, [2.40910096], [198.25654999999998], [19.592412], [1.0773826540278062]]
[100.0, 2000.0, 0.050618, [3.862084559999999], [559.7832], [55.97832], [2.229776159169346]]
[100.0, 400.0, 0.177748, [1.9268567399999996], [43.38319799999999], [5.131346], [1.9268564866123263]]
[100.0, 1600.0, 0.083734, [0.48044722999999995], [15.114146399999997], [2.1924842], [0.4804472086504406]]
[100.0, 1300.0, 0.138618, [4.243565319999999], [198.25654999999998], [19.592412], [1.2794831987955135]]
[100.0, 1500.0, 0.10063, [0.72186259], [23.0444084], [2.8455645999999994], [0.41676755235982554]]
[100.0, 900.0, 0.101094, [3.0813826799999995], [198.25654999999998], [19.592412], [1.089433354914379]]
[100.0, 1900.0, 0.09041, [0.9611134199999998], [43.38319799999999], [5.131346], [0.9611132826051254]]
[100.0, 200.0, 0.068736, [0.24086796], [6.530804], [0.8863233999999999], [0.17031938718184728]]
[100.0, 700.0, 0.106706, [0.76675606], [23.0444084], [2.8455645999999994], [0.3833779890656217]]
[100.0, 300.0, 0.084185, [0.48310924999999993], [15.114146399999997], [2.1924842], [0.48310934714617143]]
[200.0, 1800.0, 0.034781, [0.24524991999999995], [23.0444084], [2.8455645999999994], [0.10967908788825698]]
