[100.0, 1800.0, 0.087921, [31.25334], [5130.0], [273.72431386341987], [2.7953831937678952]]
[100.0, 800.0, 0.081363, [28.913030999999997], [5130.0], [273.72431386341987], [2.6961535935476677]]
[100.0, 500.0, 0.07708, [27.385407], [5130.0], [273.72431386341987], [2.623046530277341]]
[100.0, 1100.0, 0.079025, [28.079049], [5130.0], [273.72431386341987], [2.653220929361141]]
[100.0, 600.0, 0.071254, [25.309251], [5130.0], [273.72431386341987], [2.5183646479411985]]
[100.0, 1400.0, 0.095367, [33.913500000000006], [5130.0], [273.72431386341987], [2.918810528280313]]
[100.0, 1700.0, 0.095708, [34.0356], [5130.0], [273.72431386341987], [2.9185289959155796]]
[100.0, 100.0, 0.066599, [23.651145], [5130.0], [273.72431386341987], [2.4394294824815086]]
[100.0, 1200.0, 0.079025, [28.078919999999997], [5130.0], [273.72431386341987], [2.6532083785485074]]
[100.0, 1000.0, 0.082329, [29.257430999999997], [5130.0], [273.72431386341987], [2.7164838486543594]]
[100.0, 2000.0, 0.078482, [27.885516], [5130.0], [273.72431386341987], [2.646775906645668]]
[100.0, 400.0, 0.078803, [27.999852], [5130.0], [273.72431386341987], [2.6576285293471695]]
[100.0, 1600.0, 0.074766, [26.560728], [5130.0], [273.72431386341987], [2.5798060392207782]]
[100.0, 1300.0, 0.069421, [24.656292000000004], [5130.0], [273.72431386341987], [2.490661357952944]]
[100.0, 1500.0, 0.077011, [9.624488], [1611.0], [91.00686787270509], [0.8974879943486709]]
[100.0, 900.0, 0.072838, [25.873572000000003], [5130.0], [273.72431386341987], [2.5493983407855274]]
[100.0, 1900.0, 0.081585, [10.19875], [1611.0], [91.00686787270509], [0.9233511791295878]]
[100.0, 200.0, 0.073758, [9.216388], [1611.0], [91.00686787270509], [0.878748143668025]]
[100.0, 700.0, 0.089322, [31.75371], [5130.0], [273.72431386341987], [2.8176852201763065]]
[100.0, 300.0, 0.068839, [8.599705], [1611.0], [91.00686787270509], [0.847354176245093]]
[200.0, 1800.0, 0.04129, [14.651016], [5130.0], [273.72431386341987], [0.9681665146037639]]
[200.0, 700.0, 0.04362, [15.479025], [5130.0], [273.72431386341987], [0.9970914200814287]]
[200.0, 2000.0, 0.041906, [5.229224], [1611.0], [91.00686787270509], [0.33408292383778015]]
[200.0, 1300.0, 0.043309, [5.404525], [1611.0], [91.00686787270509], [0.340453080467779]]
[200.0, 1400.0, 0.043965, [5.486523], [1611.0], [91.00686787270509], [0.34290771353237304]]
[200.0, 400.0, 0.04752, [16.864581], [5130.0], [273.72431386341987], [1.0418974517676873]]
[200.0, 1900.0, 0.045998, [5.740657], [1611.0], [91.00686787270509], [0.3506663656525958]]
[200.0, 1700.0, 0.042033, [5.245111], [1611.0], [91.00686787270509], [0.33441605822687404]]
[200.0, 500.0, 0.045504, [5.678906], [1611.0], [91.00686787270509], [0.3481960654573799]]
[200.0, 1500.0, 0.044014, [15.618783], [5130.0], [273.72431386341987], [1.0019452080827573]]
[200.0, 100.0, 0.040168, [5.011991], [1611.0], [91.00686787270509], [0.3276441667419092]]
[200.0, 600.0, 0.043673, [15.497637000000001], [5130.0], [273.72431386341987], [1.0003679822945155]]
[200.0, 1000.0, 0.040836, [5.095427999999999], [1611.0], [91.00686787270509], [0.33028760194715145]]
[200.0, 1200.0, 0.042447, [15.062240999999998], [5130.0], [273.72431386341987], [0.9825519833576235]]
[200.0, 300.0, 0.042847, [5.346807999999999], [1611.0], [91.00686787270509], [0.33816179559494886]]
[200.0, 1600.0, 0.044315, [5.530301000000001], [1611.0], [91.00686787270509], [0.34430146674099427]]
[200.0, 900.0, 0.039969, [14.181798], [5130.0], [273.72431386341987], [0.9539707542687039]]
[200.0, 800.0, 0.04256, [5.31091], [1611.0], [91.00686787270509], [0.337243087401358]]
[200.0, 1100.0, 0.041482, [14.719431], [5130.0], [273.72431386341987], [0.9726877196716324]]
[200.0, 200.0, 0.042503, [5.303757], [1611.0], [91.00686787270509], [0.33746999866654814]]
[300.0, 2000.0, 0.028525, [3.558003], [1611.0], [91.00686787270509], [0.1719825863278024]]
