[100.0, 1800.0, 0.191739, [905.1869959999999], [43757.0], [3724.0], [213.3546204046212]]
[100.0, 800.0, 0.218868, [750.445976], [30674.0], [2695.0], [193.7642855306416]]
[100.0, 500.0, 0.267716, [19.970067599999997], [409.64], [54.39], [7.0604868373221965]]
[100.0, 1100.0, 0.202169, [1256.7127999999989], [56840.0], [4900.0], [397.4074607754612]]
[100.0, 600.0, 0.171123, [12.5903148], [409.64], [54.39], [5.630557570614121]]
[100.0, 1400.0, 0.238704, [4.9988183], [85.75000000000001], [13.23], [2.499410221232201]]
[100.0, 1700.0, 0.164564, [27.573819], [1332.8000000000002], [127.39999999999999], [8.313818318197724]]
[100.0, 100.0, 0.235745, [15.0492034], [366.52000000000004], [46.06], [6.143809853502955]]
[100.0, 1200.0, 0.190494, [20.0557], [735.0], [78.4], [7.090762217138578]]
[100.0, 1000.0, 0.202367, [1257.968669999999], [56840.0], [4900.0], [397.8045618139638]]
[100.0, 2000.0, 0.222561, [34.9416158], [1381.8], [117.60000000000001], [9.338539761011889]]
[100.0, 400.0, 0.18348, [6.2672421], [186.69], [23.03], [2.8027952884575784]]
[100.0, 1600.0, 0.16362, [27.4131088], [1332.8000000000002], [127.39999999999999], [8.265364386885794]]
[100.0, 1300.0, 0.166005, [401.76197599999995], [22099.0], [1911.0], [142.04429804817931]]
[100.0, 1500.0, 0.226651, [552.1080880000001], [22099.0], [1911.0], [166.46687434081292]]
[100.0, 900.0, 0.145233, [22.608698], [1381.8], [117.60000000000001], [7.536234408243947]]
[100.0, 1900.0, 0.245565, [476.97923000000003], [16954.0], [1519.0], [109.42655600904196]]
[100.0, 200.0, 0.164975, [1123.887029999999], [68110.0], [5390.0], [374.62901852365866]]
[100.0, 700.0, 0.244181, [1159.996012], [43757.0], [3724.0], [241.87591218639363]]
[100.0, 300.0, 0.183937, [6.2832749], [186.69], [23.03], [2.8099656565516953]]
[200.0, 1800.0, 0.171606, [10.8592036], [366.52000000000004], [46.06], [2.5595376894275264]]
[200.0, 700.0, 0.161172, [260.374338], [15190.0], [1274.0], [39.706704879654765]]
[200.0, 2000.0, 0.141649, [228.46887], [15190.0], [1274.0], [37.06253240133491]]
[200.0, 1300.0, 0.151344, [23.57292], [1381.8], [117.60000000000001], [3.7746872590984273]]
[200.0, 1400.0, 0.182179, [351.235136], [16954.0], [1519.0], [46.11943930708611]]
[200.0, 400.0, 0.158086, [6.972582399999999], [255.29], [30.87], [1.4538837553257136]]
[200.0, 1900.0, 0.15491, [297.919314], [16954.0], [1519.0], [42.55991180911915]]
[200.0, 1700.0, 0.194199, [314.730724], [15190.0], [1274.0], [43.64528774564329]]
[200.0, 500.0, 0.160442, [308.704704], [16954.0], [1519.0], [43.22731010831]]
[200.0, 1500.0, 0.214051, [520.621668], [22099.0], [1911.0], [79.39403332744848]]
[200.0, 100.0, 0.177238, [16.2116598], [499.79999999999995], [68.60000000000001], [3.1199358557508843]]
[200.0, 600.0, 0.141096, [340.775596], [22099.0], [1911.0], [64.40054173685186]]
[200.0, 1000.0, 0.163805, [315.268254], [16954.0], [1519.0], [43.7198418935842]]
[200.0, 1200.0, 0.169146, [5.7658153], [186.69], [23.03], [1.3227688631427639]]
[200.0, 300.0, 0.153652, [295.46833399999997], [16954.0], [1519.0], [42.209761558198835]]
[200.0, 1600.0, 0.165306, [15.100467199999999], [499.79999999999995], [68.60000000000001], [3.0200938429128326]]
[200.0, 900.0, 0.153888, [295.927954], [16954.0], [1519.0], [42.27543260097997]]
[200.0, 800.0, 0.165118, [266.840672], [15190.0], [1274.0], [40.22775259941823]]
[200.0, 1100.0, 0.179043, [1.81526919], [31.653999999999996], [5.390000000000001], [0.7410807366947274]]
[200.0, 200.0, 0.160146, [308.125426], [16954.0], [1519.0], [43.14618477687222]]
[300.0, 2000.0, 0.104495, [168.12782], [15190.0], [1274.0], [19.677880222219056]]
[300.0, 400.0, 0.111414, [179.33176799999998], [15190.0], [1274.0], [20.30532094402844]]
[300.0, 1000.0, 0.110647, [8.09317908], [409.64], [54.39], [1.3679968097916018]]
[300.0, 200.0, 0.106025, [170.60437800000003], [15190.0], [1274.0], [19.832360023960838]]
[300.0, 1600.0, 0.1101, [211.06603], [16954.0], [1519.0], [22.125737173707908]]
[300.0, 1300.0, 0.11218, [166.695452], [13132.0], [1176.0], [19.645240937183743]]
[300.0, 800.0, 0.106343, [171.118486], [15190.0], [1274.0], [19.892121980321757]]
[300.0, 700.0, 0.120009, [4.065859280000001], [186.69], [23.03], [0.6872557007402702]]
[300.0, 300.0, 0.102305, [164.583454], [15190.0], [1274.0], [19.532459630061954]]
[300.0, 900.0, 0.131481, [1.85102106], [51.94], [8.33], [0.4627552580468427]]
[300.0, 600.0, 0.102499, [164.897348], [15190.0], [1274.0], [19.569716655077045]]
[300.0, 1400.0, 0.110712, [4.8581613500000005], [255.29], [30.87], [0.7496306601920708]]
[300.0, 500.0, 0.117867, [189.79414999999997], [15190.0], [1274.0], [20.959260710244532]]
[300.0, 1200.0, 0.115971, [222.400024], [16954.0], [1519.0], [22.698608865743292]]
[300.0, 100.0, 0.058899, [0.5811596], [31.653999999999996], [5.390000000000001], [0.2599024852132045]]
[300.0, 1100.0, 0.127024, [3.00751612], [117.11], [15.19], [0.5898224258198395]]
[300.0, 1900.0, 0.129779, [4.401730270000001], [186.69], [23.03], [0.7140547591746728]]
[300.0, 1500.0, 0.098797, [3.33973759], [186.69], [23.03], [0.6201737415434484]]
[300.0, 1700.0, 0.091608, [135.973334], [13132.0], [1176.0], [17.70221827455531]]
[300.0, 1800.0, 0.114906, [1.61284039], [51.94], [8.33], [0.43104966072368045]]
[400.0, 900.0, 0.07035, [113.00840600000001], [15190.0], [1274.0], [11.028488248168921]]
[400.0, 1200.0, 0.081982, [1.9303496100000002], [117.11], [15.19], [0.3217249103193596]]
[400.0, 1500.0, 0.081832, [1.0283385], [44.099999999999994], [7.3500000000000005], [0.23591696140803442]]
[400.0, 200.0, 0.073294, [3.20601757], [255.29], [30.87], [0.41389508462894314]]
[400.0, 1600.0, 0.073349, [1.0225339599999999], [51.94], [8.33], [0.23458536983367057]]
[400.0, 500.0, 0.084807, [1.1843834100000001], [51.94], [8.33], [0.25251141051445575]]
[400.0, 1700.0, 0.068473, [1.60993763], [117.11], [15.19], [0.2939331073900999]]
[400.0, 300.0, 0.080667, [1.12583625], [51.94], [8.33], [0.2456775660698388]]
[400.0, 1300.0, 0.065837, [0.9167699100000001], [51.94], [8.33], [0.222349398717424]]
[400.0, 1400.0, 0.081706, [131.311376], [15190.0], [1274.0], [11.888373496824533]]
[400.0, 1100.0, 0.073178, [1.7213945], [117.11], [15.19], [0.3043024272824652]]
[400.0, 800.0, 0.061661, [99.019886], [15190.0], [1274.0], [10.323536018244912]]
[400.0, 100.0, 0.035917, [68.6538902], [16954.0], [1519.0], [8.581736953554332]]
[400.0, 1000.0, 0.060754, [97.5601172], [15190.0], [1274.0], [10.227078288543606]]
[400.0, 400.0, 0.073201, [1.7219423199999997], [117.11], [15.19], [0.3043992243584073]]
[400.0, 1800.0, 0.066523, [2.90842783], [255.29], [30.87], [0.3957869256557119]]
[400.0, 2000.0, 0.07026, [0.6947974599999999], [31.653999999999996], [5.390000000000001], [0.19270217982679905]]
[400.0, 600.0, 0.078811, [1.60751115], [85.75000000000001], [13.23], [0.29349003938805146]]
