[100.0, 1800.0, 0.190028, [2.8357849999999996], [64.841554], [8.396747999999999], [0.9452616658893981]]
[100.0, 800.0, 0.189507, [2.8277258], [64.841554], [8.396747999999999], [0.9425749651884459]]
[100.0, 500.0, 0.233318, [8.168702999999999], [200.58897999999996], [23.324299999999997], [2.265589896693574]]
[100.0, 1100.0, 0.216467, [7.558140399999999], [200.58897999999996], [23.324299999999997], [2.181846967135871]]
[100.0, 600.0, 0.199322, [6.941455199999999], [200.58897999999996], [23.324299999999997], [2.0929267020132354]]
[100.0, 1400.0, 0.169039, [2.5135940999999997], [64.841554], [8.396747999999999], [0.8886894637611047]]
[100.0, 1700.0, 0.162797, [11.335315399999999], [391.84824], [51.31345999999999], [2.6717598335179753]]
[100.0, 100.0, 0.250308, [3.7792611], [64.841554], [8.396747999999999], [1.0909787619381048]]
[100.0, 1200.0, 0.3083, [4.7179072], [64.841554], [8.396747999999999], [1.2181580394185312]]
[100.0, 1000.0, 0.216921, [7.5745992], [200.58897999999996], [23.324299999999997], [2.18659876246192]]
[100.0, 2000.0, 0.21019, [3.1481526], [64.841554], [8.396747999999999], [0.9955328884572322]]
[100.0, 400.0, 0.270445, [4.1014105999999995], [64.841554], [8.396747999999999], [1.137526614194147]]
[100.0, 1600.0, 0.209686, [3.1402797], [64.841554], [8.396747999999999], [0.9930434784036396]]
[100.0, 1300.0, 0.165592, [3.9338119], [110.09069599999998], [15.394037999999998], [1.759254348864882]]
[100.0, 1500.0, 0.163309, [5.6594489999999995], [200.58897999999996], [23.324299999999997], [1.886482377336189]]
[100.0, 900.0, 0.210208, [3.1484378], [64.841554], [8.396747999999999], [0.9956232178891772]]
[100.0, 1900.0, 0.210951, [3.1600550999999997], [64.841554], [8.396747999999999], [0.9992969318475865]]
[100.0, 200.0, 0.223713, [1.5714612], [23.324299999999997], [2.33243], [0.4969397372921589]]
[100.0, 700.0, 0.318933, [11.3539914], [200.58897999999996], [23.324299999999997], [2.6761612417789773]]
[100.0, 300.0, 0.190488, [2.8429080999999994], [64.841554], [8.396747999999999], [0.9476360065974697]]
[200.0, 1800.0, 0.08936, [0.6085003049999999], [23.324299999999997], [2.33243], [0.15212509317992215]]
[200.0, 700.0, 0.095041, [0.647813515], [23.324299999999997], [2.33243], [0.15711786356108587]]
[200.0, 2000.0, 0.094434, [0.64360739], [23.324299999999997], [2.33243], [0.1560977060209406]]
[200.0, 1300.0, 0.093032, [1.36694083], [64.841554], [8.396747999999999], [0.3221910076336706]]
[200.0, 1400.0, 0.111204, [0.76015069], [23.324299999999997], [2.33243], [0.1699748629209625]]
[200.0, 400.0, 0.077891, [1.14269014], [64.841554], [8.396747999999999], [0.29504132490212276]]
[200.0, 1900.0, 0.073031, [0.49597188499999995], [23.324299999999997], [2.33243], [0.13755783538206756]]
[200.0, 1700.0, 0.108541, [1.59758483], [64.841554], [8.396747999999999], [0.3486215848165457]]
[200.0, 500.0, 0.095009, [0.64759099], [23.324299999999997], [2.33243], [0.15706389973510781]]
[200.0, 1500.0, 0.10077, [0.6875483149999999], [23.324299999999997], [2.33243], [0.1620567089786782]]
[200.0, 100.0, 0.089142, [0.6069936899999999], [23.324299999999997], [2.33243], [0.15174841547772416]]
[200.0, 600.0, 0.111698, [0.7635953999999999], [23.324299999999997], [2.33243], [0.17074510512749697]]
[200.0, 1000.0, 0.09516, [0.64863634], [23.324299999999997], [2.33243], [0.15731743601711795]]
[200.0, 1200.0, 0.084108, [0.572228615], [23.324299999999997], [2.33243], [0.14774877588325394]]
[200.0, 300.0, 0.087895, [1.2907680499999998], [64.841554], [8.396747999999999], [0.313057206753015]]
[200.0, 1600.0, 0.061689, [0.41819577499999994], [23.324299999999997], [2.33243], [0.12609077444444536]]
[200.0, 900.0, 0.118666, [1.7487136899999998], [64.841554], [8.396747999999999], [0.3646320507031711]]
[200.0, 800.0, 0.09325, [1.3701870499999997], [64.841554], [8.396747999999999], [0.32295620167446853]]
[200.0, 1100.0, 0.094729, [0.6456492149999998], [23.324299999999997], [2.33243], [0.15659292879948314]]
[200.0, 200.0, 0.100108, [0.6829518799999998], [23.324299999999997], [2.33243], [0.16097330135770963]]
[300.0, 2000.0, 0.053669, [0.3633344499999999], [23.324299999999997], [2.33243], [0.07266688845340771]]
[300.0, 400.0, 0.06, [0.40657467999999997], [23.324299999999997], [2.33243], [0.07683540638924219]]
[300.0, 1000.0, 0.058026, [0.39308242], [23.324299999999997], [2.33243], [0.07564875347618095]]
[300.0, 200.0, 0.042998, [0.290641455], [23.324299999999997], [2.33243], [0.06498939884704273]]
[300.0, 1600.0, 0.06258, [0.42422395999999996], [23.324299999999997], [2.33243], [0.07877641020635553]]
