[100.0, 1800.0, 0.354182, [132.33660880000002], [3085.22], [282.25002], [5.775643350207836]]
[100.0, 800.0, 0.386694, [145.533604], [3085.22], [282.25002], [6.048169844176004]]
[100.0, 500.0, 0.346328, [129.1911472], [3085.22], [282.25002], [5.698377215734318]]
[100.0, 1100.0, 0.37086, [139.0697944], [3085.22], [282.25002], [5.919203070684431]]
[100.0, 600.0, 0.352749, [131.7614064], [3085.22], [282.25002], [5.767039941737876]]
[100.0, 1400.0, 0.345088, [128.6959848], [3085.22], [282.25002], [5.687612925226189]]
[100.0, 1700.0, 0.358341, [134.0086352], [3085.22], [282.25002], [5.810011457751181]]
[100.0, 100.0, 0.353399, [132.022208], [3085.22], [282.25002], [5.767416822113691]]
[100.0, 1200.0, 0.351714, [131.3465048], [3085.22], [282.25002], [5.7488805822351186]]
[100.0, 1000.0, 0.364128, [136.34282240000002], [3085.22], [282.25002], [5.867260599632506]]
[100.0, 2000.0, 0.339401, [126.4297856], [3085.22], [282.25002], [5.642836930764524]]
[100.0, 400.0, 0.365253, [136.79779920000001], [3085.22], [282.25002], [5.875967330065748]]
[100.0, 1600.0, 0.369887, [138.6747096], [3085.22], [282.25002], [5.902389043090942]]
[100.0, 1300.0, 0.339625, [126.51893360000001], [3085.22], [282.25002], [5.6411999427072255]]
[100.0, 1500.0, 0.36534, [136.83286959999998], [3085.22], [282.25002], [5.866660455148227]]
[100.0, 900.0, 0.333721, [124.17436880000001], [3085.22], [282.25002], [5.592532516561705]]
[100.0, 1900.0, 0.37266, [139.800808], [3085.22], [282.25002], [5.944934359940403]]
[100.0, 200.0, 0.37327, [140.0486376], [3085.22], [282.25002], [5.934049922270624]]
[100.0, 700.0, 0.356381, [133.2201768], [3085.22], [282.25002], [5.797663354973277]]
[100.0, 300.0, 0.33475, [124.58253599999999], [3085.22], [282.25002], [5.610914898374418]]
[200.0, 1800.0, 0.402474, [60.621836], [1401.1599999999999], [108.248672], [2.1473360950256484]]
[200.0, 700.0, 0.3819, [57.236236], [1401.1599999999999], [108.248672], [2.0885795847896245]]
[200.0, 2000.0, 0.392565, [58.984719], [1401.1599999999999], [108.248672], [2.1133470869689153]]
[200.0, 1300.0, 0.382509, [57.335573000000004], [1401.1599999999999], [108.248672], [2.086655273398076]]
[200.0, 1400.0, 0.37679, [56.40317600000001], [1401.1599999999999], [108.248672], [2.0706261441892404]]
[200.0, 400.0, 0.372382, [55.687093999999995], [1401.1599999999999], [108.248672], [2.059661750385242]]
[200.0, 1900.0, 0.396717, [59.66922199999999], [1401.1599999999999], [108.248672], [2.1337671583375726]]
[200.0, 1700.0, 0.381732, [57.208774], [1401.1599999999999], [108.248672], [2.0861888790327683]]
[200.0, 500.0, 0.389688, [58.511747], [1401.1599999999999], [108.248672], [2.1113607893962603]]
[200.0, 1500.0, 0.3846, [57.67767500000001], [1401.1599999999999], [108.248672], [2.0991051781652104]]
[200.0, 100.0, 0.389149, [58.423128000000005], [1401.1599999999999], [108.248672], [2.1054236934640973]]
[200.0, 600.0, 0.390424, [21.0752312], [584.66], [33.078448200000004], [1.794043050765505]]
[200.0, 1000.0, 0.409168, [61.734921], [1401.1599999999999], [108.248672], [2.170484421275582]]
[200.0, 1200.0, 0.418225, [63.250322], [1401.1599999999999], [108.248672], [2.196774899028118]]
[200.0, 300.0, 0.395857, [59.527173999999995], [1401.1599999999999], [108.248672], [2.125970882914439]]
[200.0, 1600.0, 0.383875, [57.558972], [1401.1599999999999], [108.248672], [2.0920158235539232]]
[200.0, 900.0, 0.41055, [61.965289], [1401.1599999999999], [108.248672], [2.170549372854716]]
[200.0, 800.0, 0.394471, [59.298669000000004], [1401.1599999999999], [108.248672], [2.1245950437671643]]
[200.0, 1100.0, 0.38584, [57.880534999999995], [1401.1599999999999], [108.248672], [2.0967909349765894]]
[200.0, 200.0, 0.405728, [61.162129], [1401.1599999999999], [108.248672], [2.154344451335487]]
[300.0, 2000.0, 0.331603, [22.991802800000002], [541.42], [48.124464], [0.8174945492173021]]
[300.0, 400.0, 0.333289, [23.116678999999998], [541.42], [48.124464], [0.8193489732708524]]
[300.0, 1000.0, 0.34818, [24.225532], [541.42], [48.124464], [0.839869179098745]]
[300.0, 200.0, 0.317383, [21.943426], [541.42], [48.124464], [0.7986032563169273]]
[300.0, 1600.0, 0.32572, [22.5570131], [541.42], [48.124464], [0.8123709399036871]]
[300.0, 1300.0, 0.317885, [21.980341], [541.42], [48.124464], [0.8010081454017804]]
[300.0, 800.0, 0.343394, [23.868043], [541.42], [48.124464], [0.8345264040160741]]
[300.0, 700.0, 0.346364, [24.08974], [541.42], [48.124464], [0.8397151642074828]]
[300.0, 300.0, 0.326036, [22.580358099999998], [541.42], [48.124464], [0.8126847482265186]]
[300.0, 900.0, 0.318449, [22.0217272], [541.42], [48.124464], [0.8003933907773102]]
[300.0, 600.0, 0.351969, [24.509397999999997], [541.42], [48.124464], [0.846158090429915]]
[300.0, 1400.0, 0.328006, [22.725745699999997], [541.42], [48.124464], [0.8142344343000976]]
[300.0, 500.0, 0.339009, [5.653981899999999], [113.804], [6.8261562], [0.40593227723353065]]
[300.0, 1200.0, 0.31594, [11.3810647], [314.548], [21.3532184], [0.5763026244951518]]
[300.0, 100.0, 0.323528, [22.395394400000004], [541.42], [48.124464], [0.8086510205273966]]
[300.0, 1100.0, 0.320192, [11.5444222], [314.548], [21.3532184], [0.5801290323712476]]
[300.0, 1900.0, 0.336759, [23.374187], [541.42], [48.124464], [0.8253709511486335]]
[300.0, 1500.0, 0.328586, [22.7686338], [541.42], [48.124464], [0.8152479696386861]]
[300.0, 1700.0, 0.330722, [22.9265656], [541.42], [48.124464], [0.8167251098135773]]
[300.0, 1800.0, 0.325319, [11.7419393], [314.548], [21.3532184], [0.5834616318148093]]
[400.0, 900.0, 0.306542, [5.267144900000001], [110.4], [7.9261634], [0.2677440066556112]]
[400.0, 1200.0, 0.299513, [5.1382620999999995], [110.4], [7.9261634], [0.26393479611449494]]
[400.0, 1500.0, 0.299339, [5.1350996], [110.4], [7.9261634], [0.26447099841003363]]
[400.0, 200.0, 0.274598, [4.6858911999999995], [110.4], [7.9261634], [0.25155187377556937]]
[400.0, 1600.0, 0.321605, [5.5452816], [110.4], [7.9261634], [0.2741965621593386]]
[400.0, 500.0, 0.284175, [4.8589823], [110.4], [7.9261634], [0.25680517109279555]]
[400.0, 1700.0, 0.282416, [4.827129599999999], [110.4], [7.9261634], [0.2558374478062193]]
[400.0, 300.0, 0.273896, [6.4950689], [182.298], [12.4450194], [0.2964579555350135]]
[400.0, 1300.0, 0.291936, [4.999983800000001], [110.4], [7.9261634], [0.26064206452527955]]
[400.0, 1400.0, 0.307734, [5.2890616], [110.4], [7.9261634], [0.2678220381148646]]
[400.0, 1100.0, 0.29399, [5.0374025], [110.4], [7.9261634], [0.26152891312434273]]
[400.0, 800.0, 0.306512, [5.2666021], [110.4], [7.9261634], [0.26737111717610784]]
[400.0, 100.0, 0.277226, [4.7332896], [110.4], [7.9261634], [0.2537308670619323]]
[400.0, 1000.0, 0.30868, [5.306447299999999], [110.4], [7.9261634], [0.2680160304907152]]
[400.0, 400.0, 0.270343, [4.6092943], [110.4], [7.9261634], [0.2503425065784874]]
[400.0, 1800.0, 0.3102, [5.3344314], [110.4], [7.9261634], [0.2690864355555664]]
[400.0, 2000.0, 0.291847, [4.9983531], [110.4], [7.9261634], [0.26020391080842725]]
[400.0, 600.0, 0.290761, [4.9785846], [110.4], [7.9261634], [0.2598800523318402]]
[400.0, 700.0, 0.295753, [5.0695565], [110.4], [7.9261634], [0.2621405765996558]]
[400.0, 1900.0, 0.298135, [5.1130771], [110.4], [7.9261634], [0.2633368424660704]]
[500.0, 1700.0, 0.24145, [2.4605538], [45.8252], [3.97160136], [0.13189947547280087]]
[500.0, 1100.0, 0.238614, [2.4301662], [45.8252], [3.97160136], [0.13102575353723403]]
[500.0, 300.0, 0.225779, [2.29321937], [45.8252], [3.97160136], [0.1274010671854832]]
[500.0, 1300.0, 0.239407, [2.4386532], [45.8252], [3.97160136], [0.13091372907376828]]
[500.0, 1800.0, 0.246092, [2.5104063], [45.8252], [3.97160136], [0.13305129251533035]]
[500.0, 1400.0, 0.249864, [2.551022], [45.8252], [3.97160136], [0.1342643000949992]]
[500.0, 600.0, 0.221436, [2.7519362], [70.518], [4.742462], [0.13934969059886715]]
[500.0, 1900.0, 0.23102, [2.3490176], [45.8252], [3.97160136], [0.12853247037227597]]
[500.0, 1200.0, 0.238197, [2.4256996], [45.8252], [3.97160136], [0.13040647085171808]]
[500.0, 800.0, 0.242353, [2.4702414], [45.8252], [3.97160136], [0.13222893832289512]]
[500.0, 1000.0, 0.235061, [2.3921564], [45.8252], [3.97160136], [0.12992414787097892]]
[500.0, 2000.0, 0.230828, [2.3469729], [45.8252], [3.97160136], [0.12880689981518847]]
[500.0, 700.0, 0.224538, [2.28003071], [45.8252], [3.97160136], [0.12686429726286275]]
[500.0, 100.0, 0.200671, [2.02801074], [45.8252], [3.97160136], [0.11929477205644848]]
[500.0, 200.0, 0.213123, [2.1591112], [45.8252], [3.97160136], [0.12322697273730293]]
[500.0, 1500.0, 0.232562, [2.3654672], [45.8252], [3.97160136], [0.1288552497572373]]
[500.0, 900.0, 0.232199, [2.3615963], [45.8252], [3.97160136], [0.12864438903426764]]
[500.0, 1600.0, 0.268833, [2.7566305000000004], [45.8252], [3.97160136], [0.13923083767614128]]
[500.0, 500.0, 0.253626, [2.5916101], [45.8252], [3.97160136], [0.135097054557085]]
[500.0, 400.0, 0.251684, [2.5706479], [45.8252], [3.97160136], [0.1345539119089445]]
[600.0, 200.0, 0.17817, [0.9775912333333334], [15.7366], [1.45902708], [0.050550025827007364]]
[600.0, 1400.0, 0.185258, [1.3619068200000002], [26.703000000000003], [2.3905399600000004], [0.059666214448938076]]
[600.0, 1900.0, 0.19991, [1.10296868], [15.7366], [1.45902708], [0.05375541709136547]]
[600.0, 100.0, 0.181299, [0.9955350666666666], [15.7366], [1.45902708], [0.05106987592178648]]
[600.0, 800.0, 0.193599, [1.0664026666666666], [15.7366], [1.45902708], [0.052794806520675454]]
[600.0, 1200.0, 0.205139, [1.1333821933333335], [15.7366], [1.45902708], [0.054404084160413306]]
[600.0, 600.0, 0.20611, [1.1390362066666666], [15.7366], [1.45902708], [0.054549936144172834]]
[600.0, 1600.0, 0.184118, [1.01173182], [15.7366], [1.45902708], [0.05142922061759573]]
[600.0, 400.0, 0.192376, [1.0593306266666667], [15.7366], [1.45902708], [0.052573682431844584]]
[600.0, 500.0, 0.209003, [1.1559171333333333], [15.7366], [1.45902708], [0.05498136516635027]]
[600.0, 1100.0, 0.190564, [1.4025107133333334], [26.703000000000003], [2.3905399600000004], [0.0605792425762415]]
