[100.0, 1800.0, 0.367676, [5.799949099999999], [64.841554], [8.396747999999999], [3.348601745505129]]
[100.0, 800.0, 0.093715, [12.4542148], [634.4209599999999], [102.62691999999998], [8.806455580311525]]
[100.0, 500.0, 0.217363, [1.5577049], [23.324299999999997], [2.33243], [0.8993413225800313]]
[100.0, 1100.0, 0.366953, [5.7871289], [64.841554], [8.396747999999999], [4.09211821921117]]
[100.0, 600.0, 0.06735, [4.6551908], [391.84824], [51.31345999999999], [2.6876769054333893]]
[100.0, 1400.0, 0.498736, [5.8312428999999995], [32.18753399999999], [5.5978319999999995], [5.831241668804337]]
[100.0, 1700.0, 0.252326, [3.8476423999999994], [64.841554], [8.396747999999999], [2.7206939059732536]]
[100.0, 100.0, 0.056933, [0.388154325], [23.324299999999997], [2.33243], [0.3881543877763074]]
[100.0, 1200.0, 0.154926, [2.311845], [64.841554], [8.396747999999999], [1.63472133925021]]
[100.0, 1000.0, 0.369255, [5.827972299999999], [64.841554], [8.396747999999999], [4.120999286580865]]
[100.0, 2000.0, 0.244664, [11.551938599999998], [254.23487], [33.120506], [11.551939070130175]]
[100.0, 400.0, 0.151342, [1.5578037999999998], [32.18753399999999], [5.5978319999999995], [1.5578032606847374]]
[100.0, 1600.0, 0.246469, [11.6407692], [254.23487], [33.120506], [8.231265244177228]]
[100.0, 1300.0, 0.376845, [1.94338615], [9.796206], [1.3994579999999999], [1.3741816719415227]]
[100.0, 1500.0, 0.241496, [5.822937599999999], [110.09069599999998], [15.394037999999998], [5.822940483982297]]
[100.0, 900.0, 0.220066, [1.0391878399999999], [9.796206], [1.3994579999999999], [0.7348167950244469]]
[100.0, 1900.0, 0.244942, [11.565614399999998], [254.23487], [33.120506], [8.178123425334201]]
[100.0, 200.0, 0.174901, [4.166138579999999], [110.09069599999998], [15.394037999999998], [2.9459051491859]]
[100.0, 700.0, 0.053068, [0.7787889699999998], [64.841554], [8.396747999999999], [0.7787886266503896]]
[100.0, 300.0, 0.214094, [7.486293], [200.58897999999996], [23.324299999999997], [3.056266101634476]]
[200.0, 1800.0, 0.106365, [1.5735065899999998], [64.841554], [8.396747999999999], [0.6423813945001831]]
[200.0, 700.0, 0.057191, [0.83978106], [64.841554], [8.396747999999999], [0.34283920662608]]
[200.0, 2000.0, 0.037849, [2.6121904999999996], [391.84824], [51.31345999999999], [1.3060954574609007]]
[200.0, 1300.0, 0.066927, [0.98408697], [64.841554], [8.396747999999999], [0.5681628973278702]]
[200.0, 1400.0, 0.032146, [0.21777066999999997], [23.324299999999997], [2.33243], [0.2177706207802145]]
[200.0, 400.0, 0.047806, [0.7010781799999999], [64.841554], [8.396747999999999], [0.3135317617084431]]
[200.0, 1900.0, 0.022303, [0.32602867999999996], [64.841554], [8.396747999999999], [0.3260287116190842]]
[200.0, 1700.0, 0.095136, [0.65545561], [23.324299999999997], [2.33243], [0.3277278264429189]]
[200.0, 500.0, 0.051326, [0.34940990499999997], [23.324299999999997], [2.33243], [0.15626088114112244]]
[200.0, 1500.0, 0.03039, [1.04103658], [200.58897999999996], [23.324299999999997], [0.7361241895223929]]
[200.0, 100.0, 0.038266, [0.56046745], [64.841554], [8.396747999999999], [0.28023374047391225]]
[200.0, 600.0, 0.03842, [0.5627453699999999], [64.841554], [8.396747999999999], [0.2813726411718097]]
[200.0, 1000.0, 0.14276, [0.649959645], [9.796206], [1.3994579999999999], [0.6499596122067893]]
[200.0, 1200.0, 0.05937, [0.87202752], [64.841554], [8.396747999999999], [0.6166166596841184]]
[200.0, 300.0, 0.059429, [1.3944651599999998], [110.09069599999998], [15.394037999999998], [1.394465171311209]]
[200.0, 1600.0, 0.143396, [0.65303762], [9.796206], [1.3994579999999999], [0.6530376030520754]]
[200.0, 900.0, 0.057015, [0.8371629699999998], [64.841554], [8.396747999999999], [0.3417703262426391]]
[200.0, 800.0, 0.057348, [0.84210314], [64.841554], [8.396747999999999], [0.3437872250389767]]
[200.0, 1100.0, 0.048141, [0.32745882], [23.324299999999997], [2.33243], [0.23154835202393473]]
[200.0, 200.0, 0.040771, [1.3975857999999999], [200.58897999999996], [23.324299999999997], [0.625019318741429]]
[300.0, 2000.0, 0.010666, [0.73539418], [391.84824], [51.31345999999999], [0.42458007475622306]]
[300.0, 400.0, 0.030269, [0.131547005], [9.796206], [1.3994579999999999], [0.1315469814362914]]
[300.0, 1000.0, 0.02901, [0.19636824999999997], [23.324299999999997], [2.33243], [0.09818410138612055]]
[300.0, 200.0, 0.023308, [0.15755241499999997], [23.324299999999997], [2.33243], [0.06432048796845372]]
[300.0, 1600.0, 0.059752, [0.40768109499999994], [23.324299999999997], [2.33243], [0.1823205589751194]]
[300.0, 1300.0, 0.04195, [0.61472767], [64.841554], [8.396747999999999], [0.2749145656381269]]
[300.0, 800.0, 0.028788, [0.42114425999999994], [64.841554], [8.396747999999999], [0.1488969977534806]]
[300.0, 700.0, 0.018008, [0.26310298], [64.841554], [8.396747999999999], [0.11766319849468652]]
[300.0, 300.0, 0.01949, [0.13162095], [23.324299999999997], [2.33243], [0.058862691303575305]]
[300.0, 900.0, 0.019571, [0.13216869499999997], [23.324299999999997], [2.33243], [0.0591076283570911]]
[300.0, 600.0, 0.031087, [0.210541195], [23.324299999999997], [2.33243], [0.074437537707799]]
[300.0, 1400.0, 0.036104, [0.24482361499999997], [23.324299999999997], [2.33243], [0.10948843139802487]]
[300.0, 500.0, 0.023427, [0.15836144], [23.324299999999997], [2.33243], [0.06465079692084234]]
[300.0, 1200.0, 0.018177, [0.12271673], [23.324299999999997], [2.33243], [0.08677383658108014]]
[300.0, 100.0, 0.032403, [0.47425172], [64.841554], [8.396747999999999], [0.1580839543090949]]
[300.0, 1100.0, 0.027181, [0.18390316999999998], [23.324299999999997], [2.33243], [0.1061765299866218]]
[300.0, 1900.0, 0.021697, [0.010968776666666668], [0.13994579999999998], [0.02798916], [0.010968779067071333]]
[300.0, 1500.0, 0.021759, [0.14702646499999997], [23.324299999999997], [2.33243], [0.0848857370233657]]
[300.0, 1700.0, 0.021758, [0.147016805], [23.324299999999997], [2.33243], [0.08488021381629524]]
[300.0, 1800.0, 0.033547, [0.49106794], [64.841554], [8.396747999999999], [0.21961230566614426]]
[400.0, 900.0, 0.009029, [0.06082414399999999], [23.324299999999997], [2.33243], [0.027201382492439606]]
[400.0, 1200.0, 0.008496, [0.0070398553333333325], [0.41983739999999997], [0.05597832], [0.002660816169226982]]
[400.0, 1500.0, 0.012345, [0.180253139], [64.841554], [8.396747999999999], [0.09012654991732458]]
[400.0, 200.0, 0.014435, [0.097365923], [23.324299999999997], [2.33243], [0.034424050901949346]]
[400.0, 1600.0, 0.011726, [0.171192864], [64.841554], [8.396747999999999], [0.09883825514445305]]
[400.0, 500.0, 0.007237, [0.048732354], [23.324299999999997], [2.33243], [0.02436617166790877]]
[400.0, 1700.0, 0.012365, [0.18054218], [64.841554], [8.396747999999999], [0.09027108845028954]]
[400.0, 300.0, 0.007235, [0.04871225199999999], [23.324299999999997], [2.33243], [0.02435613124040844]]
[400.0, 1300.0, 0.009323, [0.13608249], [64.841554], [8.396747999999999], [0.07856723916493438]]
[400.0, 1400.0, 0.010627, [0.36361551], [200.58897999999996], [23.324299999999997], [0.18180774779970185]]
[400.0, 1100.0, 0.01263, [0.08515008249999999], [23.324299999999997], [2.33243], [0.049161430690125366]]
[400.0, 800.0, 0.00835, [0.12186609799999999], [64.841554], [8.396747999999999], [0.0545001925776414]]
[400.0, 100.0, 0.013358, [0.195056077], [64.841554], [8.396747999999999], [0.06896275294679004]]
[400.0, 1000.0, 0.023418, [0.15829991499999999], [23.324299999999997], [2.33243], [0.05983172716042885]]
[400.0, 400.0, 0.009016, [0.0607360655], [23.324299999999997], [2.33243], [0.027161989714488886]]
[400.0, 1800.0, 0.008435, [0.05681112699999999], [23.324299999999997], [2.33243], [0.04017152635885273]]
[400.0, 2000.0, 0.009312, [0.135922571], [64.841554], [8.396747999999999], [0.07847490796426586]]
[400.0, 600.0, 0.011695, [0.17074314499999999], [64.841554], [8.396747999999999], [0.06453484008657648]]
[400.0, 700.0, 0.010867, [0.07323367899999998], [23.324299999999997], [2.33243], [0.029897520762598353]]
[400.0, 1900.0, 0.010093, [0.008389106888888888], [0.41983739999999997], [0.05597832], [0.003751723368938205]]
[500.0, 1700.0, 0.008679, [0.058460882499999985], [23.324299999999997], [2.33243], [0.0337524059623903]]
[500.0, 1100.0, 0.006949, [0.04678524299999999], [23.324299999999997], [2.33243], [0.023392622608420798]]
[500.0, 300.0, 0.007484, [0.0503942765], [23.324299999999997], [2.33243], [0.01781706694436545]]
[500.0, 1300.0, 0.004306, [0.0289741925], [23.324299999999997], [2.33243], [0.02048785274864108]]
[500.0, 1800.0, 0.006946, [0.04676498], [23.324299999999997], [2.33243], [0.023382492184324578]]
[500.0, 1400.0, 0.004822, [0.070345454], [64.841554], [8.396747999999999], [0.04061395591419284]]
[500.0, 600.0, 0.005611, [0.037765241], [23.324299999999997], [2.33243], [0.015417593278459513]]
[500.0, 1900.0, 0.006936, [0.046696072], [23.324299999999997], [2.33243], [0.023348044752184282]]
[500.0, 1200.0, 0.013817, [0.09318344199999999], [23.324299999999997], [2.33243], [0.03294532235386383]]
[500.0, 800.0, 0.005608, [0.037745920999999995], [23.324299999999997], [2.33243], [0.015409703915065985]]
[500.0, 1000.0, 0.006923, [0.04661012099999999], [23.324299999999997], [2.33243], [0.023305064240417787]]
[500.0, 2000.0, 0.008718, [0.058721978499999994], [23.324299999999997], [2.33243], [0.03390315271106804]]
[500.0, 700.0, 0.006543, [0.044048243], [23.324299999999997], [2.33243], [0.016648668002275737]]
[500.0, 100.0, 0.007779, [0.11352206599999999], [64.841554], [8.396747999999999], [0.03784069014962597]]
[500.0, 200.0, 0.009334, [0.062879562], [23.324299999999997], [2.33243], [0.01988426155279597]]
[500.0, 1500.0, 0.005204, [0.035023571999999996], [23.324299999999997], [2.33243], [0.02022086894151683]]
[500.0, 900.0, 0.005609, [0.037750452000000004], [23.324299999999997], [2.33243], [0.015411557570537767]]
[500.0, 1600.0, 0.010464, [0.070513837], [23.324299999999997], [2.33243], [0.028787157787805304]]
[500.0, 500.0, 0.007462, [0.050247352499999995], [23.324299999999997], [2.33243], [0.01776512168548248]]
[500.0, 400.0, 0.00562, [0.037824052], [23.324299999999997], [2.33243], [0.01544160546219207]]
[600.0, 200.0, 0.003349, [0.048852966], [64.841554], [8.396747999999999], [0.018464685922051315]]
[600.0, 1400.0, 0.00193, [0.0129790495], [23.324299999999997], [2.33243], [0.009177574981987343]]
[600.0, 1900.0, 0.003859, [0.025960054], [23.324299999999997], [2.33243], [0.012980026107446778]]
[600.0, 100.0, 0.004819, [0.07030350199999999], [64.841554], [8.396747999999999], [0.022231919449296318]]
[600.0, 800.0, 0.002036, [0.06964781799999999], [200.58897999999996], [23.324299999999997], [0.031147455652107442]]
[600.0, 1200.0, 0.003861, [0.0031702627555555553], [0.41983739999999997], [0.05597832], [0.0009558702926110302]]
[600.0, 600.0, 0.002466, [0.0020196136444444444], [0.41983739999999997], [0.05597832], [0.0005601400027814915]]
[600.0, 1600.0, 0.004451, [0.06493426699999999], [64.841554], [8.396747999999999], [0.03748982361921698]]
[600.0, 400.0, 0.003629, [0.024416271], [23.324299999999997], [2.33243], [0.009228482379297258]]
[600.0, 500.0, 0.00205, [0.07010818599999999], [200.58897999999996], [23.324299999999997], [0.03135332464667822]]
[600.0, 1100.0, 0.002269, [0.15640427799999998], [391.84824], [51.31345999999999], [0.06385177798620803]]
[600.0, 300.0, 0.004688, [0.03154703], [23.324299999999997], [2.33243], [0.010515678225868269]]
[600.0, 1700.0, 0.003042, [0.10404146599999999], [200.58897999999996], [23.324299999999997], [0.0520207327130251]]
[600.0, 1500.0, 0.003525, [0.002892715622222222], [0.41983739999999997], [0.05597832], [0.0009147571041025987]]
[600.0, 1800.0, 0.003569, [0.052055094999999996], [64.841554], [8.396747999999999], [0.02602754633076272]]
[600.0, 1000.0, 0.003849, [0.0258933425], [23.324299999999997], [2.33243], [0.012946671193785682]]
[600.0, 2000.0, 0.003883, [0.026127275499999998], [23.324299999999997], [2.33243], [0.013063640620056875]]
[600.0, 700.0, 0.003644, [0.0245158035], [23.324299999999997], [2.33243], [0.009266103145335691]]
[600.0, 1300.0, 0.006027, [0.040567354], [23.324299999999997], [2.33243], [0.01814226966231072]]
[600.0, 900.0, 0.003656, [0.024593555], [23.324299999999997], [2.33243], [0.0092954884850125]]
[700.0, 2000.0, 0.002821, [0.0189766215], [23.324299999999997], [2.33243], [0.008486604191312329]]
[700.0, 100.0, 0.00422, [0.061553313], [64.841554], [8.396747999999999], [0.0158929950072351]]
[700.0, 1000.0, 0.004519, [0.0304064025], [23.324299999999997], [2.33243], [0.01075028586829206]]
[700.0, 600.0, 0.002435, [0.0163779895], [23.324299999999997], [2.33243], [0.005790492671180924]]
[700.0, 1400.0, 0.002075, [0.030258156], [64.841554], [8.396747999999999], [0.015129075870653829]]
[700.0, 1900.0, 0.002805, [0.018865612], [23.324299999999997], [2.33243], [0.009432807265072259]]
[700.0, 200.0, 0.003075, [0.04485078199999999], [64.841554], [8.396747999999999], [0.013523020117562495]]
[700.0, 400.0, 0.003354, [0.0225639315], [23.324299999999997], [2.33243], [0.006803280839051112]]
[700.0, 1300.0, 0.001959, [0.028573544], [64.841554], [8.396747999999999], [0.016496939795004405]]
[700.0, 1100.0, 0.003374, [0.022695709999999997], [23.324299999999997], [2.33243], [0.009265485841282148]]
[700.0, 800.0, 0.002434, [0.0163693415], [23.324299999999997], [2.33243], [0.005787435984527172]]
[700.0, 1500.0, 0.003124, [0.04556072299999999], [64.841554], [8.396747999999999], [0.018600083077771452]]
[700.0, 1600.0, 0.001692, [0.011377433], [23.324299999999997], [2.33243], [0.006568764364399136]]
[700.0, 1800.0, 0.001693, [0.0113860028], [23.324299999999997], [2.33243], [0.00657371223891037]]
[700.0, 1200.0, 0.003634, [0.053008606], [64.841554], [8.396747999999999], [0.02003536719653523]]
[700.0, 700.0, 0.003343, [0.022488548999999997], [23.324299999999997], [2.33243], [0.006780552525421509]]
[700.0, 900.0, 0.002439, [0.016400851499999997], [23.324299999999997], [2.33243], [0.005798577799771251]]
[700.0, 300.0, 0.002523, [0.036795974999999995], [64.841554], [8.396747999999999], [0.012265322290914331]]
[700.0, 500.0, 0.003344, [0.022498657499999998], [23.324299999999997], [2.33243], [0.006783602313667864]]
[700.0, 1700.0, 0.002251, [0.015136552999999997], [23.324299999999997], [2.33243], [0.00756827485461515]]
[800.0, 300.0, 0.001873, [0.027317329999999997], [64.841554], [8.396747999999999], [0.008236482726261252]]
[800.0, 100.0, 0.002874, [0.04192012199999999], [64.841554], [8.396747999999999], [0.010167126521294008]]
[800.0, 1800.0, 0.002398, [0.016128312999999995], [23.324299999999997], [2.33243], [0.006095927523765354]]
[800.0, 800.0, 0.001286, [0.008647679149999999], [23.324299999999997], [2.33243], [0.003268515870773767]]
[800.0, 400.0, 0.001657, [0.01114173475], [23.324299999999997], [2.33243], [0.003713912492237801]]
[800.0, 200.0, 0.002706, [0.039471818], [64.841554], [8.396747999999999], [0.009867951585815568]]
[800.0, 1700.0, 0.001712, [0.0115090735], [23.324299999999997], [2.33243], [0.005147015110721942]]
[800.0, 600.0, 0.000842, [0.0006876325333333334], [0.41983739999999997], [0.05597832], [0.00021744849652728188]]
[800.0, 1600.0, 0.003388, [0.0227947825], [23.324299999999997], [2.33243], [0.0072083436568326845]]
[800.0, 1000.0, 0.001258, [0.018340011399999998], [64.841554], [8.396747999999999], [0.00917000510359727]]
[800.0, 1100.0, 0.001029, [0.006919461449999999], [23.324299999999997], [2.33243], [0.0039949533507914695]]
[800.0, 1500.0, 0.002747, [0.0184784185], [23.324299999999997], [2.33243], [0.006533105364219988]]
[800.0, 1400.0, 0.002125, [0.001739412311111111], [0.41983739999999997], [0.05597832], [0.00042186942061422597]]
[800.0, 1200.0, 0.00081, [0.027717221799999997], [200.58897999999996], [23.324299999999997], [0.016002546484856713]]
[800.0, 900.0, 0.001838, [0.012359544499999998], [23.324299999999997], [2.33243], [0.003908430273140356]]
[800.0, 1300.0, 0.001879, [0.0015375111555555557], [0.41983739999999997], [0.05597832], [0.00039698362257477646]]
