[100.0, 1800.0, 0.924623, [514.6848], [3085.22], [282.25002], [21.847154593676496]]
[100.0, 800.0, 0.586379, [235.845312], [3085.22], [282.25002], [10.8441770195806]]
[100.0, 500.0, 0.583905, [234.594296], [3085.22], [282.25002], [10.821030457400996]]
[100.0, 1100.0, 0.946984, [153.111368], [560.28], [73.457538], [18.846705802341162]]
[100.0, 600.0, 0.593602, [239.522736], [3085.22], [282.25002], [10.90995723108024]]
[100.0, 1400.0, 0.926035, [517.20836], [3085.22], [282.25002], [21.914824848946434]]
[100.0, 1700.0, 0.91963, [506.05888], [3085.22], [282.25002], [21.657323698001097]]
[100.0, 100.0, 0.589811, [237.587608], [3085.22], [282.25002], [10.86700479506658]]
[100.0, 1200.0, 0.930877, [526.175968], [3085.22], [282.25002], [22.058446146544412]]
[100.0, 1000.0, 0.952973, [37.3448056], [66.056], [14.588600999999999], [9.336201748034368]]
[100.0, 2000.0, 0.944309, [554.102936], [3085.22], [282.25002], [22.716005395315435]]
[100.0, 400.0, 0.581943, [233.60548000000003], [3085.22], [282.25002], [10.786898583745005]]
[100.0, 1600.0, 0.921398, [32.628605], [66.056], [14.588600999999999], [8.720361357191571]]
[100.0, 1300.0, 0.91638, [153.808544], [606.28], [83.606196], [18.932523730342975]]
[100.0, 1500.0, 0.934466, [32.5683128], [70.426], [13.311259199999999], [8.704247822758726]]
[100.0, 900.0, 0.577751, [231.502176], [3085.22], [282.25002], [10.747216179830012]]
[100.0, 1900.0, 0.914693, [497.949632], [3085.22], [282.25002], [21.528235896143464]]
[100.0, 200.0, 0.591334, [238.36372], [3085.22], [282.25002], [10.91392707910402]]
[100.0, 700.0, 0.580366, [232.812808], [3085.22], [282.25002], [10.773291921042517]]
[100.0, 300.0, 0.566843, [226.08595200000002], [3085.22], [282.25002], [10.622447648635413]]
[200.0, 1800.0, 0.955239, [233.92793999999998], [1401.1599999999999], [108.248672], [7.8324878231632145]]
[200.0, 700.0, 0.617417, [100.773718], [1401.1599999999999], [108.248672], [3.755614777902547]]
[200.0, 2000.0, 0.965613, [246.82173999999998], [1401.1599999999999], [108.248672], [8.029111899830516]]
