[100.0, 1800.0, 0, [0.0], [58.419999999999995], [16.4252844], [0.0]]
[100.0, 800.0, 0.984474, [62.09420399999999], [137.07999999999998], [19.9292056], [62.09419009859134]]
[100.0, 500.0, 0.984883, [62.36919199999999], [137.07999999999998], [19.9292056], [36.00886052626492]]
[100.0, 1100.0, 0, [0.0], [58.419999999999995], [16.4252844], [0.0]]
[100.0, 600.0, 0.998252, [82.80193199999998], [137.07999999999998], [19.9292056], [41.4009685442261]]
[100.0, 1400.0, 0.999996, [116.14714799999999], [116.83999999999999], [16.794724199999997], [116.14714887589793]]
[100.0, 1700.0, 0.999969, [115.09512799999999], [137.07999999999998], [19.9292056], [115.0951254571626]]
[100.0, 100.0, 0.999477, [93.10998], [137.07999999999998], [19.9292056], [38.01199639061331]]
[100.0, 1200.0, 1.0, [173.79214], [137.07999999999998], [19.9292056], [100.33895973150209]]
[100.0, 1000.0, 0.999974, [116.472736], [137.07999999999998], [19.9292056], [82.35865487002565]]
[100.0, 2000.0, 0, [0.0], [58.419999999999995], [16.4252844], [0.0]]
[100.0, 400.0, 0.999991, [124.578488], [137.07999999999998], [19.9292056], [62.28923168574163]]
[100.0, 1600.0, 0.999999, [116.42848399999998], [58.419999999999995], [16.4252844], [116.42847172405897]]
[100.0, 1300.0, 0.999971, [115.77022399999998], [137.07999999999998], [19.9292056], [115.77023897358076]]
[100.0, 1500.0, 0.999972, [115.97115199999999], [137.07999999999998], [19.9292056], [115.97112721707933]]
[100.0, 900.0, 0.998308, [83.090904], [137.07999999999998], [19.9292056], [41.545449498109896]]
[100.0, 1900.0, 1.0, [234.06764199999998], [137.07999999999998], [19.9292056], [117.03380894425337]]
[100.0, 200.0, 0.99951, [93.648226], [137.07999999999998], [19.9292056], [38.231723277927195]]
[100.0, 700.0, 0.984424, [62.061221999999994], [137.07999999999998], [19.9292056], [43.883930083801744]]
[100.0, 300.0, 1.0, [156.281826], [137.07999999999998], [19.9292056], [69.89136518912761]]
[200.0, 1800.0, 0.783742, [26.273157599999998], [116.83999999999999], [16.794724199999997], [18.577924501945848]]
[200.0, 700.0, 0.682476, [20.9878312], [116.83999999999999], [16.794724199999997], [12.11733079188647]]
[200.0, 2000.0, 0.920748, [43.762822199999995], [137.07999999999998], [19.9292056], [19.57133236139022]]
[200.0, 1300.0, 0.887613, [39.3013834], [137.07999999999998], [19.9292056], [16.044718233736607]]
[200.0, 1400.0, 0.888085, [39.3566432], [137.07999999999998], [19.9292056], [16.067280466836944]]
[200.0, 400.0, 0.703393, [25.238815399999996], [137.07999999999998], [19.9292056], [8.412938478320163]]
[200.0, 1900.0, 0.886797, [39.2062416], [137.07999999999998], [19.9292056], [16.005884917741973]]
[200.0, 1700.0, 0.886764, [39.202465], [137.07999999999998], [19.9292056], [22.6335473048305]]
[200.0, 500.0, 0.828649, [33.5433472], [137.07999999999998], [19.9292056], [9.683131115501842]]
[200.0, 1500.0, 0.842367, [34.719544199999994], [137.07999999999998], [19.9292056], [17.359774710519716]]
[200.0, 100.0, 0.684309, [21.0714868], [116.83999999999999], [16.794724199999997], [12.165629488028967]]
[200.0, 600.0, 0.795072, [30.950985], [137.07999999999998], [19.9292056], [9.332074770381986]]
[200.0, 1000.0, 0.844835, [34.9397738], [137.07999999999998], [19.9292056], [17.469889181102435]]
[200.0, 1200.0, 0.961077, [52.1847], [137.07999999999998], [19.9292056], [21.30430792116937]]
[200.0, 300.0, 0.954287, [50.346861999999994], [137.07999999999998], [19.9292056], [11.866864209217193]]
[200.0, 1600.0, 0.960431, [51.998031999999995], [137.07999999999998], [19.9292056], [25.998998973037402]]
[200.0, 900.0, 0.664786, [23.222088], [137.07999999999998], [19.9292056], [10.385233274221623]]
[200.0, 800.0, 0.619381, [21.048565], [137.07999999999998], [19.9292056], [8.5930400930055]]
[200.0, 1100.0, 0.7824, [26.1918848], [116.83999999999999], [16.794724199999997], [26.191884575188553]]
[200.0, 200.0, 0.859779, [36.337226199999996], [137.07999999999998], [19.9292056], [10.078132850880664]]
[300.0, 2000.0, 0.323056, [9.8052588], [137.07999999999998], [19.9292056], [4.902626826508417]]
[300.0, 400.0, 0.597269, [20.0534838], [137.07999999999998], [19.9292056], [4.60058416290801]]
[300.0, 1000.0, 0.506724, [16.311839199999998], [137.07999999999998], [19.9292056], [7.2948763197192035]]
[300.0, 200.0, 0.464329, [14.704889], [137.07999999999998], [19.9292056], [3.93004655188714]]
[300.0, 1600.0, 0.489653, [15.655363999999999], [137.07999999999998], [19.9292056], [5.535008180662428]]
[300.0, 1300.0, 0.369318, [9.836055799999999], [116.83999999999999], [16.794724199999997], [9.836056421147653]]
[300.0, 800.0, 0.546539, [17.898632199999998], [137.07999999999998], [19.9292056], [4.341056095007296]]
[300.0, 700.0, 0.641854, [22.100640199999997], [137.07999999999998], [19.9292056], [4.822755042504232]]
[300.0, 300.0, 0.520394, [16.8474862], [137.07999999999998], [19.9292056], [4.2118718836165945]]
[300.0, 900.0, 0.621523, [21.146986599999998], [137.07999999999998], [19.9292056], [4.7286098210784955]]
[300.0, 600.0, 0.520288, [16.843291], [137.07999999999998], [19.9292056], [4.210823015041122]]
[300.0, 1400.0, 0.395607, [12.2465938], [137.07999999999998], [19.9292056], [5.476842371293882]]
[300.0, 500.0, 0.521517, [16.891889999999997], [137.07999999999998], [19.9292056], [4.2229721206752]]
[300.0, 1200.0, 0.466161, [14.7727712], [137.07999999999998], [19.9292056], [8.529063674284535]]
[300.0, 100.0, 1.0, [628.1203399999999], [58.419999999999995], [16.4252844], [25.728807900872514]]
[300.0, 1100.0, 0.807604, [31.8765556], [137.07999999999998], [19.9292056], [8.840964252840296]]
[300.0, 1900.0, 0.589414, [19.708745999999998], [137.07999999999998], [19.9292056], [8.046061436504198]]
[300.0, 1500.0, 0.651446, [19.6215484], [116.83999999999999], [16.794724199999997], [13.874530340159264]]
[300.0, 1700.0, 0.395374, [12.2385392], [137.07999999999998], [19.9292056], [5.473240367460577]]
[300.0, 1800.0, 0.491197, [15.714175], [137.07999999999998], [19.9292056], [5.555800323985736]]
[400.0, 900.0, 0.393244, [12.1648288], [137.07999999999998], [19.9292056], [2.4329660482629016]]
[400.0, 1200.0, 0.347949, [10.627725], [137.07999999999998], [19.9292056], [4.016903216160428]]
