[100.0, 1800.0, 0.999999, [233.69472000000002], [401.764], [38.278302], [14.721384534886655]]
[100.0, 800.0, 1.0, [270.249816], [401.764], [38.278302], [11.608220080615288]]
[100.0, 500.0, 1.0, [254.55976800000002], [401.764], [38.278302], [11.272097404831099]]
[100.0, 1100.0, 1.0, [272.816616], [401.764], [38.278302], [15.910989731628893]]
[100.0, 600.0, 1.0, [284.74368], [401.764], [38.278302], [11.895341714133309]]
[100.0, 1400.0, 1.0, [276.71116], [401.764], [38.278302], [16.02944701229584]]
[100.0, 1700.0, 0.999999, [238.19996], [401.764], [38.278302], [14.858501861493304]]
[100.0, 100.0, 1.0, [285.30395999999996], [401.764], [38.278302], [11.90835860259507]]
[100.0, 1200.0, 1.0, [267.249328], [401.764], [38.278302], [15.720548018946413]]
[100.0, 1000.0, 1.0, [277.28524000000004], [401.764], [38.278302], [16.089717951039418]]
[100.0, 2000.0, 1.0, [278.448304], [401.764], [38.278302], [16.103083544712796]]
[100.0, 400.0, 1.0, [278.931856], [401.764], [38.278302], [11.787024776761946]]
[100.0, 1600.0, 1.0, [273.14799999999997], [401.764], [38.278302], [15.957477837803816]]
[100.0, 1300.0, 1.0, [932.17344], [621.92], [101.24287199999999], [659.1458762975006]]
[100.0, 1500.0, 1.0, [269.85164000000003], [401.764], [38.278302], [15.846239813406838]]
[100.0, 900.0, 1.0, [254.951688], [401.764], [38.278302], [11.278398535962454]]
[100.0, 1900.0, 1.0, [293.185232], [401.764], [38.278302], [16.51911994169181]]
[100.0, 200.0, 1.0, [286.836128], [401.764], [38.278302], [11.972304685731984]]
[100.0, 700.0, 1.0, [252.25535200000002], [401.764], [38.278302], [11.214119979383135]]
[100.0, 300.0, 1.0, [283.480888], [401.764], [38.278302], [11.894595997847087]]
[200.0, 1800.0, 0.999984, [109.93565760000001], [190.20999999999998], [15.425373200000001], [4.802561790378131]]
[200.0, 700.0, 0.999986, [110.515184], [190.20999999999998], [15.425373200000001], [3.5177373891750365]]
[200.0, 2000.0, 0.999986, [110.5343568], [190.20999999999998], [15.425373200000001], [4.805841893029774]]
[200.0, 1300.0, 0.999981, [108.489068], [190.20999999999998], [15.425373200000001], [4.771343874423641]]
[200.0, 1400.0, 0.999991, [113.65137200000001], [190.20999999999998], [15.425373200000001], [4.877247221619999]]
[200.0, 400.0, 0.999989, [112.5090264], [190.20999999999998], [15.425373200000001], [3.5525230281590017]]
[200.0, 1900.0, 0.999987, [111.2281288], [190.20999999999998], [15.425373200000001], [4.822351460273297]]
[200.0, 1700.0, 0.99999, [112.92543679999999], [190.20999999999998], [15.425373200000001], [4.859537189486259]]
[200.0, 500.0, 0.999984, [109.6867608], [190.20999999999998], [15.425373200000001], [3.5020285495124113]]
[200.0, 1500.0, 0.999927, [99.31490160000001], [190.20999999999998], [15.425373200000001], [4.5473171976452225]]
[200.0, 100.0, 0.999989, [112.0934808], [190.20999999999998], [15.425373200000001], [3.544707349725785]]
[200.0, 600.0, 0.999986, [110.5231696], [190.20999999999998], [15.425373200000001], [3.5269363630210284]]
[200.0, 1000.0, 0.99998, [108.1721096], [190.20999999999998], [15.425373200000001], [4.752809755250045]]
