[100.0, 1800.0, 0.579155, [6617.647058823535], [168034.45], [8210.1], [892.323347377821]]
[100.0, 800.0, 0.480599, [151.30098333333333], [4070.4845], [225.33805], [8.266454970407676]]
[100.0, 500.0, 0.55459, [5957.9951298701335], [167950.65000000002], [7796.205000000001], [621.163821068001]]
[100.0, 1100.0, 0.459541, [143.73103333333333], [4070.4845], [225.33805], [10.991386779352881]]
[100.0, 600.0, 0.507325, [161.14378333333332], [4070.4845], [225.33805], [8.516712328644715]]
[100.0, 1400.0, 0.509482, [6264.787051184116], [166340.84999999998], [9076.335], [868.7694655910364]]
[100.0, 1700.0, 0.49734, [6132.976031321624], [171955.7], [9139.375], [858.7882059478986]]
[100.0, 100.0, 0.477504, [5288.132639419402], [167800.05], [8258.335], [583.9765742001623]]
[100.0, 1200.0, 0.541659, [174.226], [4070.4845], [225.33805], [12.080400793571929]]
[100.0, 1000.0, 0.469096, [147.14665], [4070.4845], [225.33805], [11.155158248790356]]
[100.0, 2000.0, 0.482073, [151.83673333333334], [4070.4845], [225.33805], [11.317242253403531]]
[100.0, 400.0, 0.513141, [163.32388333333333], [4070.4845], [225.33805], [8.58411323317674]]
[100.0, 1600.0, 0.50996, [162.12971666666667], [4070.4845], [225.33805], [11.700703919945255]]
[100.0, 1300.0, 0.502483, [5926.322574484344], [166436.40000000002], [8725.5], [846.6173508128144]]
[100.0, 1500.0, 0.507396, [9102.945000000002], [246773.2], [13256.265000000001], [1517.157457220575]]
[100.0, 900.0, 0.484584, [152.75119999999998], [4070.4845], [225.33805], [8.308569872928393]]
[100.0, 1900.0, 0.497935, [157.65370000000001], [4070.4845], [225.33805], [11.528779206837124]]
[100.0, 200.0, 0.483885, [5900.052521008408], [166340.84999999998], [9076.335], [618.4934252227387]]
[100.0, 700.0, 0.490094, [5756.686879297177], [166436.40000000002], [8725.5], [610.2074978941259]]
[100.0, 300.0, 0.471518, [4921.321142093205], [167950.65000000002], [7796.205000000001], [564.514173515827]]
[200.0, 1800.0, 0.293691, [31.54615], [793.31], [78.43589999999999], [1.7313197438819774]]
[200.0, 700.0, 0.318582, [34.38234166666667], [793.31], [78.43589999999999], [1.3204457896230855]]
[200.0, 2000.0, 0.320789, [34.635675], [793.31], [78.43589999999999], [1.8104356059615414]]
[200.0, 1300.0, 0.322077, [34.783833333333334], [793.31], [78.43589999999999], [1.8181801799235044]]
[200.0, 1400.0, 0.293029, [31.471241666666668], [793.31], [78.43589999999999], [1.7272087308718655]]
[200.0, 400.0, 0.310332, [85.34864999999999], [1626.9325000000001], [209.49545], [3.606638843854483]]
[200.0, 1900.0, 0.352788, [38.34944166666667], [793.31], [78.43589999999999], [1.905598841426087]]
[200.0, 1700.0, 0.328437, [90.638125], [1626.9325000000001], [209.49545], [5.074760462327262]]
[200.0, 500.0, 0.311522, [33.57373333333333], [793.31], [78.43589999999999], [1.3038958717798153]]
[200.0, 1500.0, 0.299066, [32.15521666666667], [793.31], [78.43589999999999], [1.7413021947190364]]
[200.0, 100.0, 0.309597, [33.3539], [793.31], [78.43589999999999], [1.3012595394036073]]
[200.0, 600.0, 0.307211, [33.081675], [793.31], [78.43589999999999], [1.298569458630877]]
[200.0, 1000.0, 0.291559, [31.305058333333335], [793.31], [78.43589999999999], [1.720681389579269]]
[200.0, 1200.0, 0.301553, [82.80324999999999], [1626.9325000000001], [209.49545], [4.845692674943387]]
[200.0, 300.0, 0.3046, [32.784225], [793.31], [78.43589999999999], [1.2888808668332727]]
[200.0, 1600.0, 0.29808, [32.04345], [793.31], [78.43589999999999], [1.7429337496174535]]
[200.0, 900.0, 0.297365, [81.59307500000001], [1626.9325000000001], [209.49545], [3.517726538547304]]
[200.0, 800.0, 0.30205, [32.4942], [793.31], [78.43589999999999], [1.2854506343431993]]
[200.0, 1100.0, 0.281469, [77.02385000000001], [1626.9325000000001], [209.49545], [4.678865380623811]]
[200.0, 200.0, 0.296255, [81.27265], [1626.9325000000001], [209.49545], [3.5137222072895864]]
[300.0, 2000.0, 0.298257, [17.509975], [316.11505], [41.70535], [0.9653561518942115]]
[300.0, 400.0, 0.316827, [18.671075], [316.11505], [41.70535], [0.7317771604115559]]
[300.0, 1000.0, 0.304132, [17.875912500000002], [316.11505], [41.70535], [0.9766654845698195]]
[300.0, 200.0, 0.327162, [19.323], [316.11505], [41.70535], [0.7426431890551478]]
[300.0, 1600.0, 0.298021, [17.495299999999997], [316.11505], [41.70535], [0.9645469305585913]]
[300.0, 1300.0, 0.311847, [18.3584375], [316.11505], [41.70535], [0.9912622950057164]]
[300.0, 800.0, 0.339148, [20.0844625], [316.11505], [41.70535], [0.7580392057802816]]
[300.0, 700.0, 0.319155, [18.817574999999998], [316.11505], [41.70535], [0.7335854798522119]]
[300.0, 300.0, 0.32973, [19.485625], [316.11505], [41.70535], [0.746690929200295]]
[300.0, 900.0, 0.296215, [17.38305], [316.11505], [41.70535], [0.7067215240106953]]
[300.0, 600.0, 0.313778, [18.4795625], [316.11505], [41.70535], [0.7270686006148251]]
[300.0, 1400.0, 0.329632, [19.479437499999996], [316.11505], [41.70535], [1.0182066802717413]]
[300.0, 500.0, 0.322831, [19.049275], [316.11505], [41.70535], [0.7392552206443996]]
[300.0, 1200.0, 0.30664, [18.032525000000003], [316.11505], [41.70535], [0.9808402807032346]]
[300.0, 100.0, 0.213806, [12.371786250000001], [316.11505], [41.70535], [0.595237872619006]]
[300.0, 1100.0, 0.307831, [18.106962499999998], [316.11505], [41.70535], [0.9819875412906215]]
[300.0, 1900.0, 0.315478, [18.586262499999997], [316.11505], [41.70535], [0.9977626533900734]]
[300.0, 1500.0, 0.341627, [20.2427625], [316.11505], [41.70535], [1.0384319609391846]]
[300.0, 1700.0, 0.31554, [18.590175000000002], [316.11505], [41.70535], [0.9951092119712288]]
[300.0, 1800.0, 0.317848, [18.7353125], [316.11505], [41.70535], [1.0000169529812983]]
[400.0, 900.0, 0.294778, [7.867471250000001], [112.0686], [17.457115], [0.3225348576123207]]
[400.0, 1200.0, 0.299196, [7.993627499999999], [112.0686], [17.457115], [0.4434065572361329]]
[400.0, 1500.0, 0.279903, [7.4452375], [112.0686], [17.457115], [0.42701361219520856]]
[400.0, 200.0, 0.302316, [8.082958750000001], [112.0686], [17.457115], [0.3270015051570864]]
[400.0, 1600.0, 0.25983, [6.88143125], [112.0686], [17.457115], [0.41272077425300513]]
[400.0, 500.0, 0.302602, [8.0911575], [112.0686], [17.457115], [0.32733321134587]]
[400.0, 1700.0, 0.273367, [7.260935], [112.0686], [17.457115], [0.4220332110746736]]
[400.0, 300.0, 0.314446, [8.431986250000001], [112.0686], [17.457115], [0.3340874464492792]]
[400.0, 1300.0, 0.272027, [7.223218749999999], [112.0686], [17.457115], [0.4219848930945277]]
[400.0, 1400.0, 0.278678, [7.4106425], [112.0686], [17.457115], [0.4278536548868082]]
[400.0, 1100.0, 0.317205, [8.51176375], [112.0686], [17.457115], [0.4589235026123635]]
[400.0, 800.0, 0.296201, [7.9080525], [112.0686], [17.457115], [0.32365502950672653]]
[400.0, 100.0, 0.166881, [4.34636], [112.0686], [17.457115], [0.2399875322282389]]
[400.0, 1000.0, 0.281738, [7.497121249999999], [112.0686], [17.457115], [0.4292839241108383]]
[400.0, 400.0, 0.300387, [8.027722500000001], [112.0686], [17.457115], [0.32556712537509064]]
[400.0, 1800.0, 0.273924, [7.27659375], [112.0686], [17.457115], [0.42365965113520077]]
[400.0, 2000.0, 0.325962, [8.76602], [112.0686], [17.457115], [0.4645981126199288]]
[400.0, 600.0, 0.288499, [7.68874375], [112.0686], [17.457115], [0.31925770840341505]]
[400.0, 700.0, 0.285441, [7.60197375], [112.0686], [17.457115], [0.3175770083774957]]
[400.0, 1900.0, 0.297434, [7.94328125], [112.0686], [17.457115], [0.44197603158994947]]
[500.0, 1700.0, 0.275068, [3.0230666666666663], [38.072655], [5.44904], [0.16022219814300945]]
[500.0, 1100.0, 0.28237, [3.110540833333333], [38.072655], [5.44904], [0.16236890010781688]]
[500.0, 300.0, 0.265374, [2.9077133333333336], [38.072655], [5.44904], [0.11520778330188171]]
[500.0, 1300.0, 0.27832, [3.061968333333333], [38.072655], [5.44904], [0.1604907404736416]]
[500.0, 1800.0, 0.280846, [3.09225], [38.072655], [5.44904], [0.1618557528239952]]
[500.0, 1400.0, 0.280866, [3.0924799999999997], [38.072655], [5.44904], [0.16209001700015677]]
[500.0, 600.0, 0.277812, [3.055883333333333], [38.072655], [5.44904], [0.11805904243216611]]
[500.0, 1900.0, 0.282581, [3.1130725], [38.072655], [5.44904], [0.1622801290293355]]
[500.0, 1200.0, 0.255731, [2.793815], [38.072655], [5.44904], [0.15356196722423746]]
[500.0, 800.0, 0.287167, [3.168286666666667], [38.072655], [5.44904], [0.12017995765610097]]
[500.0, 1000.0, 0.257259, [2.811806666666667], [38.072655], [5.44904], [0.1540860600083242]]
[500.0, 2000.0, 0.299042, [3.312208333333333], [38.072655], [5.44904], [0.16793564822408746]]
[500.0, 700.0, 0.283069, [3.118943333333333], [38.072655], [5.44904], [0.11925576505980748]]
[500.0, 100.0, 0.136414, [1.4441616666666666], [38.072655], [5.44904], [0.08124043533446466]]
[500.0, 200.0, 0.216803, [2.342035833333333], [38.072655], [5.44904], [0.10330275085075583]]
[500.0, 1500.0, 0.271276, [2.9778491666666667], [38.072655], [5.44904], [0.15871992278503946]]
[500.0, 900.0, 0.26277, [2.876875833333333], [38.072655], [5.44904], [0.11452665264761153]]
[500.0, 1600.0, 0.252064, [2.7507208333333337], [38.072655], [5.44904], [0.15305422967766105]]
[500.0, 500.0, 0.282966, [3.1177025000000005], [38.072655], [5.44904], [0.11912129089480371]]
[500.0, 400.0, 0.281258, [3.097186666666667], [38.072655], [5.44904], [0.11894673761347509]]
[600.0, 200.0, 0.124066, [1.3098258333333335], [38.072655], [5.44904], [0.05755044888327689]]
[600.0, 1400.0, 0.184834, [1.9797749999999998], [38.072655], [5.44904], [0.09648834126463156]]
[600.0, 1900.0, 0.180229, [1.9281925], [38.072655], [5.44904], [0.0952266302622912]]
[600.0, 100.0, 0.098729, [1.0367216666666668], [38.072655], [5.44904], [0.05138839714479437]]
[600.0, 800.0, 0.18898, [2.0263483333333334], [38.072655], [5.44904], [0.07150826972378012]]
[600.0, 1200.0, 0.187212, [2.0064758333333335], [38.072655], [5.44904], [0.09710017736566934]]
[600.0, 600.0, 0.193256, [2.0744941666666668], [38.072655], [5.44904], [0.07248870122685022]]
[600.0, 1600.0, 0.171131, [1.8266850000000001], [38.072655], [5.44904], [0.09273588541899218]]
[600.0, 400.0, 0.187474, [2.0094141666666667], [38.072655], [5.44904], [0.07126655265815639]]
[600.0, 500.0, 0.177591, [0.9804983333333334], [13.56206], [1.8869829999999999], [0.03528890435864131]]
[600.0, 1100.0, 0.186418, [1.9975550000000002], [38.072655], [5.44904], [0.09712441906018165]]
[600.0, 300.0, 0.189936, [2.037095], [38.072655], [5.44904], [0.07193232255236708]]
[600.0, 1700.0, 0.185189, [1.9837616666666666], [38.072655], [5.44904], [0.0966826136271552]]
[600.0, 1500.0, 0.192064, [2.06106], [38.072655], [5.44904], [0.09859386390643182]]
[600.0, 1800.0, 0.176458, [1.8860541666666666], [38.072655], [5.44904], [0.09430270409696638]]
[600.0, 1000.0, 0.179786, [1.9232375000000002], [38.072655], [5.44904], [0.09498194272831254]]
[600.0, 2000.0, 0.172011, [1.8364825000000002], [38.072655], [5.44904], [0.09323327970442981]]
[600.0, 700.0, 0.188429, [2.0201433333333334], [38.072655], [5.44904], [0.0716020687550297]]
[600.0, 1300.0, 0.180134, [1.9271225], [38.072655], [5.44904], [0.09517381759473324]]
[600.0, 900.0, 0.191486, [2.0545541666666667], [38.072655], [5.44904], [0.0723237416835655]]
[700.0, 2000.0, 0.110166, [0.5926758333333333], [13.56206], [1.8869829999999999], [0.028548183562570526]]
[700.0, 100.0, 0.05729, [0.414072375], [20.807265], [3.4006055], [0.017544808705141243]]
[700.0, 1000.0, 0.104071, [0.7615370833333334], [20.807265], [3.4006055], [0.03238385228611459]]
[700.0, 600.0, 0.112065, [0.82186625], [20.807265], [3.4006055], [0.0246905817345175]]
[700.0, 1400.0, 0.110845, [0.8126395833333333], [20.807265], [3.4006055], [0.03337111400597829]]
[700.0, 1900.0, 0.102283, [0.748085], [20.807265], [3.4006055], [0.03201508162396106]]
[700.0, 200.0, 0.068582, [0.4971108333333333], [20.807265], [3.4006055], [0.019162218686780502]]
