[100.0, 1800.0, 0.968462, [115.82424], [559.22573], [45.9422579], [5.348266836275093]]
[100.0, 800.0, 0.983466, [129.729558], [559.22573], [45.9422579], [4.150415122370291]]
[100.0, 500.0, 0.981461, [127.33963200000001], [559.22573], [45.9422579], [4.1141550865274885]]
[100.0, 1100.0, 0.97957, [125.2881], [559.22573], [45.9422579], [5.5642385768405]]
[100.0, 600.0, 0.984659, [131.277272], [559.22573], [45.9422579], [4.1680576305996535]]
[100.0, 1400.0, 0.981469, [127.34913800000001], [559.22573], [45.9422579], [5.611672026054268]]
[100.0, 1700.0, 0.989726, [1810.0404], [6401.9333], [698.12554], [272.87379034190064]]
[100.0, 100.0, 0.986974, [134.615544], [559.22573], [45.9422579], [4.221187753701557]]
[100.0, 1200.0, 0.988417, [1764.8754666666669], [6115.6802], [692.13725], [269.14107108437474]]
[100.0, 1000.0, 0.976845, [473.01317], [2078.57314], [200.90548800000002], [17.146709684368016]]
[100.0, 2000.0, 0.98023, [125.983998], [559.22573], [45.9422579], [5.589635992083921]]
[100.0, 400.0, 0.983673, [129.99141400000002], [559.22573], [45.9422579], [4.152422019496574]]
[100.0, 1600.0, 0.984778, [1696.4502333333335], [6115.6802], [692.13725], [264.9411165397575]]
[100.0, 1300.0, 0.975221, [121.142014], [559.22573], [45.9422579], [5.483838672317047]]
[100.0, 1500.0, 0.982133, [128.11383199999997], [559.22573], [45.9422579], [5.634440093922376]]
[100.0, 900.0, 0.985244, [1749.4077999999997], [5983.4341], [710.82732], [196.8237827205961]]
[100.0, 1900.0, 0.985794, [132.853994], [559.22573], [45.9422579], [5.73841926770779]]
[100.0, 200.0, 0.979765, [125.49076400000001], [559.22573], [45.9422579], [4.086541246580047]]
[100.0, 700.0, 0.979791, [1637.3774666666668], [6401.9333], [698.12554], [190.34122724435946]]
[100.0, 300.0, 0.98398, [130.383512], [559.22573], [45.9422579], [4.16282613857461]]
[200.0, 1800.0, 0.989164, [79.895382], [232.580215], [24.307993500000002], [3.340593642228878]]
[200.0, 700.0, 0.991272, [82.44764500000001], [232.580215], [24.307993500000002], [2.4791373131595598]]
[200.0, 2000.0, 0.986449, [77.20631100000001], [232.580215], [24.307993500000002], [3.277225537325742]]
[200.0, 1300.0, 0.990719, [81.7277615], [232.580215], [24.307993500000002], [3.3790269967847255]]
[200.0, 1400.0, 0.9921, [83.607328], [232.580215], [24.307993500000002], [3.4132553779346777]]
[200.0, 400.0, 0.990638, [81.625327], [232.580215], [24.307993500000002], [2.4689643279116043]]
[200.0, 1900.0, 0.987688, [78.3663615], [232.580215], [24.307993500000002], [3.302748123532886]]
[200.0, 1700.0, 0.993369, [85.62318800000001], [232.580215], [24.307993500000002], [3.452660272528996]]
[200.0, 500.0, 0.987005, [77.714833], [232.580215], [24.307993500000002], [2.4052138023468936]]
[200.0, 1500.0, 0.987058, [77.7637595], [232.580215], [24.307993500000002], [3.2831883154945594]]
[200.0, 100.0, 0.99145, [82.6872305], [232.580215], [24.307993500000002], [2.4840970331289394]]
[200.0, 600.0, 0.990376, [81.29986900000002], [232.580215], [24.307993500000002], [2.4681692035798517]]
[200.0, 1000.0, 0.991873, [83.27807250000001], [232.580215], [24.307993500000002], [3.4026495804740162]]
[200.0, 1200.0, 0.992676, [84.4820025], [232.580215], [24.307993500000002], [3.426196891598613]]
[200.0, 300.0, 0.990037, [80.8924095], [232.580215], [24.307993500000002], [2.4546689262505446]]
[200.0, 1600.0, 0.990101, [80.968482], [232.580215], [24.307993500000002], [3.3591385249792842]]
[200.0, 900.0, 0.990495, [81.447457], [232.580215], [24.307993500000002], [2.4602111459181706]]
[200.0, 800.0, 0.990934, [82.002872], [232.580215], [24.307993500000002], [2.475858043184221]]
[200.0, 1100.0, 0.988819, [79.522149], [232.580215], [24.307993500000002], [3.32789822898778]]
[200.0, 200.0, 0.98941, [80.16823849999999], [232.580215], [24.307993500000002], [2.4428371217193336]]
[300.0, 2000.0, 0.953165, [23.418658199999996], [58.226357], [5.8080827], [1.1051949728441584]]
[300.0, 400.0, 0.969903, [26.027084999999996], [58.226357], [5.8080827], [0.8553030356253858]]
[300.0, 1000.0, 0.975187, [27.1404385], [58.226357], [5.8080827], [1.1913330004662845]]
[300.0, 200.0, 0.97153, [26.348917000000004], [58.226357], [5.8080827], [0.8584941237422654]]
[300.0, 1600.0, 0.972138, [26.473744500000002], [58.226357], [5.8080827], [1.1745819731930165]]
[300.0, 1300.0, 0.97509, [27.118021], [58.226357], [5.8080827], [1.1926495819183438]]
[300.0, 800.0, 0.973305, [26.720336999999997], [58.226357], [5.8080827], [0.8655569490218422]]
[300.0, 700.0, 0.971783, [26.400661], [58.226357], [5.8080827], [0.8601799621300185]]
[300.0, 300.0, 0.967149, [25.517313500000004], [58.226357], [5.8080827], [0.8458903081960449]]
[300.0, 900.0, 0.97029, [26.102177499999996], [58.226357], [5.8080827], [0.8573074783880053]]
[300.0, 600.0, 0.973545, [26.772472999999998], [58.226357], [5.8080827], [0.8663371138015502]]
[300.0, 1400.0, 0.97442, [26.965729], [58.226357], [5.8080827], [1.185951090580889]]
[300.0, 500.0, 0.963388, [24.881685500000003], [58.226357], [5.8080827], [0.8363885197681759]]
[300.0, 1200.0, 0.96941, [25.9326865], [58.226357], [5.8080827], [1.1644126008421585]]
[300.0, 100.0, 0.841595, [15.6606205], [58.226357], [5.8080827], [0.6629669216484334]]
[300.0, 1100.0, 0.977963, [27.817618500000002], [58.226357], [5.8080827], [1.2049143838879175]]
[300.0, 1900.0, 0.966517, [25.405862999999997], [58.226357], [5.8080827], [1.1548118596767183]]
[300.0, 1500.0, 0.975662, [27.2510315], [58.226357], [5.8080827], [1.192744951781394]]
[300.0, 1700.0, 0.977371, [27.66687], [58.226357], [5.8080827], [1.2017718263048107]]
[300.0, 1800.0, 0.97383, [26.8347275], [58.226357], [5.8080827], [1.1847823577560563]]
[400.0, 900.0, 0.878786, [10.703462], [20.9567463], [2.31092232], [0.3724211145329974]]
[400.0, 1200.0, 0.867209, [10.292347099999999], [20.9567463], [2.31092232], [0.4980816256649105]]
[400.0, 1500.0, 0.890536, [11.1605095], [20.9567463], [2.31092232], [0.5175562227429983]]
[400.0, 200.0, 0.860227, [10.0604399], [20.9567463], [2.31092232], [0.361148698633956]]
[400.0, 1600.0, 0.852775, [9.8246029], [20.9567463], [2.31092232], [0.4881884902115166]]
[400.0, 500.0, 0.861734, [10.109577100000001], [20.9567463], [2.31092232], [0.3622131737319889]]
[400.0, 1700.0, 0.870599, [10.4091386], [20.9567463], [2.31092232], [0.5002313261382177]]
[400.0, 300.0, 0.870445, [10.4037731], [20.9567463], [2.31092232], [0.3673700453561776]]
[400.0, 1300.0, 0.856137, [9.92958295], [20.9567463], [2.31092232], [0.489790235100701]]
[400.0, 1400.0, 0.886296, [10.990477049999999], [20.9567463], [2.31092232], [0.5158086191117787]]
[400.0, 1100.0, 0.877203, [10.6451471], [20.9567463], [2.31092232], [0.508065142919685]]
[400.0, 800.0, 0.860631, [10.073559649999998], [20.9567463], [2.31092232], [0.36161975101617444]]
[400.0, 100.0, 0.645916, [5.6879004], [20.9567463], [2.31092232], [0.27177833545924884]]
[400.0, 1000.0, 0.88051, [10.767830850000001], [20.9567463], [2.31092232], [0.5093009651473281]]
[400.0, 400.0, 0.882161, [10.830296050000001], [20.9567463], [2.31092232], [0.3743497380792459]]
[400.0, 1800.0, 0.855546, [9.910965400000002], [20.9567463], [2.31092232], [0.48946775468359505]]
[400.0, 2000.0, 0.869657, [10.3764066], [20.9567463], [2.31092232], [0.5003947919143443]]
[400.0, 600.0, 0.871624, [10.4450262], [20.9567463], [2.31092232], [0.36836766405997146]]
[400.0, 700.0, 0.888806, [11.0903905], [20.9567463], [2.31092232], [0.3797277122491852]]
[400.0, 1900.0, 0.8881, [11.062066049999999], [20.9567463], [2.31092232], [0.5163330097669526]]
[500.0, 1700.0, 0.761536, [5.1055011], [7.791122499999999], [0.8690443999999999], [0.25245071533865776]]
[500.0, 1100.0, 0.740845, [4.8092177000000005], [7.791122499999999], [0.8690443999999999], [0.2447827479266053]]
[500.0, 300.0, 0.757519, [5.0460004], [7.791122499999999], [0.8690443999999999], [0.18400871753126263]]
