[200.0, 1800.0, 1.0, [745.52499], [1319.28], [127.221418], [14.116854029846735]]
[200.0, 700.0, 1.0, [729.43626], [1319.28], [127.221418], [13.927543602516563]]
[200.0, 2000.0, 1.0, [742.1856200000001], [1319.28], [127.221418], [14.081420116593355]]
[200.0, 1300.0, 1.0, [731.7222300000001], [1319.28], [127.221418], [13.961011367375933]]
[200.0, 1400.0, 1.0, [714.55066], [1319.28], [127.221418], [13.87804066862466]]
[200.0, 400.0, 1.0, [732.8402600000001], [1319.28], [127.221418], [14.04898666096598]]
[200.0, 1900.0, 1.0, [739.53188], [1319.28], [127.221418], [14.053854474840701]]
[200.0, 1700.0, 1.0, [736.2973900000001], [1319.28], [127.221418], [14.04574993013901]]
[200.0, 500.0, 1.0, [739.08476], [1319.28], [127.221418], [14.075887254450429]]
[200.0, 1500.0, 1.0, [705.61654], [1319.28], [127.221418], [13.709695952135482]]
[200.0, 100.0, 1.0, [717.26788], [1319.28], [127.221418], [13.844909176300147]]
[200.0, 600.0, 1.0, [722.02589], [1319.28], [127.221418], [13.874857469538203]]
[200.0, 1000.0, 1.0, [743.7234], [1319.28], [127.221418], [14.09031886083491]]
[200.0, 1200.0, 1.0, [746.68143], [1319.28], [127.221418], [14.136216134454084]]
[200.0, 300.0, 1.0, [741.08139], [1319.28], [127.221418], [14.073137862609036]]
[200.0, 1600.0, 1.0, [729.2932000000001], [1319.28], [127.221418], [13.934974754193133]]
[200.0, 900.0, 1.0, [732.9619299999999], [1319.28], [127.221418], [14.012750707837489]]
[200.0, 800.0, 1.0, [704.1891599999999], [1319.28], [127.221418], [13.710454142733566]]
[200.0, 1100.0, 1.0, [720.5384799999999], [1319.28], [127.221418], [13.838607079471547]]
[200.0, 200.0, 1.0, [734.02867], [1319.28], [127.221418], [13.984671447695865]]
[300.0, 2000.0, 0.999997, [289.82069999999993], [516.58], [54.743863999999995], [5.428840019746391]]
[300.0, 400.0, 0.999998, [295.16635999999994], [516.58], [54.743863999999995], [5.475439243567588]]
[300.0, 1000.0, 0.999996, [286.47857000000005], [516.58], [54.743863999999995], [5.389929649819189]]
[300.0, 200.0, 0.999995, [283.15231000000006], [516.58], [54.743863999999995], [5.340594056844238]]
[300.0, 1600.0, 0.999995, [282.04854], [516.58], [54.743863999999995], [5.343592529375719]]
[300.0, 1300.0, 0.999997, [289.76458], [516.58], [54.743863999999995], [5.41923538149064]]
[300.0, 800.0, 0.999997, [289.11253000000005], [516.58], [54.743863999999995], [5.426053909610555]]
[300.0, 700.0, 0.999995, [281.68054], [516.58], [54.743863999999995], [5.353942549187468]]
[300.0, 300.0, 0.999998, [293.0798], [516.58], [54.743863999999995], [5.4583768438978275]]
[300.0, 900.0, 0.999997, [289.43452999999994], [516.58], [54.743863999999995], [5.424462597345474]]
[300.0, 600.0, 0.999994, [279.67126], [516.58], [54.743863999999995], [5.337976444309209]]
[300.0, 1400.0, 0.999996, [285.56041000000005], [516.58], [54.743863999999995], [5.390813382041712]]
[300.0, 500.0, 0.999998, [291.62298], [516.58], [54.743863999999995], [5.4340755193500945]]
[300.0, 1200.0, 0.999997, [289.35472000000004], [516.58], [54.743863999999995], [5.41820934811493]]
[300.0, 100.0, 0.929051, [24.937566], [112.60799999999999], [7.11574], [1.5899617363320413]]
[300.0, 1100.0, 0.999997, [291.34605999999997], [516.58], [54.743863999999995], [5.442158208835903]]
[300.0, 1900.0, 0.999996, [286.89602], [516.58], [54.743863999999995], [5.3920575256575285]]
[300.0, 1500.0, 0.999996, [286.23499999999996], [516.58], [54.743863999999995], [5.387250579841261]]
[300.0, 1700.0, 0.999996, [286.75503], [516.58], [54.743863999999995], [5.3941752455774]]
[300.0, 1800.0, 0.999996, [283.88003000000003], [516.58], [54.743863999999995], [5.362911533859196]]
[400.0, 900.0, 0.999802, [126.700997], [235.704], [28.113567], [2.4370081944876594]]
[400.0, 1200.0, 0.999858, [57.005178], [110.078], [7.3977108], [1.6387838136862347]]
[400.0, 1500.0, 0.999792, [126.22310300000001], [235.704], [28.113567], [2.4332239066719694]]
[400.0, 200.0, 0.999814, [55.84268899999999], [110.078], [7.3977108], [1.620842980365464]]
[400.0, 1600.0, 0.999717, [123.400934], [235.704], [28.113567], [2.410836697082571]]
[400.0, 500.0, 0.999797, [126.47065200000002], [235.704], [28.113567], [2.445275370996076]]
[400.0, 1700.0, 0.999698, [122.80396899999998], [235.704], [28.113567], [2.4069958786836345]]
[400.0, 300.0, 0.999794, [55.407437], [110.078], [7.3977108], [1.614341311185463]]
[400.0, 1300.0, 0.999892, [58.15366], [110.078], [7.3977108], [1.6561343209413901]]
[400.0, 1400.0, 0.999837, [56.415757], [110.078], [7.3977108], [1.6299416995708773]]
[400.0, 1100.0, 0.999607, [52.555758999999995], [110.078], [7.3977108], [1.5739209386115938]]
[400.0, 800.0, 0.999768, [54.88890200000001], [110.078], [7.3977108], [1.61020632963605]]
[400.0, 100.0, 0.792263, [17.0255315], [110.078], [7.3977108], [0.898573235746536]]
[400.0, 1000.0, 0.999752, [124.61422999999999], [235.704], [28.113567], [2.4230082459620315]]
[400.0, 400.0, 0.999923, [59.612596], [110.078], [7.3977108], [1.6787290192285353]]
[400.0, 1800.0, 0.999753, [124.648891], [235.704], [28.113567], [2.4241399897695675]]
[400.0, 2000.0, 0.999585, [119.79267099999998], [235.704], [28.113567], [2.371784043710557]]
[400.0, 600.0, 0.999664, [121.79569500000001], [235.704], [28.113567], [2.392755121193976]]
[400.0, 700.0, 0.999705, [53.837526000000004], [110.078], [7.3977108], [1.591044845376773]]
[400.0, 1900.0, 0.99981, [55.751034], [110.078], [7.3977108], [1.6188652565917894]]
[500.0, 1700.0, 0.996109, [25.994139999999998], [40.6456], [3.71427414], [0.7999144072961807]]
[500.0, 1100.0, 0.995799, [25.733044], [40.6456], [3.71427414], [0.7948967706564167]]
[500.0, 300.0, 0.99479, [24.995112000000002], [40.6456], [3.71427414], [0.7807166970162737]]
[500.0, 1300.0, 0.995564, [25.547618], [40.6456], [3.71427414], [0.791436984857291]]
[500.0, 1800.0, 0.994915, [25.079545], [40.6456], [3.71427414], [0.7841185420585334]]
[500.0, 1400.0, 0.993735, [24.356769999999997], [40.6456], [3.71427414], [0.7702287582270607]]
[500.0, 600.0, 0.994973, [25.118944], [40.6456], [3.71427414], [0.7842015187437474]]
[500.0, 1900.0, 0.994776, [24.986993000000002], [40.6456], [3.71427414], [0.7839113993303071]]
[500.0, 1200.0, 0.994177, [24.611196], [40.6456], [3.71427414], [0.776335691566477]]
[500.0, 800.0, 0.995766, [25.705996], [40.6456], [3.71427414], [0.7940611349260207]]
[500.0, 1000.0, 0.994703, [24.938348], [40.6456], [3.71427414], [0.7808501693666974]]
[500.0, 2000.0, 0.993441, [24.197472], [40.6456], [3.71427414], [0.769434741222412]]
[500.0, 700.0, 0.992129, [23.556646], [40.6456], [3.71427414], [0.7571392494118899]]
[500.0, 100.0, 0.580567, [6.3006591], [40.6456], [3.71427414], [0.39226194883011534]]
[500.0, 200.0, 0.876507, [16.0446574], [65.918], [5.114073], [0.6259616803766825]]
[500.0, 1500.0, 0.995892, [25.80968], [40.6456], [3.71427414], [0.7972634087928532]]
[500.0, 900.0, 0.996265, [26.131358000000002], [40.6456], [3.71427414], [0.7996068340128166]]
[500.0, 1600.0, 0.995451, [25.460747], [40.6456], [3.71427414], [0.7868608924072921]]
[500.0, 500.0, 0.996202, [26.074594], [40.6456], [3.71427414], [0.7986178291272991]]
[500.0, 400.0, 0.996117, [26.000879], [40.6456], [3.71427414], [0.8005007838846879]]
[600.0, 200.0, 0.543316, [3.8069615333333333], [18.768], [1.88428282], [0.18598220906551488]]
[600.0, 1400.0, 0.940571, [10.876761333333333], [18.768], [1.88428282], [0.3153015446274319]]
[600.0, 1900.0, 0.940393, [13.683808600000003], [30.3278], [2.9384317], [0.35378645555381766]]
[600.0, 100.0, 0.432053, [2.8674728666666667], [18.768], [1.88428282], [0.16156379063529194]]
[600.0, 800.0, 0.937986, [10.7469754], [18.768], [1.88428282], [0.31272407575298]]
[600.0, 1200.0, 0.939155, [10.804986], [18.768], [1.88428282], [0.3134844407267732]]
[600.0, 600.0, 0.941042, [10.901014066666665], [18.768], [1.88428282], [0.3158719141958933]]
[600.0, 1600.0, 0.950842, [11.449193000000001], [18.768], [1.88428282], [0.32318636687418195]]
[600.0, 400.0, 0.927074, [12.933223533333333], [30.3278], [2.9384317], [0.342609463059294]]
[600.0, 500.0, 0.934654, [10.586889266666667], [18.768], [1.88428282], [0.3109758395045435]]
[600.0, 1100.0, 0.937858, [10.74063813333333], [18.768], [1.88428282], [0.3122753705020974]]
[600.0, 300.0, 0.932164, [13.204335266666668], [30.3278], [2.9384317], [0.3456916237856445]]
[600.0, 1700.0, 0.934966, [10.601570933333333], [18.768], [1.88428282], [0.31127282259922545]]
[600.0, 1500.0, 0.934166, [13.316124466666666], [30.3278], [2.9384317], [0.3486183308114732]]
[600.0, 1800.0, 0.92344, [10.097495266666668], [18.768], [1.88428282], [0.30307643407049795]]
[600.0, 1000.0, 0.933458, [13.276098333333334], [30.3278], [2.9384317], [0.34650334383507597]]
[600.0, 2000.0, 0.934128, [13.313824466666667], [30.3278], [2.9384317], [0.34736972074273964]]
[600.0, 700.0, 0.942344, [10.968834933333333], [18.768], [1.88428282], [0.3169072100438515]]
[600.0, 1300.0, 0.930111, [10.379938333333332], [18.768], [1.88428282], [0.3063542058177466]]
[600.0, 900.0, 0.935026, [10.604373866666666], [18.768], [1.88428282], [0.3109533086065066]]
[700.0, 2000.0, 0.847152, [6.385128133333334], [11.7484], [1.33514954], [0.18416935539515436]]
[700.0, 100.0, 0.300921, [1.49905536], [11.7484], [1.33514954], [0.08958570039663448]]
[700.0, 1000.0, 0.8316, [6.1091542], [11.7484], [1.33514954], [0.1805420401642417]]
[700.0, 600.0, 0.849063, [6.420749000000001], [11.7484], [1.33514954], [0.1848127881578184]]
[700.0, 1400.0, 0.850018, [6.438705866666666], [11.7484], [1.33514954], [0.18517633146094384]]
[700.0, 1900.0, 0.840353, [6.2615430000000005], [11.7484], [1.33514954], [0.18251272527933193]]
[700.0, 200.0, 0.405009, [2.1027428], [11.7484], [1.33514954], [0.10580042222137973]]
[700.0, 400.0, 0.852023, [6.476764733333334], [11.7484], [1.33514954], [0.1860402249216252]]
[700.0, 1300.0, 0.855039, [6.5347554], [11.7484], [1.33514954], [0.18610062308093198]]
[700.0, 1100.0, 0.845157, [6.348358800000001], [11.7484], [1.33514954], [0.18356753900888298]]
