[200.0, 1800.0, 0.292785, [31.37975833333333], [793.31], [78.43589999999999], [1.7433199887953255]]
[200.0, 700.0, 0.327788, [35.36051666666666], [793.31], [78.43589999999999], [1.8458037996132381]]
[200.0, 2000.0, 0.316545, [34.073275], [793.31], [78.43589999999999], [1.8161117271675649]]
[200.0, 1300.0, 0.310747, [85.41255000000001], [1626.9325000000001], [209.49545], [4.9729122503820635]]
[200.0, 1400.0, 0.319486, [969.8796791443857], [31836.045], [2344.6115], [134.49812760923803]]
[200.0, 400.0, 0.308682, [33.17803333333333], [793.31], [78.43589999999999], [1.7993312801025705]]
[200.0, 1900.0, 0.315596, [33.96503333333334], [793.31], [78.43589999999999], [1.8129193001589698]]
[200.0, 1700.0, 0.325891, [35.142775], [793.31], [78.43589999999999], [1.8470631719329773]]
[200.0, 500.0, 0.31401, [300.51442136906564], [5304.4400000000005], [737.245], [57.83403480149857]]
[200.0, 1500.0, 0.30036, [32.234741666666665], [793.31], [78.43589999999999], [1.7638066472515883]]
[200.0, 100.0, 0.301288, [32.339725], [793.31], [78.43589999999999], [1.7695509081873477]]
[200.0, 600.0, 0.301496, [115.635], [4299.869], [290.9889], [5.78899008895334]]
[200.0, 1000.0, 0.283065, [108.2309], [4299.869], [290.9889], [5.603984073853172]]
[200.0, 1200.0, 0.320456, [34.520091666666666], [793.31], [78.43589999999999], [1.8295612710276867]]
[200.0, 300.0, 0.316638, [34.083925], [793.31], [78.43589999999999], [1.8166792813017687]]
[200.0, 1600.0, 0.366663, [1123.909472880062], [31836.045], [2344.6115], [143.90185644094151]]
[200.0, 900.0, 0.306273, [32.90455], [793.31], [78.43589999999999], [1.7871299150686648]]
[200.0, 800.0, 0.312899, [33.657716666666666], [793.31], [78.43589999999999], [1.8042428775281645]]
[200.0, 1100.0, 0.326784, [35.245174999999996], [793.31], [78.43589999999999], [1.842294764688865]]
[200.0, 200.0, 0.310268, [940.2707219251344], [31836.045], [2344.6115], [131.66422966198553]]
[300.0, 2000.0, 0.296857, [17.353875000000002], [316.11505], [41.70535], [0.9793357921315854]]
