[200.0, 1800.0, 0.999997, [550.5855], [1401.1599999999999], [108.248672], [18.79667876248355]]
[200.0, 700.0, 0.999998, [565.74342], [1401.1599999999999], [108.248672], [19.028011343805744]]
[200.0, 2000.0, 0.999998, [564.6272299999999], [1401.1599999999999], [108.248672], [19.055243902926037]]
[200.0, 1300.0, 0.999999, [575.0756700000001], [1401.1599999999999], [108.248672], [19.25496070367322]]
[200.0, 1400.0, 0.999995, [542.18314], [1401.1599999999999], [108.248672], [18.651668448157658]]
[200.0, 400.0, 0.999996, [548.74044], [1401.1599999999999], [108.248672], [18.8327196602084]]
[200.0, 1900.0, 0.999999, [576.55066], [1401.1599999999999], [108.248672], [19.271963376885083]]
[200.0, 1700.0, 0.999999, [580.99219], [1401.1599999999999], [108.248672], [19.355658164991446]]
[200.0, 500.0, 0.999999, [576.7194800000001], [1401.1599999999999], [108.248672], [19.256102191253557]]
[200.0, 1500.0, 0.999999, [577.31771], [1401.1599999999999], [108.248672], [19.265344237775768]]
[200.0, 100.0, 0.999999, [581.1801], [1401.1599999999999], [108.248672], [19.340464637645084]]
[200.0, 600.0, 0.999997, [556.99698], [1401.1599999999999], [108.248672], [18.927529955068092]]
[200.0, 1000.0, 0.999999, [581.7686699999999], [1401.1599999999999], [108.248672], [19.381520146778993]]
[200.0, 1200.0, 0.999999, [573.5231699999999], [1401.1599999999999], [108.248672], [19.246174066551514]]
[200.0, 300.0, 0.999998, [558.86136], [1401.1599999999999], [108.248672], [19.023861574349198]]
[200.0, 1600.0, 0.999996, [547.21646], [1401.1599999999999], [108.248672], [18.758339486745623]]
[200.0, 900.0, 0.999999, [596.05328], [1401.1599999999999], [108.248672], [19.598110919167695]]
[200.0, 800.0, 0.999999, [573.44727], [1401.1599999999999], [108.248672], [19.20043664347246]]
[200.0, 1100.0, 0.999999, [582.4377400000001], [1401.1599999999999], [108.248672], [19.37158939529743]]
[200.0, 200.0, 0.999999, [583.9562], [1401.1599999999999], [108.248672], [19.389943986510122]]
[300.0, 2000.0, 0.999969, [233.73405000000002], [541.42], [48.124464], [7.443608083449853]]
[300.0, 400.0, 0.999879, [116.22898199999999], [314.548], [21.3532184], [5.234689849456221]]
[300.0, 1000.0, 0.999951, [227.582194], [541.42], [48.124464], [7.333733128496018]]
[300.0, 200.0, 0.999932, [223.01782099999997], [541.42], [48.124464], [7.262458599537762]]
[300.0, 1600.0, 0.999894, [216.71179600000002], [541.42], [48.124464], [7.168189018155144]]
[300.0, 1300.0, 0.999962, [125.40961600000001], [314.548], [21.3532184], [5.44231373314696]]
[300.0, 800.0, 0.9999, [217.53535699999998], [541.42], [48.124464], [7.171927770829821]]
[300.0, 700.0, 0.999963, [231.20451], [541.42], [48.124464], [7.3742784935205705]]
[300.0, 300.0, 0.999954, [228.306073], [541.42], [48.124464], [7.3342488572450275]]
[300.0, 900.0, 0.999869, [213.66581399999998], [541.42], [48.124464], [7.102491612103459]]
[300.0, 600.0, 0.999908, [218.663737], [541.42], [48.124464], [7.166414318890585]]
[300.0, 1400.0, 0.999964, [231.59321], [541.42], [48.124464], [7.401752353328231]]
