[200.0, 1800.0, 0.885491, [96.19308399999998], [137.07999999999998], [19.9292056], [55.53712801360905]]
[200.0, 700.0, 0.88525, [95.786168], [137.07999999999998], [19.9292056], [55.30215963233262]]
[200.0, 2000.0, 0.916221, [85.681348], [137.07999999999998], [19.9292056], [42.84066956059394]]
[200.0, 1300.0, 0.657185, [64.539058], [116.83999999999999], [16.794724199999997], [64.5390655649739]]
[200.0, 1400.0, 0.951671, [106.48484799999999], [137.07999999999998], [19.9292056], [47.621465286150105]]
[200.0, 400.0, 0.889018, [64.55915999999999], [137.07999999999998], [19.9292056], [32.27958678793767]]
[200.0, 1900.0, 0.826627, [129.626712], [137.07999999999998], [19.9292056], [91.65991442282717]]
[200.0, 1700.0, 0.885777, [96.680684], [137.07999999999998], [19.9292056], [55.818626031101836]]
[200.0, 500.0, 0.885908, [96.905072], [137.07999999999998], [19.9292056], [55.94816068469096]]
[200.0, 1500.0, 0.787144, [64.393652], [137.07999999999998], [19.9292056], [45.533183126155365]]
[200.0, 100.0, 0.885816, [96.746326], [137.07999999999998], [19.9292056], [55.856502719020995]]
[200.0, 600.0, 0.934203, [80.244286], [137.07999999999998], [19.9292056], [35.88633328720001]]
[200.0, 1000.0, 0.852358, [64.56109199999999], [137.07999999999998], [19.9292056], [37.274353778435916]]
[200.0, 1200.0, 0.852848, [64.83667799999999], [137.07999999999998], [19.9292056], [37.43347898873413]]
[200.0, 300.0, 0.650359, [64.67866799999999], [137.07999999999998], [19.9292056], [64.67865001683322]]
[200.0, 1600.0, 0.885999, [97.063082], [137.07999999999998], [19.9292056], [56.0394044222456]]
[200.0, 900.0, 0.649775, [64.02556], [137.07999999999998], [19.9292056], [64.02553918554689]]
[200.0, 800.0, 0.649068, [63.258786], [137.07999999999998], [19.9292056], [63.25881465851221]]
[200.0, 1100.0, 0.787951, [64.93521], [137.07999999999998], [19.9292056], [45.916123028844666]]
[200.0, 200.0, 0.826725, [130.07466], [137.07999999999998], [19.9292056], [91.97667504318689]]
[300.0, 2000.0, 0.723664, [29.5925314], [137.07999999999998], [19.9292056], [13.234183211668183]]
[300.0, 400.0, 0.730024, [31.454353799999996], [137.07999999999998], [19.9292056], [15.727177330977101]]
[300.0, 1000.0, 0.837845, [47.127368], [137.07999999999998], [19.9292056], [23.563699242691076]]
[300.0, 200.0, 0.740641, [35.4745882], [137.07999999999998], [19.9292056], [20.48125915074559]]
