[200.0, 1800.0, 1.0, [257.96662], [483.0], [31.4486636], [18.195561513731857]]
[200.0, 700.0, 1.0, [234.23315], [483.0], [31.4486636], [17.315013485412017]]
[200.0, 2000.0, 1.0, [234.082316], [483.0], [31.4486636], [17.35133780433082]]
[200.0, 1300.0, 1.0, [251.43448200000003], [483.0], [31.4486636], [18.005595208156823]]
[200.0, 1400.0, 1.0, [246.38855800000002], [483.0], [31.4486636], [17.781561652453366]]
[200.0, 400.0, 1.0, [245.608168], [483.0], [31.4486636], [17.81828867203582]]
[200.0, 1900.0, 1.0, [258.964636], [483.0], [31.4486636], [18.26595649836055]]
[200.0, 1700.0, 1.0, [241.16659200000004], [483.0], [31.4486636], [17.635850487005158]]
[200.0, 500.0, 1.0, [257.17703], [483.0], [31.4486636], [18.18516202842306]]
[200.0, 1500.0, 1.0, [1234.35434], [3529.12], [183.784812], [125.98075687977114]]
[200.0, 100.0, 1.0, [257.444152], [483.0], [31.4486636], [18.204048857328413]]
[200.0, 600.0, 1.0, [237.97796400000001], [483.0], [31.4486636], [17.49648564712354]]
[200.0, 1000.0, 1.0, [241.48882200000003], [483.0], [31.4486636], [17.659411383169033]]
[200.0, 1200.0, 1.0, [227.342488], [483.0], [31.4486636], [17.136583685204002]]
[200.0, 300.0, 1.0, [242.19483], [483.0], [31.4486636], [17.71103945001535]]
[200.0, 1600.0, 1.0, [244.35048199999997], [483.0], [31.4486636], [17.727047639130436]]
[200.0, 900.0, 1.0, [286.105556], [483.0], [31.4486636], [19.20214889016331]]
[200.0, 800.0, 1.0, [237.864942], [483.0], [31.4486636], [17.48817519354149]]
[200.0, 1100.0, 1.0, [1172.6067], [3529.12], [183.784812], [122.92259572592828]]
[200.0, 200.0, 1.0, [235.64268199999998], [483.0], [31.4486636], [17.41921061357259]]
[300.0, 2000.0, 1.0, [1517.1375], [3529.12], [183.784812], [84.81056563895798]]
[300.0, 400.0, 1.0, [1442.84244], [3529.12], [183.784812], [82.48180972796365]]
[300.0, 1000.0, 1.0, [1446.31682], [3529.12], [183.784812], [82.6804414598761]]
[300.0, 200.0, 1.0, [1541.9683], [3529.12], [183.784812], [85.4017224182276]]
[300.0, 1600.0, 1.0, [1569.6193600000001], [3529.12], [183.784812], [86.27407610632524]]
[300.0, 1300.0, 1.0, [1535.14604], [3529.12], [183.784812], [85.15457331230074]]
[300.0, 800.0, 1.0, [1484.9149599999998], [3529.12], [183.784812], [83.79861803156423]]
[300.0, 700.0, 1.0, [1505.29848], [3529.12], [183.784812], [84.1487493905881]]
[300.0, 300.0, 1.0, [1474.9187], [3529.12], [183.784812], [83.36733192324198]]
[300.0, 900.0, 1.0, [1586.55702], [3529.12], [183.784812], [86.55378873278742]]
[300.0, 600.0, 1.0, [1460.88962], [3529.12], [183.784812], [82.83946115227936]]
[300.0, 1400.0, 1.0, [1537.64706], [3529.12], [183.784812], [85.29330369964573]]
[300.0, 500.0, 1.0, [1552.2516], [3529.12], [183.784812], [85.4486248221702]]
[300.0, 1200.0, 1.0, [1567.6620599999999], [3529.12], [183.784812], [86.16649717842778]]
[300.0, 100.0, 0.99996, [843.22416], [3529.12], [183.784812], [63.02552311563943]]
[300.0, 1100.0, 1.0, [1527.8950599999998], [3529.12], [183.784812], [84.88306349325524]]
[300.0, 1900.0, 1.0, [1441.94912], [3529.12], [183.784812], [82.43074217790351]]
[300.0, 1500.0, 1.0, [1516.67888], [3529.12], [183.784812], [84.39026908358571]]
[300.0, 1700.0, 1.0, [1320.69496], [3529.12], [183.784812], [78.64623914720907]]
[300.0, 1800.0, 1.0, [1597.2994], [3529.12], [183.784812], [86.6257314658872]]
[400.0, 900.0, 1.0, [1093.33536], [3529.12], [183.784812], [48.46123469330925]]
[400.0, 1200.0, 1.0, [1035.3569599999998], [3529.12], [183.784812], [47.11037847438715]]
[400.0, 1500.0, 1.0, [1076.22888], [3529.12], [183.784812], [48.034441393650035]]
[400.0, 200.0, 1.0, [1135.96402], [3529.12], [183.784812], [49.389735370823765]]
[400.0, 1600.0, 1.0, [1019.9281], [3529.12], [183.784812], [46.94599182038867]]
[400.0, 500.0, 1.0, [1148.93694], [3529.12], [183.784812], [49.67286522841218]]
[400.0, 1700.0, 1.0, [1058.9246], [3529.12], [183.784812], [47.691552375656634]]
[400.0, 300.0, 1.0, [1091.39692], [3529.12], [183.784812], [48.518509540174456]]
[400.0, 1300.0, 1.0, [1058.88872], [3529.12], [183.784812], [47.689955084902316]]
[400.0, 1400.0, 1.0, [1028.13588], [3529.12], [183.784812], [47.12454727633996]]
[400.0, 1100.0, 1.0, [1145.68796], [3529.12], [183.784812], [49.76549495383322]]
[400.0, 800.0, 1.0, [1020.62592], [3529.12], [183.784812], [46.97809540626354]]
[400.0, 100.0, 0.992628, [369.76869999999997], [1702.9199999999998], [127.16401], [28.27691876425011]]
[400.0, 1000.0, 1.0, [1198.51344], [3529.12], [183.784812], [50.91996382559595]]
[400.0, 400.0, 0.999999, [989.92046], [3529.12], [183.784812], [46.20552884666509]]
[400.0, 1800.0, 1.0, [1119.08294], [3529.12], [183.784812], [49.075036994382394]]
[400.0, 2000.0, 1.0, [1071.3538], [3529.12], [183.784812], [48.10520242135979]]
[400.0, 600.0, 0.999999, [968.3423200000001], [3529.12], [183.784812], [45.69890599128167]]
[400.0, 700.0, 1.0, [1116.2728], [3529.12], [183.784812], [49.14117800785814]]
[400.0, 1900.0, 1.0, [1014.2931], [3529.12], [183.784812], [46.73615846429828]]
[500.0, 1700.0, 0.99927, [463.83318], [1702.9199999999998], [127.16401], [22.714006304480943]]
[500.0, 1100.0, 0.999303, [465.65202000000005], [1702.9199999999998], [127.16401], [22.77577946854948]]
[500.0, 300.0, 0.99802, [607.61722], [3529.12], [183.784812], [25.9561129524434]]
[500.0, 1300.0, 0.999647, [491.35589999999996], [1702.9199999999998], [127.16401], [23.371413530208223]]
[500.0, 1800.0, 0.999635, [490.11068], [1702.9199999999998], [127.16401], [23.285852460238598]]
[500.0, 1400.0, 0.998906, [642.01004], [3529.12], [183.784812], [26.658021982135132]]
[500.0, 600.0, 0.999262, [463.41228], [1702.9199999999998], [127.16401], [22.720656839096883]]
[500.0, 1900.0, 0.999456, [475.14918], [1702.9199999999998], [127.16401], [22.994074436689118]]
[500.0, 1200.0, 0.999028, [452.62440599999996], [1702.9199999999998], [127.16401], [22.43575670219304]]
[500.0, 800.0, 0.999769, [506.87584], [1702.9199999999998], [127.16401], [23.841445434369113]]
[500.0, 1000.0, 0.998668, [440.019348], [1702.9199999999998], [127.16401], [22.08393839875487]]
[500.0, 2000.0, 0.997993, [423.21582400000005], [1702.9199999999998], [127.16401], [21.73913473899088]]
[500.0, 700.0, 0.999412, [472.10306], [1702.9199999999998], [127.16401], [22.873460105545906]]
[500.0, 100.0, 0.877447, [300.78364999999997], [3529.12], [183.784812], [18.339104481953314]]
[500.0, 200.0, 0.991116, [357.106878], [1702.9199999999998], [127.16401], [19.931758065960963]]
[500.0, 1500.0, 0.998754, [442.74149], [1702.9199999999998], [127.16401], [22.22055699571908]]
[500.0, 900.0, 0.999454, [474.99048], [1702.9199999999998], [127.16401], [22.959525787785775]]
[500.0, 1600.0, 0.998802, [636.84654], [3529.12], [183.784812], [26.60464392545031]]
[500.0, 500.0, 0.999843, [520.72046], [1702.9199999999998], [127.16401], [24.070301635002416]]
[500.0, 400.0, 0.999766, [506.37444], [1702.9199999999998], [127.16401], [23.73918680157347]]
