[200.0, 1800.0, 0.999999, [160.636259], [232.580215], [24.307993500000002], [7.409597584383379]]
[200.0, 700.0, 0.999999, [159.86313700000002], [232.580215], [24.307993500000002], [7.381793892916545]]
[200.0, 2000.0, 1.0, [163.7206375], [232.580215], [24.307993500000002], [7.488407666019525]]
[200.0, 1300.0, 0.999999, [162.0729145], [232.580215], [24.307993500000002], [7.460011030655384]]
[200.0, 1400.0, 1.0, [164.377605], [232.580215], [24.307993500000002], [7.494973672235281]]
[200.0, 400.0, 1.0, [162.483559], [232.580215], [24.307993500000002], [7.478912232403854]]
[200.0, 1900.0, 0.999995, [145.47507099999999], [232.580215], [24.307993500000002], [7.064893509813151]]
[200.0, 1700.0, 1.0, [169.6605155], [232.580215], [24.307993500000002], [7.633386959273059]]
[200.0, 500.0, 0.999999, [159.57553149999998], [232.580215], [24.307993500000002], [7.3921944695063315]]
[200.0, 1500.0, 1.0, [168.80828300000002], [232.580215], [24.307993500000002], [7.6027431899611075]]
[200.0, 100.0, 1.0, [168.6539085], [232.580215], [24.307993500000002], [7.603504641610999]]
[200.0, 600.0, 0.999998, [153.46920050000003], [232.580215], [24.307993500000002], [7.250738471355866]]
[200.0, 1000.0, 1.0, [177.10912800000003], [232.580215], [24.307993500000002], [7.804359536502658]]
[200.0, 1200.0, 1.0, [176.1230275], [232.580215], [24.307993500000002], [7.783611827101862]]
[200.0, 300.0, 0.999999, [161.41629], [232.580215], [24.307993500000002], [7.461470877112635]]
[200.0, 1600.0, 0.999999, [159.939136], [232.580215], [24.307993500000002], [7.4011008606828215]]
[200.0, 900.0, 1.0, [162.3352115], [232.580215], [24.307993500000002], [7.464180631187861]]
[200.0, 800.0, 1.0, [162.29878000000002], [232.580215], [24.307993500000002], [7.454630182141835]]
[200.0, 1100.0, 1.0, [173.63600799999998], [232.580215], [24.307993500000002], [7.719062008592755]]
[200.0, 200.0, 1.0, [164.9401005], [232.580215], [24.307993500000002], [7.520621300464477]]
[300.0, 2000.0, 0.999974, [51.5125975], [58.226357], [5.8080827], [2.5502534746569796]]
[300.0, 400.0, 0.999908, [47.0876525], [58.226357], [5.8080827], [2.4315956862212933]]
[300.0, 1000.0, 0.999983, [52.99105000000001], [58.226357], [5.8080827], [2.582625406442057]]
[300.0, 200.0, 0.999957, [49.754599999999996], [58.226357], [5.8080827], [2.503425297467452]]
[300.0, 1600.0, 0.999929, [47.98751299999999], [58.226357], [5.8080827], [2.461707527307011]]
[300.0, 1300.0, 0.999956, [49.686882000000004], [58.226357], [5.8080827], [2.5000182239335778]]
[300.0, 800.0, 0.999931, [48.1075875], [58.226357], [5.8080827], [2.46139905693896]]
[300.0, 700.0, 0.999957, [49.73262350000001], [58.226357], [5.8080827], [2.4960089698356454]]
[300.0, 300.0, 0.999969, [50.948093], [58.226357], [5.8080827], [2.5285115769954465]]
[300.0, 900.0, 0.999973, [51.430179499999994], [58.226357], [5.8080827], [2.5430586942695603]]
[300.0, 600.0, 0.999968, [50.7880345], [58.226357], [5.8080827], [2.520567811029888]]
[300.0, 1400.0, 0.999988, [54.0516305], [58.226357], [5.8080827], [2.6096376003192474]]
[300.0, 500.0, 0.999977, [51.8593215], [58.226357], [5.8080827], [2.5487454919038113]]
[300.0, 1200.0, 0.999968, [50.8285575], [58.226357], [5.8080827], [2.5319502448705427]]
[300.0, 100.0, 0.987164, [27.5988335], [58.226357], [5.8080827], [1.860713466724525]]
[300.0, 1100.0, 0.999887, [46.339692], [58.226357], [5.8080827], [2.4123480573395706]]
[300.0, 1900.0, 0.999951, [49.3172995], [58.226357], [5.8080827], [2.487728600551113]]
[300.0, 1500.0, 0.999976, [51.768989999999995], [58.226357], [5.8080827], [2.544307011250804]]
[300.0, 1700.0, 0.999806, [44.39988], [58.226357], [5.8080827], [2.3531882050741286]]
[300.0, 1800.0, 0.999956, [49.6679435], [58.226357], [5.8080827], [2.4927627308871574]]
[400.0, 900.0, 0.99492, [19.105585100000003], [20.9567463], [2.31092232], [1.0454110094838298]]
[400.0, 1200.0, 0.993168, [18.26716815], [20.9567463], [2.31092232], [1.021165760540374]]
[400.0, 1500.0, 0.99345, [22.8370037], [32.8722086], [3.67932425], [1.141850092065504]]
[400.0, 200.0, 0.995496, [19.443124049999998], [20.9567463], [2.31092232], [1.0544513669439668]]
[400.0, 1600.0, 0.989906, [17.148336450000002], [20.9567463], [2.31092232], [0.9933763607012198]]
[400.0, 500.0, 0.99165, [22.018176949999997], [32.8722086], [3.67932425], [1.122150282716179]]
[400.0, 1700.0, 0.994143, [18.7044123], [20.9567463], [2.31092232], [1.0343562263553114]]
[400.0, 300.0, 0.992151, [22.229075400000003], [32.8722086], [3.67932425], [1.129967517010998]]
[400.0, 1300.0, 0.993253, [18.3033963], [20.9567463], [2.31092232], [1.0231908105285152]]
[400.0, 1400.0, 0.993083, [18.2339682], [20.9567463], [2.31092232], [1.0241216863732552]]
[400.0, 1100.0, 0.993906, [18.59392955], [20.9567463], [2.31092232], [1.034593837092605]]
[400.0, 800.0, 0.99209, [17.8510773], [20.9567463], [2.31092232], [1.0138732314742314]]
[400.0, 100.0, 0.857882, [8.7529778], [20.9567463], [2.31092232], [0.7099603303882549]]
