[200.0, 1800.0, 0.298199, [492.16217400000005], [15190.0], [1274.0], [116.00373050897976]]
[200.0, 700.0, 0.249956, [1.636125876], [16.317], [2.7439999999999998], [0.944617724754305]]
[200.0, 2000.0, 0.30559, [32.8811364], [735.0], [78.4], [9.491965536810593]]
[200.0, 1300.0, 0.251622, [1.6481994759999998], [16.317], [2.7439999999999998], [0.951588175042124]]
[200.0, 1400.0, 0.279829, [6.8348287], [117.11], [15.19], [3.0566276979704283]]
[200.0, 400.0, 0.239596, [826.1876279999999], [30674.0], [2695.0], [213.3207669965585]]
[200.0, 1900.0, 0.288852, [713.6512879999999], [22099.0], [1911.0], [197.93127712415742]]
[200.0, 1700.0, 0.291746, [21.9803122], [409.64], [54.39], [7.771212772019563]]
[200.0, 500.0, 0.288323, [712.268508], [22099.0], [1911.0], [197.54777674274138]]
[200.0, 1500.0, 0.396767, [5.4785626], [44.099999999999994], [7.3500000000000005], [2.739282757767076]]
[200.0, 100.0, 0.258256, [43.87743220000001], [1332.8000000000002], [127.39999999999999], [10.969361117221004]]
[200.0, 600.0, 0.29105, [21.924167999999998], [409.64], [54.39], [7.751365740048654]]
[200.0, 1000.0, 0.198091, [4.12681479], [85.75000000000001], [13.23], [2.382617631094003]]
[200.0, 1200.0, 0.276721, [9.631729100000001], [186.69], [23.03], [3.6404510345560204]]
[200.0, 300.0, 0.225657, [551.850544], [22099.0], [1911.0], [174.51047969448712]]
[200.0, 1600.0, 0.234825, [383.57993799999997], [15190.0], [1274.0], [102.51605704473812]]
[200.0, 900.0, 0.238898, [823.688236], [30674.0], [2695.0], [212.6753542844116]]
[200.0, 800.0, 0.307623, [4.10882934], [44.099999999999994], [7.3500000000000005], [2.372234181736702]]
[200.0, 1100.0, 0.303219, [13.7261642], [255.29], [30.87], [4.340594964863688]]
[200.0, 200.0, 0.21881, [356.627292], [15190.0], [1274.0], [98.91059943201235]]
[300.0, 2000.0, 0.182449, [19.190967599999997], [735.0], [78.4], [4.40270930677918]]
[300.0, 400.0, 0.177363, [13.0589704], [409.64], [54.39], [3.6219081777427764]]
[300.0, 1000.0, 0.171058, [3.5243441100000004], [85.75000000000001], [13.23], [1.3320769638050198]]
[300.0, 200.0, 0.194898, [4.0307512700000006], [85.75000000000001], [13.23], [1.425085963512377]]
[300.0, 1600.0, 0.177971, [6.0615793], [186.69], [23.03], [1.7498276655145213]]
[300.0, 1300.0, 0.190027, [4.528424179999999], [117.11], [15.19], [1.509474645464441]]
[300.0, 800.0, 0.24599, [3.5262114999999996], [51.94], [8.33], [1.3327824355460272]]
[300.0, 700.0, 0.197631, [320.69402399999996], [15190.0], [1274.0], [56.6912339396489]]
[300.0, 300.0, 0.189943, [12.046846], [366.52000000000004], [46.06], [3.477623586876532]]
[300.0, 900.0, 0.151647, [291.731104], [16954.0], [1519.0], [54.17310229994217]]
[300.0, 600.0, 0.17701, [2.50187336], [51.94], [8.33], [1.1188717338908871]]
[300.0, 1400.0, 0.151095, [1.51193371], [31.653999999999996], [5.390000000000001], [0.8729154369124194]]
[300.0, 500.0, 0.209603, [5.0105587], [117.11], [15.19], [1.5844784744514517]]
[300.0, 1200.0, 0.178416, [2.52250873], [51.94], [8.33], [1.1281002585763378]]
[300.0, 100.0, 0.174694, [423.597356], [22099.0], [1911.0], [92.43649673153998]]
[300.0, 1100.0, 0.189445, [1.2055854160000001], [16.317], [2.7439999999999998], [0.49217824561433027]]
[300.0, 1900.0, 0.204013, [331.29184200000003], [15190.0], [1274.0], [57.670506233255836]]
[300.0, 1500.0, 0.161069, [310.113846], [16954.0], [1519.0], [55.69808252354833]]
[300.0, 1700.0, 0.219358, [13.968498599999998], [366.52000000000004], [46.06], [3.7332379366978476]]
[300.0, 1800.0, 0.177029, [2.50216344], [51.94], [8.33], [1.1190015540203686]]
[400.0, 900.0, 0.123132, [2.5169036200000003], [85.75000000000001], [13.23], [0.7588749137374353]]
[400.0, 1200.0, 0.09298, [178.104906], [16954.0], [1519.0], [28.519606346511868]]
[400.0, 1500.0, 0.124721, [200.96565999999999], [15190.0], [1274.0], [30.29670752870681]]
[400.0, 200.0, 0.115385, [1.14371292], [31.653999999999996], [5.390000000000001], [0.5114841945749644]]
[400.0, 1600.0, 0.090395, [1.84143225], [85.75000000000001], [13.23], [0.6510446178258444]]
[400.0, 500.0, 0.115394, [1.14380112], [31.653999999999996], [5.390000000000001], [0.5115236241856285]]
