[200.0, 1800.0, 0.331451, [5.1336644], [64.841554], [8.396747999999999], [1.8150242739423623]]
[200.0, 700.0, 0.403845, [6.399812099999999], [64.841554], [8.396747999999999], [2.023798478604033]]
[200.0, 2000.0, 0.34986, [2.5723338], [23.324299999999997], [2.33243], [0.9094571982781818]]
[200.0, 1300.0, 0.228159, [1.6117594999999998], [23.324299999999997], [2.33243], [0.7208006985290732]]
[200.0, 1400.0, 0.309866, [2.2457291999999995], [23.324299999999997], [2.33243], [0.8488057996385274]]
[200.0, 400.0, 0.351402, [2.5853495], [23.324299999999997], [2.33243], [0.9140589643179481]]
[200.0, 1900.0, 0.332607, [5.1535249], [64.841554], [8.396747999999999], [1.8220464415047164]]
[200.0, 1700.0, 0.21427, [3.2241514999999996], [64.841554], [8.396747999999999], [1.4418848404085534]]
[200.0, 500.0, 0.289491, [10.2870812], [200.58897999999996], [23.324299999999997], [3.6370324056846126]]
[200.0, 1500.0, 0.387696, [2.8930182], [23.324299999999997], [2.33243], [0.9643393553360766]]
[200.0, 100.0, 0.254375, [3.8616632], [64.841554], [8.396747999999999], [1.576516876217949]]
[200.0, 600.0, 0.254217, [3.8591009999999994], [64.841554], [8.396747999999999], [1.575471795367978]]
[200.0, 1000.0, 0.311614, [2.2599224999999996], [23.324299999999997], [2.33243], [0.8541703479107665]]
[200.0, 1200.0, 0.294827, [4.5210156999999995], [64.841554], [8.396747999999999], [1.7087832934576577]]
[200.0, 300.0, 0.351991, [2.5903186499999995], [23.324299999999997], [2.33243], [0.9158160580869936]]
[200.0, 1600.0, 0.213701, [3.2151377999999995], [64.841554], [8.396747999999999], [1.4378534205544042]]
[200.0, 900.0, 0.313112, [1.6101863], [9.796206], [1.3994579999999999], [1.6101864534891603]]
[200.0, 800.0, 0.349763, [2.5715127], [23.324299999999997], [2.33243], [0.909167046257177]]
[200.0, 1100.0, 0.350432, [2.57715805], [23.324299999999997], [2.33243], [0.9111628601682578]]
[200.0, 200.0, 0.388178, [2.89724675], [23.324299999999997], [2.33243], [0.9657488840273127]]
[300.0, 2000.0, 0.235725, [1.6593695], [23.324299999999997], [2.33243], [0.4434850910684597]]
[300.0, 400.0, 0.235198, [3.5363787999999996], [64.841554], [8.396747999999999], [0.9130889923769752]]
[300.0, 1000.0, 0.235737, [3.5448934], [64.841554], [8.396747999999999], [0.9152878825812127]]
[300.0, 200.0, 0.203259, [1.4189896], [23.324299999999997], [2.33243], [0.40962686832042644]]
[300.0, 1600.0, 0.251535, [1.7782702999999997], [23.324299999999997], [2.33243], [0.4591472032474988]]
[300.0, 1300.0, 0.235595, [3.5426439999999992], [64.841554], [8.396747999999999], [0.9147068481212983]]
[300.0, 800.0, 0.205587, [3.0738695], [64.841554], [8.396747999999999], [0.8525377457919384]]
[300.0, 700.0, 0.233999, [1.6464204999999998], [23.324299999999997], [2.33243], [0.4400243243276443]]
[300.0, 300.0, 0.218536, [1.53146535], [23.324299999999997], [2.33243], [0.42475199793526575]]
[300.0, 900.0, 0.20293, [1.41656885], [23.324299999999997], [2.33243], [0.40892826051766096]]
[300.0, 600.0, 0.310173, [2.2312621999999998], [23.324299999999997], [2.33243], [0.5118866896101127]]
[300.0, 1400.0, 0.250924, [3.7849766], [64.841554], [8.396747999999999], [0.9462444308951043]]
[300.0, 500.0, 0.310556, [2.2343016499999995], [23.324299999999997], [2.33243], [0.5125839104478407]]
[300.0, 1200.0, 0.219584, [1.5392451], [23.324299999999997], [2.33243], [0.42690983327864446]]
[300.0, 100.0, 0.219494, [1.5385758], [23.324299999999997], [2.33243], [0.42672423208671895]]
[300.0, 1100.0, 0.308552, [4.7157268], [64.841554], [8.396747999999999], [1.0544683556181285]]
[300.0, 1900.0, 0.204885, [3.0629628999999996], [64.841554], [8.396747999999999], [0.8495133365639411]]
[300.0, 1500.0, 0.204188, [3.0521391], [64.841554], [8.396747999999999], [0.8465112426896645]]
[300.0, 1700.0, 0.277811, [4.2149846], [64.841554], [8.396747999999999], [0.9934812660538697]]
[300.0, 1800.0, 0.324976, [2.3489693000000003], [23.324299999999997], [2.33243], [0.5252456777547055]]
[400.0, 900.0, 0.21579, [7.5180238], [200.58897999999996], [23.324299999999997], [1.2707778702826076]]
[400.0, 1200.0, 0.228763, [3.4297554], [64.841554], [8.396747999999999], [0.6063005478308592]]
[400.0, 1500.0, 0.271923, [1.92949415], [23.324299999999997], [2.33243], [0.32158227905156705]]
[400.0, 200.0, 0.249637, [3.7579148], [64.841554], [8.396747999999999], [0.6352035384032428]]
[400.0, 1600.0, 0.244285, [3.6734703], [64.841554], [8.396747999999999], [0.6299947713275087]]
[400.0, 500.0, 0.201517, [3.0065646], [64.841554], [8.396747999999999], [0.5681871512098807]]
[400.0, 1700.0, 0.249697, [3.7588600999999997], [64.841554], [8.396747999999999], [0.6353632501176001]]
[400.0, 300.0, 0.193827, [1.3480690999999998], [23.324299999999997], [2.33243], [0.2696138640723062]]
[400.0, 1300.0, 0.208492, [3.1143793999999994], [64.841554], [8.396747999999999], [0.5783256128687367]]
[400.0, 1400.0, 0.237322, [3.5639167], [64.841554], [8.396747999999999], [0.6203983437276408]]
[400.0, 1100.0, 0.209042, [1.45913035], [23.324299999999997], [2.33243], [0.2808098201185279]]
[400.0, 800.0, 0.318275, [4.865270499999999], [64.841554], [8.396747999999999], [0.7252717683048195]]
[400.0, 100.0, 0.216383, [1.51307455], [23.324299999999997], [2.33243], [0.28594404859167816]]
[400.0, 1000.0, 0.251405, [3.7859172999999995], [64.841554], [8.396747999999999], [0.6399369238448427]]
[400.0, 400.0, 0.287453, [2.04885495], [23.324299999999997], [2.33243], [0.3323681448334061]]
[400.0, 1800.0, 0.277171, [4.1965616], [64.841554], [8.396747999999999], [0.6719877373881162]]
[400.0, 2000.0, 0.259629, [1.8359899499999999], [23.324299999999997], [2.33243], [0.31486957998511067]]
[400.0, 600.0, 0.259257, [1.8331655499999997], [23.324299999999997], [2.33243], [0.3143852239689391]]
[400.0, 700.0, 0.295241, [2.10923685], [23.324299999999997], [2.33243], [0.3377481477003242]]
[400.0, 1900.0, 0.243491, [3.6609306999999998], [64.841554], [8.396747999999999], [0.6278445195269287]]
[500.0, 1700.0, 0.211174, [1.4738101], [23.324299999999997], [2.33243], [0.2024434470413898]]
[500.0, 1100.0, 0.18721, [2.7849986999999996], [64.841554], [8.396747999999999], [0.3938583960003899]]
[500.0, 300.0, 0.232931, [3.4926903], [64.841554], [8.396747999999999], [0.44003754839786113]]
[500.0, 1300.0, 0.139214, [2.0565794999999993], [64.841554], [8.396747999999999], [0.33809960884331114]]
[500.0, 1800.0, 0.156453, [1.0786857399999998], [23.324299999999997], [2.33243], [0.1727279327439543]]
[500.0, 1400.0, 0.189666, [2.8226313], [64.841554], [8.396747999999999], [0.3952473544503492]]
[500.0, 600.0, 0.183567, [2.7292305999999997], [64.841554], [8.396747999999999], [0.3898901631228979]]
[500.0, 1900.0, 0.16513, [1.140580465], [23.324299999999997], [2.33243], [0.17812872648733555]]
[500.0, 1200.0, 0.157241, [1.084296705], [23.324299999999997], [2.33243], [0.173626427207957]]
[500.0, 800.0, 0.170059, [2.5231667], [64.841554], [8.396747999999999], [0.3761313704013532]]
[500.0, 1000.0, 0.164482, [2.4383932999999995], [64.841554], [8.396747999999999], [0.3676018126995567]]
[500.0, 2000.0, 0.185112, [1.2841635999999998], [23.324299999999997], [2.33243], [0.18933963352927458]]
[500.0, 700.0, 0.183769, [1.27445645], [23.324299999999997], [2.33243], [0.18790831088592116]]
[500.0, 100.0, 0.153814, [1.05992096], [23.324299999999997], [2.33243], [0.1719418837863538]]
[500.0, 200.0, 0.184183, [2.7386606], [64.841554], [8.396747999999999], [0.39123709870103063]]
[500.0, 1500.0, 0.234223, [3.5129349], [64.841554], [8.396747999999999], [0.44258837309626653]]
[500.0, 900.0, 0.226028, [3.3848616999999996], [64.841554], [8.396747999999999], [0.43338701711057287]]
[500.0, 1600.0, 0.201257, [3.0008467999999997], [64.841554], [8.396747999999999], [0.4083636236248277]]
[500.0, 500.0, 0.183356, [2.7259922], [64.841554], [8.396747999999999], [0.3894275616850969]]
[500.0, 400.0, 0.194286, [2.8935655999999996], [64.841554], [8.396747999999999], [0.401265503999534]]
[600.0, 200.0, 0.111268, [1.6378074599999999], [64.841554], [8.396747999999999], [0.22497018253537512]]
[600.0, 1400.0, 0.145329, [2.1482552], [64.841554], [8.396747999999999], [0.25861953155165984]]
[600.0, 1900.0, 0.150369, [2.2242679], [64.841554], [8.396747999999999], [0.2621325044705444]]
[600.0, 100.0, 0.144324, [2.1331039499999997], [64.841554], [8.396747999999999], [0.25679548925166107]]
[600.0, 800.0, 0.144602, [2.13728719], [64.841554], [8.396747999999999], [0.2572991814988924]]
[600.0, 1200.0, 0.146413, [2.1645858899999997], [64.841554], [8.396747999999999], [0.2587174912911765]]
[600.0, 600.0, 0.142598, [2.1071026799999997], [64.841554], [8.396747999999999], [0.255523685790574]]
[600.0, 1600.0, 0.141662, [2.0930126499999995], [64.841554], [8.396747999999999], [0.2538149782814245]]
[600.0, 400.0, 0.126283, [1.8621499199999998], [64.841554], [8.396747999999999], [0.24040248709195997]]
[600.0, 500.0, 0.121721, [0.8333822299999999], [23.324299999999997], [2.33243], [0.11340894542539401]]
[600.0, 1100.0, 0.134738, [0.9247675549999999], [23.324299999999997], [2.33243], [0.11938700505080105]]
[600.0, 300.0, 0.135117, [1.9946195699999998], [64.841554], [8.396747999999999], [0.24740207416268764]]
[600.0, 1700.0, 0.115509, [1.70105861], [64.841554], [8.396747999999999], [0.2293706985863713]]
[600.0, 1500.0, 0.137134, [0.941649785], [23.324299999999997], [2.33243], [0.12056591444102267]]
[600.0, 1800.0, 0.114974, [0.7862226849999999], [23.324299999999997], [2.33243], [0.11009320052800717]]
[600.0, 1000.0, 0.111331, [0.760812285], [23.324299999999997], [2.33243], [0.10868747282920879]]
[600.0, 2000.0, 0.133519, [1.9706186099999998], [64.841554], [8.396747999999999], [0.24632742295570742]]
[600.0, 700.0, 0.130277, [1.9219853399999998], [64.841554], [8.396747999999999], [0.24409242368414472]]
[600.0, 1300.0, 0.138122, [2.0397685699999997], [64.841554], [8.396747999999999], [0.2510781597431365]]
[600.0, 900.0, 0.135866, [0.9327192299999999], [23.324299999999997], [2.33243], [0.12041351211554288]]
[700.0, 2000.0, 0.081032, [1.18883297], [64.841554], [8.396747999999999], [0.14633521127876228]]
[700.0, 100.0, 0.098963, [1.45457842], [64.841554], [8.396747999999999], [0.1626268018193803]]
[700.0, 1000.0, 0.09205, [1.35198899], [64.841554], [8.396747999999999], [0.15611423452075085]]
[700.0, 600.0, 0.092503, [0.630041185], [23.324299999999997], [2.33243], [0.07530431471702004]]
