[200.0, 1800.0, 0.627829, [74.86593333333333], [793.31], [78.43589999999999], [4.172114771511765]]
[200.0, 700.0, 0.577915, [171.82104999999999], [1626.9325000000001], [209.49545], [10.93271180906183]]
[200.0, 2000.0, 0.66107, [2269.4916603004854], [31836.045], [2344.6115], [317.7925047194028]]
[200.0, 1300.0, 0.641733, [77.08413333333333], [793.31], [78.43589999999999], [4.243342825336333]]
[200.0, 1400.0, 0.620355, [73.69525], [793.31], [78.43589999999999], [4.1391373900045085]]
[200.0, 400.0, 0.604974, [254.31975000000003], [4299.869], [290.9889], [13.366745116145516]]
[200.0, 1900.0, 0.597843, [70.254125], [793.31], [78.43589999999999], [4.049380954060893]]
[200.0, 1700.0, 0.59986, [70.55753333333332], [793.31], [78.43589999999999], [4.060129650365586]]
[200.0, 500.0, 0.628741, [75.00996666666667], [793.31], [78.43589999999999], [4.180141544652924]]
[200.0, 1500.0, 0.627089, [190.77147499999998], [1626.9325000000001], [209.49545], [11.546016629123654]]
[200.0, 100.0, 0.622361, [188.88565], [1626.9325000000001], [209.49545], [11.495213677874805]]
[200.0, 600.0, 0.644929, [77.6015], [793.31], [78.43589999999999], [4.252536008078003]]
[200.0, 1000.0, 0.651078, [78.60599166666668], [793.31], [78.43589999999999], [4.288308556736301]]
[200.0, 1200.0, 0.589656, [69.03206666666667], [793.31], [78.43589999999999], [4.019202173455711]]
[200.0, 300.0, 0.614612, [185.82722500000003], [1626.9325000000001], [209.49545], [11.436875666019981]]
[200.0, 1600.0, 0.594706, [248.82375000000002], [4299.869], [290.9889], [13.187631515931889]]
[200.0, 900.0, 0.672416, [82.18202500000001], [793.31], [78.43589999999999], [4.3803174035171875]]
[200.0, 800.0, 0.621665, [263.44025], [4299.869], [290.9889], [13.567864146578119]]
[200.0, 1100.0, 0.625093, [2362.915393430101], [31473.52], [2636.7205], [324.57138946665566]]
[200.0, 200.0, 0.596028, [69.9818], [793.31], [78.43589999999999], [4.04040100457588]]
[300.0, 2000.0, 0.60206, [69.8275], [773.8245000000001], [77.21495], [4.241718401780108]]
[300.0, 400.0, 0.603197, [38.8232875], [316.11505], [41.70535], [2.230339450061358]]
