[200.0, 1800.0, 0.212045, [76.16796], [5130.0], [273.72431386341987], [7.984570871374365]]
[200.0, 700.0, 0.204931, [25.877499999999998], [1611.0], [91.00686787270509], [2.683371945891959]]
[200.0, 2000.0, 0.194214, [69.62076], [5130.0], [273.72431386341987], [7.641871563956045]]
[200.0, 1300.0, 0.221523, [28.0306], [1611.0], [91.00686787270509], [2.8030599351423082]]
[200.0, 1400.0, 0.205197, [73.64877], [5130.0], [273.72431386341987], [7.850983377896046]]
[200.0, 400.0, 0.22039, [79.24655999999999], [5130.0], [273.72431386341987], [8.173660073675686]]
[200.0, 1900.0, 0.221952, [79.82364], [5130.0], [273.72431386341987], [8.189731314273992]]
[200.0, 1700.0, 0.215332, [77.37966], [5130.0], [273.72431386341987], [8.067386565672926]]
[200.0, 500.0, 0.241874, [87.21654], [5130.0], [273.72431386341987], [8.552286536359734]]
[200.0, 1500.0, 0.197187, [24.87716], [1611.0], [91.00686787270509], [2.6369736441610483]]
[200.0, 100.0, 0.228562, [82.27019999999999], [5130.0], [273.72431386341987], [8.31054420600721]]
[200.0, 600.0, 0.199441, [25.168049999999997], [1611.0], [91.00686787270509], [2.652945909738832]]
[200.0, 1000.0, 0.208882, [26.389160000000004], [1611.0], [91.00686787270509], [2.7218335731635026]]
[200.0, 1200.0, 0.211102, [26.6768], [1611.0], [91.00686787270509], [2.7369819144451797]]
[200.0, 300.0, 0.218515, [78.55425], [5130.0], [273.72431386341987], [8.145695550411885]]
[200.0, 1600.0, 0.244155, [88.06683], [5130.0], [273.72431386341987], [8.59444186669501]]
[200.0, 900.0, 0.222016, [79.84731000000001], [5130.0], [273.72431386341987], [8.192162351906852]]
[200.0, 800.0, 0.241851, [87.20781000000001], [5130.0], [273.72431386341987], [8.55143040666297]]
[200.0, 1100.0, 0.206276, [26.0517], [1611.0], [91.00686787270509], [2.701435914472153]]
[200.0, 200.0, 0.182945, [65.50296], [5130.0], [273.72431386341987], [7.416750568813811]]
[300.0, 2000.0, 0.121554, [43.28790000000001], [5130.0], [273.72431386341987], [3.65849477244399]]
[300.0, 400.0, 0.133728, [47.66423999999999], [5130.0], [273.72431386341987], [3.8284831199836837]]
[300.0, 1000.0, 0.117344, [14.69333], [1611.0], [91.00686787270509], [1.2287180311202404]]
[300.0, 200.0, 0.1215, [15.21814], [1611.0], [91.00686787270509], [1.2509236587418116]]
[300.0, 1600.0, 0.149463, [18.76203], [1611.0], [91.00686787270509], [1.3907343383982433]]
[300.0, 1300.0, 0.116457, [14.581320000000002], [1611.0], [91.00686787270509], [1.2236372011343886]]
[300.0, 800.0, 0.120662, [15.11233], [1611.0], [91.00686787270509], [1.2464441423505508]]
