[200.0, 1800.0, 0.48509, [1271.1013560000001], [22099.0], [1911.0], [366.93534754776624]]
[200.0, 700.0, 0.576295, [100.706074], [1381.8], [117.60000000000001], [23.103563912955074]]
[200.0, 2000.0, 0.564406, [58.1972412], [499.79999999999995], [68.60000000000001], [17.547129194258527]]
[200.0, 1300.0, 0.583526, [1593.2792960000002], [22099.0], [1911.0], [411.3829427674415]]
[200.0, 1400.0, 0.583482, [1593.119752], [22099.0], [1911.0], [411.3416655968612]]
[200.0, 400.0, 0.520759, [42.6763638], [409.64], [54.39], [15.088375473854034]]
[200.0, 1900.0, 0.520028, [1380.9203519999999], [22099.0], [1911.0], [382.9984439446197]]
[200.0, 1700.0, 0.459242, [31.7084292], [366.52000000000004], [46.06], [12.944909734718124]]
[200.0, 500.0, 0.458631, [791.817166], [15190.0], [1274.0], [204.44632132665043]]
[200.0, 1500.0, 0.468169, [53.112913], [735.0], [78.4], [16.79577911143154]]
[200.0, 100.0, 0.45917, [792.899184], [15190.0], [1274.0], [204.7257295016921]]
[200.0, 600.0, 0.495301, [13.2823075], [117.11], [15.19], [5.940028915754536]]
[200.0, 1000.0, 0.446153, [5.2958857], [31.653999999999996], [5.390000000000001], [3.744756195802338]]
[200.0, 1200.0, 0.485547, [845.950014], [15190.0], [1274.0], [211.48751943318075]]
[200.0, 300.0, 0.419075, [849.9006880000001], [16954.0], [1519.0], [212.47521003637107]]
[200.0, 1600.0, 0.444688, [908.741652], [16954.0], [1519.0], [220.40223966194173]]
[200.0, 900.0, 0.597926, [10.599508499999999], [51.94], [8.33], [5.299754919805255]]
[200.0, 800.0, 0.552182, [1486.1366799999998], [22099.0], [1911.0], [397.18668559759146]]
[200.0, 1100.0, 0.561634, [1008.27104], [15190.0], [1274.0], [231.3133009923986]]
[200.0, 200.0, 0.433903, [686.917378], [13132.0], [1176.0], [190.51658739332908]]
[300.0, 2000.0, 0.249856, [11.1675753], [255.29], [30.87], [3.2238019435132794]]
[300.0, 400.0, 0.345078, [12.162976], [186.69], [23.03], [3.373403211743298]]
[300.0, 1000.0, 0.31671, [4.65746568], [51.94], [8.33], [2.082882164933965]]
