[200.0, 1800.0, 0.587392, [4.9719951], [23.324299999999997], [2.33243], [1.7578659405654344]]
[200.0, 700.0, 0.533016, [4.353835599999999], [23.324299999999997], [2.33243], [1.6455949501624025]]
[200.0, 2000.0, 0.622427, [11.175166399999998], [64.841554], [8.396747999999999], [3.7250557445493344]]
[200.0, 1300.0, 0.65581, [27.4217454], [200.58897999999996], [23.324299999999997], [8.26796736810203]]
[200.0, 1400.0, 0.58845, [4.985271849999999], [23.324299999999997], [2.33243], [1.7625594968681197]]
[200.0, 400.0, 0.590249, [5.00794065], [23.324299999999997], [2.33243], [1.770574672952259]]
[200.0, 1900.0, 0.712558, [13.711652399999998], [64.841554], [8.396747999999999], [4.134218490839593]]
[200.0, 1700.0, 0.621958, [11.162661299999998], [64.841554], [8.396747999999999], [3.7208875110650688]]
[200.0, 500.0, 0.471428, [3.7166930500000004], [23.324299999999997], [2.33243], [1.5173333763547152]]
[200.0, 1500.0, 0.624058, [11.2187468], [64.841554], [8.396747999999999], [3.7395828657752723]]
[200.0, 100.0, 0.720429, [6.823248999999999], [23.324299999999997], [2.33243], [2.0572870029483004]]
[200.0, 600.0, 0.403923, [14.962926], [200.58897999999996], [23.324299999999997], [6.108588701164942]]
[200.0, 1000.0, 0.587364, [4.9716478], [23.324299999999997], [2.33243], [1.7577429298677325]]
[200.0, 1200.0, 0.586713, [4.9634827999999995], [23.324299999999997], [2.33243], [1.7548562904124085]]
[200.0, 300.0, 0.407968, [3.1166644499999996], [23.324299999999997], [2.33243], [1.3938147070181173]]
[200.0, 1600.0, 0.475999, [3.7636958499999995], [23.324299999999997], [2.33243], [1.5365226560321197]]
[200.0, 900.0, 0.587654, [4.975278349999999], [23.324299999999997], [2.33243], [1.7590267827693813]]
[200.0, 800.0, 0.516412, [8.7196749], [64.841554], [8.396747999999999], [3.2957282579120504]]
[200.0, 1100.0, 0.455394, [7.472688499999999], [64.841554], [8.396747999999999], [3.0507122315944515]]
[200.0, 200.0, 0.781746, [16.121527999999998], [64.841554], [8.396747999999999], [4.471307071763244]]
[300.0, 2000.0, 0.318482, [11.357501199999998], [200.58897999999996], [23.324299999999997], [3.1500042952351666]]
[300.0, 400.0, 0.463215, [7.465813799999999], [64.841554], [8.396747999999999], [1.8107261813979494]]
[300.0, 1000.0, 0.383362, [2.84200535], [23.324299999999997], [2.33243], [0.7882303353081508]]
[300.0, 200.0, 0.461767, [7.4379677], [64.841554], [8.396747999999999], [1.8039724174720633]]
[300.0, 1600.0, 0.332242, [2.4171527999999993], [23.324299999999997], [2.33243], [0.7287990151612445]]
[300.0, 1300.0, 0.415511, [6.580605899999999], [64.841554], [8.396747999999999], [1.6991052883797402]]
[300.0, 800.0, 0.364197, [5.6729430999999995], [64.841554], [8.396747999999999], [1.5733909825596433]]
[300.0, 700.0, 0.434335, [3.2886400499999997], [23.324299999999997], [2.33243], [0.8491233530824599]]
[300.0, 300.0, 0.482391, [3.7349136499999998], [23.324299999999997], [2.33243], [0.9058496784787198]]
[300.0, 900.0, 0.448641, [16.591680199999995], [200.58897999999996], [23.324299999999997], [3.806392572502211]]
[300.0, 600.0, 0.544661, [4.35764555], [23.324299999999997], [2.33243], [0.9743991463974093]]
[300.0, 1400.0, 0.313746, [4.818217099999999], [64.841554], [8.396747999999999], [1.4527472577843676]]
[300.0, 500.0, 0.3585, [2.6328191999999997], [23.324299999999997], [2.33243], [0.7600293361114425]]
[300.0, 1200.0, 0.363647, [5.6633383], [64.841554], [8.396747999999999], [1.5707272379378923]]
[300.0, 100.0, 0.382374, [2.83350455], [23.324299999999997], [2.33243], [0.7858726754379489]]
[300.0, 1100.0, 0.275894, [1.9705663999999998], [23.324299999999997], [2.33243], [0.6568552962791728]]
[300.0, 1900.0, 0.364711, [5.681906199999999], [64.841554], [8.396747999999999], [1.5758771884255447]]
[300.0, 1500.0, 0.339427, [5.2491612], [64.841554], [8.396747999999999], [1.5153024213007777]]
[300.0, 1700.0, 0.406269, [3.0393649], [23.324299999999997], [2.33243], [0.8123043539831606]]
[300.0, 1800.0, 0.504794, [8.2758416], [64.841554], [8.396747999999999], [1.8986085549686116]]
