[200.0, 1800.0, 0.348543, [128.08293], [5130.0], [273.72431386341987], [14.410455579196654]]
[200.0, 700.0, 0.340543, [124.93614], [5130.0], [273.72431386341987], [14.23779266599988]]
[200.0, 2000.0, 0.411149, [53.98632], [1611.0], [91.00686787270509], [5.398631308026138]]
[200.0, 1300.0, 0.402048, [149.57316], [5130.0], [273.72431386341987], [15.594079645814304]]
[200.0, 1400.0, 0.337001, [123.54804], [5130.0], [273.72431386341987], [14.171931413889922]]
[200.0, 400.0, 0.367336, [135.54102], [5130.0], [273.72431386341987], [14.87755927563389]]
[200.0, 1900.0, 0.367151, [47.692699999999995], [1611.0], [91.00686787270509], [5.084059401698608]]
[200.0, 1700.0, 0.368223, [135.89328], [5130.0], [273.72431386341987], [14.827170330174265]]
[200.0, 500.0, 0.403785, [150.28368], [5130.0], [273.72431386341987], [15.583690512840661]]
[200.0, 1500.0, 0.408867, [53.654880000000006], [1611.0], [91.00686787270509], [5.392517964735955]]
[200.0, 100.0, 0.38841, [144.01641], [5130.0], [273.72431386341987], [15.265708630784227]]
[200.0, 600.0, 0.386203, [143.12364], [5130.0], [273.72431386341987], [15.257030838272563]]
[200.0, 1000.0, 0.38507, [142.66466999999997], [5130.0], [273.72431386341987], [15.208103432052269]]
[200.0, 1200.0, 0.33148, [121.38951], [5130.0], [273.72431386341987], [14.01685271378707]]
[200.0, 300.0, 0.423748, [55.82895], [1611.0], [91.00686787270509], [5.500989910916034]]
[200.0, 1600.0, 0.347412, [127.63839], [5130.0], [273.72431386341987], [14.452202254327885]]
[200.0, 900.0, 0.361049, [133.03464], [5130.0], [273.72431386341987], [14.691217784785577]]
[200.0, 800.0, 0.381829, [141.35628], [5130.0], [273.72431386341987], [15.15498333882291]]
[200.0, 1100.0, 0.425341, [159.20073000000002], [5130.0], [273.72431386341987], [16.08170140252579]]
[200.0, 200.0, 0.396234, [147.19656], [5130.0], [273.72431386341987], [15.43039144027137]]
[300.0, 2000.0, 0.208987, [26.399549999999998], [1611.0], [91.00686787270509], [2.239180207129386]]
[300.0, 400.0, 0.220373, [27.87747], [1611.0], [91.00686787270509], [2.307155608102757]]
[300.0, 1000.0, 0.211208, [75.85016999999999], [5130.0], [273.72431386341987], [6.57704348472777]]
[300.0, 200.0, 0.257444, [93.02217], [5130.0], [273.72431386341987], [7.286058193563925]]
[300.0, 1600.0, 0.242467, [30.76376], [1611.0], [91.00686787270509], [2.4245242832357854]]
[300.0, 1300.0, 0.228934, [28.992820000000005], [1611.0], [91.00686787270509], [2.351627946763688]]
[300.0, 800.0, 0.244614, [88.22469000000001], [5130.0], [273.72431386341987], [7.086377212652456]]
[300.0, 700.0, 0.240482, [30.503330000000002], [1611.0], [91.00686787270509], [2.4115001555048674]]
[300.0, 300.0, 0.273732, [99.15192], [5130.0], [273.72431386341987], [7.5383815902354]]
[300.0, 900.0, 0.237097, [85.42629], [5130.0], [273.72431386341987], [6.975025806403873]]
[300.0, 600.0, 0.215146, [77.30085], [5130.0], [273.72431386341987], [6.628492362521058]]
[300.0, 1400.0, 0.251827, [31.99449], [1611.0], [91.00686787270509], [2.468428447413455]]
[300.0, 500.0, 0.248993, [89.85924], [5130.0], [273.72431386341987], [7.171549414178222]]
[300.0, 1200.0, 0.227391, [81.82482], [5130.0], [273.72431386341987], [6.8187347066739585]]
[300.0, 100.0, 0.182651, [65.38856999999999], [5130.0], [273.72431386341987], [6.0975145756283355]]
[300.0, 1100.0, 0.237267, [30.082069999999998], [1611.0], [91.00686787270509], [2.3932007855589554]]
[300.0, 1900.0, 0.243458, [87.79400999999999], [5130.0], [273.72431386341987], [7.074642464464193]]
[300.0, 1500.0, 0.252819, [91.28975999999999], [5130.0], [273.72431386341987], [7.217089718162024]]
[300.0, 1700.0, 0.226657, [81.55314], [5130.0], [273.72431386341987], [6.796094613820499]]
[300.0, 1800.0, 0.231953, [83.51594999999999], [5130.0], [273.72431386341987], [6.888278957765865]]
[400.0, 900.0, 0.150483, [18.89146], [1611.0], [91.00686787270509], [1.2707769277099739]]
[400.0, 1200.0, 0.164224, [58.68018000000001], [5130.0], [273.72431386341987], [3.8776958364472063]]
[400.0, 1500.0, 0.175059, [22.02767], [1611.0], [91.00686787270509], [1.3713828787030995]]
[400.0, 200.0, 0.162767, [58.15194], [5130.0], [273.72431386341987], [3.8512066940116316]]
[400.0, 1600.0, 0.168721, [21.21681], [1611.0], [91.00686787270509], [1.3445608948649368]]
[400.0, 500.0, 0.179956, [64.39821], [5130.0], [273.72431386341987], [4.056706669208411]]
[400.0, 1700.0, 0.170083, [21.390909999999998], [1611.0], [91.00686787270509], [1.3475006493504929]]
[400.0, 300.0, 0.148563, [18.647380000000002], [1611.0], [91.00686787270509], [1.2572060292569391]]
[400.0, 1300.0, 0.168942, [60.39231], [5130.0], [273.72431386341987], [3.9312043956019385]]
[400.0, 1400.0, 0.165653, [20.82476], [1611.0], [91.00686787270509], [1.3359090537907137]]
[400.0, 1100.0, 0.156842, [19.70094], [1611.0], [91.00686787270509], [1.2962268320012513]]
[400.0, 800.0, 0.162456, [58.03944], [5130.0], [273.72431386341987], [3.8522126109549046]]
[400.0, 100.0, 0.107422, [13.44197], [1611.0], [91.00686787270509], [1.072786558454197]]
[400.0, 1000.0, 0.161219, [57.59082], [5130.0], [273.72431386341987], [3.839387060456395]]
[400.0, 400.0, 0.159546, [56.984730000000006], [5130.0], [273.72431386341987], [3.8159787735258694]]
[400.0, 1800.0, 0.163177, [58.30071], [5130.0], [273.72431386341987], [3.8610594401019003]]
[400.0, 2000.0, 0.171958, [21.630679999999998], [1611.0], [91.00686787270509], [1.3599095558161212]]
[400.0, 600.0, 0.16417, [58.660529999999994], [5130.0], [273.72431386341987], [3.8763958776162166]]
[400.0, 700.0, 0.165665, [20.826320000000003], [1611.0], [91.00686787270509], [1.3332681650740785]]
[400.0, 1900.0, 0.15827, [19.88294], [1611.0], [91.00686787270509], [1.2997884443246908]]
[500.0, 1700.0, 0.115018, [40.941], [5130.0], [273.72431386341987], [2.3215499563868964]]
[500.0, 1100.0, 0.120549, [15.097369999999998], [1611.0], [91.00686787270509], [0.809304269110203]]
[500.0, 300.0, 0.112566, [40.062059999999995], [5130.0], [273.72431386341987], [2.286463142060243]]
[500.0, 1300.0, 0.127104, [15.92587], [1611.0], [91.00686787270509], [0.83245846743246]]
[500.0, 1800.0, 0.121832, [15.25945], [1611.0], [91.00686787270509], [0.8156518865300318]]
[500.0, 1400.0, 0.127504, [15.976389999999999], [1611.0], [91.00686787270509], [0.8362424887555046]]
[500.0, 600.0, 0.124694, [15.621060000000002], [1611.0], [91.00686787270509], [0.8255985707351969]]
[500.0, 1900.0, 0.131094, [16.43076], [1611.0], [91.00686787270509], [0.8473516389315595]]
[500.0, 1200.0, 0.125928, [15.777070000000002], [1611.0], [91.00686787270509], [0.8269432870517783]]
[500.0, 800.0, 0.123039, [15.41197], [1611.0], [91.00686787270509], [0.8179822125205414]]
[500.0, 1000.0, 0.110485, [13.82747], [1611.0], [91.00686787270509], [0.7754058292275084]]
[500.0, 2000.0, 0.114513, [14.335480000000002], [1611.0], [91.00686787270509], [0.7903403064503289]]
[500.0, 700.0, 0.116625, [14.60196], [1611.0], [91.00686787270509], [0.7942419026971568]]
[500.0, 100.0, 0.074043, [26.299250999999998], [5130.0], [273.72431386341987], [1.8458456598534991]]
[500.0, 200.0, 0.108837, [13.619850000000001], [1611.0], [91.00686787270509], [0.7698395287330991]]
[500.0, 1500.0, 0.133943, [16.791510000000002], [1611.0], [91.00686787270509], [0.856888382462967]]
[500.0, 900.0, 0.116169, [41.35383], [5130.0], [273.72431386341987], [2.322662114901778]]
[500.0, 1600.0, 0.117812, [14.751729999999998], [1611.0], [91.00686787270509], [0.8012039066305157]]
[500.0, 500.0, 0.125403, [15.71072], [1611.0], [91.00686787270509], [0.8314994888753692]]
[500.0, 400.0, 0.116515, [14.58812], [1611.0], [91.00686787270509], [0.7970342527143986]]
[600.0, 200.0, 0.072852, [9.098658], [1611.0], [91.00686787270509], [0.46736666547797345]]
[600.0, 1400.0, 0.096499, [12.06658], [1611.0], [91.00686787270509], [0.5380223043703672]]
