[100.0, 1800.0, 0.081546, [1.91784626], [110.09069599999998], [15.394037999999998], [1.9178464182514718]]
[100.0, 800.0, 0.029257, [3.8769867199999997], [634.4209599999999], [102.62691999999998], [2.7414437807841323]]
[100.0, 500.0, 0.041701, [1.9247623599999997], [254.23487], [33.120506], [1.3610125185316995]]
[100.0, 1100.0, 0.047668, [0.48002955], [32.18753399999999], [5.5978319999999995], [0.4800295611730594]]
[100.0, 600.0, 0.094243, [0.95771954], [32.18753399999999], [5.5978319999999995], [0.9577195581170929]]
[100.0, 1400.0, 0.094486, [0.96023758], [32.18753399999999], [5.5978319999999995], [0.9602374669840787]]
[100.0, 1700.0, 0.081923, [1.92679878], [110.09069599999998], [15.394037999999998], [1.926798832260389]]
[100.0, 100.0, 0.094788, [0.96337409], [32.18753399999999], [5.5978319999999995], [0.9633741573241416]]
[100.0, 1200.0, 0.028085, [0.9619312999999999], [200.58897999999996], [23.324299999999997], [0.6801882048374552]]
[100.0, 1000.0, 0.083552, [3.8673621399999996], [254.23487], [33.120506], [2.7346382919867116]]
[100.0, 2000.0, 0.184843, [1.9187002499999997], [32.18753399999999], [5.5978319999999995], [1.3567259214741936]]
[100.0, 400.0, 0.04119, [0.96483528], [110.09069599999998], [15.394037999999998], [0.9648352787911518]]
[100.0, 1600.0, 0.026271, [0.38421177999999995], [64.841554], [8.396747999999999], [0.27167878054791106]]
[100.0, 1300.0, 0.056026, [1.92259024], [200.58897999999996], [23.324299999999997], [1.3594768277539708]]
[100.0, 1500.0, 0.056177, [1.9278024999999999], [200.58897999999996], [23.324299999999997], [1.11301722053165]]
[100.0, 900.0, 0.05483, [0.24056550999999995], [9.796206], [1.3994579999999999], [0.2405654321593192]]
[100.0, 1900.0, 0.094412, [0.9594696099999999], [32.18753399999999], [5.5978319999999995], [0.5539500222944304]]
[100.0, 200.0, 0.063599, [0.6423738999999999], [32.18753399999999], [5.5978319999999995], [0.45422688295608393]]
[100.0, 700.0, 0.041317, [1.9070426999999996], [254.23487], [33.120506], [1.9070426109555076]]
[100.0, 300.0, 0.041734, [1.9263139399999998], [254.23487], [33.120506], [1.9263139183424904]]
[200.0, 1800.0, 0.011467, [0.392399826], [200.58897999999996], [23.324299999999997], [0.19619994933740423]]
[200.0, 700.0, 0.013691, [0.09233114249999999], [23.324299999999997], [2.33243], [0.05330741859722715]]
[200.0, 2000.0, 0.010926, [0.07363600649999999], [23.324299999999997], [2.33243], [0.04251377512054181]]
[200.0, 1300.0, 0.014413, [0.4932699599999999], [200.58897999999996], [23.324299999999997], [0.22059707550192045]]
[200.0, 1400.0, 0.021277, [0.49756268], [110.09069599999998], [15.394037999999998], [0.49756267384119557]]
[200.0, 400.0, 0.010824, [0.3703704259999999], [200.58897999999996], [23.324299999999997], [0.2138335122472621]]
[200.0, 1900.0, 0.020895, [0.48861705999999994], [110.09069599999998], [15.394037999999998], [0.488616798319501]]
[200.0, 1700.0, 0.006722, [0.098079291], [64.841554], [8.396747999999999], [0.06935253275836435]]
[200.0, 500.0, 0.013666, [0.09215694049999999], [23.324299999999997], [2.33243], [0.05320682270630337]]
[200.0, 1500.0, 0.013684, [0.09228391199999998], [23.324299999999997], [2.33243], [0.05328014660734334]]
[200.0, 100.0, 0.010797, [0.369457832], [200.58897999999996], [23.324299999999997], [0.21330656820641972]]
[200.0, 600.0, 0.010174, [0.14851900399999998], [64.841554], [8.396747999999999], [0.08574750422023955]]
[200.0, 1000.0, 0.011223, [0.005478620444444444], [0.13994579999999998], [0.02798916], [0.00547862000286591]]
[200.0, 1200.0, 0.016819, [0.24569612], [64.841554], [8.396747999999999], [0.10987863350078575]]
[200.0, 300.0, 0.021063, [0.30785178], [64.841554], [8.396747999999999], [0.13767552937977032]]
[200.0, 1600.0, 0.008581, [0.59161382], [391.84824], [51.31345999999999], [0.24152518916253843]]
[200.0, 900.0, 0.01095, [0.07379668449999999], [23.324299999999997], [2.33243], [0.04260653001594943]]
[200.0, 800.0, 0.018239, [0.12313601999999998], [23.324299999999997], [2.33243], [0.05506810753512417]]
[200.0, 1100.0, 0.028531, [0.12391042999999999], [9.796206], [1.3994579999999999], [0.12391040543473336]]
[200.0, 200.0, 0.013765, [0.092830576], [23.324299999999997], [2.33243], [0.05359577436701516]]
[300.0, 2000.0, 0.008516, [0.0573603325], [23.324299999999997], [2.33243], [0.023417258859653064]]
[300.0, 400.0, 0.002839, [0.019098578999999994], [23.324299999999997], [2.33243], [0.013504731596740453]]
[300.0, 1000.0, 0.006581, [0.09603045099999999], [64.841554], [8.396747999999999], [0.0429461244933696]]
[300.0, 200.0, 0.004267, [0.028713096499999997], [23.324299999999997], [2.33243], [0.016577516256966844]]
[300.0, 1600.0, 0.004281, [0.028801864999999996], [23.324299999999997], [2.33243], [0.016628761409076744]]
[300.0, 1300.0, 0.006549, [0.09555301699999999], [64.841554], [8.396747999999999], [0.04273260735082754]]
[300.0, 800.0, 0.004471, [0.15292833399999997], [200.58897999999996], [23.324299999999997], [0.07646416329235545]]
[300.0, 700.0, 0.007115, [0.047909276], [23.324299999999997], [2.33243], [0.021425682066156027]]
[300.0, 300.0, 0.009672, [0.09676569199999999], [32.18753399999999], [5.5978319999999995], [0.09676570430684622]]
[300.0, 900.0, 0.007111, [0.04788175649999999], [23.324299999999997], [2.33243], [0.021413370566073897]]
[300.0, 600.0, 0.007117, [0.047918406999999996], [23.324299999999997], [2.33243], [0.021429767870884648]]
[300.0, 1400.0, 0.005694, [0.038328764], [23.324299999999997], [2.33243], [0.01916438339733371]]
[300.0, 500.0, 0.011855, [0.07991470749999999], [23.324299999999997], [2.33243], [0.035738936162118755]]
[300.0, 1200.0, 0.004258, [0.0286492945], [23.324299999999997], [2.33243], [0.016540678311363168]]
[300.0, 100.0, 0.011493, [0.26855926999999996], [110.09069599999998], [15.394037999999998], [0.10150585598870639]]
