[100.0, 1800.0, 0.590567, [262.99469600000003], [2932.04], [313.353196], [6.350602133341373]]
[100.0, 800.0, 0.565895, [249.345944], [2932.04], [313.353196], [6.200794540056944]]
[100.0, 500.0, 0.589005, [262.11609599999997], [2932.04], [313.353196], [6.3553797104500385]]
[100.0, 1100.0, 0.59537, [265.708144], [2932.04], [313.353196], [6.391941251294476]]
[100.0, 600.0, 0.586963, [260.97088], [2932.04], [313.353196], [6.333201417292837]]
[100.0, 1400.0, 0.579834, [256.999056], [2932.04], [313.353196], [6.29264935492198]]
[100.0, 1700.0, 0.580851, [257.562832], [2932.04], [313.353196], [6.287632966387272]]
[100.0, 100.0, 0.567659, [250.30624], [2932.04], [313.353196], [6.215074963345174]]
[100.0, 1200.0, 0.583053, [258.787352], [2932.04], [313.353196], [6.308136165936814]]
[100.0, 1000.0, 0.597649, [267.002584], [2932.04], [313.353196], [6.4268041949323464]]
[100.0, 2000.0, 0.561842, [247.147696], [2932.04], [313.353196], [6.170985295720611]]
[100.0, 400.0, 0.567981, [250.481776], [2932.04], [313.353196], [6.225193443420051]]
[100.0, 1600.0, 0.583085, [258.805016], [2932.04], [313.353196], [6.306694951874555]]
[100.0, 1300.0, 0.59349, [264.644072], [2932.04], [313.353196], [6.390434171165524]]
[100.0, 1500.0, 0.580136, [257.166312], [2932.04], [313.353196], [6.292972161387653]]
[100.0, 900.0, 0.574793, [254.214032], [2932.04], [313.353196], [6.258318511549249]]
[100.0, 1900.0, 0.547849, [239.64711999999997], [2932.04], [313.353196], [6.0713950001626475]]
[100.0, 200.0, 0.577316, [255.605624], [2932.04], [313.353196], [6.277375130418764]]
[100.0, 700.0, 0.552531, [242.141424], [2932.04], [313.353196], [6.0936594299320666]]
[100.0, 300.0, 0.565027, [248.87380000000002], [2932.04], [313.353196], [6.183319931557803]]
[200.0, 1800.0, 0.615265, [115.757965], [1319.28], [127.221418], [2.3828399610548754]]
[200.0, 700.0, 0.610665, [114.634714], [1319.28], [127.221418], [2.3758810744647976]]
[200.0, 2000.0, 0.609825, [114.430359], [1319.28], [127.221418], [2.3701184738320573]]
[200.0, 1300.0, 0.615718, [115.869147], [1319.28], [127.221418], [2.3907070063058753]]
[200.0, 1400.0, 0.6178, [116.380736], [1319.28], [127.221418], [2.3951515776668497]]
