[100.0, 1800.0, 0.248396, [0.383374258], [0.6417], [0.241963082], [0.3833742772800492]]
[100.0, 800.0, 0.156276, [56.7466304], [3085.22], [282.25002], [2.9581226262614604]]
[100.0, 500.0, 0.157424, [57.169352], [3085.22], [282.25002], [2.9680842607985367]]
[100.0, 1100.0, 0.166269, [60.430126400000006], [3085.22], [282.25002], [3.04829696296145]]
[100.0, 600.0, 0.1716, [62.399404800000006], [3085.22], [282.25002], [3.0968315131437167]]
[100.0, 1400.0, 0.154056, [55.9296704], [3085.22], [282.25002], [2.935546287558757]]
[100.0, 1700.0, 0.164731, [59.862633599999995], [3085.22], [282.25002], [3.031261927052824]]
[100.0, 100.0, 0.154715, [56.172311199999996], [3085.22], [282.25002], [2.9442288411059354]]
[100.0, 1200.0, 0.163351, [59.353487200000004], [3085.22], [282.25002], [3.0210127287384934]]
[100.0, 1000.0, 0.170608, [62.032472], [3085.22], [282.25002], [3.0977535292530938]]
[100.0, 2000.0, 0.164935, [59.9379448], [3085.22], [282.25002], [3.038974324866862]]
[100.0, 400.0, 0.161407, [58.636568], [3085.22], [282.25002], [3.0119580427356554]]
[100.0, 1600.0, 0.167848, [61.012836], [3085.22], [282.25002], [3.062146441958647]]
[100.0, 1300.0, 0.275078, [16.025451249999996], [91.77], [44.160860199999995], [11.331705183907669]]
[100.0, 1500.0, 0.164423, [59.7488112], [3085.22], [282.25002], [3.0332861810254563]]
[100.0, 900.0, 0.154468, [56.08117599999999], [3085.22], [282.25002], [2.9394516865565246]]
[100.0, 1900.0, 0.154218, [55.98945200000001], [3085.22], [282.25002], [2.9346442591905406]]
[100.0, 200.0, 0.155819, [56.578564799999995], [3085.22], [282.25002], [2.953377116184115]]
[100.0, 700.0, 0.164165, [59.653609599999996], [3085.22], [282.25002], [3.0245581728245865]]
[100.0, 300.0, 0.164871, [59.9140616], [3085.22], [282.25002], [3.033866523102162]]
[200.0, 1800.0, 0.174888, [25.358834], [1401.1599999999999], [108.248672], [1.1152806485365019]]
[200.0, 700.0, 0.184548, [26.787478999999998], [1401.1599999999999], [108.248672], [1.1485040269846682]]
[200.0, 2000.0, 0.194913, [28.325328000000003], [1401.1599999999999], [108.248672], [1.1791985829367333]]
[200.0, 1300.0, 0.182529, [26.488617], [1401.1599999999999], [108.248672], [1.1430676051747772]]
[200.0, 1400.0, 0.17774, [25.78024], [1401.1599999999999], [108.248672], [1.1272907482100614]]
[200.0, 400.0, 0.205827, [10.7581442], [584.66], [33.078448200000004], [1.0304432267718586]]
[200.0, 1900.0, 0.168969, [24.485616], [1401.1599999999999], [108.248672], [1.0983298347946304]]
[200.0, 1700.0, 0.184137, [26.726598], [1401.1599999999999], [108.248672], [1.1448421834471334]]
[200.0, 500.0, 0.182713, [26.51578], [1401.1599999999999], [108.248672], [1.1410582570578944]]
[200.0, 1500.0, 0.17535, [25.427121000000003], [1401.1599999999999], [108.248672], [1.1193665463109035]]
[200.0, 100.0, 0.183409, [9.557052], [584.66], [33.078448200000004], [0.970371826260429]]
[200.0, 600.0, 0.175145, [25.396760999999998], [1401.1599999999999], [108.248672], [1.1212939940087077]]
[200.0, 1000.0, 0.177558, [25.75333], [1401.1599999999999], [108.248672], [1.1261141518514008]]
[200.0, 1200.0, 0.172537, [25.011856], [1401.1599999999999], [108.248672], [1.1086314933285992]]
[200.0, 300.0, 0.174381, [25.283991999999998], [1401.1599999999999], [108.248672], [1.1152287092789532]]
[200.0, 1600.0, 0.16875, [24.45337], [1401.1599999999999], [108.248672], [1.097988298662604]]
[200.0, 900.0, 0.185715, [26.960393], [1401.1599999999999], [108.248672], [1.1516906372806892]]
[200.0, 800.0, 0.174269, [25.267501], [1401.1599999999999], [108.248672], [1.115587728509058]]
[200.0, 1100.0, 0.194528, [10.1514824], [584.66], [33.078448200000004], [1.000255059672282]]
[200.0, 200.0, 0.174062, [25.236865], [1401.1599999999999], [108.248672], [1.1164132241244726]]
[300.0, 2000.0, 0.150302, [5.2962721], [314.548], [21.3532184], [0.3182221019979599]]
[300.0, 400.0, 0.151614, [10.255934600000002], [541.42], [48.124464], [0.4425763009922696]]
[300.0, 1000.0, 0.14882, [10.0639904], [541.42], [48.124464], [0.4396475117636855]]
[300.0, 200.0, 0.151397, [10.241005300000001], [541.42], [48.124464], [0.4427572285124208]]
[300.0, 1600.0, 0.148788, [5.241939199999999], [314.548], [21.3532184], [0.31725663428839435]]
[300.0, 1300.0, 0.143634, [9.708187299999999], [541.42], [48.124464], [0.43073117590905813]]
[300.0, 800.0, 0.16461, [5.8112766], [314.548], [21.3532184], [0.3332995225019082]]
[300.0, 700.0, 0.145831, [5.1358747000000005], [314.548], [21.3532184], [0.3137234567258241]]
[300.0, 300.0, 0.154869, [10.4797177], [541.42], [48.124464], [0.44767135244507217]]
[300.0, 900.0, 0.140313, [9.4805862], [541.42], [48.124464], [0.4261206716412618]]
[300.0, 600.0, 0.154103, [10.4270477], [541.42], [48.124464], [0.44705592905138836]]
[300.0, 1400.0, 0.174202, [2.8363278000000003], [113.804], [6.8261562], [0.23314479556704668]]
[300.0, 500.0, 0.149437, [10.106406999999999], [541.42], [48.124464], [0.4402419299657859]]
[300.0, 1200.0, 0.153288, [10.3710473], [541.42], [48.124464], [0.4450641444780741]]
[300.0, 100.0, 0.053152, [3.5680015], [541.42], [48.124464], [0.2616185043149662]]
[300.0, 1100.0, 0.14369, [9.712042100000001], [541.42], [48.124464], [0.4309021610528311]]
[300.0, 1900.0, 0.151184, [5.3279523], [314.548], [21.3532184], [0.3195493889839253]]
[300.0, 1500.0, 0.165559, [2.6911310999999998], [113.804], [6.8261562], [0.22744216108716517]]
[300.0, 1700.0, 0.165805, [11.2332598], [541.42], [48.124464], [0.4632518608705204]]
[300.0, 1800.0, 0.148081, [2.3992749000000004], [113.804], [6.8261562], [0.21374440900290234]]
[400.0, 900.0, 0.128705, [2.15874527], [110.4], [7.9261634], [0.13905699950020495]]
[400.0, 1200.0, 0.130041, [2.18164476], [110.4], [7.9261634], [0.13966548073879959]]
[400.0, 1500.0, 0.126008, [2.11257967], [110.4], [7.9261634], [0.13751722888423834]]
[400.0, 200.0, 0.126289, [2.11737931], [110.4], [7.9261634], [0.13753857691571483]]
[400.0, 1600.0, 0.155787, [2.6252315], [110.4], [7.9261634], [0.15336764932670774]]
[400.0, 500.0, 0.140852, [2.3673140999999998], [110.4], [7.9261634], [0.14542294523217442]]
[400.0, 1700.0, 0.131349, [2.20405182], [110.4], [7.9261634], [0.14052521923128247]]
[400.0, 300.0, 0.141068, [2.3710424], [110.4], [7.9261634], [0.1456519196921208]]
[400.0, 1300.0, 0.126095, [2.11405857], [110.4], [7.9261634], [0.1376134611511534]]
[400.0, 1400.0, 0.139883, [2.3506391], [110.4], [7.9261634], [0.14494657664118873]]
[400.0, 1100.0, 0.137657, [2.3123625], [110.4], [7.9261634], [0.14396138937228967]]
[400.0, 800.0, 0.12549, [2.10371685], [110.4], [7.9261634], [0.13723132670786214]]
[400.0, 100.0, 0.038319, [0.63463693], [110.4], [7.9261634], [0.07531753779831095]]
[400.0, 1000.0, 0.130319, [2.18641059], [110.4], [7.9261634], [0.13968462585410035]]
[400.0, 400.0, 0.133516, [5.2278563], [252.034], [26.540643], [0.21596076551077514]]
[400.0, 1800.0, 0.13329, [2.23734754], [110.4], [7.9261634], [0.14122011237780543]]
[400.0, 2000.0, 0.140423, [2.359938], [110.4], [7.9261634], [0.1455200930112402]]
[400.0, 600.0, 0.120702, [2.02188354], [110.4], [7.9261634], [0.1344936873611546]]
[400.0, 700.0, 0.13902, [2.3357903], [110.4], [7.9261634], [0.14458173937257773]]
[400.0, 1900.0, 0.142102, [2.3888466999999998], [110.4], [7.9261634], [0.1461950272068103]]
[500.0, 1700.0, 0.101248, [1.01494952], [45.8252], [3.97160136], [0.0688992592920998]]
[500.0, 1100.0, 0.108492, [1.3341524900000001], [70.518], [4.742462], [0.07875251722960987]]
[500.0, 300.0, 0.106346, [1.06722392], [45.8252], [3.97160136], [0.07052414731848944]]
[500.0, 1300.0, 0.1027, [1.0298222399999999], [45.8252], [3.97160136], [0.06911714306161677]]
[500.0, 1800.0, 0.098343, [0.98521512], [45.8252], [3.97160136], [0.06766485077202196]]
[500.0, 1400.0, 0.109823, [1.10295396], [45.8252], [3.97160136], [0.07179618270493217]]
[500.0, 600.0, 0.108051, [1.0847421], [45.8252], [3.97160136], [0.07106381429391473]]
[500.0, 1900.0, 0.108719, [1.0916006999999999], [45.8252], [3.97160136], [0.07120817829435043]]
[500.0, 1200.0, 0.10675, [1.0713784100000001], [45.8252], [3.97160136], [0.07049152552612264]]
[500.0, 800.0, 0.111431, [1.1194951], [45.8252], [3.97160136], [0.07241411841623151]]
[500.0, 1000.0, 0.095896, [1.17651716], [70.518], [4.742462], [0.07396701305311713]]
[500.0, 2000.0, 0.098939, [0.99131288], [45.8252], [3.97160136], [0.06792363021806182]]
[500.0, 700.0, 0.120237, [1.2103400400000002], [45.8252], [3.97160136], [0.07491817082657586]]
[500.0, 100.0, 0.025854, [0.25540879], [45.8252], [3.97160136], [0.03443931095419883]]
[500.0, 200.0, 0.049685, [0.49294313000000006], [45.8252], [3.97160136], [0.04787885753649517]]
[500.0, 1500.0, 0.107098, [1.0749528400000001], [45.8252], [3.97160136], [0.07072669786579887]]
[500.0, 900.0, 0.107548, [1.07956549], [45.8252], [3.97160136], [0.07087695837858733]]
