[100.0, 1800.0, 0.709171, [25.556611], [137.07999999999998], [19.9292056], [12.778305713982585]]
[100.0, 800.0, 0.681538, [24.07571], [137.07999999999998], [19.9292056], [10.76698565430455]]
[100.0, 500.0, 0.712001, [25.713921799999998], [137.07999999999998], [19.9292056], [12.856961323734312]]
[100.0, 1100.0, 0.580421, [19.3193008], [137.07999999999998], [19.9292056], [19.319299034902897]]
[100.0, 600.0, 0.82862, [33.5409322], [137.07999999999998], [19.9292056], [12.67728120063604]]
[100.0, 1400.0, 0.640661, [19.1668108], [116.83999999999999], [16.794724199999997], [19.16680957280058]]
[100.0, 1700.0, 0.64008, [19.1425826], [116.83999999999999], [16.794724199999997], [13.53585076011109]]
[100.0, 100.0, 0.765451, [28.925393399999997], [137.07999999999998], [19.9292056], [16.70008444290028]]
[100.0, 1200.0, 0.809806, [32.04408299999999], [137.07999999999998], [19.9292056], [14.330547524780759]]
[100.0, 1000.0, 0.64472, [19.336813], [116.83999999999999], [16.794724199999997], [19.33681006784728]]
[100.0, 2000.0, 0.765355, [28.9191328], [137.07999999999998], [19.9292056], [11.806187440490685]]
[100.0, 400.0, 0.765369, [28.920057399999997], [137.07999999999998], [19.9292056], [16.69700520452695]]
[100.0, 1600.0, 0.575321, [19.100855999999997], [137.07999999999998], [19.9292056], [19.100854022791754]]
[100.0, 1300.0, 0.579014, [19.258870599999998], [137.07999999999998], [19.9292056], [9.629437223431076]]
[100.0, 1500.0, 0.681045, [24.050143199999997], [137.07999999999998], [19.9292056], [10.755549588933146]]
[100.0, 900.0, 0.841757, [34.6655586], [137.07999999999998], [19.9292056], [11.555185350309184]]
[100.0, 1900.0, 0.710222, [25.614920599999998], [137.07999999999998], [19.9292056], [12.807458253689525]]
[100.0, 200.0, 0.765814, [28.948991399999997], [137.07999999999998], [19.9292056], [16.713706112050673]]
[100.0, 700.0, 0.708702, [25.5306256], [137.07999999999998], [19.9292056], [12.765312464644177]]
[100.0, 300.0, 0.763765, [28.816148], [137.07999999999998], [19.9292056], [11.764143640741556]]
[200.0, 1800.0, 0.322801, [9.7969052], [137.07999999999998], [19.9292056], [3.9995705154428767]]
[200.0, 700.0, 0.324371, [9.8483424], [137.07999999999998], [19.9292056], [3.1143192443935477]]
[200.0, 2000.0, 0.273105, [8.195654399999999], [137.07999999999998], [19.9292056], [3.665208297491426]]
[200.0, 1300.0, 0.324891, [9.8654038], [137.07999999999998], [19.9292056], [3.119713759946576]]
[200.0, 1400.0, 0.24711, [7.376776199999999], [137.07999999999998], [19.9292056], [3.011556096771235]]
[200.0, 400.0, 0.324672, [9.858218599999999], [137.07999999999998], [19.9292056], [3.485406370568574]]
[200.0, 1900.0, 0.324524, [9.8533656], [137.07999999999998], [19.9292056], [3.115908054484278]]
[200.0, 1700.0, 0.323137, [9.8079314], [137.07999999999998], [19.9292056], [3.1015395531896734]]
[200.0, 500.0, 0.353188, [10.802731999999999], [137.07999999999998], [19.9292056], [3.257145956201533]]
[200.0, 1500.0, 0.286663, [8.6275944], [137.07999999999998], [19.9292056], [3.2609243940944106]]
[200.0, 100.0, 0.220519, [6.5506668], [137.07999999999998], [19.9292056], [3.2753334102042184]]
[200.0, 600.0, 0.59231, [19.8353472], [137.07999999999998], [19.9292056], [7.012853507667189]]
[200.0, 1000.0, 0.383167, [11.817970399999998], [137.07999999999998], [19.9292056], [3.4115539561906387]]
[200.0, 1200.0, 0.231146, [6.879488599999999], [137.07999999999998], [19.9292056], [2.600203048994443]]
[200.0, 300.0, 0.199427, [5.902876399999999], [137.07999999999998], [19.9292056], [2.409838980513013]]
[200.0, 1600.0, 0.324023, [9.836948199999998], [137.07999999999998], [19.9292056], [4.015917764596282]]
[200.0, 900.0, 0.24691, [7.3705064], [137.07999999999998], [19.9292056], [3.0089956902594595]]
[200.0, 800.0, 0.294093, [8.8657916], [137.07999999999998], [19.9292056], [2.9552646209772817]]
[200.0, 1100.0, 0.325667, [9.8908418], [137.07999999999998], [19.9292056], [4.037919721836976]]
[200.0, 200.0, 0.194102, [4.9684278], [116.83999999999999], [16.794724199999997], [4.968428037115965]]
[300.0, 2000.0, 0.178571, [5.268182199999999], [137.07999999999998], [19.9292056], [1.5884167009950505]]
[300.0, 400.0, 0.162498, [4.782665999999999], [137.07999999999998], [19.9292056], [1.5124111663168847]]
[300.0, 1000.0, 0.178982, [5.280634399999999], [137.07999999999998], [19.9292056], [1.5921709091677312]]
[300.0, 200.0, 0.156228, [4.5940959], [137.07999999999998], [19.9292056], [1.3262012207806173]]
[300.0, 1600.0, 0.076086, [1.91662358], [116.83999999999999], [16.794724199999997], [1.9166235488483383]]
[300.0, 1300.0, 0.193902, [5.734171399999999], [137.07999999999998], [19.9292056], [1.655312412809135]]
[300.0, 800.0, 0.146392, [4.299096059999999], [137.07999999999998], [19.9292056], [1.4330318655214893]]
[300.0, 700.0, 0.156401, [4.599291139999999], [137.07999999999998], [19.9292056], [1.327700813737794]]
[300.0, 300.0, 0.267937, [8.031899], [137.07999999999998], [19.9292056], [1.7527044325841137]]
[300.0, 900.0, 0.156313, [4.59664844], [137.07999999999998], [19.9292056], [1.3269379935776953]]
[300.0, 600.0, 0.17889, [5.277832999999999], [137.07999999999998], [19.9292056], [1.5913267684545493]]
[300.0, 1400.0, 0.194583, [5.7549496], [137.07999999999998], [19.9292056], [1.661311509621239]]
[300.0, 500.0, 0.117963, [3.45190348], [137.07999999999998], [19.9292056], [1.1506345329425847]]
[300.0, 1200.0, 0.218677, [6.4938384], [137.07999999999998], [19.9292056], [1.5749878729691857]]
[300.0, 100.0, 1.0, [311.912384], [58.419999999999995], [16.4252844], [10.93924490264296]]
[300.0, 1100.0, 0.143281, [4.20600172], [137.07999999999998], [19.9292056], [1.2681573470196825]]
[300.0, 1900.0, 0.244104, [7.282812], [137.07999999999998], [19.9292056], [1.6707919367772877]]
[300.0, 1500.0, 0.163272, [4.8060018], [137.07999999999998], [19.9292056], [1.5197915488645144]]
[300.0, 1700.0, 0.130375, [3.82083682], [137.07999999999998], [19.9292056], [1.208254689872959]]
[300.0, 1800.0, 0.292007, [7.622388599999999], [116.83999999999999], [16.794724199999997], [3.8111934146668545]]
[400.0, 900.0, 0.128403, [3.76212886], [137.07999999999998], [19.9292056], [0.8209637926242546]]
[400.0, 1200.0, 0.175853, [5.185874399999999], [137.07999999999998], [19.9292056], [0.962993053349815]]
[400.0, 1500.0, 0.128321, [3.7596752199999997], [137.07999999999998], [19.9292056], [0.8204284088206599]]
[400.0, 200.0, 0.106875, [3.1234759], [137.07999999999998], [19.9292056], [0.8347840415340964]]
[400.0, 1600.0, 0.092118, [2.6879502], [137.07999999999998], [19.9292056], [0.6940256764702585]]
[400.0, 500.0, 0.097909, [2.8586433199999997], [137.07999999999998], [19.9292056], [0.7146608913323856]]
[400.0, 1700.0, 0.086028, [2.5086771599999995], [137.07999999999998], [19.9292056], [0.6704720528105552]]
[400.0, 300.0, 0.092084, [2.6869386599999996], [137.07999999999998], [19.9292056], [0.7756523491874435]]
[400.0, 1300.0, 0.122384, [3.5831492999999996], [137.07999999999998], [19.9292056], [0.8012166121592836]]
[400.0, 1400.0, 0.128126, [3.7538713999999995], [137.07999999999998], [19.9292056], [0.819161847011932]]
[400.0, 1100.0, 0.107269, [3.1351438], [137.07999999999998], [19.9292056], [0.8379025952937489]]
