[100.0, 1800.0, 0.861532, [66.2470656], [401.764], [38.278302], [3.1873134116368287]]
[100.0, 800.0, 0.875486, [68.7744528], [401.764], [38.278302], [3.2565645338607982]]
[100.0, 500.0, 0.861612, [66.2609576], [401.764], [38.278302], [3.195387144244027]]
[100.0, 1100.0, 0.865185, [66.8883056], [401.764], [38.278302], [3.2070487427539978]]
[100.0, 600.0, 0.883035, [70.237768], [401.764], [38.278302], [3.285584189881611]]
[100.0, 1400.0, 0.892862, [72.2617496], [401.764], [38.278302], [3.336737395720556]]
[100.0, 1700.0, 0.86277, [66.4628608], [401.764], [38.278302], [3.194001511834332]]
[100.0, 100.0, 0.843539, [63.2710128], [401.764], [38.278302], [3.124732834915651]]
[100.0, 1200.0, 0.870304, [67.8105872], [401.764], [38.278302], [3.2290757582936944]]
[100.0, 1000.0, 0.856798, [65.4357544], [401.764], [38.278302], [3.181595179277213]]
[100.0, 2000.0, 0.841939, [63.0195768], [401.764], [38.278302], [3.116118091728874]]
[100.0, 400.0, 0.999777, [77.35695799999999], [27.319399999999998], [16.034657], [77.35695692049939]]
[100.0, 1600.0, 0.878302, [69.3118064], [401.764], [38.278302], [3.2637653199946834]]
[100.0, 1300.0, 0.870776, [67.89704880000001], [401.764], [38.278302], [3.236864908889464]]
[100.0, 1500.0, 0.875803, [68.8343264], [401.764], [38.278302], [3.255751966965543]]
[100.0, 900.0, 0.850575, [64.4009016], [401.764], [38.278302], [3.149951025397062]]
[100.0, 1900.0, 0.85459, [65.0646632], [401.764], [38.278302], [3.163552405255839]]
[100.0, 200.0, 0.875397, [68.7576168], [401.764], [38.278302], [3.255767045229127]]
[100.0, 700.0, 0.859761, [65.9410184], [401.764], [38.278302], [3.17995814110815]]
[100.0, 300.0, 0.883651, [70.3606064], [401.764], [38.278302], [3.2877355611423495]]
[200.0, 1800.0, 0.794081, [27.821149600000002], [190.20999999999998], [15.425373200000001], [1.0448452596628843]]
[200.0, 700.0, 0.812049, [29.0329184], [190.20999999999998], [15.425373200000001], [1.0694410194489457]]
[200.0, 2000.0, 0.784617, [27.215863199999998], [190.20999999999998], [15.425373200000001], [1.033845389756128]]
[200.0, 1300.0, 0.811639, [29.004288], [190.20999999999998], [15.425373200000001], [1.069839040454217]]
[200.0, 1400.0, 0.785772, [27.2885984], [190.20999999999998], [15.425373200000001], [1.0373565244022904]]
[200.0, 400.0, 0.793048, [27.7540448], [190.20999999999998], [15.425373200000001], [1.0467633699361094]]
[200.0, 1900.0, 0.770791, [26.3676048], [190.20999999999998], [15.425373200000001], [1.0194305751742]]
[200.0, 1700.0, 0.784791, [27.226811199999997], [190.20999999999998], [15.425373200000001], [1.0335157321686013]]
[200.0, 500.0, 0.824581, [29.9333776], [190.20999999999998], [15.425373200000001], [1.0843721191546747]]
[200.0, 1500.0, 0.823345, [29.842371199999995], [190.20999999999998], [15.425373200000001], [1.0846395005161855]]
[200.0, 100.0, 0.796532, [27.9814688], [190.20999999999998], [15.425373200000001], [1.0501260599375677]]
[200.0, 600.0, 0.751166, [25.228424], [190.20999999999998], [15.425373200000001], [0.999586837528386]]
[200.0, 1000.0, 0.79992, [28.205544000000003], [190.20999999999998], [15.425373200000001], [1.0540910187645087]]
[200.0, 1200.0, 0.791219, [27.635898400000002], [190.20999999999998], [15.425373200000001], [1.0423076244564269]]
[200.0, 300.0, 0.797103, [28.0189864], [190.20999999999998], [15.425373200000001], [1.0500559357291401]]
[200.0, 1600.0, 0.814232, [29.186264000000005], [190.20999999999998], [15.425373200000001], [1.0729085597570747]]
[200.0, 900.0, 0.78556, [27.275258400000002], [190.20999999999998], [15.425373200000001], [1.0361013695580177]]
[200.0, 800.0, 0.790388, [27.5824648], [190.20999999999998], [15.425373200000001], [1.042519384107557]]
[200.0, 1100.0, 0.776762, [26.728944000000002], [190.20999999999998], [15.425373200000001], [1.0265191631528365]]
[200.0, 200.0, 0.799393, [28.1704552], [190.20999999999998], [15.425373200000001], [1.054992044102703]]
[300.0, 2000.0, 0.655253, [11.31910592], [77.83200000000001], [6.5614124], [0.4160986186951358]]
[300.0, 400.0, 0.655149, [183.34634], [3529.12], [183.784812], [8.368577102470885]]
[300.0, 1000.0, 0.627495, [10.632491520000002], [77.83200000000001], [6.5614124], [0.4041866899342431]]
[300.0, 200.0, 0.663503, [11.5311788], [77.83200000000001], [6.5614124], [0.4202195448286526]]
[300.0, 1600.0, 0.628964, [173.579206], [3529.12], [183.784812], [8.16448037783177]]
[300.0, 1300.0, 0.658621, [11.40520872], [77.83200000000001], [6.5614124], [0.4175743690218546]]
[300.0, 800.0, 0.638655, [10.903790319999999], [77.83200000000001], [6.5614124], [0.40835014332310454]]
[300.0, 700.0, 0.644711, [11.05362888], [77.83200000000001], [6.5614124], [0.41165862361913425]]
[300.0, 300.0, 0.633199, [10.770395839999999], [77.83200000000001], [6.5614124], [0.4059245597694232]]
[300.0, 900.0, 0.638259, [10.894056720000002], [77.83200000000001], [6.5614124], [0.40855902118543413]]
[300.0, 600.0, 0.637349, [10.87173016], [77.83200000000001], [6.5614124], [0.40829641460096117]]
[300.0, 1400.0, 0.668718, [11.667276240000001], [77.83200000000001], [6.5614124], [0.42293847919526073]]
[300.0, 500.0, 0.663137, [11.52168624], [77.83200000000001], [6.5614124], [0.4204323097764966]]
[300.0, 1200.0, 0.673013, [11.7805908], [77.83200000000001], [6.5614124], [0.4242676532567619]]
[300.0, 100.0, 0.25698, [3.71378976], [77.83200000000001], [6.5614124], [0.2387315443589305]]
[300.0, 1100.0, 0.660581, [11.4556192], [77.83200000000001], [6.5614124], [0.4185792539914036]]
[300.0, 1900.0, 0.675691, [11.85182088], [77.83200000000001], [6.5614124], [0.42628038922755995]]
[300.0, 1500.0, 0.631592, [174.539134], [3529.12], [183.784812], [8.191526768557862]]
[300.0, 1700.0, 0.630859, [10.71362632], [77.83200000000001], [6.5614124], [0.404648087859068]]
[300.0, 1800.0, 0.67853, [11.92782392], [77.83200000000001], [6.5614124], [0.426265695922156]]
[400.0, 900.0, 0.527818, [139.37793000000002], [3529.12], [183.784812], [4.996940427901857]]
[400.0, 1200.0, 0.533167, [5.27171224], [33.0878], [2.97621058], [0.1941860020495813]]
[400.0, 1500.0, 0.521547, [5.1203207200000005], [33.0878], [2.97621058], [0.1914891102908988]]
[400.0, 200.0, 0.527798, [139.371812], [3529.12], [183.784812], [4.990311012351835]]
[400.0, 1600.0, 0.522466, [5.1321924], [33.0878], [2.97621058], [0.1917990616869645]]
[400.0, 500.0, 0.530017, [140.073542], [3529.12], [183.784812], [5.002626366220047]]
[400.0, 1700.0, 0.515348, [135.468574], [3529.12], [183.784812], [4.926943592126867]]
[400.0, 300.0, 0.55683, [148.704568], [3529.12], [183.784812], [5.158503662885197]]
[400.0, 1300.0, 0.515266, [135.44304400000001], [3529.12], [183.784812], [4.926015838382982]]
