[100.0, 1800.0, 0.196071, [2.9505803], [64.841554], [8.396747999999999], [1.319540087682068]]
[100.0, 800.0, 0.232155, [3.5225006], [64.841554], [8.396747999999999], [1.4380550208528184]]
[100.0, 500.0, 0.242944, [1.7575702999999998], [23.324299999999997], [2.33243], [0.7175249880666178]]
[100.0, 1100.0, 0.339647, [5.308970399999999], [64.841554], [8.396747999999999], [1.7696568283144616]]
[100.0, 600.0, 0.299613, [1.47563745], [9.796206], [1.3994579999999999], [1.475636874369843]]
[100.0, 1400.0, 0.157172, [2.3463841], [64.841554], [8.396747999999999], [1.1731923273700693]]
[100.0, 1700.0, 0.168756, [11.766192799999999], [391.84824], [51.31345999999999], [3.720796947429408]]
[100.0, 100.0, 0.339009, [5.2979327], [64.841554], [8.396747999999999], [1.7659773843399011]]
[100.0, 1200.0, 0.372387, [5.8836898], [64.841554], [8.396747999999999], [1.8605857072438237]]
[100.0, 1000.0, 0.235546, [8.266650799999999], [200.58897999999996], [23.324299999999997], [3.124500012481997]]
[100.0, 2000.0, 0.231657, [3.5145356999999997], [64.841554], [8.396747999999999], [1.4348031582764236]]
[100.0, 400.0, 0.304353, [4.7068258], [64.841554], [8.396747999999999], [1.6641144527946385]]
[100.0, 1600.0, 0.231329, [3.5092847999999996], [64.841554], [8.396747999999999], [1.4326598273840163]]
[100.0, 1300.0, 0.169669, [5.8931933999999995], [200.58897999999996], [23.324299999999997], [2.635515394756782]]
[100.0, 1500.0, 0.168946, [11.7796708], [391.84824], [51.31345999999999], [3.7250597208635465]]
[100.0, 900.0, 0.269449, [4.126984299999999], [64.841554], [8.396747999999999], [1.5598538277672045]]
[100.0, 1900.0, 0.244205, [1.7675384999999997], [23.324299999999997], [2.33243], [0.7215946228666065]]
[100.0, 200.0, 0.297046, [1.4608944499999998], [9.796206], [1.3994579999999999], [1.0330080080764137]]
[100.0, 700.0, 0.299711, [10.653025], [200.58897999999996], [23.324299999999997], [3.5510084274752147]]
[100.0, 300.0, 0.125091, [2.9576988], [110.09069599999998], [15.394037999999998], [2.957698054230688]]
[200.0, 1800.0, 0.095873, [1.4158820699999999], [64.841554], [8.396747999999999], [0.4477411837211314]]
[200.0, 700.0, 0.09288, [0.639504995], [23.324299999999997], [2.33243], [0.21316834409686633]]
[200.0, 2000.0, 0.112091, [0.776082445], [23.324299999999997], [2.33243], [0.23399764705013593]]
[200.0, 1300.0, 0.092718, [0.63835603], [23.324299999999997], [2.33243], [0.2127853673305568]]
[200.0, 1400.0, 0.092889, [0.639564335], [23.324299999999997], [2.33243], [0.21318813399202122]]
[200.0, 400.0, 0.096346, [1.42297596], [64.841554], [8.396747999999999], [0.4499844638429198]]
[200.0, 1900.0, 0.07294, [0.49942752], [23.324299999999997], [2.33243], [0.18876587065727743]]
[200.0, 1700.0, 0.09618, [1.4204878199999997], [64.841554], [8.396747999999999], [0.44919771370744976]]
[200.0, 500.0, 0.133807, [1.9888539299999997], [64.841554], [8.396747999999999], [0.5315435350937869]]
[200.0, 1500.0, 0.112838, [0.78142638], [23.324299999999997], [2.33243], [0.2356089565890906]]
[200.0, 100.0, 0.095426, [1.4091766499999998], [64.841554], [8.396747999999999], [0.4456207709476747]]
[200.0, 600.0, 0.087154, [1.28536006], [64.841554], [8.396747999999999], [0.42845333176438244]]
[200.0, 1000.0, 0.132755, [0.924894055], [23.324299999999997], [2.33243], [0.2565194547202999]]
[200.0, 1200.0, 0.062585, [0.42732688999999996], [23.324299999999997], [2.33243], [0.17445545484449604]]
[200.0, 300.0, 0.10525, [1.5567159], [64.841554], [8.396747999999999], [0.4693674529619624]]
[200.0, 1600.0, 0.072472, [0.49615829999999994], [23.324299999999997], [2.33243], [0.1875302006344578]]
[200.0, 900.0, 0.12418, [1.8426171699999998], [64.841554], [8.396747999999999], [0.5110500111535073]]
[200.0, 800.0, 0.134056, [1.9926415700000002], [64.841554], [8.396747999999999], [0.5325558490900274]]
[200.0, 1100.0, 0.102833, [0.71005439], [23.324299999999997], [2.33243], [0.2245389062055839]]
[200.0, 200.0, 0.072489, [0.49628031499999997], [23.324299999999997], [2.33243], [0.18757635158782676]]
[300.0, 2000.0, 0.051606, [0.35134363], [23.324299999999997], [2.33243], [0.09744516704280412]]
[300.0, 400.0, 0.067091, [0.45865196999999996], [23.324299999999997], [2.33243], [0.11123944115060988]]
[300.0, 1000.0, 0.063568, [0.4341530599999999], [23.324299999999997], [2.33243], [0.10853826477330471]]
[300.0, 200.0, 0.047733, [0.32464707], [23.324299999999997], [2.33243], [0.09371754939711131]]
[300.0, 1600.0, 0.071577, [0.48991563999999993], [23.324299999999997], [2.33243], [0.11547425957762188]]
[300.0, 1300.0, 0.05973, [0.407524925], [23.324299999999997], [2.33243], [0.10522247374016636]]
[300.0, 800.0, 0.036015, [0.24421906], [23.324299999999997], [2.33243], [0.08140635478880011]]
[300.0, 700.0, 0.048333, [0.70885839], [64.841554], [8.396747999999999], [0.19660192277798302]]
[300.0, 300.0, 0.063723, [0.435230725], [23.324299999999997], [2.33243], [0.1088076801172601]]
[300.0, 900.0, 0.054389, [0.54838923], [32.18753399999999], [5.5978319999999995], [0.3877697685482972]]
[300.0, 600.0, 0.048081, [0.327045625], [23.324299999999997], [2.33243], [0.09440994322633606]]
[300.0, 1400.0, 0.047895, [0.32576590499999997], [23.324299999999997], [2.33243], [0.09404052839068908]]
[300.0, 500.0, 0.032075, [0.21728548499999997], [23.324299999999997], [2.33243], [0.07682204001782302]]
[300.0, 1200.0, 0.04401, [0.29903921499999997], [23.324299999999997], [2.33243], [0.09016370368668314]]
[300.0, 100.0, 0.041379, [1.4185038399999998], [200.58897999999996], [23.324299999999997], [0.39342219037568277]]
[300.0, 1100.0, 0.047897, [0.32577487499999996], [23.324299999999997], [2.33243], [0.0940431089314895]]
[300.0, 1900.0, 0.055841, [0.38060066499999995], [23.324299999999997], [2.33243], [0.10171980452448774]]
[300.0, 1500.0, 0.055522, [0.37839393], [23.324299999999997], [2.33243], [0.10113002182833739]]
[300.0, 1700.0, 0.063359, [0.432706475], [23.324299999999997], [2.33243], [0.10817663134891933]]
[300.0, 1800.0, 0.047704, [0.324448925], [23.324299999999997], [2.33243], [0.09366032369685681]]
[400.0, 900.0, 0.029847, [0.20207524], [23.324299999999997], [2.33243], [0.05051882067606091]]
[400.0, 1200.0, 0.033427, [0.22652067499999998], [23.324299999999997], [2.33243], [0.053391417475096126]]
[400.0, 1500.0, 0.015064, [0.10161883], [23.324299999999997], [2.33243], [0.03592767489693704]]
[400.0, 200.0, 0.029637, [0.20064866499999998], [23.324299999999997], [2.33243], [0.05016217743479642]]
[400.0, 1600.0, 0.015565, [0.22735177999999998], [64.841554], [8.396747999999999], [0.07578393550086983]]
[400.0, 500.0, 0.016849, [0.11371400099999998], [23.324299999999997], [2.33243], [0.037904669896992906]]
[400.0, 1700.0, 0.029765, [0.201515995], [23.324299999999997], [2.33243], [0.050379004902836255]]
[400.0, 300.0, 0.015506, [0.226480126], [64.841554], [8.396747999999999], [0.07549337898120602]]
[400.0, 1300.0, 0.02061, [0.139221415], [23.324299999999997], [2.33243], [0.041976827357483794]]
[400.0, 1400.0, 0.018706, [0.12630312], [23.324299999999997], [2.33243], [0.03994056124417882]]
[400.0, 1100.0, 0.029836, [0.20200037499999998], [23.324299999999997], [2.33243], [0.05050008658408419]]
[400.0, 800.0, 0.024284, [0.16419113499999996], [23.324299999999997], [2.33243], [0.04553841727047614]]
[400.0, 100.0, 0.015513, [0.22658410899999998], [64.841554], [8.396747999999999], [0.07552805683982608]]
[400.0, 1000.0, 0.026039, [0.17612893999999998], [23.324299999999997], [2.33243], [0.04707243742361341]]
[400.0, 400.0, 0.022425, [0.15154849499999998], [23.324299999999997], [2.33243], [0.043748273337355835]]
[400.0, 1800.0, 0.018721, [0.12640558499999996], [23.324299999999997], [2.33243], [0.03997296445724284]]
[400.0, 2000.0, 0.024119, [0.16306470999999997], [23.324299999999997], [2.33243], [0.045226021796085494]]
[400.0, 600.0, 0.02972, [0.20121227999999997], [23.324299999999997], [2.33243], [0.05030306911610861]]
[400.0, 700.0, 0.020472, [0.13828405], [23.324299999999997], [2.33243], [0.04169420118553657]]
[400.0, 1900.0, 0.020499, [0.13846563499999998], [23.324299999999997], [2.33243], [0.041748975705997865]]
