[100.0, 1800.0, 0.298143, [89.8003], [4070.4845], [225.33805], [6.196809214785013]]
[100.0, 800.0, 0.37155, [3778.105901451492], [167950.65000000002], [7796.205000000001], [479.81985264088013]]
[100.0, 500.0, 0.291494, [2918.874140565319], [167950.65000000002], [7796.205000000001], [421.3030200816457]]
[100.0, 1100.0, 0.303421, [91.47501666666668], [4070.4845], [225.33805], [6.2531036738211485]]
[100.0, 600.0, 0.299751, [3005.708078686022], [167950.65000000002], [7796.205000000001], [429.38690238435765]]
[100.0, 1400.0, 0.326487, [5610.920000000002], [243430.50000000003], [13307.53], [845.8780940537473]]
[100.0, 1700.0, 0.292658, [2931.094824293356], [167950.65000000002], [7796.205000000001], [423.06700079174016]]
[100.0, 100.0, 0.267592, [80.19415000000001], [4070.4845], [225.33805], [5.848758177786309]]
[100.0, 1200.0, 0.264731, [79.30188333333332], [4070.4845], [225.33805], [5.814696418940927]]
[100.0, 1000.0, 0.329134, [3493.485007639422], [168034.45], [8210.1], [462.723433216036]]
[100.0, 2000.0, 0.334221, [5730.220000000001], [246773.2], [13256.265000000001], [854.2110394978517]]
[100.0, 400.0, 0.321539, [3236.6572765469846], [167950.65000000002], [7796.205000000001], [444.58890743294825]]
[100.0, 1600.0, 0.270015, [80.9509], [4070.4845], [225.33805], [5.85740272361963]]
[100.0, 1300.0, 0.299483, [5508.855000000001], [241137.1], [14313.945], [840.0922568384976]]
[100.0, 1500.0, 0.274017, [16.218391666666665], [510.6155], [39.97982], [1.8603770525830985]]
[100.0, 900.0, 0.281631, [84.59038333333334], [4070.4845], [225.33805], [6.01157679444882]]
[100.0, 1900.0, 0.278058, [4739.053000000001], [243430.50000000003], [13307.53], [779.0956295603257]]
[100.0, 200.0, 0.322882, [97.69238333333334], [4070.4845], [225.33805], [6.441644027558319]]
[100.0, 700.0, 0.340512, [3440.0997899159693], [167950.65000000002], [7796.205000000001], [459.7026602163594]]
[100.0, 300.0, 0.334232, [3551.0623567608886], [168034.45], [8210.1], [466.27729658208295]]
[200.0, 1800.0, 0.17845, [48.17075], [1626.9325000000001], [209.49545], [2.722773172704623]]
[200.0, 700.0, 0.188919, [19.978091666666668], [793.31], [78.43589999999999], [1.0142341116987406]]
[200.0, 2000.0, 0.175283, [18.507366666666666], [793.31], [78.43589999999999], [0.9727256236415739]]
[200.0, 1300.0, 0.165677, [17.475125000000002], [793.31], [78.43589999999999], [0.9477216832429703]]
[200.0, 1400.0, 0.179394, [18.950058333333335], [793.31], [78.43589999999999], [0.987839955548356]]
[200.0, 400.0, 0.18152, [19.179241666666666], [793.31], [78.43589999999999], [0.9943971512652501]]
[200.0, 1900.0, 0.177698, [18.767308333333332], [793.31], [78.43589999999999], [0.9850282003859359]]
[200.0, 1700.0, 0.179299, [18.939833333333336], [793.31], [78.43589999999999], [0.9873072948400838]]
[200.0, 500.0, 0.164472, [17.345850000000002], [793.31], [78.43589999999999], [0.9448886618715103]]
