[100.0, 1800.0, 0.826267, [72.1635152], [559.22573], [45.9422579], [3.0120468593964467]]
[100.0, 800.0, 0.827741, [72.4180212], [559.22573], [45.9422579], [3.009590371196718]]
[100.0, 500.0, 0.806447, [915.29501], [6401.9333], [698.12554], [137.98590051563642]]
[100.0, 1100.0, 0.792455, [66.73145360000001], [559.22573], [45.9422579], [2.895898175972353]]
[100.0, 600.0, 0.823198, [71.63886240000001], [559.22573], [45.9422579], [3.0032572887450053]]
[100.0, 1400.0, 0.816294, [70.48336400000001], [559.22573], [45.9422579], [2.9678849798467595]]
[100.0, 1700.0, 0.800322, [67.93185559999999], [559.22573], [45.9422579], [2.9179231342172125]]
[100.0, 100.0, 0.82596, [72.1107422], [559.22573], [45.9422579], [3.0072259305213502]]
[100.0, 1200.0, 0.835045, [73.70471219999999], [559.22573], [45.9422579], [3.0395312592569272]]
[100.0, 1000.0, 0.819855, [71.0752154], [559.22573], [45.9422579], [2.9901566581702705]]
[100.0, 2000.0, 0.801638, [68.1361562], [559.22573], [45.9422579], [2.915958175763157]]
[100.0, 400.0, 0.849185, [1002.7587033333333], [6115.6802], [692.13725], [144.73574845213605]]
[100.0, 1600.0, 0.805705, [913.7704566666667], [6401.9333], [698.12554], [137.75606343178592]]
[100.0, 1300.0, 0.832186, [73.19600399999999], [559.22573], [45.9422579], [3.0314687083326457]]
[100.0, 1500.0, 0.808004, [69.13900000000001], [559.22573], [45.9422579], [2.945420446523722]]
[100.0, 900.0, 0.837705, [983.8972966666666], [6401.9333], [698.12554], [143.51615865663197]]
[100.0, 1900.0, 0.862568, [1046.00741], [6401.9333], [698.12554], [147.9277547581176]]
[100.0, 200.0, 0.822699, [71.55414139999999], [559.22573], [45.9422579], [2.9892171986658984]]
[100.0, 700.0, 0.84085, [1008.6922766666664], [5983.4341], [710.82732], [145.59219452902607]]
[100.0, 300.0, 0.828988, [72.63465020000001], [559.22573], [45.9422579], [3.0212029939744203]]
[200.0, 1800.0, 0.869785, [45.774525999999994], [232.580215], [24.307993500000002], [1.8579312948142082]]
[200.0, 700.0, 0.843236, [42.6892655], [232.580215], [24.307993500000002], [1.7975428106167597]]
[200.0, 2000.0, 0.860493, [44.641597000000004], [232.580215], [24.307993500000002], [1.8316674197981464]]
[200.0, 1300.0, 0.870476, [45.861403], [232.580215], [24.307993500000002], [1.8614572136501017]]
[200.0, 1400.0, 0.858736, [44.434278], [232.580215], [24.307993500000002], [1.833998881201949]]
[200.0, 400.0, 0.877466, [46.761778], [232.580215], [24.307993500000002], [1.8825579039567417]]
[200.0, 1900.0, 0.880725, [47.195893500000004], [232.580215], [24.307993500000002], [1.893906098781035]]
[200.0, 1700.0, 0.873345, [46.226061], [232.580215], [24.307993500000002], [1.8701066817163132]]
[200.0, 500.0, 0.858565, [44.414139], [232.580215], [24.307993500000002], [1.8331673754052027]]
[200.0, 1500.0, 0.860533, [44.6463255], [232.580215], [24.307993500000002], [1.8380601479549032]]
[200.0, 100.0, 0.876299, [46.60853049999999], [232.580215], [24.307993500000002], [1.8703353595679038]]
[200.0, 600.0, 0.874108, [46.324183500000004], [232.580215], [24.307993500000002], [1.877150765055913]]
[200.0, 1000.0, 0.883646, [47.59338150000001], [232.580215], [24.307993500000002], [1.8991825733062107]]
[200.0, 1200.0, 0.869567, [45.7472085], [232.580215], [24.307993500000002], [1.862969915148927]]
[200.0, 300.0, 0.879516, [47.033727999999996], [232.580215], [24.307993500000002], [1.8828566409182617]]
[200.0, 1600.0, 0.847109, [43.111841500000004], [232.580215], [24.307993500000002], [1.80417441063773]]
[200.0, 900.0, 0.863432, [44.993123], [232.580215], [24.307993500000002], [1.8429905768885526]]
[200.0, 800.0, 0.87169, [46.014871], [232.580215], [24.307993500000002], [1.867685474524552]]
[200.0, 1100.0, 0.841547, [42.507549000000004], [232.580215], [24.307993500000002], [1.793073136196625]]
[200.0, 200.0, 0.86911, [45.6901725], [232.580215], [24.307993500000002], [1.8575690931295126]]
[300.0, 2000.0, 0.805054, [14.2217747], [58.226357], [5.8080827], [0.639867912287372]]
[300.0, 400.0, 0.805167, [14.22583435], [58.226357], [5.8080827], [0.6394037205475113]]
[300.0, 1000.0, 0.781511, [13.4115548], [58.226357], [5.8080827], [0.6226158155315362]]
[300.0, 200.0, 0.803053, [14.14979125], [58.226357], [5.8080827], [0.6385711038521865]]
[300.0, 1600.0, 0.807027, [14.293349000000001], [58.226357], [5.8080827], [0.6437400525639212]]
[300.0, 1300.0, 0.823927, [14.933129749999999], [58.226357], [5.8080827], [0.6573943525198555]]
[300.0, 800.0, 0.816739, [14.65491265], [58.226357], [5.8080827], [0.6508475148028146]]
[300.0, 700.0, 0.821558, [14.840387449999998], [58.226357], [5.8080827], [0.6565001183358614]]
[300.0, 300.0, 0.800344, [14.05333965], [58.226357], [5.8080827], [0.6381293440792392]]
[300.0, 900.0, 0.802862, [14.142958199999999], [58.226357], [5.8080827], [0.6395666694332969]]
[300.0, 600.0, 0.826577, [15.038173500000001], [58.226357], [5.8080827], [0.6607394729959759]]
[300.0, 1400.0, 0.814615, [14.574486499999999], [58.226357], [5.8080827], [0.6491991489519993]]
[300.0, 500.0, 0.7854, [13.540194499999998], [58.226357], [5.8080827], [0.6258956936063708]]
[300.0, 1200.0, 0.829243, [15.14521155], [58.226357], [5.8080827], [0.6622538528577995]]
[300.0, 100.0, 0.502013, [6.9739152], [58.226357], [5.8080827], [0.450164349404748]]
[300.0, 1100.0, 0.798733, [13.9965168], [58.226357], [5.8080827], [0.6362053273904581]]
[300.0, 1900.0, 0.794306, [13.842279499999998], [58.226357], [5.8080827], [0.6331311502169199]]
[300.0, 1500.0, 0.816729, [14.654537800000002], [58.226357], [5.8080827], [0.6495509566616001]]
[300.0, 1700.0, 0.845809, [15.844348449999998], [58.226357], [5.8080827], [0.6756053028026053]]
[300.0, 1800.0, 0.791266, [13.73794135], [58.226357], [5.8080827], [0.629017114810877]]
[400.0, 900.0, 0.651877, [5.7714993], [20.9567463], [2.31092232], [0.278650639870071]]
[400.0, 1200.0, 0.672626, [6.0725577500000005], [20.9567463], [2.31092232], [0.2853136241927469]]
[400.0, 1500.0, 0.644584, [5.66939065], [20.9567463], [2.31092232], [0.2769678134278422]]
[400.0, 200.0, 0.659324, [5.877699450000001], [20.9567463], [2.31092232], [0.28020824693431134]]
[400.0, 1600.0, 0.659454, [5.8795688], [20.9567463], [2.31092232], [0.28125797255366825]]
[400.0, 500.0, 0.655836, [5.82770475], [20.9567463], [2.31092232], [0.2800616850802694]]
[400.0, 1700.0, 0.654536, [5.809192550000001], [20.9567463], [2.31092232], [0.2791719904019742]]
[400.0, 300.0, 0.65129, [5.7632085], [20.9567463], [2.31092232], [0.2779265572952682]]
[400.0, 1300.0, 0.658415, [5.86463115], [20.9567463], [2.31092232], [0.28118753639697475]]
[400.0, 1400.0, 0.6759, [6.1215847], [20.9567463], [2.31092232], [0.28698432426702336]]
[400.0, 1100.0, 0.682816, [6.2266064], [20.9567463], [2.31092232], [0.28937497516198596]]
[400.0, 800.0, 0.6471, [5.70440605], [20.9567463], [2.31092232], [0.27703043898640456]]
[400.0, 100.0, 0.320102, [2.292932705], [20.9567463], [2.31092232], [0.1753449441386891]]
[400.0, 1000.0, 0.684009, [6.2449201500000004], [20.9567463], [2.31092232], [0.28929033141465343]]
[400.0, 400.0, 0.663121, [5.93262845], [20.9567463], [2.31092232], [0.28250614188013684]]
[400.0, 1800.0, 0.653179, [5.78992575], [20.9567463], [2.31092232], [0.27921498925559135]]
[400.0, 2000.0, 0.66127, [5.9057789], [20.9567463], [2.31092232], [0.2809092477562816]]
[400.0, 600.0, 0.669636, [6.0281662], [20.9567463], [2.31092232], [0.28417053511052126]]
[400.0, 700.0, 0.633463, [5.5171501], [20.9567463], [2.31092232], [0.2718104687093564]]
[400.0, 1900.0, 0.647652, [5.71211865], [20.9567463], [2.31092232], [0.2767530671013422]]
[500.0, 1700.0, 0.515099, [2.5871216], [7.791122499999999], [0.8690443999999999], [0.13468017918387248]]
[500.0, 1100.0, 0.533888, [2.33316195], [5.1860277], [0.62919969], [0.12785648411402525]]
[500.0, 300.0, 0.553083, [2.87592515], [7.791122499999999], [0.8690443999999999], [0.14185889286541045]]
[500.0, 1300.0, 0.528852, [2.6889925999999997], [7.791122499999999], [0.8690443999999999], [0.13668923050116275]]
[500.0, 1800.0, 0.519278, [2.61776865], [7.791122499999999], [0.8690443999999999], [0.13500109151410591]]
[500.0, 1400.0, 0.499957, [2.4782485000000003], [7.791122499999999], [0.8690443999999999], [0.13171747775067666]]
[500.0, 600.0, 0.488208, [2.039038715], [5.1860277], [0.62919969], [0.11912193774657966]]
[500.0, 1900.0, 0.518673, [2.61331455], [7.791122499999999], [0.8690443999999999], [0.134771335583647]]
[500.0, 1200.0, 0.542144, [2.79030745], [7.791122499999999], [0.8690443999999999], [0.13916793639340924]]
[500.0, 800.0, 0.546269, [2.822351], [7.791122499999999], [0.8690443999999999], [0.14076607136487115]]
[500.0, 1000.0, 0.512506, [2.5682419], [7.791122499999999], [0.8690443999999999], [0.13387890438750985]]
[500.0, 2000.0, 0.532234, [2.7144971], [7.791122499999999], [0.8690443999999999], [0.13780767613779718]]
[500.0, 700.0, 0.518685, [2.6134027499999997], [7.791122499999999], [0.8690443999999999], [0.13513581267561905]]
[500.0, 100.0, 0.236676, [0.807853445], [5.1860277], [0.62919969], [0.07500731318178248]]
[500.0, 200.0, 0.409724, [1.8904591999999998], [7.791122499999999], [0.8690443999999999], [0.114625940988504]]
[500.0, 1500.0, 0.51121, [2.5588387999999997], [7.791122499999999], [0.8690443999999999], [0.13320785409464414]]
[500.0, 900.0, 0.523784, [2.6511107], [7.791122499999999], [0.8690443999999999], [0.1356426519480506]]
[500.0, 1600.0, 0.524791, [2.6586028], [7.791122499999999], [0.8690443999999999], [0.13620431204627848]]
[500.0, 500.0, 0.539796, [2.7721995], [7.791122499999999], [0.8690443999999999], [0.1387836014358325]]
[500.0, 400.0, 0.520935, [2.62999415], [7.791122499999999], [0.8690443999999999], [0.1356315884206183]]
[600.0, 200.0, 0.231406, [0.563599225], [2.4049655700000003], [0.37064237], [0.046804356525327856]]
[600.0, 1400.0, 0.410264, [1.19835968], [2.4049655700000003], [0.37064237], [0.06817230109252584]]
[600.0, 1900.0, 0.389911, [1.31673486], [3.79467711], [0.488997607], [0.07151521462772799]]
[600.0, 100.0, 0.186501, [0.43591086], [2.4049655700000003], [0.37064237], [0.04118971011065749]]
[600.0, 800.0, 0.408487, [1.40361284], [3.79467711], [0.488997607], [0.07367056708754183]]
[600.0, 1200.0, 0.400056, [1.36379152], [3.79467711], [0.488997607], [0.07279381272986049]]
[600.0, 600.0, 0.377263, [1.2593485100000001], [3.79467711], [0.488997607], [0.06985608658878624]]
[600.0, 1600.0, 0.395613, [1.137047695], [2.4049655700000003], [0.37064237], [0.06642703212548337]]
[600.0, 400.0, 0.389492, [1.112008695], [2.4049655700000003], [0.37064237], [0.06563980724948848]]
[600.0, 500.0, 0.394277, [1.13155455], [2.4049655700000003], [0.37064237], [0.06633289826322983]]
[600.0, 1100.0, 0.411089, [1.201872735], [2.4049655700000003], [0.37064237], [0.06837215223868559]]
[600.0, 300.0, 0.382697, [1.28383479], [3.79467711], [0.488997607], [0.07056594610362707]]
[600.0, 1700.0, 0.399487, [1.153065305], [2.4049655700000003], [0.37064237], [0.06679527250674257]]
[600.0, 1500.0, 0.37446, [1.051913135], [2.4049655700000003], [0.37064237], [0.06378160810923476]]
[600.0, 1800.0, 0.412263, [1.20688127], [2.4049655700000003], [0.37064237], [0.06854624956735415]]
[600.0, 1000.0, 0.402091, [1.3733406400000001], [3.79467711], [0.488997607], [0.07309555188929077]]
[600.0, 2000.0, 0.419768, [1.4579558], [3.79467711], [0.488997607], [0.0753890996464343]]
[600.0, 700.0, 0.414994, [1.4348099150000002], [3.79467711], [0.488997607], [0.07459221250908167]]
[600.0, 1300.0, 0.422807, [1.2524610699999998], [2.4049655700000003], [0.37064237], [0.06958118185615994]]
[600.0, 900.0, 0.372897, [1.2398594950000001], [3.79467711], [0.488997607], [0.06931025751106397]]
[700.0, 2000.0, 0.323335, [0.7134936550000001], [1.3927583600000002], [0.327988752], [0.040329054018164126]]
[700.0, 100.0, 0.110086, [0.1897772205], [1.3927583600000002], [0.327988752], [0.020830756704330256]]
[700.0, 1000.0, 0.309225, [0.6705632850000001], [1.3927583600000002], [0.327988752], [0.03891002655486116]]
[700.0, 600.0, 0.295249, [0.6294035299999999], [1.3927583600000002], [0.327988752], [0.037817192432807595]]
[700.0, 1400.0, 0.298914, [0.77687589], [2.4049655700000003], [0.37064237], [0.04200864192341857]]
[700.0, 1900.0, 0.293326, [0.62384154], [1.3927583600000002], [0.327988752], [0.03775661447680393]]
[700.0, 200.0, 0.144604, [0.258888315], [1.3927583600000002], [0.327988752], [0.024247121599274418]]
[700.0, 400.0, 0.295797, [0.704505095], [1.9087754], [0.35448364], [0.04001319568279945]]
[700.0, 1300.0, 0.299462, [0.71606395], [1.9087754], [0.35448364], [0.04034563117612612]]
[700.0, 1100.0, 0.290082, [0.6145185550000001], [1.3927583600000002], [0.327988752], [0.037329342007996875]]
[700.0, 800.0, 0.311997, [0.678885935], [1.3927583600000002], [0.327988752], [0.03932681970042835]]
[700.0, 1500.0, 0.297887, [0.6370712949999999], [1.3927583600000002], [0.327988752], [0.03800449129050407]]
[700.0, 1600.0, 0.298728, [0.71374282], [1.9087754], [0.35448364], [0.04027884199241582]]
[700.0, 1800.0, 0.296302, [0.6324579450000001], [1.3927583600000002], [0.327988752], [0.03779658442901951]]
[700.0, 1200.0, 0.298117, [0.711810995], [1.9087754], [0.35448364], [0.04016981776470986]]
