[100.0, 1800.0, 0.201655, [72.35337], [5130.0], [273.72431386341987], [7.462680751579823]]
[100.0, 800.0, 0.174293, [21.95182], [1611.0], [91.00686787270509], [2.367125471959609]]
[100.0, 500.0, 0.191888, [68.77446], [5130.0], [273.72431386341987], [7.249466945920921]]
[100.0, 1100.0, 0.178431, [63.86154], [5130.0], [273.72431386341987], [7.009712975578958]]
[100.0, 600.0, 0.149298, [18.756990000000002], [1611.0], [91.00686787270509], [2.1953400647735646]]
[100.0, 1400.0, 0.173249, [61.97517], [5130.0], [273.72431386341987], [6.8861299726333955]]
[100.0, 1700.0, 0.184603, [23.276600000000002], [1611.0], [91.00686787270509], [2.440050614229139]]
[100.0, 100.0, 0.175958, [62.96094], [5130.0], [273.72431386341987], [6.9528719965205745]]
[100.0, 1200.0, 0.140891, [7.930191], [603.0], [37.10795063055894], [1.4243040405756067]]
[100.0, 1000.0, 0.161653, [57.76386], [5130.0], [273.72431386341987], [6.669995877060195]]
[100.0, 2000.0, 0.198114, [71.05472999999999], [5130.0], [273.72431386341987], [7.368033591128639]]
[100.0, 400.0, 0.168677, [21.23188], [1611.0], [91.00686787270509], [2.3305016627327255]]
[100.0, 1600.0, 0.161734, [20.34368], [1611.0], [91.00686787270509], [2.2744926906895087]]
[100.0, 1300.0, 0.160937, [20.24183], [1611.0], [91.00686787270509], [2.2773840255872524]]
[100.0, 1500.0, 0.176053, [62.99565], [5130.0], [273.72431386341987], [6.9567050390253]]
[100.0, 900.0, 0.171998, [61.52028], [5130.0], [273.72431386341987], [6.878176357145839]]
[100.0, 1900.0, 0.184871, [23.31102], [1611.0], [91.00686787270509], [2.4436585276998093]]
[100.0, 200.0, 0.172035, [21.662219999999998], [1611.0], [91.00686787270509], [2.349598050731231]]
[100.0, 700.0, 0.16202, [57.89688], [5130.0], [273.72431386341987], [6.685355787091664]]
[100.0, 300.0, 0.151033, [18.97805], [1611.0], [91.00686787270509], [2.20615366645209]]
[200.0, 1800.0, 0.096435, [12.065779999999998], [1611.0], [91.00686787270509], [0.8618411686616043]]
[200.0, 700.0, 0.089164, [31.69719], [5130.0], [273.72431386341987], [2.423945605825345]]
[200.0, 2000.0, 0.080284, [28.527933], [5130.0], [273.72431386341987], [2.2914183817016047]]
[200.0, 1300.0, 0.097806, [34.78578], [5130.0], [273.72431386341987], [2.537013638118644]]
