[100.0, 1800.0, 0.303867, [91.55794999999999], [4070.4845], [225.33805], [4.572185533807169]]
[100.0, 800.0, 0.310209, [93.57448333333332], [4070.4845], [225.33805], [4.615689427256657]]
[100.0, 500.0, 0.292815, [2934.976604278077], [167950.65000000002], [7796.205000000001], [309.37373550574705]]
[100.0, 1100.0, 0.302997, [91.28190000000001], [4070.4845], [225.33805], [4.564094470246353]]
[100.0, 600.0, 0.303318, [3045.743411000766], [167950.65000000002], [7796.205000000001], [315.82880237492657]]
[100.0, 1400.0, 0.292831, [2935.14849121467], [167950.65000000002], [7796.205000000001], [309.39188066581875]]
[100.0, 1700.0, 0.290684, [87.38781666666668], [4070.4845], [225.33805], [4.465308873228517]]
[100.0, 100.0, 0.271618, [2713.228132161958], [167950.65000000002], [7796.205000000001], [297.81547911419756]]
[100.0, 1200.0, 0.270765, [81.13886666666667], [4070.4845], [225.33805], [4.300351406829705]]
[100.0, 1000.0, 0.319811, [3603.492647058826], [166436.40000000002], [8725.5], [343.57968291942325]]
[100.0, 2000.0, 0.312305, [5338.170000000001], [246773.2], [13256.265000000001], [604.4286558395459]]
[100.0, 400.0, 0.309272, [93.27621666666667], [4070.4845], [225.33805], [4.617860555615675]]
[100.0, 1600.0, 0.283434, [85.10611666666668], [4070.4845], [225.33805], [4.400732262299587]]
[100.0, 1300.0, 0.286663, [86.12123333333332], [4070.4845], [225.33805], [4.429598050488203]]
[100.0, 1500.0, 0.268508, [2839.2475171886927], [167800.05], [8258.335], [304.3994063856739]]
[100.0, 900.0, 0.2882, [3039.2093200916747], [168034.45], [8210.1], [315.1512790269226]]
[100.0, 1900.0, 0.297483, [89.53488333333334], [4070.4845], [225.33805], [4.527973547233292]]
[100.0, 200.0, 0.319574, [96.56516666666667], [4070.4845], [225.33805], [4.6896188544486215]]
[100.0, 700.0, 0.306291, [3077.2058823529437], [167950.65000000002], [7796.205000000001], [317.38949144950834]]
[100.0, 300.0, 0.291572, [87.66776666666667], [4070.4845], [225.33805], [4.479613388576197]]
[200.0, 1800.0, 0.180546, [536.8614718614722], [31836.045], [2344.6115], [53.15722165140774]]
[200.0, 700.0, 0.187259, [19.771291666666666], [793.31], [78.43589999999999], [0.7388877715112688]]
[200.0, 2000.0, 0.175095, [18.46325], [793.31], [78.43589999999999], [0.7117058439645787]]
[200.0, 1300.0, 0.167902, [17.692091666666666], [793.31], [78.43589999999999], [0.6977079041005946]]
[200.0, 1400.0, 0.174485, [18.397850000000002], [793.31], [78.43589999999999], [0.7118342406144222]]
[200.0, 400.0, 0.184357, [19.45885], [793.31], [78.43589999999999], [0.7328627751647795]]
[200.0, 1900.0, 0.185422, [19.573475000000002], [793.31], [78.43589999999999], [0.7356160966609326]]
[200.0, 1700.0, 0.181549, [19.156683333333334], [793.31], [78.43589999999999], [0.7266545774988279]]
[200.0, 500.0, 0.162763, [17.142116666666666], [793.31], [78.43589999999999], [0.6878893342036283]]
[200.0, 1500.0, 0.169404, [17.853008333333335], [793.31], [78.43589999999999], [0.7029614439403249]]
[200.0, 100.0, 0.17039, [45.93687500000001], [1626.9325000000001], [209.49545], [1.9464082305621297]]
[200.0, 600.0, 0.1835, [19.36655], [793.31], [78.43589999999999], [0.7319867371293918]]
[200.0, 1000.0, 0.18287, [19.298733333333335], [793.31], [78.43589999999999], [0.7304677439832645]]
[200.0, 1200.0, 0.179497, [18.936066666666665], [793.31], [78.43589999999999], [0.7235099150821792]]
[200.0, 300.0, 0.173519, [18.29413333333333], [793.31], [78.43589999999999], [0.7094160842238886]]
[200.0, 1600.0, 0.181456, [19.146649999999998], [793.31], [78.43589999999999], [0.7262737374204487]]
[200.0, 900.0, 0.170668, [17.988500000000002], [793.31], [78.43589999999999], [0.7039443929269793]]
[200.0, 800.0, 0.178578, [18.837316666666666], [793.31], [78.43589999999999], [0.7207899312559798]]
[200.0, 1100.0, 0.172049, [18.136516666666665], [793.31], [78.43589999999999], [0.7064986042291789]]
[200.0, 200.0, 0.185732, [50.149125000000005], [1626.9325000000001], [209.49545], [2.033815687322723]]
[300.0, 2000.0, 0.190034, [10.9316275], [316.11505], [41.70535], [0.4155581713190104]]
[300.0, 400.0, 0.178575, [10.2590675], [316.11505], [41.70535], [0.4023936194822179]]
[300.0, 1000.0, 0.182813, [10.5075175], [316.11505], [41.70535], [0.4077708072557426]]
[300.0, 200.0, 0.186255, [10.709505], [316.11505], [41.70535], [0.41129616002340696]]
[300.0, 1600.0, 0.18069, [10.382993749999999], [316.11505], [41.70535], [0.4063178789445525]]
[300.0, 1300.0, 0.174056, [9.994525], [316.11505], [41.70535], [0.39819141910643935]]
[300.0, 800.0, 0.190749, [10.97366375], [316.11505], [41.70535], [0.4171561083695167]]
