[100.0, 1800.0, 0.073632, [85.31712, 9.273601840000001], [25530.0, 1996.4], [1383.06314, 126.311676], [8.894924262297009, 2.932569810933748]]
[100.0, 800.0, 0.116802, [0.24930785599999997, 11.966778559999998], [3.8824, 1996.4], [0.428071952, 126.311676], [0.17628728065291607, 2.442708630352789]]
[100.0, 500.0, 0.083547, [49.91368000000001, 49.4145616], [9476.0, 13938.0], [553.91314, 875.2098], [4.991368579938772, 4.966349177575013]]
[100.0, 1100.0, 0.131854, [38.9737944, 0.23198697000000001], [9476.0, 1.8078], [553.91314, 0.304713108], [6.013788848970339, 0.23198694351191407]]
[100.0, 600.0, 0.117814, [44.724143999999995, 0.7454024], [9476.0, 25.392], [553.91314, 2.93968428], [4.71433925906908, 0.4303583587662728]]
[100.0, 1400.0, 0.112471, [0.232140196, 12.07129424], [3.8824, 1996.4], [0.428071952, 126.311676], [0.23214022029799142, 3.3479739200895815]]
[100.0, 1700.0, 0.078266, [12.97586952, 0.46342387199999996], [4057.2, 25.392], [209.489474, 2.93968428], [3.4679470473466, 0.4634239173801887]]
[100.0, 100.0, 0.103214, [19.8818072, 12.426130879999999], [4057.2, 1996.4], [209.489474, 126.311676], [3.1435903244538723, 2.485226363935487]]
[100.0, 1200.0, 0.068397, [13.87107368, 1.849476], [4057.2, 314.64], [209.489474, 26.476988199999997], [3.5814951291325245, 0.9247382185245724]]
[100.0, 1000.0, 0.109965, [12.137061360000002, 14.00430256], [1968.8, 1996.4], [126.311676, 126.311676], [3.366215506351309, 3.6158949498015014]]
[100.0, 2000.0, 0.08982, [17.69404352, 0.4656327], [4057.2, 25.392], [209.489474, 2.93968428], [4.059291469998182, 0.4656326227402887]]
[100.0, 400.0, 0.09328, [118.546048, 0.2490463], [25530.0, 8.096], [1383.06314, 0.98766186], [7.684199972410921, 0.24904637900599963]]
[100.0, 1600.0, 0.135263, [43.815552, 0.233061484], [9476.0, 1.8078], [553.91314, 0.304713108], [6.391154647479593, 0.23306144116949076]]
[100.0, 1300.0, 0.171512, [0.116521634, 0.93217344], [0.09706000000000001, 86.94], [0.0328924104, 7.5865132], [0.11652161838045333, 0.6591458762975007]]
[100.0, 1500.0, 0.09567, [44.6651168, 12.096802160000001], [9476.0, 1996.4], [553.91314, 126.311676], [6.446854295235778, 3.355049158268773]]
[100.0, 900.0, 0.085971, [10.97639304, 2.24517168], [1968.8, 314.64], [126.311676, 26.476988199999997], [2.340174759969862, 0.7483904542416345]]
[100.0, 1900.0, 0.076618, [0.93074652, 52.1218272], [103.5, 13938.0], [6.6977012, 875.2098], [0.6581374826584487, 6.965072041551329]]
[100.0, 200.0, 0.137186, [0.124928548, 8.9948584], [0.35742, 1996.4], [0.090960262, 126.311676], [0.12492859845527764, 2.120108810792503]]
[100.0, 700.0, 0.081356, [102.6968584, 9.47204032], [25530.0, 1996.4], [1383.06314, 126.311676], [7.155229838935994, 2.173035325989893]]
[100.0, 300.0, 0.102639, [0.7486292999999999, 0.2495431], [43.37799999999999, 8.096], [3.22984216, 0.98766186], [0.4322213460716626, 0.24954309354498275]]
[200.0, 1800.0, 0.0436, [5.454823520000001, 2.9372122399999996], [1968.8, 874.0], [126.311676, 74.882572], [1.06977875335043, 0.7850029588734044]]
[200.0, 700.0, 0.048839, [9.74146048, 1.34364988], [4057.2, 314.64], [209.489474, 26.476988199999997], [1.044394114115931, 0.27427133444091456]]
[200.0, 2000.0, 0.040474, [50.3568624, 0.208949664], [25530.0, 25.392], [1383.06314, 2.93968428], [3.243770750962528, 0.1477497085750087]]
[200.0, 1300.0, 0.055937, [6.0854596, 0.31476530399999997], [1968.8, 25.392], [126.311676, 2.93968428], [1.1300416587011295, 0.1817297636382109]]
[200.0, 1400.0, 0.040825, [20.511657600000003, 4.81396256], [9476.0, 1996.4], [553.91314, 126.311676], [2.0719911490158447, 1.0037804601405629]]
[200.0, 400.0, 0.058134, [5.832971120000001, 0.08412940000000001], [1968.8, 1.8078], [126.311676, 0.304713108], [0.8088875228608734, 0.04857212295133908]]
[200.0, 1900.0, 0.071147, [22.371069600000002, 0.05226888], [9476.0, 0.31418], [553.91314, 0.093860286], [2.162693607888089, 0.052268854932933054]]
[200.0, 1700.0, 0.038242, [48.725242400000006, 1.04560576], [25530.0, 314.64], [1383.06314, 26.476988199999997], [3.192096146922896, 0.33064958708578485]]
[200.0, 500.0, 0.053029, [9.839383439999999, 1.56535608], [4057.2, 314.64], [209.489474, 26.476988199999997], [1.0488816669958532, 0.2958245658494237]]
[200.0, 1500.0, 0.049539, [9.36933152, 6.03801336], [4057.2, 1996.4], [209.489474, 126.311676], [1.3966973265815326, 1.121230840246557]]
[200.0, 100.0, 0.046627, [0.168140212, 5.492580319999999], [14.352, 1996.4], [1.25133524, 126.311676], [0.06864295958071738, 0.7846544032120127]]
[200.0, 600.0, 0.050647, [6.7529435200000005, 5.177257679999999], [1968.8, 1996.4], [126.311676, 126.311676], [0.8718012426694516, 0.7633447959081139]]
[200.0, 1000.0, 0.044447, [2.2970909600000002, 1.2529590400000001], [786.6, 314.64], [50.808656000000006, 26.476988199999997], [0.4897415011207443, 0.361698090677847]]
[200.0, 1200.0, 0.040349, [7.722253680000001, 2.92193288], [4057.2, 874.0], [209.489474, 74.882572], [1.2695305314327812, 0.7809194982326924]]
[200.0, 300.0, 0.04221, [54.1508136, 4.81092104], [25530.0, 1996.4], [1383.06314, 126.311676], [2.4614008122205533, 0.7336585555692784]]
[200.0, 1600.0, 0.052659, [9.8382868, 6.489082], [4057.2, 1996.4], [209.489474, 126.311676], [1.4350616394845206, 1.1654736329578632]]
[200.0, 900.0, 0.046383, [8.818117200000001, 1.33946112], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.9921156468073669, 0.2734162919505712]]
[200.0, 800.0, 0.050257, [10.778922399999999, 5.2771807200000005], [4057.2, 1996.4], [209.489474, 126.311676], [1.1001190585750253, 0.7697558137487499]]
[200.0, 1100.0, 0.056968, [0.052296664, 7.32152928], [1.1500000000000001, 1996.4], [0.18400000000000002, 126.311676], [0.05229663912719439, 1.2375643578578044]]
[200.0, 200.0, 0.052036, [0.11180686399999999, 0.11180686399999999], [3.8824, 8.096], [0.428071952, 0.98766186], [0.055903419788059475, 0.07905937980024887]]
[300.0, 2000.0, 0.024065, [27.498211199999997, 3.0553568], [25530.0, 1996.4], [1383.06314, 126.311676], [1.4677462137031732, 0.4892487340566146]]
[300.0, 400.0, 0.028421, [5.65719224, 0.295524976], [4057.2, 86.94], [209.489474, 7.5865132], [0.48870704818326494, 0.0789823777509895]]
[300.0, 1000.0, 0.025221, [5.969594799999999, 0.510557404], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.6847594053388386, 0.141603153185231]]
[300.0, 200.0, 0.030439, [0.0315104646, 0.81927242], [1.1500000000000001, 314.64], [0.18400000000000002, 26.476988199999997], [0.018192578376909633, 0.13118854834169025]]
[300.0, 1600.0, 0.02567, [1193.7216199999998], [791200.0], [37086.3868], [108.07447677412091]]
[300.0, 1300.0, 0.027821, [0.551502372, 0.7878605839999999], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.1473951980764638, 0.17617096791469358]]
[300.0, 800.0, 0.028205, [5.30641832, 0.821231376], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.47273331421426185, 0.1315022782464243]]
[300.0, 700.0, 0.029404, [5.26205776, 0.336771704], [4057.2, 86.94], [209.489474, 7.5865132], [0.47065272204460906, 0.08419292425376375]]
[300.0, 300.0, 0.028986, [6.40204448, 0.12635611200000002], [4057.2, 25.392], [209.489474, 2.93968428], [0.5192744387315824, 0.05158468796067298]]
[300.0, 900.0, 0.027271, [5.921156799999999, 0.0634409644], [4057.2, 8.096], [209.489474, 0.98766186], [0.5004290591722268, 0.036627659952554986]]
[300.0, 600.0, 0.025191, [4.9687709600000005, 1.768545624], [4057.2, 874.0], [209.489474, 74.882572], [0.4574124535952208, 0.27289253328004415]]
[300.0, 1400.0, 0.027323, [4.935643600000001, 0.0783435384], [4057.2, 8.096], [209.489474, 0.98766186], [0.6218326210806249, 0.055397255888717085]]
[300.0, 500.0, 0.030291, [6.58783664, 0.739020176], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.5274490544346438, 0.12491719887989805]]
[300.0, 1200.0, 0.022537, [3.06275544, 1.335047328], [1968.8, 874.0], [126.311676, 74.882572], [0.4904334218953679, 0.32379655844990074]]
[300.0, 100.0, 0.025941, [5.48024312, 2.78227688], [4057.2, 1996.4], [209.489474, 126.311676], [0.4806491375962303, 0.3424746679332648]]
[300.0, 1100.0, 0.026332, [0.548747248, 0.705532268], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.14665887914476913, 0.16629554153975384]]
[300.0, 1900.0, 0.035866, [0.9067093119999999, 0.23653292], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.18906199220361558, 0.09656415715989035]]
[300.0, 1500.0, 0.028481, [1.3722462400000002, 0.156828168], [786.6, 25.392], [50.808656000000006, 2.93968428], [0.23195197930606243, 0.0784140831942834]]
[300.0, 1700.0, 0.020867, [970.31112], [786600.0], [37086.3868], [97.51994575470188]]
[300.0, 1800.0, 0.022324, [0.27499812, 1.3357051279999999], [103.5, 874.0], [6.6977012, 74.882572], [0.10393952187690685, 0.323956024670016]]
[400.0, 900.0, 0.014703, [683.6632699999999], [791200.0], [37086.3868], [40.78393568551225]]
[400.0, 1200.0, 0.016693, [0.0181024858, 0.0181024904], [1.1500000000000001, 1.8078], [0.18400000000000002, 0.304713108], [0.012800392484607652, 0.012800393311144779]]
[400.0, 1500.0, 0.016088, [748.0503899999999], [791200.0], [37086.3868], [58.05997290733091]]
[400.0, 200.0, 0.014711, [683.9956199999999], [791200.0], [37086.3868], [40.80375672655644]]
[400.0, 1600.0, 0.017519, [0.34615082799999997, 0.009109232799999999], [259.90000000000003, 0.31418], [15.5177596, 0.093860286], [0.07941244742733974, 0.009109232391370856]]
[400.0, 500.0, 0.018356, [3.82061648, 0.08771820959999999], [4057.2, 25.392], [209.489474, 2.93968428], [0.2729010935265742, 0.029239403468607223]]
[400.0, 1700.0, 0.014629, [1.9859635200000003, 1.444337256], [1968.8, 1996.4], [126.311676, 126.311676], [0.26778733173919933, 0.2283697970923476]]
[400.0, 300.0, 0.014615, [679.53592], [786600.0], [37086.3868], [40.68275472482167]]
[400.0, 1300.0, 0.014928, [0.326597976, 0.9435052639999999], [259.90000000000003, 874.0], [15.5177596, 74.882572], [0.07697987507394384, 0.18503658812245755]]
[400.0, 1400.0, 0.014621, [3.23617912, 0.345434792], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.34303418605147795, 0.07924816665639654]]
[400.0, 1100.0, 0.018101, [0.018211216000000002, 0.009105608000000001], [1.1500000000000001, 0.31418], [0.18400000000000002, 0.093860286], [0.012877273389968856, 0.009105607918200738]]
[400.0, 800.0, 0.015437, [0.35097448000000003, 0.136490096], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.05849573862086024, 0.03647850466233505]]
[400.0, 100.0, 0.017252, [3.1599092799999995, 0.0487640296], [4057.2, 8.096], [209.489474, 0.98766186], [0.2482659164041653, 0.02180793584730109]]
[400.0, 1000.0, 0.014868, [0.162822704, 0.018091413599999998], [103.5, 1.8078], [6.6977012, 0.304713108], [0.05427423799925707, 0.012792561129031198]]
[400.0, 400.0, 0.016657, [0.21379088799999998, 0.9134703920000001], [103.5, 874.0], [6.6977012, 74.882572], [0.045580378462667465, 0.13324334305022523]]
[400.0, 1800.0, 0.01862, [0.181544888, 0.0544634572], [103.5, 8.096], [6.6977012, 0.98766186], [0.05740951856965882, 0.03144449102784143]]
[400.0, 2000.0, 0.015519, [0.199353052, 0.126861008], [103.5, 86.94], [6.6977012, 7.5865132], [0.06010721975936002, 0.04794896667082618]]
[400.0, 600.0, 0.016424, [3.51242936, 0.0390270072], [4057.2, 8.096], [209.489474, 0.98766186], [0.26180109445149385, 0.01951350145924611]]
[400.0, 700.0, 0.017113, [3.9448532800000002, 0.9373909440000001], [4057.2, 874.0], [209.489474, 74.882572], [0.2775589227245271, 0.1353007439092631]]
[400.0, 1900.0, 0.014942, [0.361997276, 1.2669903279999999], [259.90000000000003, 1996.4], [15.5177596, 126.311676], [0.08094504339117992, 0.21416042898724313]]
[500.0, 1700.0, 0.008885, [1.89372984, 0.08437413839999999], [4057.2, 86.94], [209.489474, 7.5865132], [0.18843324921042995, 0.02812470696594011]]
[500.0, 1100.0, 0.010709, [2.5825448800000004, 0.0374281852], [4057.2, 25.392], [209.489474, 2.93968428], [0.2198408868977743, 0.018714098086736637]]
[500.0, 300.0, 0.010053, [2.3080573600000003, 0.0403154212], [4057.2, 25.392], [209.489474, 2.93968428], [0.1525207509868739, 0.014253653555492359]]
[500.0, 1300.0, 0.010713, [0.13001587199999998, 0.26003174399999995], [103.5, 314.64], [6.6977012, 26.476988199999997], [0.03474820635370983, 0.04914138469355538]]
[500.0, 1800.0, 0.009955, [1.2907136319999999, 0.252530892], [1968.8, 314.64], [126.311676, 26.476988199999997], [0.15538365867233273, 0.048599595405723284]]
[500.0, 1400.0, 0.010087, [2.1385013600000002, 0.0468969448], [4057.2, 25.392], [209.489474, 2.93968428], [0.2002889654873678, 0.020972955305345025]]
[500.0, 600.0, 0.009205, [428.00608], [791200.0], [37086.3868], [23.211888979572514]]
[500.0, 1900.0, 0.012572, [0.0046696095, 0.21480196799999998], [0.09706000000000001, 314.64], [0.0328924104, 26.476988199999997], [0.0033019117538177784, 0.044789319155352204]]
[500.0, 1200.0, 0.013533, [0.260913656, 0.037273386000000006], [259.90000000000003, 8.096], [15.5177596, 0.98766186], [0.04930804349799331, 0.018636688675835095]]
[500.0, 800.0, 0.009336, [434.07808], [791200.0], [37086.3868], [23.369980723141385]]
[500.0, 1000.0, 0.009724, [452.11835999999994], [786600.0], [37086.3868], [32.4601958712513]]
[500.0, 2000.0, 0.009341, [2.0492448, 0.08460180160000001], [4057.2, 86.94], [209.489474, 7.5865132], [0.196281951488159, 0.028200603794954465]]
[500.0, 700.0, 0.01052, [0.65443096, 0.916203344], [786.6, 1996.4], [50.808656000000006, 126.311676], [0.05739738363375111, 0.09604421065321948]]
[500.0, 100.0, 0.010195, [0.22704413199999998, 0.04540882639999999], [259.90000000000003, 25.392], [15.5177596, 2.93968428], [0.03384573594413334, 0.015136276059850387]]
[500.0, 200.0, 0.00925, [430.09609], [791200.0], [37086.3868], [23.256935374206122]]
[500.0, 1500.0, 0.010537, [0.23349048, 0.0046698096], [259.90000000000003, 0.31418], [15.5177596, 0.093860286], [0.04669809801694283, 0.004669808895447436]]
[500.0, 900.0, 0.009832, [2.35562872, 0.805342976], [4057.2, 1996.4], [209.489474, 126.311676], [0.15399223718616467, 0.0900400761616737]]
[500.0, 1600.0, 0.011512, [0.28205534800000004, 0.08461662280000001], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.051496033354036116, 0.028205539090043998]]
[500.0, 500.0, 0.009618, [447.2014199999999], [791200.0], [37086.3868], [23.701631125304434]]
[500.0, 400.0, 0.009497, [2.26944312, 0.186598724], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.15129619718684276, 0.030676627115770076]]
[600.0, 200.0, 0.00611, [1.401382272, 0.133996712], [4057.2, 314.64], [209.489474, 26.476988199999997], [0.0884544668041134, 0.019340758942709566]]
[600.0, 1400.0, 0.006169, [286.83691], [786600.0], [37086.3868], [19.29474647151395]]
[600.0, 1900.0, 0.005918, [275.17659999999995], [791200.0], [37086.3868], [18.89920790403661]]
[600.0, 100.0, 0.009237, [0.0035151751, 0.005624281999999999], [0.09706000000000001, 1.8078], [0.0328924104, 0.304713108], [0.0015720341001390524, 0.002812139938196533]]
[600.0, 800.0, 0.006621, [307.84326999999996], [791200.0], [37086.3868], [14.642617225072843]]
[600.0, 1200.0, 0.006332, [294.40207], [786600.0], [37086.3868], [19.540157581247904]]
[600.0, 600.0, 0.007703, [0.20133997600000003, 0.111855532], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.023728139473629194, 0.017685910681669744]]
[600.0, 1600.0, 0.005925, [275.47168999999997], [786600.0], [37086.3868], [18.919470626843655]]
[600.0, 400.0, 0.006663, [0.167425924, 0.04464690079999999], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.02161458502400636, 0.01116172345831951]]
[600.0, 500.0, 0.007094, [1.7162478560000003, 0.050477879200000006], [4057.2, 86.94], [209.489474, 7.5865132], [0.09811136395749476, 0.011897748607194556]]
[600.0, 1100.0, 0.010093, [0.0039101058, 0.531774536], [0.09706000000000001, 1996.4], [0.0328924104, 126.311676], [0.002257501025913388, 0.07446332462091657]]
[600.0, 300.0, 0.006272, [1.486215656, 0.047671069600000004], [4057.2, 86.94], [209.489474, 7.5865132], [0.09129751078315335, 0.01156193322935226]]
[600.0, 1700.0, 0.006098, [283.51295], [791200.0], [37086.3868], [19.201918854635334]]
[600.0, 1500.0, 0.006327, [294.18908999999996], [791200.0], [37086.3868], [19.569173950374093]]
[600.0, 1800.0, 0.006186, [287.60442], [791200.0], [37086.3868], [19.346367661656803]]
