[100.0, 1800.0, 0.339235, [1185.408], [30674.0], [2695.0], [342.1978139497679]]
[100.0, 800.0, 0.37814, [87.637137], [1984.5000000000002], [171.50000000000003], [15.255669789294732]]
[100.0, 500.0, 0.369605, [3.98766949], [31.653999999999996], [5.390000000000001], [2.302282090231343]]
[100.0, 1100.0, 0.34441, [59.307963400000006], [1332.8000000000002], [127.39999999999999], [17.120734630266305]]
[100.0, 600.0, 0.419167, [1058.687532], [22099.0], [1911.0], [236.72978665136336]]
[100.0, 1400.0, 0.282017, [692.383524], [22099.0], [1911.0], [261.6963345559123]]
[100.0, 1700.0, 0.281519, [691.106192], [22099.0], [1911.0], [261.21359073371354]]
[100.0, 100.0, 0.333702, [1164.8148680000002], [30674.0], [2695.0], [248.33934795758807]]
[100.0, 1200.0, 0.37474, [1.970094], [9.555], [1.6660000000000001], [1.393067018287347]]
[100.0, 1000.0, 0.445873, [4.9725396], [31.653999999999996], [5.390000000000001], [3.516118249006993]]
[100.0, 2000.0, 0.444943, [4.9600005], [31.653999999999996], [5.390000000000001], [3.507249748592193]]
[100.0, 400.0, 0.321947, [795.865448], [22099.0], [1911.0], [205.49158223148703]]
[100.0, 1600.0, 0.328922, [24.8261146], [409.64], [54.39], [11.102573932201487]]
[100.0, 1300.0, 0.479748, [12.412087099999999], [117.11], [15.19], [5.550854436931309]]
[100.0, 1500.0, 0.350579, [2230.2217699999983], [56840.0], [4900.0], [743.4071944096311]]
[100.0, 900.0, 0.315419, [1992.9965999999981], [56840.0], [4900.0], [514.5893589066912]]
[100.0, 1900.0, 0.340461, [54.529620599999994], [1381.8], [117.60000000000001], [16.441301436321883]]
[100.0, 200.0, 0.302512, [745.226104], [22099.0], [1911.0], [199.17004630214856]]
[100.0, 700.0, 0.250886, [1725.8838799999987], [68110.0], [5390.0], [478.67407554618995]]
[100.0, 300.0, 0.369572, [3.9872652400000006], [31.653999999999996], [5.390000000000001], [2.302048473642551]]
[200.0, 1800.0, 0.31672, [782.1924879999999], [22099.0], [1911.0], [132.2146471341205]]
[200.0, 700.0, 0.24689, [11.032776300000002], [255.29], [30.87], [1.8137772117875999]]
