[100.0, 800.0, 0.082031, [5.670245199999999], [391.84824], [51.31345999999999], [0.6979591687197754]]
[100.0, 500.0, 0.096396, [1.4166504999999998], [64.841554], [8.396747999999999], [0.24660719697527075]]
[100.0, 650.0, 0.082737, [2.84055428], [200.58897999999996], [23.324299999999997], [0.4944768924833596]]
[100.0, 850.0, 0.079021, [1.1592340399999999], [64.841554], [8.396747999999999], [0.22309471230847222]]
[100.0, 600.0, 0.061325, [0.8981472399999999], [64.841554], [8.396747999999999], [0.1959918383759895]]
[100.0, 150.0, 0.078841, [1.15657248], [64.841554], [8.396747999999999], [0.22258248068974343]]
[100.0, 100.0, 0.104897, [3.6073071199999998], [200.58897999999996], [23.324299999999997], [0.5566195781680698]]
[100.0, 1000.0, 0.105078, [3.6136054399999997], [200.58897999999996], [23.324299999999997], [0.5575913485699002]]
[100.0, 400.0, 0.060261, [2.0659786799999997], [200.58897999999996], [23.324299999999997], [0.4217160733479339]]
[100.0, 350.0, 0.078747, [1.15517408], [64.841554], [8.396747999999999], [0.22231337663307618]]
[100.0, 750.0, 0.074852, [2.5684969399999997], [200.58897999999996], [23.324299999999997], [0.46894106580678124]]
[100.0, 550.0, 0.104983, [1.5442965899999999], [64.841554], [8.396747999999999], [0.2573827432055226]]
[100.0, 50.0, 0.076339, [0.76853051], [32.18753399999999], [5.5978319999999995], [0.18114438467697527]]
[100.0, 900.0, 0.078757, [1.1553323199999999], [64.841554], [8.396747999999999], [0.22234383245325245]]
[100.0, 450.0, 0.096905, [3.3303714799999997], [200.58897999999996], [23.324299999999997], [0.5332862353370842]]
[100.0, 200.0, 0.097467, [3.34986444], [200.58897999999996], [23.324299999999997], [0.5364075364869513]]
[100.0, 950.0, 0.05963, [4.1172714], [391.84824], [51.31345999999999], [0.5942769179431421]]
[100.0, 700.0, 0.067372, [2.31075434], [200.58897999999996], [23.324299999999997], [0.4447048185931877]]
[100.0, 300.0, 0.113311, [1.6683900999999999], [64.841554], [8.396747999999999], [0.2671561631331008]]
[100.0, 250.0, 0.061588, [0.90202642], [64.841554], [8.396747999999999], [0.1968383349604441]]
[200.0, 750.0, 0.048552, [0.32843103], [23.324299999999997], [2.33243], [0.04240025203344904]]
[200.0, 550.0, 0.054105, [0.7918357199999999], [64.841554], [8.396747999999999], [0.09331874099022125]]
[200.0, 700.0, 0.040606, [0.5936465599999999], [64.841554], [8.396747999999999], [0.08078505672461955]]
[200.0, 250.0, 0.05185, [0.75869341], [64.841554], [8.396747999999999], [0.09133595097222122]]
[200.0, 50.0, 0.030868, [1.0567285599999998], [200.58897999999996], [23.324299999999997], [0.15252562328999017]]
[200.0, 400.0, 0.042834, [0.62631668], [64.841554], [8.396747999999999], [0.08295768734722538]]
[200.0, 650.0, 0.04653, [0.31466081500000004], [23.324299999999997], [2.33243], [0.04167784681338516]]
[200.0, 450.0, 0.043912, [0.2968497299999999], [23.324299999999997], [2.33243], [0.04039612973417132]]
[200.0, 500.0, 0.034084, [0.23009452999999996], [23.324299999999997], [2.33243], [0.03550435547577226]]
[200.0, 350.0, 0.045058, [0.6589529899999998], [64.841554], [8.396747999999999], [0.0850704678487194]]
[200.0, 100.0, 0.040677, [0.5946781099999999], [64.841554], [8.396747999999999], [0.08092542727721615]]
[200.0, 600.0, 0.058662, [0.39740366], [23.324299999999997], [2.33243], [0.0468344753627069]]
[200.0, 1000.0, 0.039085, [0.26403700999999996], [23.324299999999997], [2.33243], [0.03811045171603192]]
[200.0, 150.0, 0.046263, [0.31284519499999996], [23.324299999999997], [2.33243], [0.041437358144553564]]
[200.0, 300.0, 0.031584, [0.46143474], [64.841554], [8.396747999999999], [0.07120090872313357]]
[200.0, 850.0, 0.031567, [0.46118266], [64.841554], [8.396747999999999], [0.07116201858435439]]
[200.0, 900.0, 0.051079, [0.3456486], [23.324299999999997], [2.33243], [0.04354763173813244]]
[200.0, 800.0, 0.026861, [0.181160305], [23.324299999999997], [2.33243], [0.03153595454794416]]
[200.0, 200.0, 0.042879, [0.62697494], [64.841554], [8.396747999999999], [0.08304484354853105]]
[200.0, 950.0, 0.046451, [0.31412445499999997], [23.324299999999997], [2.33243], [0.04160678703649201]]
[300.0, 650.0, 0.017561, [0.25632511], [64.841554], [8.396747999999999], [0.03309142135055549]]
[300.0, 400.0, 0.040681, [0.274874955], [23.324299999999997], [2.33243], [0.024201385926223316]]
[300.0, 1000.0, 0.020267, [0.2958722299999999], [64.841554], [8.396747999999999], [0.03561884735642073]]
[300.0, 350.0, 0.016198, [0.109092818], [23.324299999999997], [2.33243], [0.01527604784458336]]
[300.0, 200.0, 0.029451, [0.19869320499999998], [23.324299999999997], [2.33243], [0.02060352978860661]]
[300.0, 250.0, 0.023729, [0.159969485], [23.324299999999997], [2.33243], [0.018471681467857763]]
[300.0, 150.0, 0.021884, [0.14749784999999996], [23.324299999999997], [2.33243], [0.01775664798040441]]
[300.0, 550.0, 0.01841, [0.26872993], [64.841554], [8.396747999999999], [0.033856789053305095]]
[300.0, 800.0, 0.023722, [0.159921185], [23.324299999999997], [2.33243], [0.01846610687177998]]
[300.0, 700.0, 0.019036, [0.12825697], [23.324299999999997], [2.33243], [0.01655790351312629]]
[300.0, 300.0, 0.018999, [0.12800373999999998], [23.324299999999997], [2.33243], [0.016525219900201026]]
[300.0, 900.0, 0.02373, [0.15997902999999997], [23.324299999999997], [2.33243], [0.018472791173777717]]
[300.0, 600.0, 0.021878, [0.14745553], [23.324299999999997], [2.33243], [0.017751560325785447]]
[300.0, 50.0, 0.016667, [0.24325167999999994], [64.841554], [8.396747999999999], [0.032219470184967354]]
[300.0, 850.0, 0.017053, [0.11486429999999999], [23.324299999999997], [2.33243], [0.01563105534664886]]
[300.0, 750.0, 0.021852, [0.14727923499999998], [23.324299999999997], [2.33243], [0.017730337348736483]]
[300.0, 500.0, 0.022834, [0.15392094499999998], [23.324299999999997], [2.33243], [0.018139765509785397]]
[300.0, 950.0, 0.020849, [0.14050182499999997], [23.324299999999997], [2.33243], [0.017294581557528357]]
[300.0, 100.0, 0.012749, [0.43616376599999995], [200.58897999999996], [23.324299999999997], [0.06107514774439762]]
[300.0, 450.0, 0.018052, [0.12161227], [23.324299999999997], [2.33243], [0.016107945360908073]]
[400.0, 900.0, 0.011589, [0.07800914599999999], [23.324299999999997], [2.33243], [0.00883279583003026]]
[400.0, 200.0, 0.014227, [0.09579325199999998], [23.324299999999997], [2.33243], [0.009776857411765805]]
[400.0, 500.0, 0.010218, [0.068766711], [23.324299999999997], [2.33243], [0.008278539211418884]]
[400.0, 150.0, 0.009803, [0.06597178549999999], [23.324299999999997], [2.33243], [0.008120565217397123]]
[400.0, 300.0, 0.011134, [0.0749398305], [23.324299999999997], [2.33243], [0.008653307181361354]]
[400.0, 650.0, 0.01202, [0.08091490849999998], [23.324299999999997], [2.33243], [0.00899054451771415]]
[400.0, 550.0, 0.010669, [0.07181041599999999], [23.324299999999997], [2.33243], [0.008462939777346875]]
