[100.0, 800.0, 0.059508, [1.80416922], [198.25654999999998], [19.592412], [0.39370198521216526]]
[100.0, 500.0, 0.101645, [3.0908733999999995], [198.25654999999998], [19.592412], [0.5151455774827151]]
[100.0, 650.0, 0.139855, [1.8076256599999998], [60.643179999999994], [6.530804], [0.39445620928057396]]
[100.0, 850.0, 0.121573, [1.29146656], [43.38319799999999], [5.131346], [0.5272390691138129]]
[100.0, 600.0, 0.060137, [0.76984036], [60.643179999999994], [6.530804], [0.25661350572407526]]
[100.0, 150.0, 0.060231, [0.7710483199999999], [60.643179999999994], [6.530804], [0.25701608284307814]]
[100.0, 100.0, 0.151599, [0.5363329749999999], [6.530804], [0.8863233999999999], [0.13848058194201812]]
[100.0, 1000.0, 0.060904, [0.6415054199999999], [43.38319799999999], [5.131346], [0.37037342129261913]]
[100.0, 400.0, 0.091128, [0.64561828], [23.0444084], [2.8455645999999994], [0.16669791669364079]]
[100.0, 350.0, 0.076123, [2.3103490799999995], [198.25654999999998], [19.592412], [0.44462677706139114]]
[100.0, 750.0, 0.072723, [0.5136992499999999], [23.0444084], [2.8455645999999994], [0.14829222130644612]]
[100.0, 550.0, 0.072872, [0.5147655299999999], [23.0444084], [2.8455645999999994], [0.14860000794078038]]
[100.0, 50.0, 0.040098, [0.51235352], [60.643179999999994], [6.530804], [0.20916746792940816]]
[100.0, 900.0, 0.10132, [3.0808863399999997], [198.25654999999998], [19.592412], [0.5134811684959829]]
[100.0, 450.0, 0.112499, [0.6436789199999999], [15.114146399999997], [2.1924842], [0.3716282606315079]]
[100.0, 200.0, 0.12116, [1.2895189199999997], [43.38319799999999], [5.131346], [0.7445041380677477]]
[100.0, 950.0, 0.166805, [0.9648713899999999], [15.114146399999997], [2.1924842], [0.3216238123957863]]
[100.0, 700.0, 0.126064, [0.8986267899999999], [23.0444084], [2.8455645999999994], [0.19609638681016028]]
[100.0, 300.0, 0.056894, [0.32122375], [15.114146399999997], [2.1924842], [0.13113907400161096]]
[100.0, 250.0, 0.084853, [2.5770083199999996], [198.25654999999998], [19.592412], [0.5260296607606837]]
[200.0, 750.0, 0.037394, [0.26274486999999996], [23.0444084], [2.8455645999999994], [0.05363255777976657]]
[200.0, 550.0, 0.028994, [0.09897946499999999], [6.530804], [0.8863233999999999], [0.023329688081926852]]
[200.0, 700.0, 0.028983, [0.0989410895], [6.530804], [0.8863233999999999], [0.02332064468448503]]
[200.0, 250.0, 0.033779, [0.11545332999999998], [6.530804], [0.8863233999999999], [0.025193985725763996]]
[200.0, 50.0, 0.02362, [0.24766381599999998], [43.38319799999999], [5.131346], [0.08255460970775647]]
[200.0, 400.0, 0.042196, [0.29667631], [23.0444084], [2.8455645999999994], [0.057095381783468256]]
[200.0, 650.0, 0.042397, [0.29809978000000004], [23.0444084], [2.8455645999999994], [0.05736932190639872]]
[200.0, 450.0, 0.025847, [0.329833018], [60.643179999999994], [6.530804], [0.08516252459855803]]
[200.0, 500.0, 0.025759, [0.32870638599999996], [60.643179999999994], [6.530804], [0.08487163304661928]]
[200.0, 350.0, 0.024157, [0.0823691065], [6.530804], [0.8863233999999999], [0.021267610743804767]]
[200.0, 100.0, 0.029033, [0.0991130145], [6.530804], [0.8863233999999999], [0.023361159554910794]]
[200.0, 600.0, 0.030345, [0.10362822499999999], [6.530804], [0.8863233999999999], [0.026756694400654202]]
[200.0, 1000.0, 0.037577, [0.26403700999999996], [23.0444084], [2.8455645999999994], [0.053896317684977324]]
[200.0, 150.0, 0.019339, [0.0658621445], [6.530804], [0.8863233999999999], [0.019012762575438637]]
[200.0, 300.0, 0.033752, [0.115358685], [6.530804], [0.8863233999999999], [0.025173321378991687]]
[200.0, 850.0, 0.024153, [0.082354053], [6.530804], [0.8863233999999999], [0.021263723903634565]]
[200.0, 900.0, 0.031382, [0.329338334], [43.38319799999999], [5.131346], [0.1901436026796589]]
[200.0, 800.0, 0.037502, [0.26350571], [23.0444084], [2.8455645999999994], [0.05378790346351119]]
[200.0, 200.0, 0.033791, [0.115495305], [6.530804], [0.8863233999999999], [0.025203154529740916]]
[200.0, 950.0, 0.032961, [0.23146003999999998], [23.0444084], [2.8455645999999994], [0.050508733145863]]
[300.0, 650.0, 0.013191, [0.044856888500000004], [6.530804], [0.8863233999999999], [0.00978857410453637]]
[300.0, 400.0, 0.011284, [0.038354638999999996], [6.530804], [0.8863233999999999], [0.009040275005496238]]
[300.0, 1000.0, 0.024521, [0.08361608599999998], [6.530804], [0.8863233999999999], [0.013389289544258873]]
