[100.0, 800.0, 0.149482, [1471.3786764705892], [167950.65000000002], [7796.205000000001], [80.9967266656588]]
[100.0, 500.0, 0.144017, [2407.7460000000005], [246773.2], [13256.265000000001], [149.899699799566]]
[100.0, 650.0, 0.1316, [1447.3937643239124], [166436.40000000002], [8725.5], [80.41075807530895]]
[100.0, 850.0, 0.143254, [1484.0011459129119], [168034.45], [8210.1], [81.32277255969024]]
[100.0, 600.0, 0.138928, [41.002383333333334], [4070.4845], [225.33805], [1.1272730123818473]]
[100.0, 150.0, 0.142264, [41.99791666666666], [4070.4845], [225.33805], [1.141770798170787]]
[100.0, 100.0, 0.126656, [1310.4898777692906], [168034.45], [8210.1], [76.42932430894548]]
[100.0, 1000.0, 0.152607, [2553.0905000000002], [246773.2], [13256.265000000001], [154.52006342219775]]
[100.0, 400.0, 0.131327, [38.737100000000005], [4070.4845], [225.33805], [1.0991735531752935]]
[100.0, 350.0, 0.136392, [1412.1908422459903], [168034.45], [8210.1], [79.1917505430693]]
[100.0, 750.0, 0.114342, [33.68825], [4070.4845], [225.33805], [1.0222651862951762]]
[100.0, 550.0, 0.124937, [36.83558333333333], [4070.4845], [225.33805], [1.0700604863485264]]
[100.0, 50.0, 0.135329, [1409.2830882352937], [167800.05], [8258.335], [79.0286825689583]]
[100.0, 900.0, 0.132755, [39.16223333333333], [4070.4845], [225.33805], [1.1019599962491078]]
[100.0, 450.0, 0.137141, [40.4694], [4070.4845], [225.33805], [1.118981307559097]]
[100.0, 200.0, 0.122569, [36.131483333333335], [4070.4845], [225.33805], [1.0603999507523356]]
[100.0, 950.0, 0.14556, [1602.5931054239888], [166436.40000000002], [8725.5], [84.46405952991459]]
[100.0, 700.0, 0.131489, [1292.5148013750963], [167950.65000000002], [7796.205000000001], [75.76857952736822]]
[100.0, 300.0, 0.143519, [1412.0258785332326], [167950.65000000002], [7796.205000000001], [79.18246609745788]]
[100.0, 250.0, 0.14587, [1511.4099503437747], [168034.45], [8210.1], [82.08853115014713]]
[200.0, 750.0, 0.08036, [8.413066666666666], [793.31], [78.43589999999999], [0.18267710204377316]]
[200.0, 550.0, 0.076517, [8.009209166666666], [793.31], [78.43589999999999], [0.17864530733644624]]
[200.0, 700.0, 0.079444, [8.316788333333333], [793.31], [78.43589999999999], [0.18200795541221082]]
[200.0, 250.0, 0.081506, [8.533508333333334], [793.31], [78.43589999999999], [0.18438171833334113]]
[200.0, 50.0, 0.018915, [185.09286669213154], [167950.65000000002], [7796.205000000001], [14.542270248689155]]
[200.0, 400.0, 0.078496, [8.2171225], [793.31], [78.43589999999999], [0.18086931285691704]]
[200.0, 650.0, 0.081041, [8.484566666666666], [793.31], [78.43589999999999], [0.18422945762161805]]
[200.0, 450.0, 0.079338, [8.305578333333333], [793.31], [78.43589999999999], [0.18189337917826717]]
[200.0, 500.0, 0.081221, [8.503491666666667], [793.31], [78.43589999999999], [0.1837332002902276]]
[200.0, 350.0, 0.078912, [8.260786666666666], [793.31], [78.43589999999999], [0.18130416815089745]]
[200.0, 100.0, 0.07719, [8.079863333333332], [793.31], [78.43589999999999], [0.17955254956573452]]
[200.0, 600.0, 0.073376, [7.679298333333334], [793.31], [78.43589999999999], [0.17525521073248831]]
[200.0, 1000.0, 0.07973, [8.346816666666665], [793.31], [78.43589999999999], [0.18240332294731426]]
[200.0, 150.0, 0.081256, [8.507191666666667], [793.31], [78.43589999999999], [0.1839420009737369]]
