[100.0, 800.0, 0.151284, [1.56779914], [32.18753399999999], [5.5978319999999995], [1.5677990110342586]]
[100.0, 500.0, 0.088978, [0.39192620999999994], [9.796206], [1.3994579999999999], [0.39192617512740835]]
[100.0, 600.0, 0.091689, [3.1563341599999997], [200.58897999999996], [23.324299999999997], [1.822310770423091]]
[100.0, 100.0, 0.068396, [4.7270014], [391.84824], [51.31345999999999], [1.929790188595641]]
[100.0, 1000.0, 0.068077, [3.14952754], [254.23487], [33.120506], [2.2270523631024033]]
[100.0, 400.0, 0.047492, [6.301017439999999], [634.4209599999999], [102.62691999999998], [4.455491707095862]]
[100.0, 900.0, 0.085683, [1.2593751199999998], [64.841554], [8.396747999999999], [0.6296874959851116]]
[100.0, 200.0, 0.058006, [0.39343202], [23.324299999999997], [2.33243], [0.27819845358125195]]
[100.0, 700.0, 0.071603, [1.05162486], [64.841554], [8.396747999999999], [0.743611021973182]]
[100.0, 300.0, 0.069737, [0.47381805499999996], [23.324299999999997], [2.33243], [0.2735589195219194]]
[200.0, 700.0, 0.022611, [0.152426635], [23.324299999999997], [2.33243], [0.07621335542409872]]
[200.0, 400.0, 0.026062, [0.38067875], [64.841554], [8.396747999999999], [0.2197849721432291]]
[200.0, 500.0, 0.017812, [0.6094972399999999], [200.58897999999996], [23.324299999999997], [0.30474869811042665]]
[200.0, 100.0, 0.022511, [0.15174836499999997], [23.324299999999997], [2.33243], [0.07587420773886208]]
[200.0, 600.0, 0.02614, [0.38179769999999996], [64.841554], [8.396747999999999], [0.17074511287296043]]
[200.0, 1000.0, 0.021221, [0.143029525], [23.324299999999997], [2.33243], [0.08257811206669718]]
[200.0, 300.0, 0.022527, [0.15185508499999997], [23.324299999999997], [2.33243], [0.0759275340209334]]
[200.0, 900.0, 0.036411, [0.53221724], [64.841554], [8.396747999999999], [0.20115918865416016]]
[200.0, 800.0, 0.026086, [0.38100949], [64.841554], [8.396747999999999], [0.19050480841700554]]
