[100.0, 800.0, 0.386694, [145.533604], [3085.22], [282.25002], [6.048169844176004]]
[100.0, 500.0, 0.346328, [129.1911472], [3085.22], [282.25002], [5.698377215734318]]
[100.0, 600.0, 0.352749, [131.7614064], [3085.22], [282.25002], [5.767039941737876]]
[100.0, 100.0, 0.353399, [132.022208], [3085.22], [282.25002], [5.767416822113691]]
[100.0, 1000.0, 0.364128, [136.34282240000002], [3085.22], [282.25002], [5.867260599632506]]
[100.0, 400.0, 0.365253, [136.79779920000001], [3085.22], [282.25002], [5.875967330065748]]
[100.0, 900.0, 0.333721, [124.17436880000001], [3085.22], [282.25002], [5.592532516561705]]
[100.0, 200.0, 0.37327, [140.0486376], [3085.22], [282.25002], [5.934049922270624]]
[100.0, 700.0, 0.356381, [133.2201768], [3085.22], [282.25002], [5.797663354973277]]
[100.0, 300.0, 0.33475, [124.58253599999999], [3085.22], [282.25002], [5.610914898374418]]
[200.0, 700.0, 0.3819, [57.236236], [1401.1599999999999], [108.248672], [2.0885795847896245]]
[200.0, 400.0, 0.372382, [55.687093999999995], [1401.1599999999999], [108.248672], [2.059661750385242]]
[200.0, 500.0, 0.389688, [58.511747], [1401.1599999999999], [108.248672], [2.1113607893962603]]
[200.0, 100.0, 0.389149, [58.423128000000005], [1401.1599999999999], [108.248672], [2.1054236934640973]]
[200.0, 600.0, 0.390424, [21.0752312], [584.66], [33.078448200000004], [1.794043050765505]]
[200.0, 1000.0, 0.409168, [61.734921], [1401.1599999999999], [108.248672], [2.170484421275582]]
[200.0, 300.0, 0.395857, [59.527173999999995], [1401.1599999999999], [108.248672], [2.125970882914439]]
[200.0, 900.0, 0.41055, [61.965289], [1401.1599999999999], [108.248672], [2.170549372854716]]
[200.0, 800.0, 0.394471, [59.298669000000004], [1401.1599999999999], [108.248672], [2.1245950437671643]]
[200.0, 200.0, 0.405728, [61.162129], [1401.1599999999999], [108.248672], [2.154344451335487]]
[300.0, 400.0, 0.333289, [23.116678999999998], [541.42], [48.124464], [0.8193489732708524]]
[300.0, 1000.0, 0.34818, [24.225532], [541.42], [48.124464], [0.839869179098745]]
[300.0, 200.0, 0.317383, [21.943426], [541.42], [48.124464], [0.7986032563169273]]
[300.0, 800.0, 0.343394, [23.868043], [541.42], [48.124464], [0.8345264040160741]]
[300.0, 700.0, 0.346364, [24.08974], [541.42], [48.124464], [0.8397151642074828]]
[300.0, 300.0, 0.326036, [22.580358099999998], [541.42], [48.124464], [0.8126847482265186]]
[300.0, 900.0, 0.318449, [22.0217272], [541.42], [48.124464], [0.8003933907773102]]
[300.0, 600.0, 0.351969, [24.509397999999997], [541.42], [48.124464], [0.846158090429915]]
[300.0, 500.0, 0.339009, [5.653981899999999], [113.804], [6.8261562], [0.40593227723353065]]
[300.0, 100.0, 0.181078, [12.264432600000001], [541.42], [48.124464], [0.5984430723970326]]
[400.0, 900.0, 0.306542, [5.267144900000001], [110.4], [7.9261634], [0.2677440066556112]]
[400.0, 200.0, 0.274598, [4.6858911999999995], [110.4], [7.9261634], [0.25155187377556937]]
[400.0, 500.0, 0.284175, [4.8589823], [110.4], [7.9261634], [0.25680517109279555]]
[400.0, 300.0, 0.273896, [6.4950689], [182.298], [12.4450194], [0.2964579555350135]]
[400.0, 800.0, 0.306512, [5.2666021], [110.4], [7.9261634], [0.26737111717610784]]
[400.0, 100.0, 0.131685, [2.1961331499999996], [110.4], [7.9261634], [0.17254450692502502]]
[400.0, 1000.0, 0.30868, [5.306447299999999], [110.4], [7.9261634], [0.2680160304907152]]
[400.0, 400.0, 0.270343, [4.6092943], [110.4], [7.9261634], [0.2503425065784874]]
[400.0, 600.0, 0.290761, [4.9785846], [110.4], [7.9261634], [0.2598800523318402]]
[400.0, 700.0, 0.295753, [5.0695565], [110.4], [7.9261634], [0.2621405765996558]]
[500.0, 300.0, 0.225779, [2.29321937], [45.8252], [3.97160136], [0.1274010671854832]]
[500.0, 600.0, 0.221436, [2.7519362], [70.518], [4.742462], [0.13934969059886715]]
[500.0, 800.0, 0.242353, [2.4702414], [45.8252], [3.97160136], [0.13222893832289512]]
