[100.0, 800.0, 0.932476, [78.59877399999999], [137.07999999999998], [19.9292056], [35.15043278823178]]
[100.0, 500.0, 0.953971, [62.836183999999996], [137.07999999999998], [19.9292056], [19.87053582568925]]
[100.0, 600.0, 0.868641, [44.17288], [137.07999999999998], [19.9292056], [16.695782221866693]]
[100.0, 100.0, 0, [0.0], [58.419999999999995], [16.4252844], [0.0]]
[100.0, 1000.0, 0.812607, [42.0869732], [137.07999999999998], [19.9292056], [21.043484207706666]]
[100.0, 400.0, 0.730503, [31.5009472], [137.07999999999998], [19.9292056], [15.750476576916649]]
[100.0, 900.0, 0.66616, [31.484258399999998], [137.07999999999998], [19.9292056], [22.26273116219122]]
[100.0, 200.0, 0.969604, [83.61861599999999], [137.07999999999998], [19.9292056], [29.563649240240956]]
[100.0, 700.0, 0.93463, [56.76998], [137.07999999999998], [19.9292056], [18.923317616105265]]
[100.0, 300.0, 0.666793, [31.564022399999995], [137.07999999999998], [19.9292056], [22.319131739384485]]
[200.0, 700.0, 0.718392, [26.625949999999996], [137.07999999999998], [19.9292056], [7.116084032668529]]
[200.0, 400.0, 0.620914, [21.3302138], [137.07999999999998], [19.9292056], [5.70074011686202]]
[200.0, 500.0, 0.649755, [22.897052], [137.07999999999998], [19.9292056], [6.609809452624183]]
[200.0, 100.0, 0.520499, [17.0845794], [137.07999999999998], [19.9292056], [5.694859450416665]]
[200.0, 600.0, 0.653496, [22.907861999999998], [137.07999999999998], [19.9292056], [5.9147843916748135]]
[200.0, 1000.0, 0.61046, [20.994243599999997], [137.07999999999998], [19.9292056], [6.3300028214843636]]
[200.0, 300.0, 0.328282, [10.117534399999998], [137.07999999999998], [19.9292056], [5.0587683046370095]]
[200.0, 900.0, 0.51401, [16.7268282], [137.07999999999998], [19.9292056], [5.043326802815776]]
[200.0, 800.0, 0.620579, [21.3140264], [137.07999999999998], [19.9292056], [5.696412372713197]]
[200.0, 200.0, 0.565079, [18.951397399999998], [137.07999999999998], [19.9292056], [5.992957960807001]]
