[100.0, 800.0, 0.998743, [146.0363104], [401.764], [38.278302], [6.058606197468193]]
[100.0, 500.0, 0.999136, [151.0581304], [401.764], [38.278302], [6.161788857142056]]
[100.0, 600.0, 0.999094, [150.44022159999997], [401.764], [38.278302], [6.162272354902857]]
[100.0, 100.0, 0.999236, [152.6821696], [401.764], [38.278302], [6.202290384688547]]
[100.0, 1000.0, 0.999618, [161.59148639999998], [401.764], [38.278302], [6.387463997550201]]
[100.0, 400.0, 0.999266, [153.2034416], [401.764], [38.278302], [6.2183343776287865]]
[100.0, 900.0, 0.999072, [150.117504], [401.764], [38.278302], [6.1490531615851225]]
[100.0, 200.0, 0.999123, [150.8602752], [401.764], [38.278302], [6.158845845123905]]
[100.0, 700.0, 0.998224, [141.2941152], [401.764], [38.278302], [5.970767395904819]]
[100.0, 300.0, 0.999071, [150.1055256], [401.764], [38.278302], [6.158903564758909]]
[200.0, 700.0, 0.993281, [60.1170872], [190.20999999999998], [15.425373200000001], [1.914518010570807]]
[200.0, 400.0, 0.993258, [60.09026000000001], [190.20999999999998], [15.425373200000001], [1.9136636912477594]]
[200.0, 500.0, 0.994879, [62.229683200000004], [190.20999999999998], [15.425373200000001], [1.9475328737661914]]
[200.0, 100.0, 0.994666, [61.9133504], [190.20999999999998], [15.425373200000001], [1.9385821210358873]]
[200.0, 600.0, 0.993876, [60.84328], [190.20999999999998], [15.425373200000001], [1.9278933115709491]]
[200.0, 1000.0, 0.996027, [64.1615912], [190.20999999999998], [15.425373200000001], [1.9791276413612133]]
[200.0, 300.0, 0.994526, [61.7138944], [190.20999999999998], [15.425373200000001], [1.93613732240252]]
[200.0, 900.0, 0.996032, [64.17018399999999], [190.20999999999998], [15.425373200000001], [1.9756365414721402]]
[200.0, 800.0, 0.995532, [63.272208799999994], [190.20999999999998], [15.425373200000001], [1.9629316279483604]]
[200.0, 200.0, 0.995036, [62.4673376], [190.20999999999998], [15.425373200000001], [1.947355548429716]]
[300.0, 400.0, 0.957338, [24.4874192], [77.83200000000001], [6.5614124], [0.7542626606693453]]
[300.0, 1000.0, 0.962734, [25.2271728], [77.83200000000001], [6.5614124], [0.7665741213477011]]
[300.0, 200.0, 0.958493, [397.01620199999996], [3529.12], [183.784812], [15.191405109468974]]
[300.0, 800.0, 0.969166, [420.754318], [3529.12], [183.784812], [15.669709429341694]]
[300.0, 700.0, 0.961538, [25.0556664], [77.83200000000001], [6.5614124], [0.7659739003386474]]
[300.0, 300.0, 0.958321, [24.616090399999997], [77.83200000000001], [6.5614124], [0.7589468054086532]]
[300.0, 900.0, 0.95784, [24.5526288], [77.83200000000001], [6.5614124], [0.7559128927594768]]
[300.0, 600.0, 0.966002, [413.066522], [3529.12], [183.784812], [15.534963469541859]]
[300.0, 500.0, 0.963212, [25.2972032], [77.83200000000001], [6.5614124], [0.7679936058067149]]
[300.0, 100.0, 0.759181, [13.619361679999999], [77.83200000000001], [6.5614124], [0.5640563141247512]]
[400.0, 900.0, 0.901578, [320.928384], [3529.12], [183.784812], [9.34654800875703]]
[400.0, 200.0, 0.881119, [302.759902], [3529.12], [183.784812], [9.042645320922412]]
[400.0, 500.0, 0.881037, [11.400965679999999], [33.0878], [2.97621058], [0.3518414398333431]]
[400.0, 300.0, 0.889167, [11.691124480000001], [33.0878], [2.97621058], [0.3557496180180662]]
[400.0, 800.0, 0.903219, [322.51142799999997], [3529.12], [183.784812], [9.357006076732022]]
[400.0, 100.0, 0.499498, [130.41234599999999], [3529.12], [183.784812], [5.946291378666202]]
[400.0, 1000.0, 0.900049, [319.46977], [3529.12], [183.784812], [9.300123874443823]]
[400.0, 400.0, 0.890884, [311.09344600000003], [3529.12], [183.784812], [9.197669804901675]]
[400.0, 600.0, 0.900764, [320.148822], [3529.12], [183.784812], [9.319892887796511]]
[400.0, 700.0, 0.884115, [305.257886], [3529.12], [183.784812], [9.09698819170389]]
[500.0, 300.0, 0.707188, [141.27359], [1702.9199999999998], [127.16401], [4.471938447250812]]
[500.0, 600.0, 0.683507, [134.49204], [1702.9199999999998], [127.16401], [4.356625005666658]]
[500.0, 800.0, 0.690523, [136.464842], [1702.9199999999998], [127.16401], [4.39523681273262]]
[500.0, 1000.0, 0.68099, [133.791414], [1702.9199999999998], [127.16401], [4.345343927930216]]
[500.0, 700.0, 0.700573, [139.343062], [1702.9199999999998], [127.16401], [4.4353380335663255]]
[500.0, 100.0, 0.297199, [73.7771], [3529.12], [183.784812], [3.2229682604704624]]
[500.0, 200.0, 0.502669, [90.99931600000001], [1702.9199999999998], [127.16401], [3.577552816102091]]
[500.0, 900.0, 0.685713, [135.108578], [1702.9199999999998], [127.16401], [4.351554534646211]]
[500.0, 500.0, 0.698471, [138.735678], [1702.9199999999998], [127.16401], [4.420486554215497]]
[500.0, 400.0, 0.655552, [183.11472999999998], [3529.12], [183.784812], [5.07868749186244]]
[600.0, 200.0, 0.251512, [0.55380182], [2.3414], [0.294280676], [0.03812528113703265]]
[600.0, 100.0, 0.173481, [0.36643646], [2.3414], [0.294280676], [0.030969537721229654]]
[600.0, 800.0, 0.481984, [86.645232], [1702.9199999999998], [127.16401], [2.6065347064637368]]
[600.0, 600.0, 0.481027, [86.446604], [1702.9199999999998], [127.16401], [2.602915192625376]]
[600.0, 400.0, 0.474822, [85.16389400000001], [1702.9199999999998], [127.16401], [2.5819107900932594]]
[600.0, 500.0, 0.480327, [86.30152], [1702.9199999999998], [127.16401], [2.602088713322434]]
[600.0, 300.0, 0.483128, [86.88273], [1702.9199999999998], [127.16401], [2.6136793590645357]]
[600.0, 1000.0, 0.468768, [83.91996200000001], [1702.9199999999998], [127.16401], [2.5691125603990184]]
[600.0, 700.0, 0.475399, [85.282804], [1702.9199999999998], [127.16401], [2.5855146961485254]]
[600.0, 900.0, 0.471473, [84.474906], [1702.9199999999998], [127.16401], [2.5752622514998347]]
[700.0, 100.0, 0.120502, [0.20470276000000004], [1.56584], [0.228597782], [0.017749974222203504]]
[700.0, 1000.0, 0.330786, [0.6424843], [1.56584], [0.228597782], [0.03131277286419145]]
[700.0, 600.0, 0.334954, [0.6525521666666667], [1.56584], [0.228597782], [0.03161625879195703]]
[700.0, 200.0, 0.167621, [0.2925961866666667], [1.56584], [0.228597782], [0.021171513534306737]]
[700.0, 400.0, 0.32497, [0.6285469133333333], [1.56584], [0.228597782], [0.03104171510868703]]
[700.0, 800.0, 0.350283, [0.6901541], [1.56584], [0.228597782], [0.03253417546724265]]
[700.0, 700.0, 0.329065, [0.6383476733333333], [1.56584], [0.228597782], [0.031222605187054248]]
[700.0, 900.0, 0.329477, [0.6393369799999999], [1.56584], [0.228597782], [0.031270994128389615]]
[700.0, 300.0, 0.269044, [0.5005957666666666], [1.56584], [0.228597782], [0.027725435518070166]]
[700.0, 500.0, 0.349814, [0.6889901466666667], [1.56584], [0.228597782], [0.03251546044576334]]
[800.0, 300.0, 0.155104, [0.22001554666666667], [1.01798], [0.163028324], [0.014291546002989163]]
[800.0, 100.0, 0.091405, [0.12412245933333334], [1.01798], [0.163028324], [0.010722547485452222]]
[800.0, 800.0, 0.26263, [0.40359572000000005], [1.01798], [0.163028324], [0.019328729509319655]]
[800.0, 400.0, 0.259669, [0.39811788666666664], [1.01798], [0.163028324], [0.019243754842661154]]
[800.0, 200.0, 0.093722, [0.12746612266666668], [1.01798], [0.163028324], [0.010850638506558036]]
[800.0, 600.0, 0.253559, [0.3868980266666667], [1.01798], [0.163028324], [0.018946478699513297]]
[800.0, 1000.0, 0.241519, [0.36510844000000003], [1.01798], [0.163028324], [0.018370600401486914]]
[800.0, 900.0, 0.245334, [0.3719676533333333], [1.01798], [0.163028324], [0.018575173646563848]]
[800.0, 500.0, 0.230872, [0.3461825066666666], [1.01798], [0.163028324], [0.017924653550037972]]
[800.0, 700.0, 0.243666, [0.3689629333333333], [1.01798], [0.163028324], [0.018541081629721606]]
[900.0, 200.0, 0.066104, [0.06848581966666667], [0.59984], [0.115804954], [0.004448632467774038]]
[900.0, 300.0, 0.091039, [0.09632576333333333], [0.59984], [0.115804954], [0.00526283748667115]]
[900.0, 1000.0, 0.165377, [0.18674006666666668], [0.59984], [0.115804954], [0.007358589917006292]]
[900.0, 900.0, 0.174115, [0.19816317], [0.59984], [0.115804954], [0.007571425487390806]]
[900.0, 700.0, 0.167742, [0.18981455333333333], [0.59984], [0.115804954], [0.007411015365281902]]
[900.0, 500.0, 0.185326, [0.21308549333333335], [0.59984], [0.115804954], [0.007838475886434952]]
[900.0, 800.0, 0.173317, [0.19711352666666668], [0.59984], [0.115804954], [0.007531319084699277]]
[900.0, 400.0, 0.14659, [0.16277215], [0.59984], [0.115804954], [0.006860026917666658]]
[900.0, 100.0, 0.060659, [0.06255917966666667], [0.59984], [0.115804954], [0.0042566131476666855]]
[900.0, 600.0, 0.182546, [0.20935726999999998], [0.59984], [0.115804954], [0.0077699766051413845]]
[1000.0, 700.0, 0.117491, [0.06240862933333333], [0.115092], [0.0285439154], [0.0021368303596162653]]
[1000.0, 500.0, 0.118877, [0.06330955466666667], [0.115092], [0.0285439154], [0.0021538350787993652]]
[1000.0, 1000.0, 0.119031, [0.06341001866666666], [0.115092], [0.0285439154], [0.002154759677860465]]
[1000.0, 200.0, 0.046143, [0.0214452], [0.115092], [0.0285439154], [0.0012528419944714143]]
[1000.0, 800.0, 0.118225, [0.06288509733333333], [0.115092], [0.0285439154], [0.0021468620482514057]]
[1000.0, 400.0, 0.08479, [0.04235618666666667], [0.115092], [0.0285439154], [0.0017557209016368302]]
[1000.0, 300.0, 0.061739, [0.029540056133333333], [0.115092], [0.0285439154], [0.0014696729244593467]]
[1000.0, 600.0, 0.117378, [0.06233484533333334], [0.115092], [0.0285439154], [0.002134303944198722]]
[1000.0, 100.0, 0.041157, [0.01895144186666667], [0.115092], [0.0285439154], [0.0011775852256017633]]
[1000.0, 900.0, 0.121279, [0.06488103733333334], [0.115092], [0.0285439154], [0.002174817861492467]]
[1100.0, 700.0, 0.111036, [0.058267832], [0.115092], [0.0285439154], [0.0016526969156839106]]
[1100.0, 900.0, 0.111871, [0.05879827333333334], [0.115092], [0.0285439154], [0.0016643984074333484]]
[1100.0, 200.0, 0.041382, [0.019062544133333335], [0.115092], [0.0285439154], [0.0009483970973290787]]
[1100.0, 800.0, 0.112951, [0.059486188], [0.115092], [0.0285439154], [0.001670538343036626]]
[1100.0, 500.0, 0.09887, [0.05071110533333333], [0.115092], [0.0285439154], [0.0015445205092699662]]
[1100.0, 400.0, 0.070683, [0.03438889466666667], [0.115092], [0.0285439154], [0.0012719186235325313]]
[1100.0, 600.0, 0.110129, [0.057693138666666664], [0.115092], [0.0285439154], [0.0016490487811664841]]
[1100.0, 100.0, 0.040675, [0.018712524000000005], [0.115092], [0.0285439154], [0.000936797852355447]]
[1100.0, 1000.0, 0.109641, [0.05738484666666667], [0.115092], [0.0285439154], [0.0016422505376599652]]
[1100.0, 300.0, 0.053148, [0.025025122400000002], [0.115092], [0.0285439154], [0.0010870219501003648]]
[1200.0, 100.0, 0.026868, [0.012047510400000001], [0.115092], [0.0285439154], [0.0006084911961747862]]
[1200.0, 700.0, 0.081912, [0.04069822399999999], [0.115092], [0.0285439154], [0.0011189110619010093]]
[1200.0, 200.0, 0.032481, [4.246809239999999], [621.92], [101.24287199999999], [0.6261578395261054]]
[1200.0, 800.0, 0.079899, [0.039548775999999994], [0.115092], [0.0285439154], [0.0011024118577011043]]
[1200.0, 1000.0, 0.081897, [0.040689545333333334], [0.115092], [0.0285439154], [0.0011186719141712442]]
[1200.0, 300.0, 0.035176, [0.0160179544], [0.115092], [0.0285439154], [0.0007024337734224092]]
[1200.0, 600.0, 0.078824, [0.03893847866666667], [0.115092], [0.0285439154], [0.0010913516561280024]]
[1200.0, 500.0, 0.057946, [0.0275292612], [0.115092], [0.0285439154], [0.0009196881182468569]]
[1200.0, 900.0, 0.079881, [0.03953844133333334], [0.115092], [0.0285439154], [0.0010999885825670093]]
[1200.0, 400.0, 0.045663, [0.02120280146666667], [0.115092], [0.0285439154], [0.0008071768434075233]]
[1300.0, 900.0, 0.05911, [0.031317352], [0.1449], [0.046468142], [0.000794948500134862]]
[1300.0, 200.0, 0.021136, [0.010516903333333332], [0.1449], [0.046468142], [0.00046119679424538743]]
[1300.0, 1000.0, 0.059193, [0.03136602], [0.1449], [0.046468142], [0.0007972120728304776]]
[1300.0, 500.0, 0.037183, [0.018997110666666667], [0.1449], [0.046468142], [0.0006183033532354665]]
[1300.0, 100.0, 0.019317, [0.0095826924], [0.1449], [0.046468142], [0.00043968407526819123]]
[1300.0, 600.0, 0.052389, [0.027448374799999998], [0.1449], [0.046468142], [0.0007440250957535715]]
[1300.0, 300.0, 0.025917, [0.012997710933333332], [0.1449], [0.046468142], [0.0005149880278220067]]
[1300.0, 400.0, 0.030527, [0.015426256400000001], [0.1449], [0.046468142], [0.0005581022445554021]]
[1300.0, 700.0, 0.058712, [0.03108618666666667], [0.1449], [0.046468142], [0.000791892371474811]]
[1300.0, 800.0, 0.060247, [0.031980150666666665], [0.1449], [0.046468142], [0.0008027715670101925]]
[1400.0, 400.0, 0.017884, [0.008851083866666666], [0.1449], [0.046468142], [0.0003445279555823849]]
[1400.0, 600.0, 0.029812, [0.015046937333333333], [0.1449], [0.046468142], [0.0004488125076490429]]
[1400.0, 900.0, 0.041281, [0.021234562933333333], [0.1449], [0.046468142], [0.0005337069701208292]]
[1400.0, 100.0, 0.012383, [0.006073671333333334], [0.1449], [0.046468142], [0.0002844257698904545]]
[1400.0, 700.0, 0.038319, [0.01961449813333333], [0.1449], [0.046468142], [0.0005121087259557291]]
[1400.0, 800.0, 0.038667, [0.019803907733333334], [0.1449], [0.046468142], [0.0005151262486894731]]
[1400.0, 300.0, 0.016411, [0.008102234533333334], [0.1449], [0.046468142], [0.0003294026850055853]]
[1400.0, 500.0, 0.022021, [0.010973085333333332], [0.1449], [0.046468142], [0.0003824976758099322]]
[1400.0, 1000.0, 0.03992, [0.020487952266666665], [0.1449], [0.046468142], [0.0005244707437661958]]
[1400.0, 200.0, 0.014235, [0.007002889733333333], [0.1449], [0.046468142], [0.00030534044026663454]]
[1500.0, 400.0, 0.010036, [0.004903458933333333], [0.1449], [0.046468142], [0.000209274577699039]]
[1500.0, 200.0, 0.007974, [0.0038827005333333334], [0.1449], [0.046468142], [0.00018594758052263607]]
[1500.0, 500.0, 0.012582, [0.006173114133333334], [0.1449], [0.046468142], [0.00023399128872673871]]
[1500.0, 600.0, 0.021469, [0.45422883999999997], [27.319399999999998], [16.034657], [0.11016668679777931]]
[1500.0, 1000.0, 0.028996, [0.613712956], [27.319399999999998], [16.034657], [0.12796796542885255]]
[1500.0, 800.0, 0.032744, [0.6931812679999999], [27.319399999999998], [16.034657], [0.13594406390865327]]
[1500.0, 300.0, 0.008833, [0.186775272], [27.319399999999998], [16.034657], [0.07059440622598932]]
[1500.0, 100.0, 0.007577, [0.16021165199999998], [27.319399999999998], [16.034657], [0.06540614460431068]]
[1500.0, 900.0, 0.023615, [0.011798239466666667], [0.1449], [0.046468142], [0.00032339130531842627]]
[1500.0, 700.0, 0.025188, [0.532998688], [27.319399999999998], [16.034657], [0.13324966977820246]]
[1600.0, 100.0, 0.012687, [0.268303372], [27.319399999999998], [16.034657], [0.06927563957409559]]
[1600.0, 900.0, 0.025251, [0.534338944], [27.319399999999998], [16.034657], [0.09755648939973188]]
[1600.0, 300.0, 0.008433, [0.178304832], [27.319399999999998], [16.034657], [0.05638494540921361]]
[1600.0, 500.0, 0.010923, [0.23099396799999997], [27.319399999999998], [16.034657], [0.0640662132734564]]
[1600.0, 1000.0, 0.02279, [0.482204384], [27.319399999999998], [16.034657], [0.09280027732717182]]
[1600.0, 800.0, 0.02346, [0.49639197999999995], [27.319399999999998], [16.034657], [0.09380923809518975]]
[1600.0, 200.0, 0.006788, [0.143526256], [27.319399999999998], [16.034657], [0.050744209411518075]]
[1600.0, 700.0, 0.018571, [0.392859412], [27.319399999999998], [16.034657], [0.08375790350766905]]
[1600.0, 400.0, 0.010947, [0.23148745599999998], [27.319399999999998], [16.034657], [0.06420307520360688]]
[1600.0, 600.0, 0.010795, [1.4108843999999998], [621.92], [101.24287199999999], [0.15873690237622756]]
[1700.0, 900.0, 0.019632, [0.41531191999999995], [27.319399999999998], [16.034657], [0.07020052750798955]]
[1700.0, 700.0, 0.010795, [0.22827941599999996], [27.319399999999998], [16.034657], [0.052370889898874166]]
[1700.0, 500.0, 0.012996, [0.274836476], [27.319399999999998], [16.034657], [0.05730736788930372]]
[1700.0, 300.0, 0.007906, [0.16715525999999997], [27.319399999999998], [16.034657], [0.04467412387501292]]
[1700.0, 800.0, 0.023583, [0.49898702399999995], [27.319399999999998], [16.034657], [0.07699537657807773]]
[1700.0, 400.0, 0.007744, [0.163742888], [27.319399999999998], [16.034657], [0.049370340861695484]]
[1700.0, 1000.0, 0.019138, [0.404852348], [27.319399999999998], [16.034657], [0.0694315960467567]]
[1700.0, 100.0, 0.006777, [0.14327555599999997], [27.319399999999998], [16.034657], [0.04136009365559996]]
[1700.0, 600.0, 0.00962, [0.20341843999999998], [27.319399999999998], [16.034657], [0.04933622129024476]]
[1700.0, 200.0, 0.004515, [0.09544917199999998], [27.319399999999998], [16.034657], [0.033746359969632274]]
[1800.0, 600.0, 0.006838, [0.144567144], [27.319399999999998], [16.034657], [0.03407480544918782]]
[1800.0, 400.0, 0.005289, [0.11181081999999999], [27.319399999999998], [16.034657], [0.029882698994568746]]
[1800.0, 500.0, 0.007186, [0.1519334], [27.319399999999998], [16.034657], [0.03485590924936545]]
[1800.0, 1000.0, 0.013609, [0.287807924], [27.319399999999998], [16.034657], [0.047967991861240136]]
[1800.0, 700.0, 0.008327, [0.17607548799999997], [27.319399999999998], [16.034657], [0.03753942729451262]]
