[100.0, 800.0, 0.840939, [73.830946], [559.22573], [45.9422579], [2.2230575842294327]]
[100.0, 500.0, 0.810634, [68.7413944], [559.22573], [45.9422579], [2.1450286026997403]]
[100.0, 600.0, 0.815018, [69.43785100000001], [559.22573], [45.9422579], [2.16045928839217]]
[100.0, 100.0, 0.823289, [70.785841], [559.22573], [45.9422579], [2.1793159706660252]]
[100.0, 1000.0, 0.838053, [986.16175], [6115.6802], [692.13725], [105.12520849497096]]
[100.0, 400.0, 0.824442, [70.97771519999999], [559.22573], [45.9422579], [2.1841880675436354]]
[100.0, 900.0, 0.815762, [69.5571954], [559.22573], [45.9422579], [2.159994699252755]]
[100.0, 200.0, 0.833488, [72.5154234], [559.22573], [45.9422579], [2.20351556254999]]
[100.0, 700.0, 0.817342, [69.811966], [559.22573], [45.9422579], [2.1658184026367495]]
[100.0, 300.0, 0.830533, [72.00658779999999], [559.22573], [45.9422579], [2.201305789843837]]
[200.0, 700.0, 0.86015, [43.514499], [232.580215], [24.307993500000002], [1.329035916369456]]
[200.0, 400.0, 0.884993, [46.5381175], [232.580215], [24.307993500000002], [1.3741278811486215]]
[200.0, 500.0, 0.87745, [45.5690445], [232.580215], [24.307993500000002], [1.3598155524739375]]
[200.0, 100.0, 0.88076, [45.988018999999994], [232.580215], [24.307993500000002], [1.3632437143629161]]
[200.0, 600.0, 0.874345, [45.1841005], [232.580215], [24.307993500000002], [1.3555905571004838]]
[200.0, 1000.0, 0.889534, [47.1464035], [232.580215], [24.307993500000002], [1.3842662609664373]]
[200.0, 300.0, 0.88038, [45.939460000000004], [232.580215], [24.307993500000002], [1.3630026232549959]]
[200.0, 900.0, 0.864207, [43.9773285], [232.580215], [24.307993500000002], [1.33448601079217]]
[200.0, 800.0, 0.884417, [46.462265499999994], [232.580215], [24.307993500000002], [1.3724861951036158]]
[200.0, 200.0, 0.879218, [45.7916025], [232.580215], [24.307993500000002], [1.3604133246921688]]
[300.0, 400.0, 0.84069, [14.5394662], [58.226357], [5.8080827], [0.47422507831197624]]
[300.0, 1000.0, 0.815844, [13.66262345], [58.226357], [5.8080827], [0.4603054497016084]]
[300.0, 200.0, 0.840171, [14.5200671], [58.226357], [5.8080827], [0.4740969671913121]]
[300.0, 800.0, 0.837521, [14.42180495], [58.226357], [5.8080827], [0.4734188702407203]]
[300.0, 700.0, 0.852539, [14.997383450000001], [58.226357], [5.8080827], [0.48353504386962487]]
[300.0, 300.0, 0.840973, [14.55018985], [58.226357], [5.8080827], [0.4760967188502773]]
[300.0, 900.0, 0.83077, [14.17701565], [58.226357], [5.8080827], [0.4686776998908738]]
[300.0, 600.0, 0.8549, [15.092129850000001], [58.226357], [5.8080827], [0.4845790953239729]]
[300.0, 500.0, 0.832364, [14.234110450000001], [58.226357], [5.8080827], [0.4700517030870115]]
