[100.0, 1800.0, 0.040947, [0.378104636], [43.37799999999999], [3.22984216], [0.21829880505399013]]
[100.0, 800.0, 0.054352, [0.50270686], [43.37799999999999], [3.22984216], [0.2513533783023415]]
[100.0, 500.0, 0.045249, [2105.01129], [791200.0], [37086.3868], [257.16807986217884]]
[100.0, 1100.0, 0.069435, [0.031492244], [0.09706000000000001], [0.0328924104], [0.03149224974497694]]
[100.0, 600.0, 0.080479, [0.06310413399999999], [0.31418], [0.093860286], [0.06310412049937786]]
[100.0, 1400.0, 0.040296, [2105.1345700000006], [805000.0], [41654.771], [257.1830956731022]]
[100.0, 1700.0, 0.044672, [2078.14154], [791200.0], [37086.3868], [255.8015703626543]]
[100.0, 100.0, 0.069438, [0.031493854], [0.09706000000000001], [0.0328924104], [0.03149384549400089]]
[100.0, 1200.0, 0.036517, [1698.44627], [791200.0], [37086.3868], [231.12928762924008]]
[100.0, 1000.0, 0.043422, [2019.89358], [786600.0], [37086.3868], [252.48668380728515]]
[100.0, 2000.0, 0.042636, [1983.33554], [791200.0], [37086.3868], [249.87676762756476]]
[100.0, 400.0, 0.048147, [2240.00082], [791200.0], [37086.3868], [265.83920967381766]]
[100.0, 1600.0, 0.044787, [0.06280559399999999], [1.1500000000000001], [0.18400000000000002], [0.0628055841466346]]
[100.0, 1300.0, 0.04484, [0.06288218400000001], [1.1500000000000001], [0.18400000000000002], [0.06288216825142084]]
[100.0, 1500.0, 0.051248, [0.377296508], [25.392], [2.93968428], [0.21783224110310206]]
[100.0, 900.0, 0.04646, [7.808124640000001], [1996.4], [126.311676], [1.4023805976980714]]
[100.0, 1900.0, 0.076526, [0.06320110200000001], [0.35742], [0.090960262], [0.06320108726912853]]
[100.0, 200.0, 0.054369, [0.502867584], [43.37799999999999], [3.22984216], [0.25143381191876324]]
[100.0, 700.0, 0.041052, [2144.6428200000005], [805000.0], [41654.771], [260.07610405417876]]
[100.0, 300.0, 0.076498, [0.06317571], [0.35742], [0.090960262], [0.06317572074776828]]
[200.0, 1800.0, 0.024052, [0.09127506760000001], [8.096], [0.98766186], [0.05269767709491568]]
[200.0, 700.0, 0.021306, [1112.71493], [805000.0], [41654.771], [92.08893826079225]]
[200.0, 2000.0, 0.022634, [1052.48736], [786600.0], [37086.3868], [89.27081942045787]]
[200.0, 1300.0, 0.022355, [6.13604672], [4057.2], [209.489474], [0.6105593013622838]]
[200.0, 1400.0, 0.022069, [1026.20365], [786600.0], [37086.3868], [88.32152733054382]]
[200.0, 400.0, 0.023427, [1089.36464], [786600.0], [37086.3868], [91.09724836678657]]
[200.0, 1900.0, 0.021384, [0.8545977520000001], [314.64], [26.476988199999997], [0.16150376614803755]]
[200.0, 1700.0, 0.022578, [1179.1699800000001], [805000.0], [41654.771], [94.71320689323112]]
[200.0, 500.0, 0.023265, [1081.8578999999997], [791200.0], [37086.3868], [90.78750002065262]]
[200.0, 1500.0, 0.025993, [1.03896244], [314.64], [26.476988199999997], [0.1781804878655348]]
[200.0, 100.0, 0.023496, [1092.58855], [791200.0], [37086.3868], [91.0490376665234]]
[200.0, 600.0, 0.028078, [1305.74795], [791200.0], [37086.3868], [99.85306364854308]]
[200.0, 1000.0, 0.024123, [1121.75945], [786600.0], [37086.3868], [92.52117006393726]]
[200.0, 1200.0, 0.021002, [976.60346], [786600.0], [37086.3868], [86.3203513083676]]
[200.0, 300.0, 0.022533, [1047.79996], [791200.0], [37086.3868], [89.19464053405899]]
