[100.0, 1800.0, 0.182038, [859.228916], [43757.0], [3724.0], [151.89166661012052]]
[100.0, 800.0, 0.198941, [33.4682446], [1332.8000000000002], [127.39999999999999], [6.693648941197917]]
[100.0, 500.0, 0.230627, [14.725519199999999], [366.52000000000004], [46.06], [4.4399105225218225]]
[100.0, 1100.0, 0.190249, [12.076598800000001], [366.52000000000004], [46.06], [4.025531770089512]]
[100.0, 600.0, 0.169595, [4.03317677], [117.11], [15.19], [1.64653707762686]]
[100.0, 1400.0, 0.162482, [3.34690531], [85.75000000000001], [13.23], [1.4967812572650687]]
[100.0, 1700.0, 0.171876, [26.8323902], [1381.8], [117.60000000000001], [5.999905439254856]]
[100.0, 100.0, 0.163459, [25.4963268], [1381.8], [117.60000000000001], [5.849257886262154]]
[100.0, 1200.0, 0.176755, [428.85094000000004], [22099.0], [1911.0], [107.21271663380236]]
[100.0, 1000.0, 0.183946, [1143.051419999999], [56840.0], [4900.0], [277.2306374483164]]
[100.0, 2000.0, 0.166836, [26.8277254], [1151.5], [122.5], [5.998862497840736]]
[100.0, 400.0, 0.174687, [0.8065648919999999], [9.555], [1.6660000000000001], [0.46567046815532537]]
[100.0, 1600.0, 0.144736, [0.401409568], [3.7729999999999997], [0.784], [0.23175392164103714]]
[100.0, 1300.0, 0.16583, [401.89898], [22099.0], [1911.0], [103.76988578966443]]
[100.0, 1500.0, 0.196823, [30.812552399999998], [1381.8], [117.60000000000001], [6.424860118944225]]
[100.0, 900.0, 0.157671, [254.886534], [15190.0], [1274.0], [58.474983067975316]]
[100.0, 1900.0, 0.215476, [417.40199199999995], [16954.0], [1519.0], [74.96761081160317]]
[100.0, 200.0, 0.176626, [428.530676], [22099.0], [1911.0], [107.1326569296216]]
[100.0, 700.0, 0.225018, [1545.4041399999987], [68110.0], [5390.0], [322.23906625361207]]
[100.0, 300.0, 0.146919, [22.880599], [1381.8], [117.60000000000001], [5.5493602218634175]]
[200.0, 1800.0, 0.158494, [256.033134], [15190.0], [1274.0], [28.805979370956997]]
[200.0, 700.0, 0.165915, [7.306541900000001], [255.29], [30.87], [1.0891948332139665]]
[200.0, 2000.0, 0.151872, [245.196294], [15190.0], [1274.0], [28.125945365800593]]
[200.0, 1300.0, 0.135284, [21.0323974], [1381.8], [117.60000000000001], [2.6087482193573224]]
[200.0, 1400.0, 0.15658, [301.21799400000003], [16954.0], [1519.0], [31.234846200998014]]
[200.0, 400.0, 0.145699, [15.2557384], [735.0], [78.4], [2.2252785573046805]]
[200.0, 1900.0, 0.143804, [276.350886], [16954.0], [1519.0], [29.974459492040886]]
[200.0, 1700.0, 0.178261, [288.49142], [15190.0], [1274.0], [30.580032810969968]]
[200.0, 500.0, 0.159467, [10.063335799999999], [366.52000000000004], [46.06], [1.8074276853030664]]
[200.0, 1500.0, 0.182569, [442.688148], [22099.0], [1911.0], [53.68382036926955]]
[200.0, 100.0, 0.164025, [265.09784], [15190.0], [1274.0], [29.27516389843104]]
[200.0, 600.0, 0.146473, [10.736811399999999], [409.64], [54.39], [1.8690395980823948]]
[200.0, 1000.0, 0.16218, [312.14176000000003], [16954.0], [1519.0], [31.85783903531437]]
[200.0, 1200.0, 0.170469, [328.34311999999994], [16954.0], [1519.0], [32.67135399704151]]
[200.0, 300.0, 0.151421, [291.165546], [16954.0], [1519.0], [30.69154731322616]]
[200.0, 1600.0, 0.149969, [288.34020599999997], [16954.0], [1519.0], [30.56400364023012]]
[200.0, 900.0, 0.151624, [291.562446], [16954.0], [1519.0], [30.73338124450351]]
[200.0, 800.0, 0.138762, [223.797308], [15190.0], [1274.0], [26.94202340137058]]
[200.0, 1100.0, 0.146492, [281.57565800000003], [16954.0], [1519.0], [30.188081996708572]]
[200.0, 200.0, 0.16035, [387.995916], [22099.0], [1911.0], [50.09005389176578]]
[300.0, 2000.0, 0.093962, [151.096596], [15190.0], [1274.0], [13.679641641505087]]
[300.0, 400.0, 0.105356, [169.524026], [15190.0], [1274.0], [14.483412009606022]]
[300.0, 1000.0, 0.106998, [7.81607428], [409.64], [54.39], [0.9847327519687765]]
[300.0, 200.0, 0.099316, [159.751662], [15190.0], [1274.0], [14.065352486162583]]
[300.0, 1600.0, 0.110542, [211.921178], [16954.0], [1519.0], [16.253612432933178]]
[300.0, 1300.0, 0.109003, [208.952268], [16954.0], [1519.0], [16.121011914889216]]
[300.0, 800.0, 0.111449, [1.55407371], [51.94], [8.33], [0.3108147288176672]]
[300.0, 700.0, 0.111238, [2.61908528], [117.11], [15.19], [0.4041336899344077]]
[300.0, 300.0, 0.096935, [185.69402599999998], [16954.0], [1519.0], [15.21265272199428]]
[300.0, 900.0, 0.119879, [1.67335294], [51.94], [8.33], [0.3220368947341283]]
[300.0, 600.0, 0.097797, [3.2984859600000003], [186.69], [23.03], [0.4530819120755098]]
[300.0, 1400.0, 0.11209, [4.909937199999999], [255.29], [30.87], [0.5524112745952965]]
[300.0, 500.0, 0.105728, [170.12633399999999], [15190.0], [1274.0], [14.534873559821566]]
[300.0, 1200.0, 0.09741, [156.670444], [15190.0], [1274.0], [13.957312620988326]]
[300.0, 100.0, 0.096768, [185.37366400000002], [16954.0], [1519.0], [15.186398863456734]]
[300.0, 1100.0, 0.118618, [2.79484534], [117.11], [15.19], [0.4166309535308197]]
[300.0, 1900.0, 0.117992, [189.999166], [15190.0], [1274.0], [15.360520750287082]]
[300.0, 1500.0, 0.115989, [3.91788026], [186.69], [23.03], [0.49360660196152156]]
[300.0, 1700.0, 0.091929, [3.0992103099999997], [186.69], [23.03], [0.43829452335159286]]
[300.0, 1800.0, 0.104418, [168.00483000000003], [15190.0], [1274.0], [14.4063033301399]]
[400.0, 900.0, 0.076586, [1.7977291499999999], [117.11], [15.19], [0.22831181800336137]]
[400.0, 1200.0, 0.073843, [1.73299182], [117.11], [15.19], [0.2237282800407673]]
[400.0, 1500.0, 0.072022, [0.8995753200000001], [44.099999999999994], [7.3500000000000005], [0.16156846316654747]]
[400.0, 200.0, 0.065882, [2.87694092], [255.29], [30.87], [0.28769410188601363]]
[400.0, 1600.0, 0.070751, [0.98208152], [51.94], [8.33], [0.16842562376313172]]
[400.0, 500.0, 0.068757, [0.9542113], [51.94], [8.33], [0.16610682002855873]]
[400.0, 1700.0, 0.064051, [1.5021405700000001], [117.11], [15.19], [0.2083094832694854]]
[400.0, 300.0, 0.070613, [0.9801435700000001], [51.94], [8.33], [0.16809321268272553]]
[400.0, 1300.0, 0.061647, [98.99538600000001], [15190.0], [1274.0], [7.570367112102292]]
[400.0, 1400.0, 0.07481, [120.19200199999999], [15190.0], [1274.0], [8.333815361525597]]
[400.0, 1100.0, 0.070275, [1.6488294199999998], [117.11], [15.19], [0.2183928405877812]]
[400.0, 800.0, 0.06462, [0.89645549], [51.94], [8.33], [0.16100813957685492]]
[400.0, 100.0, 0.063019, [1.4778223599999998], [117.11], [15.19], [0.2069365201456717]]
[400.0, 1000.0, 0.067617, [1.58616626], [117.11], [15.19], [0.2138786293438407]]
[400.0, 400.0, 0.069144, [1.62215039], [117.11], [15.19], [0.216768933429124]]
[400.0, 1800.0, 0.06622, [2.89177028], [255.29], [30.87], [0.2891770609159724]]
[400.0, 2000.0, 0.061682, [0.6060217099999999], [31.653999999999996], [5.390000000000001], [0.13224478181009638]]
[400.0, 600.0, 0.072514, [1.4739347], [85.75000000000001], [13.23], [0.20639216472531124]]
[400.0, 700.0, 0.076288, [0.75082749], [31.653999999999996], [5.390000000000001], [0.1472493536793965]]
[400.0, 1900.0, 0.06764, [108.64182], [15190.0], [1274.0], [7.923517269748329]]
[500.0, 1700.0, 0.042332, [0.8586113200000001], [85.75000000000001], [13.23], [0.11372584377352406]]
[500.0, 1100.0, 0.043695, [1.0234213499999998], [117.11], [15.19], [0.12410809146868708]]
[500.0, 300.0, 0.045062, [1.0555207599999998], [117.11], [15.19], [0.12615887178474608]]
[500.0, 1300.0, 0.04433, [0.61386465], [51.94], [8.33], [0.09586952369757555]]
[500.0, 1800.0, 0.047358, [76.0173652], [15190.0], [1274.0], [4.779170733505971]]
[500.0, 1400.0, 0.044975, [0.277008368], [16.317], [2.7439999999999998], [0.04084266134521598]]
[500.0, 600.0, 0.050044, [1.1725641199999999], [117.11], [15.19], [0.13276673652312163]]
[500.0, 1900.0, 0.050944, [1.03384855], [85.75000000000001], [13.23], [0.12446074271431937]]
[500.0, 1200.0, 0.045585, [0.28079351999999996], [16.317], [2.7439999999999998], [0.04095795543920619]]
[500.0, 800.0, 0.049557, [1.16110841], [117.11], [15.19], [0.1323205693269191]]
[500.0, 1000.0, 0.047421, [0.9621399900000001], [85.75000000000001], [13.23], [0.1202674830035118]]
[500.0, 2000.0, 0.048854, [1.14459492], [117.11], [15.19], [0.13129406217723633]]
[500.0, 700.0, 0.046689, [0.6466583900000001], [51.94], [8.33], [0.09861446911077502]]
[500.0, 100.0, 0.040858, [0.95679899], [117.11], [15.19], [0.11959985606178629]]
[500.0, 200.0, 0.042205, [0.5843450900000001], [51.94], [8.33], [0.09357011568871762]]
[500.0, 1500.0, 0.043711, [0.26917072], [16.317], [2.7439999999999998], [0.040125609039614596]]
[500.0, 900.0, 0.042198, [1.41829863], [186.69], [23.03], [0.14551439175559233]]
[500.0, 1600.0, 0.046049, [1.0786811], [117.11], [15.19], [0.12712382122560664]]
[500.0, 500.0, 0.051012, [1.03523574], [85.75000000000001], [13.23], [0.1246277409006518]]
[500.0, 400.0, 0.04438, [0.90026279], [85.75000000000001], [13.23], [0.11622345522311751]]
[600.0, 200.0, 0.026609, [0.89377666], [186.69], [23.03], [0.08640463319753172]]
[600.0, 1400.0, 0.03207, [0.19714287600000002], [16.317], [2.7439999999999998], [0.025665816453797063]]
[600.0, 1900.0, 0.031471, [0.43535549399999995], [51.94], [8.33], [0.06037293161674361]]
[600.0, 100.0, 0.026714, [0.1640924348], [16.317], [2.7439999999999998], [0.023441780266865404]]
[600.0, 800.0, 0.028909, [0.67655868], [117.11], [15.19], [0.07517321868857285]]
[600.0, 1200.0, 0.030958, [0.19027468320000002], [16.317], [2.7439999999999998], [0.025202498253943002]]
[600.0, 600.0, 0.034093, [0.333941615], [31.653999999999996], [5.390000000000001], [0.05280081393312038]]
[600.0, 1600.0, 0.027311, [0.267340031], [31.653999999999996], [5.390000000000001], [0.04725948264845903]]
[600.0, 400.0, 0.031342, [0.433579048], [51.94], [8.33], [0.06012659402460778]]
[600.0, 500.0, 0.031567, [0.392791203], [44.099999999999994], [7.3500000000000005], [0.0572944954162265]]
[600.0, 1100.0, 0.028416, [0.39300562699999997], [51.94], [8.33], [0.05732576992941308]]
[600.0, 300.0, 0.035106, [0.48577752300000004], [51.94], [8.33], [0.0637857111820508]]
[600.0, 1700.0, 0.034356, [0.47536806100000006], [51.94], [8.33], [0.06296404668539023]]
[600.0, 1500.0, 0.033718, [0.46652606], [51.94], [8.33], [0.06234215523223431]]
[600.0, 1800.0, 0.034453, [0.47672555699999997], [51.94], [8.33], [0.06314383436250923]]
[600.0, 1000.0, 0.031492, [0.43565483499999996], [51.94], [8.33], [0.06041445655635744]]
[600.0, 2000.0, 0.037542, [0.51958816], [51.94], [8.33], [0.06598779260590552]]
[600.0, 700.0, 0.033192, [0.459233488], [51.94], [8.33], [0.06192303147456526]]
[600.0, 1300.0, 0.037455, [0.23043092799999998], [16.317], [2.7439999999999998], [0.02774062026992187]]
[600.0, 900.0, 0.034269, [0.426504673], [44.099999999999994], [7.3500000000000005], [0.059722598260624926]]
[700.0, 2000.0, 0.022556, [0.22069497100000002], [31.653999999999996], [5.390000000000001], [0.032899265587547695]]
[700.0, 100.0, 0.018824, [0.260176721], [51.94], [8.33], [0.03573802159605369]]
[700.0, 1000.0, 0.018449, [0.180443676], [31.653999999999996], [5.390000000000001], [0.029664759447870132]]
[700.0, 600.0, 0.022015, [0.215386213], [31.653999999999996], [5.390000000000001], [0.03247069213614025]]
[700.0, 1400.0, 0.019773, [0.273307741], [51.94], [8.33], [0.03652228074203472]]
[700.0, 1900.0, 0.019206, [0.265464654], [51.94], [8.33], [0.03612516484391455]]
[700.0, 200.0, 0.01984, [0.27422845100000004], [51.94], [8.33], [0.036645320848643144]]
[700.0, 400.0, 0.020754, [0.1273757156], [16.317], [2.7439999999999998], [0.0157990127904246]]
[700.0, 1300.0, 0.021547, [0.210801871], [31.653999999999996], [5.390000000000001], [0.032146983931622575]]
[700.0, 1100.0, 0.019092, [0.263879896], [51.94], [8.33], [0.03590950215054506]]
[700.0, 800.0, 0.022041, [0.215648118], [31.653999999999996], [5.390000000000001], [0.03251017989030513]]
[700.0, 1500.0, 0.02047, [0.200246438], [31.653999999999996], [5.390000000000001], [0.031273238027105535]]
[700.0, 1600.0, 0.020058, [0.24936016700000002], [44.099999999999994], [7.3500000000000005], [0.034917411689585474]]
[700.0, 1800.0, 0.019346, [0.267399664], [51.94], [8.33], [0.03605616647260216]]
[700.0, 1200.0, 0.019967, [0.19531649899999998], [31.653999999999996], [5.390000000000001], [0.030882247570408472]]
[700.0, 700.0, 0.021278, [0.49778364999999997], [117.11], [15.19], [0.049287935511644225]]
[700.0, 900.0, 0.027054, [0.16618502880000002], [16.317], [2.7439999999999998], [0.018025298537333576]]
[700.0, 300.0, 0.020998, [0.1288739788], [16.317], [2.7439999999999998], [0.015863289998736076]]
[700.0, 500.0, 0.024054, [0.299127311], [44.099999999999994], [7.3500000000000005], [0.038299325948376685]]
[700.0, 1700.0, 0.019786, [0.400804026], [85.75000000000001], [13.23], [0.04426139107054816]]
[800.0, 300.0, 0.015427, [0.150842139], [31.653999999999996], [5.390000000000001], [0.021122126218730913]]
[800.0, 100.0, 0.01283, [0.177263478], [51.94], [8.33], [0.02558578061736636]]
[800.0, 1800.0, 0.014861, [0.091132552], [16.317], [2.7439999999999998], [0.010385518269590594]]
[800.0, 800.0, 0.014045, [0.17453060099999998], [44.099999999999994], [7.3500000000000005], [0.02272195040043878]]
[800.0, 400.0, 0.014736, [0.09036515319999999], [16.317], [2.7439999999999998], [0.010365594856832867]]
[800.0, 200.0, 0.015471, [0.09487962120000001], [16.317], [2.7439999999999998], [0.010607863320386438]]
[800.0, 1700.0, 0.014875, [0.09121908599999999], [16.317], [2.7439999999999998], [0.010395378813299687]]
[800.0, 600.0, 0.016949, [0.23423249499999999], [51.94], [8.33], [0.026353214056353734]]
[800.0, 1600.0, 0.016764, [0.10282832280000001], [16.317], [2.7439999999999998], [0.01102435448776934]]
[800.0, 1000.0, 0.013297, [0.0815254748], [16.317], [2.7439999999999998], [0.009814512853932181]]
[800.0, 1100.0, 0.0131, [0.080316586], [16.317], [2.7439999999999998], [0.00973981567628464]]
[800.0, 1500.0, 0.014296, [0.08766407720000001], [16.317], [2.7439999999999998], [0.010190742884009977]]
[800.0, 1400.0, 0.013561, [0.08314731600000001], [16.317], [2.7439999999999998], [0.009938006002815655]]
[800.0, 1200.0, 0.013933, [0.0854329896], [16.317], [2.7439999999999998], [0.010068375202384941]]
[800.0, 900.0, 0.012443, [0.251964419], [85.75000000000001], [13.23], [0.027329378269547223]]
[800.0, 1300.0, 0.013798, [0.08460275319999999], [16.317], [2.7439999999999998], [0.01004049864020707]]
[800.0, 2000.0, 0.014482, [0.088802014], [16.317], [2.7439999999999998], [0.01025397373431393]]
[800.0, 500.0, 0.013046, [0.12753352499999998], [31.653999999999996], [5.390000000000001], [0.01944867962099227]]
[800.0, 1900.0, 0.013295, [0.183687378], [51.94], [8.33], [0.0233283179826579]]
[800.0, 700.0, 0.01592, [0.07026821479999999], [9.555], [1.6660000000000001], [0.009148143314137575]]
[900.0, 200.0, 0.009655, [0.11994509099999999], [44.099999999999994], [7.3500000000000005], [0.014877356243970232]]
[900.0, 1100.0, 0.009598, [0.09380251299999999], [31.653999999999996], [5.390000000000001], [0.013134977143870482]]
[900.0, 300.0, 0.008373, [0.0513021768], [16.317], [2.7439999999999998], [0.006131784114921203]]
[900.0, 1000.0, 0.01005, [0.098223881], [31.653999999999996], [5.390000000000001], [0.013492086603264893]]
[900.0, 900.0, 0.009823, [0.122029747], [44.099999999999994], [7.3500000000000005], [0.015020826720257443]]
[900.0, 1600.0, 0.009627, [0.094088036], [31.653999999999996], [5.390000000000001], [0.01317495740676227]]
[900.0, 700.0, 0.009238, [0.127604036], [51.94], [8.33], [0.015361718818218224]]
[900.0, 1900.0, 0.010342, [0.0633809904], [16.317], [2.7439999999999998], [0.006834548385372658]]
[900.0, 500.0, 0.008903, [0.054549485200000004], [16.317], [2.7439999999999998], [0.0063412497657796135]]
[900.0, 1400.0, 0.009826, [0.06021267], [16.317], [2.7439999999999998], [0.006649376189688774]]
[900.0, 1200.0, 0.008748, [0.053600629600000005], [16.317], [2.7439999999999998], [0.006273479013115451]]
[900.0, 1500.0, 0.008579, [0.10656578799999998], [44.099999999999994], [7.3500000000000005], [0.013992776866655168]]
[900.0, 800.0, 0.008405, [0.051495981600000004], [16.317], [2.7439999999999998], [0.006154946466184738]]
