[100.0, 1800.0, 0.089528, [0.394429875], [9.796206], [1.3994579999999999], [0.3944298828689327]]
[100.0, 800.0, 0.151284, [1.56779914], [32.18753399999999], [5.5978319999999995], [1.5677990110342586]]
[100.0, 500.0, 0.088978, [0.39192620999999994], [9.796206], [1.3994579999999999], [0.39192617512740835]]
[100.0, 1100.0, 0.14165, [2.10079148], [64.841554], [8.396747999999999], [1.0503956721159888]]
[100.0, 600.0, 0.091689, [3.1563341599999997], [200.58897999999996], [23.324299999999997], [1.822310770423091]]
[100.0, 1400.0, 0.045518, [3.1419922799999997], [391.84824], [51.31345999999999], [1.4051415131580163]]
[100.0, 1700.0, 0.061056, [2.0961588199999994], [200.58897999999996], [23.324299999999997], [1.4822082282864304]]
[100.0, 100.0, 0.068396, [4.7270014], [391.84824], [51.31345999999999], [1.929790188595641]]
[100.0, 1200.0, 0.068793, [2.3623138999999997], [200.58897999999996], [23.324299999999997], [1.3638826238353503]]
[100.0, 1000.0, 0.068077, [3.14952754], [254.23487], [33.120506], [2.2270523631024033]]
[100.0, 2000.0, 0.080342, [1.18055734], [64.841554], [8.396747999999999], [0.6815951724447583]]
[100.0, 400.0, 0.047492, [6.301017439999999], [634.4209599999999], [102.62691999999998], [4.455491707095862]]
[100.0, 1600.0, 0.066682, [0.03522070755555555], [0.13994579999999998], [0.02798916], [0.035220707089739615]]
[100.0, 1300.0, 0.151163, [1.56646951], [32.18753399999999], [5.5978319999999995], [1.5664693667608058]]
[100.0, 1500.0, 0.151163, [1.5664609999999999], [32.18753399999999], [5.5978319999999995], [1.5664609241854708]]
[100.0, 900.0, 0.085683, [1.2593751199999998], [64.841554], [8.396747999999999], [0.6296874959851116]]
[100.0, 1900.0, 0.068998, [2.36938318], [200.58897999999996], [23.324299999999997], [1.3679639756952666]]
[100.0, 200.0, 0.058006, [0.39343202], [23.324299999999997], [2.33243], [0.27819845358125195]]
[100.0, 700.0, 0.071603, [1.05162486], [64.841554], [8.396747999999999], [0.743611021973182]]
[100.0, 300.0, 0.069737, [0.47381805499999996], [23.324299999999997], [2.33243], [0.2735589195219194]]
[200.0, 1800.0, 0.036426, [0.5324378099999999], [64.841554], [8.396747999999999], [0.20124257414871236]]
[200.0, 700.0, 0.022611, [0.152426635], [23.324299999999997], [2.33243], [0.07621335542409872]]
[200.0, 2000.0, 0.022465, [0.15143705999999996], [23.324299999999997], [2.33243], [0.0757185186397621]]
[200.0, 1300.0, 0.043684, [0.1895959], [9.796206], [1.3994579999999999], [0.18959594200562416]]
[200.0, 1400.0, 0.037742, [0.3786929299999999], [32.18753399999999], [5.5978319999999995], [0.37869302687004947]]
