[100.0, 1800.0, 0.929147, [576.4834079999999], [2932.04], [313.353196], [12.054627683010372]]
[100.0, 800.0, 0.927601, [573.3370080000001], [2932.04], [313.353196], [12.004590660576477]]
[100.0, 500.0, 0.929564, [577.33864], [2932.04], [313.353196], [12.046201903006608]]
[100.0, 1100.0, 0.927762, [573.662872], [2932.04], [313.353196], [12.021957915747334]]
[100.0, 600.0, 0.927425, [572.985384], [2932.04], [313.353196], [12.02626167684705]]
[100.0, 1400.0, 0.929945, [578.1265280000001], [2932.04], [313.353196], [12.054770918105413]]
[100.0, 1700.0, 0.916731, [552.659824], [2932.04], [313.353196], [11.798844154916193]]
[100.0, 100.0, 0.927025, [572.1802], [2932.04], [313.353196], [12.00671694411091]]
[100.0, 1200.0, 0.933209, [585.020272], [2932.04], [313.353196], [12.132756856048834]]
[100.0, 1000.0, 0.929488, [577.184632], [2932.04], [313.353196], [12.07192856175019]]
[100.0, 2000.0, 0.923709, [565.6599759999999], [2932.04], [313.353196], [11.935772383888695]]
[100.0, 400.0, 0.926137, [570.411592], [2932.04], [313.353196], [11.998694881027687]]
[100.0, 1600.0, 0.927077, [572.284528], [2932.04], [313.353196], [11.990438742931804]]
[100.0, 1300.0, 0.928295, [574.7429520000001], [2932.04], [313.353196], [12.023492636002237]]
[100.0, 1500.0, 0.916285, [551.859056], [2932.04], [313.353196], [11.78175147047331]]
[100.0, 900.0, 0.924385, [566.970608], [2932.04], [313.353196], [11.950134946853114]]
[100.0, 1900.0, 0.929595, [577.405064], [2932.04], [313.353196], [12.081827273719817]]
[100.0, 200.0, 0.933123, [584.8349840000001], [2932.04], [313.353196], [12.126306383066526]]
[100.0, 700.0, 0.926676, [571.484128], [2932.04], [313.353196], [12.007985766813682]]
[100.0, 300.0, 0.928247, [574.646352], [2932.04], [313.353196], [12.050511053063268]]
[200.0, 1800.0, 0.952366, [264.16512], [1319.28], [127.221418], [4.482530063479776]]
[200.0, 700.0, 0.953803, [265.90829], [1319.28], [127.221418], [4.501751639084501]]
[200.0, 2000.0, 0.949994, [261.38027999999997], [1319.28], [127.221418], [4.44874464090714]]
