[100.0, 1800.0, 0.914683, [54.982328], [137.07999999999998], [19.9292056], [20.781362323004714]]
[100.0, 800.0, 0.932476, [78.59877399999999], [137.07999999999998], [19.9292056], [35.15043278823178]]
[100.0, 500.0, 0.953971, [62.836183999999996], [137.07999999999998], [19.9292056], [19.87053582568925]]
[100.0, 1100.0, 0.814474, [39.3458608], [137.07999999999998], [19.9292056], [17.59600114798814]]
[100.0, 600.0, 0.868641, [44.17288], [137.07999999999998], [19.9292056], [16.695782221866693]]
[100.0, 1400.0, 0.706366, [31.409227799999996], [137.07999999999998], [19.9292056], [18.13412534422325]]
[100.0, 1700.0, 0.707551, [31.535083799999995], [137.07999999999998], [19.9292056], [18.20679186457625]]
[100.0, 100.0, 0, [0.0], [58.419999999999995], [16.4252844], [0.0]]
[100.0, 1200.0, 0.812039, [41.9877696], [137.07999999999998], [19.9292056], [20.993882947182495]]
[100.0, 1000.0, 0.812607, [42.0869732], [137.07999999999998], [19.9292056], [21.043484207706666]]
[100.0, 2000.0, 0.92429, [63.03458199999999], [137.07999999999998], [19.9292056], [25.73375841963237]]
[100.0, 400.0, 0.730503, [31.5009472], [137.07999999999998], [19.9292056], [15.750476576916649]]
[100.0, 1600.0, 0.804561, [46.986148], [137.07999999999998], [19.9292056], [27.127471854192382]]
[100.0, 1300.0, 0.665003, [31.339459599999998], [137.07999999999998], [19.9292056], [22.160344239203503]]
[100.0, 1500.0, 0.81218, [42.012283], [137.07999999999998], [19.9292056], [21.00614062601695]]
[100.0, 900.0, 0.66616, [31.484258399999998], [137.07999999999998], [19.9292056], [22.26273116219122]]
[100.0, 1900.0, 0.943872, [63.30616599999999], [137.07999999999998], [19.9292056], [22.382108211694444]]
[100.0, 200.0, 0.969604, [83.61861599999999], [137.07999999999998], [19.9292056], [29.563649240240956]]
[100.0, 700.0, 0.93463, [56.76998], [137.07999999999998], [19.9292056], [18.923317616105265]]
[100.0, 300.0, 0.666793, [31.564022399999995], [137.07999999999998], [19.9292056], [22.319131739384485]]
[200.0, 1800.0, 0.681392, [24.340012199999997], [137.07999999999998], [19.9292056], [6.085003727196886]]
[200.0, 700.0, 0.718392, [26.625949999999996], [137.07999999999998], [19.9292056], [7.116084032668529]]
[200.0, 2000.0, 0.564005, [18.903433199999995], [137.07999999999998], [19.9292056], [5.977789822334003]]
[200.0, 1300.0, 0.513524, [16.707057399999997], [137.07999999999998], [19.9292056], [5.037365466193613]]
[200.0, 1400.0, 0.647798, [22.7948768], [137.07999999999998], [19.9292056], [6.580314068492476]]
[200.0, 400.0, 0.620914, [21.3302138], [137.07999999999998], [19.9292056], [5.70074011686202]]
[200.0, 1900.0, 0.621633, [21.3649438], [137.07999999999998], [19.9292056], [5.710021337963633]]
[200.0, 1700.0, 0.551511, [18.258112999999998], [137.07999999999998], [19.9292056], [5.2706646639679136]]
[200.0, 500.0, 0.649755, [22.897052], [137.07999999999998], [19.9292056], [6.609809452624183]]
[200.0, 1500.0, 0.39286, [12.2230832], [137.07999999999998], [19.9292056], [4.321511858597637]]
[200.0, 100.0, 0.520499, [17.0845794], [137.07999999999998], [19.9292056], [5.694859450416665]]
[200.0, 600.0, 0.653496, [22.907861999999998], [137.07999999999998], [19.9292056], [5.9147843916748135]]
[200.0, 1000.0, 0.61046, [20.994243599999997], [137.07999999999998], [19.9292056], [6.3300028214843636]]
[200.0, 1200.0, 0.476256, [15.2594282], [137.07999999999998], [19.9292056], [4.825454813797347]]
[200.0, 300.0, 0.328282, [10.117534399999998], [137.07999999999998], [19.9292056], [5.0587683046370095]]
[200.0, 1600.0, 0.520948, [17.103393399999998], [137.07999999999998], [19.9292056], [5.701129842408432]]
[200.0, 900.0, 0.51401, [16.7268282], [137.07999999999998], [19.9292056], [5.043326802815776]]
[200.0, 800.0, 0.620579, [21.3140264], [137.07999999999998], [19.9292056], [5.696412372713197]]
[200.0, 1100.0, 0.607924, [20.8718652], [137.07999999999998], [19.9292056], [6.293104305507735]]
[200.0, 200.0, 0.565079, [18.951397399999998], [137.07999999999998], [19.9292056], [5.992957960807001]]
[300.0, 2000.0, 0.290469, [8.7200268], [137.07999999999998], [19.9292056], [2.251501472351284]]
[300.0, 400.0, 0.344025, [10.4547788], [137.07999999999998], [19.9292056], [2.4642148907917907]]
[300.0, 1000.0, 0.290942, [8.7351654], [137.07999999999998], [19.9292056], [2.2554100691448546]]
[300.0, 200.0, 0.356598, [10.887054599999999], [137.07999999999998], [19.9292056], [2.8110249596899703]]
[300.0, 1600.0, 0.346365, [10.532458999999998], [137.07999999999998], [19.9292056], [2.4825241541624523]]
