[100.0, 1800.0, 0.103451, [3.150871199999999], [198.25654999999998], [19.592412], [1.4091126773966658]]
[100.0, 800.0, 0.173711, [1.25676669], [23.0444084], [2.8455645999999994], [0.628383487847986]]
[100.0, 500.0, 0.258107, [1.5699747099999999], [15.114146399999997], [2.1924842], [1.1101397398526005]]
[100.0, 1100.0, 0.292195, [3.9369178199999997], [60.643179999999994], [6.530804], [1.7606430143558345]]
[100.0, 600.0, 0.180576, [2.3672428], [60.643179999999994], [6.530804], [1.366728510568211]]
[100.0, 1400.0, 0.278779, [3.1476903000000003], [43.38319799999999], [5.131346], [2.2257526744901375]]
[100.0, 1700.0, 0.252189, [1.57429204], [15.114146399999997], [2.1924842], [1.574291952910895]]
[100.0, 100.0, 0.236837, [3.14470628], [60.643179999999994], [6.530804], [1.5723530761250792]]
[100.0, 1200.0, 0.255166, [1.88716288], [23.0444084], [2.8455645999999994], [0.770430996910171]]
[100.0, 1000.0, 0.215762, [1.57804173], [23.0444084], [2.8455645999999994], [0.7057218596586051]]
[100.0, 2000.0, 0.281975, [3.7777821999999994], [60.643179999999994], [6.530804], [1.542273056238745]]
[100.0, 400.0, 0.280203, [3.16602176], [43.38319799999999], [5.131346], [2.2387151341785314]]
[100.0, 1600.0, 0.177878, [1.0426084], [15.114146399999997], [2.1924842], [0.7372355722562496]]
[100.0, 1300.0, 0.178882, [1.0489046499999999], [15.114146399999997], [2.1924842], [0.7416877725835852]]
[100.0, 1500.0, 0.170208, [0.523438945], [4.711508599999999], [0.7463776], [0.3701272811479856]]
[100.0, 900.0, 0.16425, [5.0375014], [198.25654999999998], [19.592412], [1.7810253125657702]]
[100.0, 1900.0, 0.368894, [2.3589512999999998], [15.114146399999997], [2.1924842], [1.3619412663547572]]
[100.0, 200.0, 0.25499, [1.8857532099999996], [23.0444084], [2.8455645999999994], [0.7698557306404882]]
[100.0, 700.0, 0.174342, [1.26155483], [23.0444084], [2.8455645999999994], [0.6307772958025677]]
[100.0, 300.0, 0.282851, [3.7905435199999995], [60.643179999999994], [6.530804], [1.54748266290773]]
[200.0, 1800.0, 0.087694, [0.30425020999999997], [6.530804], [0.8863233999999999], [0.10756867882892306]]
[200.0, 700.0, 0.047675, [0.60970654], [60.643179999999994], [6.530804], [0.3048534216963949]]
[200.0, 2000.0, 0.137715, [0.9843406599999999], [23.0444084], [2.8455645999999994], [0.27300699661363986]]
[200.0, 1300.0, 0.055219, [0.18985292499999998], [6.530804], [0.8863233999999999], [0.08490480451658787]]
[200.0, 1400.0, 0.055272, [0.19003772999999996], [6.530804], [0.8863233999999999], [0.08498743535076228]]
[200.0, 400.0, 0.086065, [0.60943468], [23.0444084], [2.8455645999999994], [0.21546771463493086]]
[200.0, 1900.0, 0.087964, [0.30521345], [6.530804], [0.8863233999999999], [0.10790924366105063]]
[200.0, 1700.0, 0.066182, [0.22822646999999996], [6.530804], [0.8863233999999999], [0.09317305393728381]]
[200.0, 500.0, 0.047659, [0.6094972399999999], [60.643179999999994], [6.530804], [0.30474869811042665]]
[200.0, 1500.0, 0.086304, [0.61115416], [23.0444084], [2.8455645999999994], [0.21607559292988182]]
[200.0, 100.0, 0.087482, [0.30349684499999996], [6.530804], [0.8863233999999999], [0.10730233978110634]]
[200.0, 600.0, 0.064922, [0.45815723999999997], [23.0444084], [2.8455645999999994], [0.18704189132384222]]
[200.0, 1000.0, 0.055484, [0.19077545499999998], [6.530804], [0.8863233999999999], [0.08531735991285712]]
[200.0, 1200.0, 0.055474, [0.19074291], [6.530804], [0.8863233999999999], [0.08530279552863435]]
[200.0, 300.0, 0.075192, [0.53149274], [23.0444084], [2.8455645999999994], [0.20088536280675107]]
[200.0, 1600.0, 0.055287, [0.19008902], [6.530804], [0.8863233999999999], [0.08501039268818843]]
[200.0, 900.0, 0.0859, [0.6082481099999999], [23.0444084], [2.8455645999999994], [0.21504821657014503]]
[200.0, 800.0, 0.066221, [0.22836458499999998], [6.530804], [0.8863233999999999], [0.09322943680780228]]
[200.0, 1100.0, 0.043194, [0.30383483], [23.0444084], [2.8455645999999994], [0.15191744623314335]]
[200.0, 200.0, 0.043152, [0.30353422], [23.0444084], [2.8455645999999994], [0.15176709946493674]]
[300.0, 2000.0, 0.034013, [0.11626706999999999], [6.530804], [0.8863233999999999], [0.04110660482209641]]
[300.0, 400.0, 0.021307, [0.0726026395], [6.530804], [0.8863233999999999], [0.032468882984328234]]
[300.0, 1000.0, 0.050886, [0.17470328499999999], [6.530804], [0.8863233999999999], [0.05043250231745397]]
[300.0, 200.0, 0.02979, [0.1017245035], [6.530804], [0.8863233999999999], [0.03844825116308932]]
[300.0, 1600.0, 0.034233, [0.11702733499999998], [6.530804], [0.8863233999999999], [0.041375395466387986]]
[300.0, 1300.0, 0.032007, [0.40866501199999994], [60.643179999999994], [6.530804], [0.15446084914954986]]
[300.0, 800.0, 0.036551, [0.46685629999999995], [60.643179999999994], [6.530804], [0.16505867914169187]]
[300.0, 700.0, 0.04694, [0.16098849999999998], [6.530804], [0.8863233999999999], [0.04853986392646769]]
[300.0, 300.0, 0.029169, [0.20474415999999998], [23.0444084], [2.8455645999999994], [0.07738602845475402]]
[300.0, 900.0, 0.031898, [0.40727112000000004], [60.643179999999994], [6.530804], [0.15393396727168437]]
[300.0, 600.0, 0.027466, [0.350551464], [60.643179999999994], [6.530804], [0.1431120474453496]]
[300.0, 1400.0, 0.046785, [0.160451335], [6.530804], [0.8863233999999999], [0.0483779044347727]]
[300.0, 500.0, 0.020783, [0.145721192], [23.0444084], [2.8455645999999994], [0.0651685102484321]]
[300.0, 1200.0, 0.042592, [0.14591108], [6.530804], [0.8863233999999999], [0.046141132869707474]]
[300.0, 100.0, 0.022885, [0.291986932], [60.643179999999994], [6.530804], [0.1305805266033186]]
[300.0, 1100.0, 0.025639, [0.08745774149999999], [6.530804], [0.8863233999999999], [0.035704473945851654]]
[300.0, 1900.0, 0.029872, [0.1020070125], [6.530804], [0.8863233999999999], [0.03855502561275248]]
[300.0, 1500.0, 0.046813, [0.16054804999999997], [6.530804], [0.8863233999999999], [0.04840706407643413]]
[300.0, 1700.0, 0.042465, [0.14547316], [6.530804], [0.8863233999999999], [0.046002644923960626]]
[300.0, 1800.0, 0.028914, [0.20294705499999996], [23.0444084], [2.8455645999999994], [0.0767067758415122]]
[400.0, 900.0, 0.019978, [0.068050951], [6.530804], [0.8863233999999999], [0.02151960680402874]]
[400.0, 1200.0, 0.009974, [0.033893547499999996], [6.530804], [0.8863233999999999], [0.01515765874896252]]
[400.0, 1500.0, 0.019994, [0.068104771], [6.530804], [0.8863233999999999], [0.02153661406187147]]
[400.0, 200.0, 0.015874, [0.054016040499999994], [6.530804], [0.8863233999999999], [0.019097553174425252]]
[400.0, 1600.0, 0.017011, [0.21693038799999997], [60.643179999999994], [6.530804], [0.0766964719397183]]
[400.0, 500.0, 0.021905, [0.07464916799999999], [6.530804], [0.8863233999999999], [0.022507574252904287]]
[400.0, 1700.0, 0.013953, [0.04745775149999999], [6.530804], [0.8863233999999999], [0.01793734227108353]]
[400.0, 300.0, 0.015906, [0.05412556649999999], [6.530804], [0.8863233999999999], [0.019136279895789567]]
[400.0, 1300.0, 0.02391, [0.081521453], [6.530804], [0.8863233999999999], [0.023533215164953554]]
[400.0, 1400.0, 0.017925, [0.061027636499999996], [6.530804], [0.8863233999999999], [0.02034254435290728]]
[400.0, 1100.0, 0.01596, [0.054311613499999994], [6.530804], [0.8863233999999999], [0.019202055912063167]]
[400.0, 800.0, 0.011978, [0.040721143499999994], [6.530804], [0.8863233999999999], [0.016624334926546684]]
[400.0, 100.0, 0.012925, [0.13539962], [43.38319799999999], [5.131346], [0.09574199145620482]]
[400.0, 1000.0, 0.017893, [0.06091583349999999], [6.530804], [0.8863233999999999], [0.020305281369633863]]
[400.0, 400.0, 0.013991, [0.047588587], [6.530804], [0.8863233999999999], [0.017986797776424795]]
[400.0, 1800.0, 0.013967, [0.04750765], [6.530804], [0.8863233999999999], [0.01795620694216905]]
[400.0, 2000.0, 0.017904, [0.06095553149999999], [6.530804], [0.8863233999999999], [0.020318511645787442]]
