[100.0, 1800.0, 0.999515, [158.55188], [401.764], [38.278302], [6.321876916233026]]
[100.0, 800.0, 0.998743, [146.0363104], [401.764], [38.278302], [6.058606197468193]]
[100.0, 500.0, 0.999136, [151.0581304], [401.764], [38.278302], [6.161788857142056]]
[100.0, 1100.0, 0.998904, [147.887608], [401.764], [38.278302], [6.1039764088666]]
[100.0, 600.0, 0.999094, [150.44022159999997], [401.764], [38.278302], [6.162272354902857]]
[100.0, 1400.0, 0.998833, [147.0452192], [401.764], [38.278302], [6.079572732355457]]
[100.0, 1700.0, 0.999073, [150.12997919999998], [401.764], [38.278302], [6.149562435165611]]
[100.0, 100.0, 0.999236, [152.6821696], [401.764], [38.278302], [6.202290384688547]]
[100.0, 1200.0, 0.998889, [147.7019152], [401.764], [38.278302], [6.096311813547597]]
[100.0, 1000.0, 0.999618, [161.59148639999998], [401.764], [38.278302], [6.387463997550201]]
[100.0, 2000.0, 0.998792, [146.5779512], [401.764], [38.278302], [6.075851626891493]]
[100.0, 400.0, 0.999266, [153.2034416], [401.764], [38.278302], [6.2183343776287865]]
[100.0, 1600.0, 0.998274, [141.68938400000002], [401.764], [38.278302], [5.966198226676683]]
[100.0, 1300.0, 0.999492, [157.9600072], [401.764], [38.278302], [6.303290553988448]]
[100.0, 1500.0, 0.998884, [147.6487024], [401.764], [38.278302], [6.094114999899493]]
[100.0, 900.0, 0.999072, [150.117504], [401.764], [38.278302], [6.1490531615851225]]
[100.0, 1900.0, 0.99855, [144.09847760000002], [401.764], [38.278302], [6.035620717043112]]
[100.0, 200.0, 0.999123, [150.8602752], [401.764], [38.278302], [6.158845845123905]]
[100.0, 700.0, 0.998224, [141.2941152], [401.764], [38.278302], [5.970767395904819]]
[100.0, 300.0, 0.999071, [150.1055256], [401.764], [38.278302], [6.158903564758909]]
[200.0, 1800.0, 0.9968, [65.778896], [190.20999999999998], [15.425373200000001], [2.000662215167768]]
[200.0, 700.0, 0.993281, [60.1170872], [190.20999999999998], [15.425373200000001], [1.914518010570807]]
[200.0, 2000.0, 0.992439, [59.18159440000001], [190.20999999999998], [15.425373200000001], [1.89338682196745]]
[200.0, 1300.0, 0.99288, [59.6593688], [190.20999999999998], [15.425373200000001], [1.9038070187915581]]
[200.0, 1400.0, 0.995927, [63.974279200000005], [190.20999999999998], [15.425373200000001], [1.9724113420886626]]
[200.0, 400.0, 0.993258, [60.09026000000001], [190.20999999999998], [15.425373200000001], [1.9136636912477594]]
[200.0, 1900.0, 0.996422, [64.94942400000001], [190.20999999999998], [15.425373200000001], [1.9911520701342729]]
[200.0, 1700.0, 0.993842, [60.7995248], [190.20999999999998], [15.425373200000001], [1.9236115416580342]]
[200.0, 500.0, 0.994879, [62.229683200000004], [190.20999999999998], [15.425373200000001], [1.9475328737661914]]
[200.0, 1500.0, 0.99707, [66.4324456], [190.20999999999998], [15.425373200000001], [2.014955427794868]]
[200.0, 100.0, 0.994666, [61.9133504], [190.20999999999998], [15.425373200000001], [1.9385821210358873]]
[200.0, 600.0, 0.993876, [60.84328], [190.20999999999998], [15.425373200000001], [1.9278933115709491]]
[200.0, 1000.0, 0.996027, [64.1615912], [190.20999999999998], [15.425373200000001], [1.9791276413612133]]
[200.0, 1200.0, 0.99374, [60.671497599999995], [190.20999999999998], [15.425373200000001], [1.9243831568583216]]
[200.0, 300.0, 0.994526, [61.7138944], [190.20999999999998], [15.425373200000001], [1.93613732240252]]
[200.0, 1600.0, 0.995344, [62.9574768], [190.20999999999998], [15.425373200000001], [1.9569383990304856]]
[200.0, 900.0, 0.996032, [64.17018399999999], [190.20999999999998], [15.425373200000001], [1.9756365414721402]]
[200.0, 800.0, 0.995532, [63.272208799999994], [190.20999999999998], [15.425373200000001], [1.9629316279483604]]
[200.0, 1100.0, 0.993214, [60.03778319999999], [190.20999999999998], [15.425373200000001], [1.9100564883793358]]
[200.0, 200.0, 0.995036, [62.4673376], [190.20999999999998], [15.425373200000001], [1.947355548429716]]
[300.0, 2000.0, 0.960794, [24.9508968], [77.83200000000001], [6.5614124], [0.7617042201799857]]
[300.0, 400.0, 0.957338, [24.4874192], [77.83200000000001], [6.5614124], [0.7542626606693453]]
[300.0, 1000.0, 0.962734, [25.2271728], [77.83200000000001], [6.5614124], [0.7665741213477011]]
[300.0, 200.0, 0.958493, [397.01620199999996], [3529.12], [183.784812], [15.191405109468974]]
[300.0, 1600.0, 0.961288, [25.020430400000002], [77.83200000000001], [6.5614124], [0.7652548718433617]]
[300.0, 1300.0, 0.95424, [24.0995656], [77.83200000000001], [6.5614124], [0.7501865261386664]]
[300.0, 800.0, 0.969166, [420.754318], [3529.12], [183.784812], [15.669709429341694]]
[300.0, 700.0, 0.961538, [25.0556664], [77.83200000000001], [6.5614124], [0.7659739003386474]]
[300.0, 300.0, 0.958321, [24.616090399999997], [77.83200000000001], [6.5614124], [0.7589468054086532]]
[300.0, 900.0, 0.95784, [24.5526288], [77.83200000000001], [6.5614124], [0.7559128927594768]]
[300.0, 600.0, 0.966002, [413.066522], [3529.12], [183.784812], [15.534963469541859]]
[300.0, 1400.0, 0.966853, [25.8589184], [77.83200000000001], [6.5614124], [0.7768559753261862]]
[300.0, 500.0, 0.963212, [25.2972032], [77.83200000000001], [6.5614124], [0.7679936058067149]]
[300.0, 1200.0, 0.965732, [25.6803464], [77.83200000000001], [6.5614124], [0.7742918077314264]]
[300.0, 100.0, 0.949056, [23.499100000000002], [77.83200000000001], [6.5614124], [0.7408876012999542]]
[300.0, 1100.0, 0.959114, [24.721393600000003], [77.83200000000001], [6.5614124], [0.7593113979389483]]
[300.0, 1900.0, 0.952956, [23.945410400000004], [77.83200000000001], [6.5614124], [0.7472004162739739]]
[300.0, 1500.0, 0.959361, [398.742996], [3529.12], [183.784812], [15.257479542834064]]
[300.0, 1700.0, 0.96771, [25.998960800000003], [77.83200000000001], [6.5614124], [0.7779099156071994]]
[300.0, 1800.0, 0.953076, [23.959357599999997], [77.83200000000001], [6.5614124], [0.7454609617142939]]
[400.0, 900.0, 0.901578, [320.928384], [3529.12], [183.784812], [9.34654800875703]]
[400.0, 1200.0, 0.896208, [315.88788800000003], [3529.12], [183.784812], [9.254863910398683]]
[400.0, 1500.0, 0.900703, [320.09238], [3529.12], [183.784812], [9.33805438407809]]
[400.0, 200.0, 0.881119, [302.759902], [3529.12], [183.784812], [9.042645320922412]]
[400.0, 1600.0, 0.884522, [305.600678], [3529.12], [183.784812], [9.103162907473424]]
[400.0, 500.0, 0.881037, [11.400965679999999], [33.0878], [2.97621058], [0.3518414398333431]]
[400.0, 1700.0, 0.891278, [11.769521359999999], [33.0878], [2.97621058], [0.3573090025845977]]
[400.0, 300.0, 0.889167, [11.691124480000001], [33.0878], [2.97621058], [0.3557496180180662]]
[400.0, 1300.0, 0.896953, [316.57499], [3529.12], [183.784812], [9.274994042046604]]
[400.0, 1400.0, 0.894833, [314.63135200000005], [3529.12], [183.784812], [9.237893809738235]]
[400.0, 1100.0, 0.901351, [320.71006800000004], [3529.12], [183.784812], [9.332277704826405]]
[400.0, 800.0, 0.903219, [322.51142799999997], [3529.12], [183.784812], [9.357006076732022]]
[400.0, 100.0, 0.851195, [280.188944], [3529.12], [183.784812], [8.730363740417692]]
[400.0, 1000.0, 0.900049, [319.46977], [3529.12], [183.784812], [9.300123874443823]]
[400.0, 400.0, 0.890884, [311.09344600000003], [3529.12], [183.784812], [9.197669804901675]]
[400.0, 1800.0, 0.897791, [317.35110199999997], [3529.12], [183.784812], [9.281812930672542]]
[400.0, 2000.0, 0.885788, [306.674088], [3529.12], [183.784812], [9.114940335515094]]
[400.0, 600.0, 0.900764, [320.148822], [3529.12], [183.784812], [9.319892887796511]]
[400.0, 700.0, 0.884115, [305.257886], [3529.12], [183.784812], [9.09698819170389]]
[400.0, 1900.0, 0.884317, [305.42827], [3529.12], [183.784812], [9.102066855390595]]
[500.0, 1700.0, 0.673746, [131.795152], [1702.9199999999998], [127.16401], [4.317093260516849]]
[500.0, 1100.0, 0.689096, [136.06100800000002], [1702.9199999999998], [127.16401], [4.3845049066000605]]
[500.0, 300.0, 0.707188, [141.27359], [1702.9199999999998], [127.16401], [4.471938447250812]]
[500.0, 1300.0, 0.685591, [135.07462999999998], [1702.9199999999998], [127.16401], [4.357246167936808]]
[500.0, 1800.0, 0.68117, [133.84132400000001], [1702.9199999999998], [127.16401], [4.344673822049246]]
[500.0, 1400.0, 0.705939, [140.906832], [1702.9199999999998], [127.16401], [4.462564057131281]]
[500.0, 600.0, 0.683507, [134.49204], [1702.9199999999998], [127.16401], [4.356625005666658]]
[500.0, 1900.0, 0.669114, [188.34332], [3529.12], [183.784812], [5.14706701335819]]
[500.0, 1200.0, 0.678361, [133.063004], [1702.9199999999998], [127.16401], [4.319407593177565]]
[500.0, 800.0, 0.690523, [136.464842], [1702.9199999999998], [127.16401], [4.39523681273262]]
[500.0, 1000.0, 0.68099, [133.791414], [1702.9199999999998], [127.16401], [4.345343927930216]]
[500.0, 2000.0, 0.696371, [138.132112], [1702.9199999999998], [127.16401], [4.419237261338205]]
[500.0, 700.0, 0.700573, [139.343062], [1702.9199999999998], [127.16401], [4.4353380335663255]]
[500.0, 100.0, 0.621464, [118.171976], [1702.9199999999998], [127.16401], [4.0724753710734705]]
[500.0, 200.0, 0.696354, [138.126868], [1702.9199999999998], [127.16401], [4.407804394934058]]
[500.0, 1500.0, 0.68299, [134.347324], [1702.9199999999998], [127.16401], [4.342832933926886]]
[500.0, 900.0, 0.685713, [135.108578], [1702.9199999999998], [127.16401], [4.351554534646211]]
[500.0, 1600.0, 0.673192, [131.643168], [1702.9199999999998], [127.16401], [4.302890996062996]]
[500.0, 500.0, 0.698471, [138.735678], [1702.9199999999998], [127.16401], [4.420486554215497]]
[500.0, 400.0, 0.655552, [183.11472999999998], [3529.12], [183.784812], [5.07868749186244]]
[600.0, 200.0, 0.442346, [78.573244], [1702.9199999999998], [127.16401], [2.48222282722563]]
[600.0, 1400.0, 0.462193, [82.577038], [1702.9199999999998], [127.16401], [2.5447497684448273]]
[600.0, 1900.0, 0.481072, [86.455988], [1702.9199999999998], [127.16401], [2.6067457674272725]]
[600.0, 100.0, 0.445202, [79.14507], [1702.9199999999998], [127.16401], [2.4940718955154444]]
[600.0, 800.0, 0.481984, [86.645232], [1702.9199999999998], [127.16401], [2.6065347064637368]]
[600.0, 1200.0, 0.475945, [85.39536600000001], [1702.9199999999998], [127.16401], [2.5865518173815887]]
[600.0, 600.0, 0.481027, [86.446604], [1702.9199999999998], [127.16401], [2.602915192625376]]
[600.0, 1600.0, 0.480562, [86.350142], [1702.9199999999998], [127.16401], [2.602372095608159]]
[600.0, 400.0, 0.474822, [85.16389400000001], [1702.9199999999998], [127.16401], [2.5819107900932594]]
[600.0, 500.0, 0.480327, [86.30152], [1702.9199999999998], [127.16401], [2.602088713322434]]
[600.0, 1100.0, 0.494095, [89.17458799999999], [1702.9199999999998], [127.16401], [2.645768288418319]]
[600.0, 300.0, 0.483128, [86.88273], [1702.9199999999998], [127.16401], [2.6136793590645357]]
[600.0, 1700.0, 0.483984, [87.060612], [1702.9199999999998], [127.16401], [2.6107741618148435]]
[600.0, 1500.0, 0.45801, [81.72705], [1702.9199999999998], [127.16401], [2.5281785807177464]]
[600.0, 1800.0, 0.484046, [87.073676], [1702.9199999999998], [127.16401], [2.6146955975791903]]
[600.0, 1000.0, 0.468768, [83.91996200000001], [1702.9199999999998], [127.16401], [2.5691125603990184]]
[600.0, 2000.0, 0.477683, [85.754304], [1702.9199999999998], [127.16401], [2.597423309358719]]
[600.0, 700.0, 0.475399, [85.282804], [1702.9199999999998], [127.16401], [2.5855146961485254]]
[600.0, 1300.0, 0.478777, [85.980532], [1702.9199999999998], [127.16401], [2.59595244332403]]
[600.0, 900.0, 0.471473, [84.474906], [1702.9199999999998], [127.16401], [2.5752622514998347]]
[700.0, 2000.0, 0.345504, [0.6783325599999999], [1.56584], [0.228597782], [0.03226499155431472]]
[700.0, 100.0, 0.297236, [0.5637663399999999], [1.56584], [0.228597782], [0.029428365930396702]]
[700.0, 1000.0, 0.330786, [0.6424843], [1.56584], [0.228597782], [0.03131277286419145]]
[700.0, 600.0, 0.334954, [0.6525521666666667], [1.56584], [0.228597782], [0.03161625879195703]]
[700.0, 1400.0, 0.341052, [0.6673994333333333], [1.56584], [0.228597782], [0.031926043642560326]]
[700.0, 1900.0, 0.340521, [0.666103], [1.56584], [0.228597782], [0.032010862774307654]]
[700.0, 200.0, 0.305953, [0.58383476], [1.56584], [0.228597782], [0.029910762849219043]]
[700.0, 400.0, 0.32497, [0.6285469133333333], [1.56584], [0.228597782], [0.03104171510868703]]
[700.0, 1300.0, 0.337247, [0.6581180133333334], [1.56584], [0.228597782], [0.03177423709023816]]
[700.0, 1100.0, 0.323661, [0.62542658], [1.56584], [0.228597782], [0.030925352936097952]]
[700.0, 800.0, 0.350283, [0.6901541], [1.56584], [0.228597782], [0.03253417546724265]]
[700.0, 1500.0, 0.336235, [0.65566008], [1.56584], [0.228597782], [0.031655565471703916]]
[700.0, 1600.0, 0.312385, [53.841436], [1702.9199999999998], [127.16401], [1.5720549634157197]]
[700.0, 1800.0, 0.323603, [0.62528858], [1.56584], [0.228597782], [0.030843216297195004]]
[700.0, 1200.0, 0.338057, [0.6600900333333333], [1.56584], [0.228597782], [0.03175859825482087]]
[700.0, 700.0, 0.329065, [0.6383476733333333], [1.56584], [0.228597782], [0.031222605187054248]]
[700.0, 900.0, 0.329477, [0.6393369799999999], [1.56584], [0.228597782], [0.031270994128389615]]
[700.0, 300.0, 0.309647, [53.342842000000005], [1702.9199999999998], [127.16401], [1.5635060984850684]]
[700.0, 500.0, 0.349814, [0.6889901466666667], [1.56584], [0.228597782], [0.03251546044576334]]
[700.0, 1700.0, 0.326928, [0.63322634], [1.56584], [0.228597782], [0.031121378861198007]]
[800.0, 300.0, 0.21383, [0.3165330533333333], [1.01798], [0.163028324], [0.01711614883994385]]
[800.0, 100.0, 0.208482, [0.3073973], [1.01798], [0.163028324], [0.01884774181581325]]
[800.0, 1800.0, 0.245982, [0.37313697333333334], [1.01798], [0.163028324], [0.018587282713367938]]
[800.0, 800.0, 0.26263, [0.40359572000000005], [1.01798], [0.163028324], [0.019328729509319655]]
[800.0, 400.0, 0.259669, [0.39811788666666664], [1.01798], [0.163028324], [0.019243754842661154]]
[800.0, 200.0, 0.226057, [0.3377261733333333], [1.01798], [0.163028324], [0.01770166759250539]]
[800.0, 1700.0, 0.229539, [0.3438345133333333], [1.01798], [0.163028324], [0.01785099659838508]]
[800.0, 600.0, 0.253559, [0.3868980266666667], [1.01798], [0.163028324], [0.018946478699513297]]
[800.0, 1600.0, 0.267355, [0.4123906133333333], [1.01798], [0.163028324], [0.019527269400052387]]
[800.0, 1000.0, 0.241519, [0.36510844000000003], [1.01798], [0.163028324], [0.018370600401486914]]
[800.0, 1100.0, 0.254208, [0.3880843666666666], [1.01798], [0.163028324], [0.018936579756885584]]
