[100.0, 1800.0, 0.826304, [71.2891592], [559.22573], [45.9422579], [2.1875663522736857]]
[100.0, 800.0, 0.840939, [73.830946], [559.22573], [45.9422579], [2.2230575842294327]]
[100.0, 500.0, 0.810634, [68.7413944], [559.22573], [45.9422579], [2.1450286026997403]]
[100.0, 1100.0, 0.805649, [67.9643916], [559.22573], [45.9422579], [2.135387393050732]]
[100.0, 600.0, 0.815018, [69.43785100000001], [559.22573], [45.9422579], [2.16045928839217]]
[100.0, 1400.0, 0.824705, [71.0213154], [559.22573], [45.9422579], [2.180374248059264]]
[100.0, 1700.0, 0.817047, [69.7642302], [559.22573], [45.9422579], [2.1632968928928826]]
[100.0, 100.0, 0.823289, [70.785841], [559.22573], [45.9422579], [2.1793159706660252]]
[100.0, 1200.0, 0.87569, [1094.4630200000001], [6401.9333], [698.12554], [110.55747273100388]]
[100.0, 1000.0, 0.838053, [986.16175], [6115.6802], [692.13725], [105.12520849497096]]
[100.0, 2000.0, 0.811513, [68.88019179999999], [559.22573], [45.9422579], [2.1493598519559263]]
[100.0, 400.0, 0.824442, [70.97771519999999], [559.22573], [45.9422579], [2.1841880675436354]]
[100.0, 1600.0, 0.795094, [66.36638400000001], [559.22573], [45.9422579], [2.107134916610704]]
[100.0, 1300.0, 0.823382, [70.80121720000001], [559.22573], [45.9422579], [2.1777260467744792]]
[100.0, 1500.0, 0.822577, [70.6679176], [559.22573], [45.9422579], [2.1756849758179606]]
[100.0, 900.0, 0.815762, [69.5571954], [559.22573], [45.9422579], [2.159994699252755]]
[100.0, 1900.0, 0.832658, [72.372118], [559.22573], [45.9422579], [2.207328774695786]]
[100.0, 200.0, 0.833488, [72.5154234], [559.22573], [45.9422579], [2.20351556254999]]
[100.0, 700.0, 0.817342, [69.811966], [559.22573], [45.9422579], [2.1658184026367495]]
[100.0, 300.0, 0.830533, [72.00658779999999], [559.22573], [45.9422579], [2.201305789843837]]
[200.0, 1800.0, 0.882276, [46.183186], [232.580215], [24.307993500000002], [1.3678282200261844]]
[200.0, 700.0, 0.86015, [43.514499], [232.580215], [24.307993500000002], [1.329035916369456]]
[200.0, 2000.0, 0.872894, [45.006426499999996], [232.580215], [24.307993500000002], [1.3472322552180822]]
[200.0, 1300.0, 0.886339, [46.7161835], [232.580215], [24.307993500000002], [1.3746004418557414]]
[200.0, 1400.0, 0.87301, [45.020759000000005], [232.580215], [24.307993500000002], [1.350082720336054]]
[200.0, 400.0, 0.884993, [46.5381175], [232.580215], [24.307993500000002], [1.3741278811486215]]
[200.0, 1900.0, 0.888002, [46.939011], [232.580215], [24.307993500000002], [1.3811565079671457]]
[200.0, 1700.0, 0.880128, [45.907413999999996], [232.580215], [24.307993500000002], [1.363854067706659]]
[200.0, 500.0, 0.87745, [45.5690445], [232.580215], [24.307993500000002], [1.3598155524739375]]
[200.0, 1500.0, 0.883199, [46.30323599999999], [232.580215], [24.307993500000002], [1.3725876553976435]]
[200.0, 100.0, 0.88076, [45.988018999999994], [232.580215], [24.307993500000002], [1.3632437143629161]]
[200.0, 600.0, 0.874345, [45.1841005], [232.580215], [24.307993500000002], [1.3555905571004838]]
[200.0, 1000.0, 0.889534, [47.1464035], [232.580215], [24.307993500000002], [1.3842662609664373]]
[200.0, 1200.0, 0.886761, [46.772631499999996], [232.580215], [24.307993500000002], [1.3786502887788479]]
[200.0, 300.0, 0.88038, [45.939460000000004], [232.580215], [24.307993500000002], [1.3630026232549959]]
[200.0, 1600.0, 0.878662, [45.721361], [232.580215], [24.307993500000002], [1.3607307499097683]]
[200.0, 900.0, 0.864207, [43.9773285], [232.580215], [24.307993500000002], [1.33448601079217]]
[200.0, 800.0, 0.884417, [46.462265499999994], [232.580215], [24.307993500000002], [1.3724861951036158]]
[200.0, 1100.0, 0.872403, [44.946916], [232.580215], [24.307993500000002], [1.3484751925786398]]
[200.0, 200.0, 0.879218, [45.7916025], [232.580215], [24.307993500000002], [1.3604133246921688]]
[300.0, 2000.0, 0.848718, [14.84647815], [58.226357], [5.8080827], [0.47941780043611226]]
[300.0, 400.0, 0.84069, [14.5394662], [58.226357], [5.8080827], [0.47422507831197624]]
