[100.0, 800.0, 0.095191, [0.24930785599999997], [3.8824], [0.428071952], [0.17628728065291607]]
[100.0, 500.0, 0.077702, [3618.7418], [791200.0], [37086.3868], [475.16419141176874]]
[100.0, 650.0, 0.097529, [4546.3525], [786600.0], [37086.3868], [532.1101572043142]]
[100.0, 850.0, 0.070728, [19.440851199999997], [4057.2], [209.489474], [3.1130276966323316]]
[100.0, 600.0, 0.100316, [0.7454024], [25.392], [2.93968428], [0.4303583587662728]]
[100.0, 150.0, 0.073828, [3860.9778000000006], [805000.0], [41654.771], [490.34468081136566]]
[100.0, 100.0, 0.073856, [12.426130879999999], [1996.4], [126.311676], [2.485226363935487]]
[100.0, 1000.0, 0.079189, [3688.1949], [786600.0], [37086.3868], [480.16206024632976]]
[100.0, 400.0, 0.07754, [3611.1724999999997], [786600.0], [37086.3868], [474.1700884703715]]
[100.0, 350.0, 0.0732, [4248.277099999998], [814200.0], [46229.448], [515.1793098524046]]
[100.0, 750.0, 0.065702, [3434.9764000000005], [795800.0], [41654.771], [463.1722616910474]]
[100.0, 550.0, 0.078953, [3677.1916999999994], [786600.0], [37086.3868], [478.7295715745999]]
[100.0, 50.0, 0.075101, [3497.2028999999998], [791200.0], [37086.3868], [467.3333432358534]]
[100.0, 900.0, 0.079004, [3679.5860000000002], [791200.0], [37086.3868], [479.0413585485078]]
[100.0, 450.0, 0.138951, [0.12446979], [0.35742], [0.090960262], [0.12446976111489891]]
[100.0, 200.0, 0.13938, [0.124928548], [0.35742], [0.090960262], [0.12492859845527764]]
[100.0, 950.0, 0.086315, [0.124726976], [1.1500000000000001], [0.18400000000000002], [0.12472700450183193]]
[100.0, 700.0, 0.070937, [3302.7517], [791200.0], [37086.3868], [453.6677559624444]]
[100.0, 300.0, 0.080592, [0.7486292999999999], [43.37799999999999], [3.22984216], [0.4322213460716626]]
[100.0, 250.0, 0.121869, [0.062120814999999996], [0.09706000000000001], [0.0328924104], [0.06212082002839305]]
[200.0, 750.0, 0.04499, [2092.92525], [786600.0], [37086.3868], [170.8866412859706]]
[200.0, 550.0, 0.04287, [1994.1972899999998], [791200.0], [37086.3868], [167.34931816413234]]
[200.0, 700.0, 0.042125, [1959.48914], [791200.0], [37086.3868], [165.6070595717465]]
[200.0, 250.0, 0.042148, [1960.57796], [791200.0], [37086.3868], [165.69907799984887]]
[200.0, 50.0, 0.044299, [0.168946316], [8.096], [0.98766186], [0.0975411750595614]]
[200.0, 400.0, 0.04759, [0.08412940000000001], [1.8078], [0.304713108], [0.04857212295133908]]
[200.0, 650.0, 0.037934, [1764.3757699999996], [791200.0], [37086.3868], [157.18306686790407]]
[200.0, 450.0, 0.035993, [1880.1720300000004], [805000.0], [41654.771], [162.422134051982]]
[200.0, 500.0, 0.043866, [2040.55379], [786600.0], [37086.3868], [168.8774275621227]]
[200.0, 350.0, 0.039088, [2041.9742700000006], [805000.0], [41654.771], [168.99499445249853]]
[200.0, 100.0, 0.03886, [1807.5074399999999], [786600.0], [37086.3868], [159.14216735359614]]
[200.0, 600.0, 0.048384, [2250.9807899999996], [791200.0], [37086.3868], [177.95568347203746]]
[200.0, 1000.0, 0.036936, [1717.92313], [791200.0], [37086.3868], [154.89990303418526]]
[200.0, 150.0, 0.038663, [6.49613288], [1996.4], [126.311676], [0.8529839921592901]]
[200.0, 300.0, 0.038486, [1790.1100099999999], [791200.0], [37086.3868], [158.22485537993074]]
[200.0, 850.0, 0.040576, [2119.7370400000004], [805000.0], [41654.771], [172.50176332432085]]
[200.0, 900.0, 0.040195, [1869.66402], [786600.0], [37086.3868], [161.51437830731976]]
[200.0, 800.0, 0.040734, [1894.7321799999997], [786600.0], [37086.3868], [163.0725951838628]]
[200.0, 200.0, 0.043609, [0.11180686399999999], [3.8824], [0.428071952], [0.055903419788059475]]
[200.0, 950.0, 0.041226, [1917.6640999999997], [786600.0], [37086.3868], [163.83710614509764]]
[300.0, 650.0, 0.025521, [1186.7645799999998], [791200.0], [37086.3868], [79.11765984911334]]
[300.0, 400.0, 0.023151, [1076.55548], [791200.0], [37086.3868], [75.37395126965282]]
[300.0, 1000.0, 0.022862, [6.27509736], [4057.2], [209.489474], [0.5140760124962067]]
[300.0, 350.0, 0.024496, [1139.0996099999998], [786600.0], [37086.3868], [77.3271151020132]]
[300.0, 200.0, 0.02383, [1108.1183800000001], [791200.0], [37086.3868], [76.2860108407826]]
[300.0, 250.0, 0.024491, [1138.8930699999999], [791200.0], [37086.3868], [77.49187770340836]]
[300.0, 150.0, 0.021755, [1011.5894499999999], [791200.0], [37086.3868], [73.00516659798812]]
[300.0, 550.0, 0.027055, [0.0210984704], [0.35742], [0.090960262], [0.01491886450102688]]
[300.0, 800.0, 0.025698, [1194.99697], [786600.0], [37086.3868], [79.31472549281123]]
[300.0, 700.0, 0.0258, [1199.74923], [786600.0], [37086.3868], [79.45533009181952]]
[300.0, 300.0, 0.026945, [1253.0319499999998], [791200.0], [37086.3868], [81.22198520105255]]
[300.0, 900.0, 0.024102, [1120.7902299999998], [786600.0], [37086.3868], [76.97619300796838]]
[300.0, 600.0, 0.023544, [1094.81403], [786600.0], [37086.3868], [75.91167334474981]]
[300.0, 50.0, 0.025672, [1193.81247], [791200.0], [37086.3868], [79.2361182794816]]
[300.0, 850.0, 0.024555, [1141.85409], [786600.0], [37086.3868], [77.69333954722244]]
[300.0, 750.0, 0.023181, [1077.95388], [786600.0], [37086.3868], [75.28757619952975]]
[300.0, 500.0, 0.025201, [1171.8748400000002], [786600.0], [37086.3868], [78.65108867650846]]
[300.0, 950.0, 0.022793, [1059.8676], [786600.0], [37086.3868], [74.57201579681214]]
[300.0, 100.0, 0.023797, [1106.58773], [786600.0], [37086.3868], [76.36180118357606]]
[300.0, 450.0, 0.022818, [1061.03071], [786600.0], [37086.3868], [74.83932816374022]]
[400.0, 900.0, 0.014703, [683.6632699999999], [791200.0], [37086.3868], [40.78393568551225]]
[400.0, 200.0, 0.014711, [683.9956199999999], [791200.0], [37086.3868], [40.80375672655644]]
[400.0, 500.0, 0.013921, [3.82061648], [4057.2], [209.489474], [0.2729010935265742]]
[400.0, 150.0, 0.013322, [619.43646], [791200.0], [37086.3868], [38.79062339019573]]
[400.0, 300.0, 0.014615, [679.53592], [786600.0], [37086.3868], [40.68275472482167]]
[400.0, 650.0, 0.014601, [678.8769699999999], [786600.0], [37086.3868], [40.64330383962406]]
[400.0, 550.0, 0.014543, [676.19977], [786600.0], [37086.3868], [40.555770279949066]]
[400.0, 850.0, 0.014176, [0.39773798800000004], [259.90000000000003], [15.5177596], [0.062116237580845154]]
[400.0, 250.0, 0.014456, [672.15959], [786600.0], [37086.3868], [40.5327480193485]]
[400.0, 800.0, 0.014101, [655.63984], [786600.0], [37086.3868], [39.975065290753435]]
[400.0, 750.0, 0.014307, [3.92664832], [4057.2], [209.489474], [0.27627806792432874]]
[400.0, 100.0, 0.013057, [607.1121400000001], [791200.0], [37086.3868], [38.47417423415348]]
[400.0, 350.0, 0.014122, [656.61826], [786600.0], [37086.3868], [39.88671511919727]]
[400.0, 950.0, 0.014777, [687.0941799999999], [791200.0], [37086.3868], [40.91585580187709]]
[400.0, 1000.0, 0.014231, [661.6886099999999], [791200.0], [37086.3868], [40.120769110275035]]
[400.0, 400.0, 0.014369, [668.09664], [786600.0], [37086.3868], [40.2877417336837]]
[400.0, 450.0, 0.013706, [637.29803], [791200.0], [37086.3868], [39.372399368085254]]
[400.0, 50.0, 0.013498, [627.5899599999999], [786600.0], [37086.3868], [39.07204500662846]]
[400.0, 600.0, 0.013744, [639.06719], [786600.0], [37086.3868], [39.48170245822741]]
[400.0, 700.0, 0.014648, [681.07301], [791200.0], [37086.3868], [40.774783763988246]]
[500.0, 550.0, 0.009343, [434.42261999999994], [791200.0], [37086.3868], [23.388534776680643]]
[500.0, 300.0, 0.00905, [420.79212999999993], [791200.0], [37086.3868], [23.024723212234274]]
[500.0, 850.0, 0.009986, [464.32239], [791200.0], [37086.3868], [24.17165410144701]]
[500.0, 50.0, 0.008963, [416.73953], [791200.0], [37086.3868], [22.90607978899925]]
[500.0, 650.0, 0.0095, [441.69958999999994], [786600.0], [37086.3868], [23.643642020636328]]
[500.0, 150.0, 0.008638, [401.62623], [791200.0], [37086.3868], [22.451586393838628]]
[500.0, 600.0, 0.009205, [428.00608], [791200.0], [37086.3868], [23.211888979572514]]
[500.0, 450.0, 0.009336, [434.0619799999999], [786600.0], [37086.3868], [23.335322131909813]]
[500.0, 800.0, 0.009336, [434.07808], [791200.0], [37086.3868], [23.369980723141385]]
[500.0, 1000.0, 0.009846, [457.81131999999997], [786600.0], [37086.3868], [23.995835076112684]]
[500.0, 750.0, 0.010091, [469.18389999999994], [786600.0], [37086.3868], [24.293422690102766]]
[500.0, 700.0, 0.009365, [435.44818999999995], [786600.0], [37086.3868], [23.409842459956877]]
[500.0, 100.0, 0.009007, [418.77043], [791200.0], [37086.3868], [22.983004770917134]]
[500.0, 200.0, 0.00925, [430.09609], [791200.0], [37086.3868], [23.256935374206122]]
[500.0, 250.0, 0.009723, [452.07212999999996], [791200.0], [37086.3868], [23.82629047921644]]
[500.0, 950.0, 0.010081, [468.73678], [786600.0], [37086.3868], [24.30287139413777]]
[500.0, 900.0, 0.00931, [432.87196], [791200.0], [37086.3868], [23.33888097146048]]
[500.0, 350.0, 0.0094, [437.05382], [791200.0], [37086.3868], [23.496152046665]]
[500.0, 500.0, 0.009618, [447.2014199999999], [791200.0], [37086.3868], [23.701631125304434]]
[500.0, 400.0, 0.00865, [402.19570999999996], [791200.0], [37086.3868], [22.51863860227789]]
[600.0, 450.0, 0.006531, [303.65427999999997], [786600.0], [37086.3868], [14.592694343403481]]
[600.0, 200.0, 0.005329, [247.75439], [786600.0], [37086.3868], [13.149434113299323]]
[600.0, 550.0, 0.006831, [317.6024], [791200.0], [37086.3868], [14.905817173171016]]
[600.0, 100.0, 0.008796, [0.0035151751], [0.09706000000000001], [0.0328924104], [0.0015720341001390524]]
[600.0, 800.0, 0.006621, [307.84326999999996], [791200.0], [37086.3868], [14.642617225072843]]
[600.0, 600.0, 0.007178, [0.20133997600000003], [259.90000000000003], [15.5177596], [0.023728139473629194]]
[600.0, 350.0, 0.006308, [293.31118], [786600.0], [37086.3868], [14.312122162698305]]
[600.0, 250.0, 0.006305, [293.17203], [791200.0], [37086.3868], [14.322393822263093]]
[600.0, 400.0, 0.006137, [285.32167], [786600.0], [37086.3868], [14.108243870163289]]
[600.0, 500.0, 0.006635, [308.476], [791200.0], [37086.3868], [14.706013667884305]]
[600.0, 650.0, 0.006083, [282.81122], [791200.0], [37086.3868], [14.07037853435365]]
[600.0, 950.0, 0.007005, [0.0644377476], [43.37799999999999], [3.22984216], [0.013436202356320776]]
[600.0, 300.0, 0.006212, [288.83055], [791200.0], [37086.3868], [14.229661517407925]]
[600.0, 150.0, 0.006097, [283.49455], [791200.0], [37086.3868], [14.086958316116364]]
[600.0, 50.0, 0.00582, [270.59339], [791200.0], [37086.3868], [13.755030730609075]]
[600.0, 850.0, 0.006212, [288.83376999999996], [786600.0], [37086.3868], [14.229821372736904]]
[600.0, 1000.0, 0.006408, [297.9328], [786600.0], [37086.3868], [14.401124501232534]]
[600.0, 700.0, 0.006267, [291.38791999999995], [791200.0], [37086.3868], [14.286466246066588]]
[600.0, 900.0, 0.006616, [1.815706664], [4057.2], [209.489474], [0.10102861779119816]]
[600.0, 750.0, 0.006537, [303.91371999999996], [791200.0], [37086.3868], [14.571550120011253]]
[700.0, 450.0, 0.004564, [212.21085699999998], [786600.0], [37086.3868], [9.324011073566997]]
[700.0, 100.0, 0.003883, [180.55637099999996], [786600.0], [37086.3868], [8.607686623013176]]
[700.0, 1000.0, 0.00453, [210.623719], [791200.0], [37086.3868], [9.281191114291312]]
[700.0, 850.0, 0.004625, [215.027552], [791200.0], [37086.3868], [9.375647508305759]]
[700.0, 600.0, 0.004227, [196.535851], [791200.0], [37086.3868], [8.970592672727928]]
[700.0, 250.0, 0.004164, [0.06357637919999999], [103.5], [6.6977012], [0.010180368488419269]]
[700.0, 750.0, 0.004459, [207.331039], [791200.0], [37086.3868], [9.198826925211714]]
[700.0, 200.0, 0.004245, [0.119058488], [259.90000000000003], [15.5177596], [0.013934738628334586]]
[700.0, 50.0, 0.00425, [0.11920035200000001], [259.90000000000003], [15.5177596], [0.013951341205776598]]
[700.0, 950.0, 0.004482, [208.375216], [791200.0], [37086.3868], [9.236070912460557]]
[700.0, 550.0, 0.004342, [1.1916182240000002], [4057.2], [209.489474], [0.062457769412619914]]
[700.0, 400.0, 0.004281, [1.1749653039999999], [4057.2], [209.489474], [0.0620988414706748]]
[700.0, 650.0, 0.00443, [1.21583244], [4057.2], [209.489474], [0.0628691947459167]]
[700.0, 800.0, 0.004489, [208.70910699999996], [791200.0], [37086.3868], [9.241793819383766]]
[700.0, 150.0, 0.003668, [170.556316], [791200.0], [37086.3868], [8.352180110605852]]
[700.0, 350.0, 0.004585, [213.19539499999996], [791200.0], [37086.3868], [9.340260071325636]]
[700.0, 700.0, 0.005073, [0.142291156], [259.90000000000003], [15.5177596], [0.01525521740520272]]
[700.0, 900.0, 0.004753, [221.001503], [791200.0], [37086.3868], [9.51920792398191]]
[700.0, 300.0, 0.00459, [213.41660899999997], [791200.0], [37086.3868], [9.34099065410088]]
[700.0, 500.0, 0.004329, [201.260764], [791200.0], [37086.3868], [9.073536438456618]]
[800.0, 300.0, 0.003039, [141.305054], [786600.0], [37086.3868], [5.923815989714737]]
