[100.0, 800.0, 0.377342, [87.637137], [1984.5000000000002], [171.50000000000003], [15.255669789294732]]
[100.0, 500.0, 0.366379, [3.98766949], [31.653999999999996], [5.390000000000001], [2.302282090231343]]
[100.0, 650.0, 0.291414, [47.7651216], [1151.5], [122.5], [11.258344755780044]]
[100.0, 850.0, 0.319069, [1115.085552], [30674.0], [2695.0], [243.33161215099037]]
[100.0, 600.0, 0.416367, [1058.687532], [22099.0], [1911.0], [236.72978665136336]]
[100.0, 150.0, 0.285498, [2520.736400000009], [85260.0], [6860.0], [578.2967461433641]]
[100.0, 100.0, 0.33241, [1164.8148680000002], [30674.0], [2695.0], [248.33934795758807]]
[100.0, 1000.0, 0.323741, [63.9250864], [1592.5], [147.0], [13.0486512391128]]
[100.0, 400.0, 0.320248, [795.865448], [22099.0], [1911.0], [205.49158223148703]]
[100.0, 350.0, 0.376076, [2661.964199999998], [68110.0], [5390.0], [595.2332354632084]]
[100.0, 750.0, 0.286283, [2528.034460000009], [85260.0], [6860.0], [579.9708390945207]]
[100.0, 550.0, 0.371289, [9.2945944], [117.11], [15.19], [3.5130273115932362]]
[100.0, 50.0, 0.300936, [745.0561720000001], [22099.0], [1911.0], [199.1246177849439]]
[100.0, 900.0, 0.313802, [1992.9965999999981], [56840.0], [4900.0], [514.5893589066912]]
[100.0, 450.0, 0.330836, [53.0349442], [1381.8], [117.60000000000001], [11.85897186100043]]
[100.0, 200.0, 0.301, [745.226104], [22099.0], [1911.0], [199.17004630214856]]
[100.0, 950.0, 0.273397, [29.2294996], [735.0], [78.4], [8.813026721166798]]
[100.0, 700.0, 0.249944, [1725.8838799999987], [68110.0], [5390.0], [478.67407554618995]]
[100.0, 300.0, 0.366349, [3.9872652400000006], [31.653999999999996], [5.390000000000001], [2.302048473642551]]
[100.0, 250.0, 0.448583, [74.1128332], [1381.8], [117.60000000000001], [14.006010379833366]]
[200.0, 750.0, 0.272184, [445.884124], [15190.0], [1274.0], [51.48626588518535]]
[200.0, 550.0, 0.298246, [490.672672], [15190.0], [1274.0], [54.185732280739735]]
[200.0, 700.0, 0.247645, [11.032776300000002], [255.29], [30.87], [1.8137772117875999]]
[200.0, 250.0, 0.286294, [704.103344], [22099.0], [1911.0], [91.66643617813448]]
[200.0, 50.0, 0.16841, [407.919512], [22099.0], [1911.0], [69.95764166408128]]
[200.0, 400.0, 0.313242, [615.363756], [16954.0], [1519.0], [60.63359076287664]]
[200.0, 650.0, 0.295515, [727.911464], [22099.0], [1911.0], [93.19951481418774]]
[200.0, 450.0, 0.254997, [496.21418], [16954.0], [1519.0], [54.46658032224898]]
[200.0, 500.0, 0.269135, [440.681892], [15190.0], [1274.0], [51.22822870254251]]
[200.0, 350.0, 0.307398, [506.54093], [15190.0], [1274.0], [54.942081136411275]]
[200.0, 100.0, 0.31136, [513.4368959999999], [15190.0], [1274.0], [55.36532528939029]]
[200.0, 600.0, 0.274348, [449.58460399999996], [15190.0], [1274.0], [51.91355175674267]]
[200.0, 1000.0, 0.262707, [511.794122], [16954.0], [1519.0], [55.188175976381025]]
[200.0, 150.0, 0.279657, [20.878684399999997], [409.64], [54.39], [3.5291431481310016]]
[200.0, 300.0, 0.302065, [22.6439192], [409.64], [54.39], [3.673328393160622]]
[200.0, 850.0, 0.314082, [29.308889399999998], [499.79999999999995], [68.60000000000001], [4.18698391112266]]
[200.0, 900.0, 0.306702, [505.331022], [15190.0], [1274.0], [54.81084893340004]]
[200.0, 800.0, 0.267568, [11.9603071], [255.29], [30.87], [1.891090868520072]]
[200.0, 200.0, 0.271821, [666.9521320000001], [22099.0], [1911.0], [89.1252324137222]]
[200.0, 950.0, 0.260729, [393.635424], [13132.0], [1176.0], [48.45317621374269]]
[300.0, 650.0, 0.200903, [325.87302999999997], [15190.0], [1274.0], [27.06227724638117]]
[300.0, 400.0, 0.169661, [274.324344], [15190.0], [1274.0], [24.836154520376137]]
[300.0, 1000.0, 0.209981, [340.946312], [15190.0], [1274.0], [27.654400151151354]]
[300.0, 350.0, 0.176941, [286.292594], [15190.0], [1274.0], [25.304932188014256]]
[300.0, 200.0, 0.174301, [281.950214], [15190.0], [1274.0], [25.118122658351677]]
[300.0, 250.0, 0.184061, [354.964232], [16954.0], [1519.0], [28.23943588317585]]
[300.0, 150.0, 0.197566, [6.7347658], [186.69], [23.03], [0.8694545695434581]]
[300.0, 550.0, 0.182984, [352.848902], [16954.0], [1519.0], [28.16041041391265]]
[300.0, 800.0, 0.180896, [11.439559599999999], [366.52000000000004], [46.06], [1.6018587894068566]]
[300.0, 700.0, 0.184293, [11.6588934], [366.52000000000004], [46.06], [1.6167968599672624]]
[300.0, 300.0, 0.183052, [8.075807600000001], [255.29], [30.87], [0.9517428568158524]]
[300.0, 900.0, 0.19456, [315.36596], [15190.0], [1274.0], [26.653286847216425]]
[300.0, 600.0, 0.229756, [5.494664], [117.11], [15.19], [0.7849523184881996]]
[300.0, 50.0, 0.113195, [1.1204139100000001], [31.653999999999996], [5.390000000000001], [0.3543059857242042]]
[300.0, 850.0, 0.178785, [7.883575700000001], [255.29], [30.87], [0.9422674518946306]]
[300.0, 750.0, 0.186595, [452.58065999999997], [22099.0], [1911.0], [45.03345153283279]]
[300.0, 500.0, 0.18465, [4.38592385], [117.11], [15.19], [0.7023098395295341]]
[300.0, 950.0, 0.186356, [301.80913], [15190.0], [1274.0], [25.975589096688452]]
[300.0, 100.0, 0.129564, [208.80830600000002], [15190.0], [1274.0], [21.6524097310207]]
[300.0, 450.0, 0.198453, [8.7719212], [255.29], [30.87], [0.9932246817815191]]
[400.0, 900.0, 0.118849, [1.65864804], [51.94], [8.33], [0.29321032531273516]]
[400.0, 200.0, 0.121705, [196.02302999999998], [15190.0], [1274.0], [14.258575663789143]]
[400.0, 500.0, 0.110703, [3.7375587899999996], [186.69], [23.03], [0.44047552423488867]]
[400.0, 150.0, 0.099587, [0.9832830000000001], [31.653999999999996], [5.390000000000001], [0.225580588526584]]
[400.0, 300.0, 0.118923, [2.80201404], [117.11], [15.19], [0.381305803325887]]
[400.0, 650.0, 0.125532, [1.2441315599999998], [31.653999999999996], [5.390000000000001], [0.2539573142085102]]
[400.0, 550.0, 0.133443, [5.8556764], [255.29], [30.87], [0.5508554632569237]]
[400.0, 850.0, 0.116796, [173.604452], [13132.0], [1176.0], [13.39387192413008]]
[400.0, 250.0, 0.113859, [183.294986], [15190.0], [1274.0], [13.816380472468177]]
[400.0, 800.0, 0.12336, [2.90783199], [117.11], [15.19], [0.38857537575096035]]
[400.0, 750.0, 0.136925, [1.91536149], [51.94], [8.33], [0.314883432320597]]
[400.0, 100.0, 0.08593, [1.19471898], [51.94], [8.33], [0.2491160674665526]]
[400.0, 350.0, 0.132916, [1.85829364], [51.94], [8.33], [0.3097156237421677]]
[400.0, 950.0, 0.108064, [2.54349837], [117.11], [15.19], [0.3633568890911523]]
[400.0, 1000.0, 0.119431, [5.2344887], [255.29], [30.87], [0.5208513308037142]]
[400.0, 400.0, 0.129786, [5.6933443], [255.29], [30.87], [0.5428392855164409]]
[400.0, 450.0, 0.110756, [178.26572399999998], [15190.0], [1274.0], [13.592638860795207]]
[400.0, 50.0, 0.066279, [1.5546969899999998], [117.11], [15.19], [0.28384757286261936]]
[400.0, 600.0, 0.123453, [2.9100570800000005], [117.11], [15.19], [0.3888727181482393]]
[400.0, 700.0, 0.118846, [191.384004], [15190.0], [1274.0], [14.109015448286957]]
[500.0, 550.0, 0.069749, [1.6364079200000001], [117.11], [15.19], [0.20952052780097707]]
[500.0, 300.0, 0.084961, [1.18097889], [51.94], [8.33], [0.1780392596872948]]
[500.0, 850.0, 0.096312, [1.34039108], [51.94], [8.33], [0.1895599056499027]]
[500.0, 50.0, 0.037105, [59.5467404], [15190.0], [1274.0], [5.651926022870434]]
[500.0, 650.0, 0.093028, [1.29422916], [51.94], [8.33], [0.1868058407009802]]
[500.0, 150.0, 0.049057, [0.48129662000000006], [31.653999999999996], [5.390000000000001], [0.11344269369157275]]
[500.0, 600.0, 0.089031, [2.09186586], [117.11], [15.19], [0.23685715064147841]]
[500.0, 450.0, 0.080815, [1.89759017], [117.11], [15.19], [0.22520247540824234]]
[500.0, 800.0, 0.07528, [1.04539785], [51.94], [8.33], [0.16739758346523403]]
[500.0, 1000.0, 0.078928, [0.7770542500000001], [31.653999999999996], [5.390000000000001], [0.1442953660621158]]
[500.0, 750.0, 0.079063, [1.60788061], [85.75000000000001], [13.23], [0.20757645784144213]]
[500.0, 700.0, 0.082959, [1.1529146300000002], [51.94], [8.33], [0.1758178449418602]]
[500.0, 100.0, 0.068326, [0.67180911], [31.653999999999996], [5.390000000000001], [0.13436186883561868]]
[500.0, 200.0, 0.065658, [0.91093352], [51.94], [8.33], [0.1562238038200325]]
[500.0, 250.0, 0.082026, [1.9262203800000002], [117.11], [15.19], [0.22700727488342748]]
[500.0, 950.0, 0.077308, [1.07377767], [51.94], [8.33], [0.1697791665664548]]
[500.0, 900.0, 0.075289, [1.04552329], [51.94], [8.33], [0.16741773430553883]]
[500.0, 350.0, 0.085922, [2.01831147], [117.11], [15.19], [0.23305452919864056]]
[500.0, 500.0, 0.103754, [1.4451574900000002], [51.94], [8.33], [0.19666105895677466]]
[500.0, 400.0, 0.070106, [3.0621035900000004], [255.29], [30.87], [0.286792274093986]]
[600.0, 450.0, 0.061408, [0.85159795], [51.94], [8.33], [0.11279691441701764]]
[600.0, 200.0, 0.035457, [0.49065366], [51.94], [8.33], [0.08541184925992412]]
[600.0, 550.0, 0.057674, [0.56634347], [31.653999999999996], [5.390000000000001], [0.09187300077824823]]
[600.0, 100.0, 0.03022, [0.1857235436], [16.317], [2.7439999999999998], [0.033356925539383867]]
[600.0, 800.0, 0.050069, [0.30863081200000003], [16.317], [2.7439999999999998], [0.04279938147590453]]
[600.0, 600.0, 0.057635, [0.5659647], [31.653999999999996], [5.390000000000001], [0.09181159171912881]]
[600.0, 350.0, 0.056076, [0.69927116], [44.099999999999994], [7.3500000000000005], [0.10199914667290114]]
[600.0, 250.0, 0.05271, [0.7304204599999999], [51.94], [8.33], [0.1043457732445354]]
[600.0, 400.0, 0.051271, [0.6390692699999999], [44.099999999999994], [7.3500000000000005], [0.09745715678696973]]
[600.0, 500.0, 0.05904, [0.36444044000000003], [16.317], [2.7439999999999998], [0.04666182912659983]]
[600.0, 650.0, 0.061298, [0.85007699], [51.94], [8.33], [0.11259544302057699]]
[600.0, 950.0, 0.055978, [0.7759326400000001], [51.94], [8.33], [0.10760252731232665]]
[600.0, 300.0, 0.055438, [1.2993721999999999], [117.11], [15.19], [0.1393072930000436]]
[600.0, 150.0, 0.033128, [0.77546322], [117.11], [15.19], [0.10753742999997722]]
[600.0, 50.0, 0.027391, [0.26813089100000004], [31.653999999999996], [5.390000000000001], [0.06319905951831878]]
[600.0, 850.0, 0.054804, [1.2844512099999998], [117.11], [15.19], [0.13850591741149545]]
[600.0, 1000.0, 0.053506, [0.7415027900000001], [51.94], [8.33], [0.1048643274807978]]
[600.0, 700.0, 0.057746, [0.56706132], [31.653999999999996], [5.390000000000001], [0.09198947108772829]]
[600.0, 900.0, 0.052438, [0.323351784], [16.317], [2.7439999999999998], [0.0440025980360251]]
[600.0, 750.0, 0.063611, [0.39294628800000003], [16.317], [2.7439999999999998], [0.048368352469770975]]
[700.0, 450.0, 0.036161, [0.8465989700000001], [117.11], [15.19], [0.08595911501987442]]
[700.0, 100.0, 0.018808, [0.1153990768], [16.317], [2.7439999999999998], [0.020088403253618742]]
[700.0, 1000.0, 0.038522, [0.17077503519999998], [9.555], [1.6660000000000001], [0.024396434224697675]]
[700.0, 850.0, 0.033992, [0.209020084], [16.317], [2.7439999999999998], [0.026984367178053293]]
[700.0, 600.0, 0.038444, [0.5321066799999999], [51.94], [8.33], [0.06812926238408867]]
[700.0, 250.0, 0.025447, [0.1562830892], [16.317], [2.7439999999999998], [0.023297310612171527]]
[700.0, 750.0, 0.041807, [0.25737152], [16.317], [2.7439999999999998], [0.029918833437151255]]
[700.0, 200.0, 0.023247, [0.32140109400000005], [51.94], [8.33], [0.05283802029788777]]
[700.0, 50.0, 0.01812, [0.08001117879999999], [9.555], [1.6660000000000001], [0.016683482697326717]]
[700.0, 950.0, 0.038271, [0.375029144], [31.653999999999996], [5.390000000000001], [0.057191396984161876]]
[700.0, 550.0, 0.038422, [0.53179455], [51.94], [8.33], [0.068089304049902]]
[700.0, 400.0, 0.042793, [0.419528543], [31.653999999999996], [5.390000000000001], [0.060553731330117065]]
[700.0, 650.0, 0.038779, [0.53674992], [51.94], [8.33], [0.06816733054770445]]
[700.0, 800.0, 0.036494, [0.8544085899999999], [117.11], [15.19], [0.08630829454924943]]
[700.0, 150.0, 0.018709, [0.182986629], [31.653999999999996], [5.390000000000001], [0.0399309505308852]]
[700.0, 350.0, 0.038263, [0.77588658], [85.75000000000001], [13.23], [0.08224382517247117]]
[700.0, 700.0, 0.035253, [0.48781484500000005], [51.94], [8.33], [0.06518700041419302]]
[700.0, 900.0, 0.037484, [0.23061026799999998], [16.317], [2.7439999999999998], [0.02838615971490332]]
[700.0, 300.0, 0.03211, [0.44421807500000005], [51.94], [8.33], [0.06220296696299944]]
[700.0, 500.0, 0.04907, [0.6797623], [51.94], [8.33], [0.07696789544348995]]
