[100.0, 800.0, 0.998532, [1019.170664], [2932.04], [313.353196], [22.542726039234914]]
[100.0, 500.0, 0.998738, [1033.21336], [2932.04], [313.353196], [22.70935722560196]]
[100.0, 650.0, 0.997896, [985.001128], [2932.04], [313.353196], [22.153042185668316]]
[100.0, 850.0, 0.998247, [1002.450032], [2932.04], [313.353196], [22.354076625081163]]
[100.0, 600.0, 0.998263, [1003.311704], [2932.04], [313.353196], [22.328921213529327]]
[100.0, 150.0, 0.998362, [1008.8361199999999], [2932.04], [313.353196], [22.418578424155267]]
[100.0, 100.0, 0.998026, [991.108272], [2932.04], [313.353196], [22.195174942315727]]
[100.0, 1000.0, 0.997585, [971.6830239999999], [2932.04], [313.353196], [22.04389114108487]]
[100.0, 400.0, 0.998468, [1015.112912], [2932.04], [313.353196], [22.486004550386447]]
[100.0, 350.0, 0.998417, [1012.089608], [2932.04], [313.353196], [22.490882319731256]]
[100.0, 750.0, 0.998325, [1006.7606], [2932.04], [313.353196], [22.427901822506715]]
[100.0, 550.0, 0.997525, [969.2827439999999], [2932.04], [313.353196], [21.98378068303994]]
[100.0, 50.0, 0.998933, [1048.6612639999998], [2932.04], [313.353196], [22.88911189190179]]
[100.0, 900.0, 0.998217, [1000.847576], [2932.04], [313.353196], [22.34613905980181]]
[100.0, 450.0, 0.99854, [1019.65624], [2932.04], [313.353196], [22.53142922763667]]
[100.0, 200.0, 0.998414, [1011.921616], [2932.04], [313.353196], [22.487148813489004]]
[100.0, 950.0, 0.998732, [1032.73956], [2932.04], [313.353196], [22.698941325092676]]
[100.0, 700.0, 0.998643, [1026.4701280000002], [2932.04], [313.353196], [22.621331469212855]]
[100.0, 300.0, 0.998601, [1023.6256720000001], [2932.04], [313.353196], [22.602600742392454]]
[100.0, 250.0, 0.998647, [1026.733064], [2932.04], [313.353196], [22.58875608438853]]
[200.0, 750.0, 0.999359, [458.35067], [1319.28], [127.221418], [7.997057333794725]]
[200.0, 550.0, 0.999171, [448.69435], [1319.28], [127.221418], [7.938076070434194]]
[200.0, 700.0, 0.999273, [453.62187], [1319.28], [127.221418], [7.968091000986372]]
[200.0, 250.0, 0.99932, [456.11438], [1319.28], [127.221418], [7.992174022129398]]
[200.0, 50.0, 0.938146, [249.05504], [1319.28], [127.221418], [5.921494167015619]]
[200.0, 400.0, 0.999325, [456.40187999999995], [1319.28], [127.221418], [7.999669805685732]]
[200.0, 650.0, 0.999277, [453.83669000000003], [1319.28], [127.221418], [7.9718676858061315]]
[200.0, 450.0, 0.999448, [463.86929000000003], [1319.28], [127.221418], [8.067598762952953]]
[200.0, 500.0, 0.999197, [449.90024], [1319.28], [127.221418], [7.929681550982989]]
[200.0, 350.0, 0.999509, [468.11555], [1319.28], [127.221418], [8.09142811251512]]
[200.0, 100.0, 0.999167, [448.51403000000005], [1319.28], [127.221418], [7.927443068228242]]
[200.0, 600.0, 0.999548, [471.1584500000001], [1319.28], [127.221418], [8.14159391642693]]
[200.0, 1000.0, 0.999379, [459.50964], [1319.28], [127.221418], [8.011180974113618]]
[200.0, 150.0, 0.999466, [465.08967], [1319.28], [127.221418], [8.069316538592348]]
[200.0, 300.0, 0.999418, [461.93223000000006], [1319.28], [127.221418], [8.037557240853717]]
[200.0, 850.0, 0.999585, [474.20342], [1319.28], [127.221418], [8.158962697549242]]
[200.0, 900.0, 0.99949, [466.7183], [1319.28], [127.221418], [8.069690204710463]]
[200.0, 800.0, 0.999498, [467.36736], [1319.28], [127.221418], [8.099090035306435]]
[200.0, 200.0, 0.999355, [458.12848999999994], [1319.28], [127.221418], [8.001712891625143]]
[200.0, 950.0, 0.999316, [455.90024999999997], [1319.28], [127.221418], [7.988420181738064]]
[300.0, 650.0, 0.997015, [180.704698], [516.58], [54.743863999999995], [3.0872786139252155]]
