# BEGIN PLOT
#XTwosidedTicks=1
#YTwosidedTicks=1
#Title=electron channel, dressed level
RatioPlotReference=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02
RatioPlot=1
LogY=1
LegendXPos=0.1
XLabel=$m_{12}$ [GeV]
MainPlot=0
YLabel=$\text{d}\sigma_{W + \geq 2j} / \text{d}m_{12}$
#DrawOnly=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02 /./mY_100_mX_600/mY_100_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
LegendYPos=0.3
#Legend=1
RatioPlotYMin=1
LeftMargin=1.5
RatioPlotYMax=1.25
RatioPlotYLabel=(MC+Data)/Data
RatioPlotErrorBandColor={[rgb]{0.8,0.8,0.8}}
# END PLOT

# BEGIN HISTO1D /REF/ATLAS_2014_I1319490_EL/d26-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/ATLAS_2014_I1319490_EL/d26-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.017000e-02	2.008831e-03	2.008831e-03
2.500000e+01	5.000000e+01	1.618000e-01	2.914395e-02	2.914395e-02
5.000000e+01	7.500000e+01	3.253000e-01	4.012356e-02	4.012356e-02
7.500000e+01	1.000000e+02	6.374000e-01	6.812026e-02	6.812026e-02
1.000000e+02	1.200000e+02	6.040000e-01	5.863395e-02	5.863395e-02
1.200000e+02	1.500000e+02	4.712000e-01	4.447617e-02	4.447617e-02
1.500000e+02	1.800000e+02	3.686000e-01	3.551310e-02	3.551310e-02
1.800000e+02	2.000000e+02	2.868000e-01	2.765683e-02	2.765683e-02
2.000000e+02	2.200000e+02	2.224000e-01	2.023833e-02	2.023833e-02
2.200000e+02	2.500000e+02	1.747000e-01	1.679196e-02	1.679196e-02
2.500000e+02	2.800000e+02	1.405000e-01	1.415874e-02	1.415874e-02
2.800000e+02	3.000000e+02	1.123000e-01	1.190084e-02	1.190084e-02
3.000000e+02	3.200000e+02	9.127000e-02	9.921341e-03	9.921341e-03
3.200000e+02	3.500000e+02	7.434000e-02	8.226275e-03	8.226275e-03
3.500000e+02	3.800000e+02	6.162000e-02	7.027055e-03	7.027055e-03
3.800000e+02	4.000000e+02	5.124000e-02	6.111645e-03	6.111645e-03
4.000000e+02	4.500000e+02	3.826000e-02	4.423969e-03	4.423969e-03
4.500000e+02	5.000000e+02	2.782000e-02	3.474939e-03	3.474939e-03
5.000000e+02	5.800000e+02	1.903000e-02	2.722829e-03	2.722829e-03
5.800000e+02	6.800000e+02	1.181000e-02	2.033642e-03	2.033642e-03
6.800000e+02	8.000000e+02	6.392000e-03	1.146993e-03	1.146993e-03
8.000000e+02	1.000000e+03	2.834000e-03	5.270835e-04	5.270835e-04
1.000000e+03	1.200000e+03	1.319000e-03	3.028019e-04	3.028019e-04
1.200000e+03	1.400000e+03	5.965000e-04	1.458204e-04	1.458204e-04
1.400000e+03	1.600000e+03	2.466000e-04	8.628499e-05	8.628499e-05
1.600000e+03	1.800000e+03	1.239000e-04	3.081590e-05	3.081590e-05
1.800000e+03	2.000000e+03	4.648000e-05	3.921258e-05	3.921258e-05
# END HISTO1D

# BEGIN HISTO1D /./mY_100_mX_600/mY_100_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Path=/./mY_100_mX_600/mY_100_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Title=0.928409
#LineColor=black
LineColor=red
#FillStyle=solid
#FillColor=red
PlotOrder=1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.060899e-02	2.014818e-03	2.014818e-03
2.500000e+01	5.000000e+01	1.685494e-01	2.915030e-02	2.915030e-02
5.000000e+01	7.500000e+01	3.409937e-01	4.013429e-02	4.013429e-02
7.500000e+01	1.000000e+02	7.619620e-01	6.817041e-02	6.817041e-02
1.000000e+02	1.200000e+02	6.514653e-01	5.866171e-02	5.866171e-02
1.200000e+02	1.500000e+02	4.844153e-01	4.448296e-02	4.448296e-02
1.500000e+02	1.800000e+02	3.786601e-01	3.551958e-02	3.551958e-02
1.800000e+02	2.000000e+02	2.953739e-01	2.766746e-02	2.766746e-02
2.000000e+02	2.200000e+02	2.291905e-01	2.024983e-02	2.024983e-02
2.200000e+02	2.500000e+02	1.794557e-01	1.679843e-02	1.679843e-02
2.500000e+02	2.800000e+02	1.440668e-01	1.416450e-02	1.416450e-02
2.800000e+02	3.000000e+02	1.160039e-01	1.191151e-02	1.191151e-02
3.000000e+02	3.200000e+02	9.380788e-02	9.930110e-03	9.930110e-03
3.200000e+02	3.500000e+02	7.616911e-02	8.231357e-03	8.231357e-03
3.500000e+02	3.800000e+02	6.317474e-02	7.032112e-03	7.032112e-03
3.800000e+02	4.000000e+02	5.261183e-02	6.119338e-03	6.119338e-03
4.000000e+02	4.500000e+02	3.902822e-02	4.426351e-03	4.426351e-03
4.500000e+02	5.000000e+02	2.875284e-02	3.478620e-03	3.478620e-03
5.000000e+02	5.800000e+02	1.945870e-02	2.724179e-03	2.724179e-03
5.800000e+02	6.800000e+02	1.204321e-02	2.034428e-03	2.034428e-03
6.800000e+02	8.000000e+02	6.586342e-03	1.147961e-03	1.147961e-03
8.000000e+02	1.000000e+03	2.950605e-03	5.278417e-04	5.278417e-04
1.000000e+03	1.200000e+03	1.367014e-03	3.033452e-04	3.033452e-04
1.200000e+03	1.400000e+03	6.102183e-04	1.461427e-04	1.461427e-04
1.400000e+03	1.600000e+03	2.466000e-04	8.628499e-05	8.628499e-05
1.600000e+03	1.800000e+03	1.444774e-04	3.302670e-05	3.302670e-05
1.800000e+03	2.000000e+03	5.333915e-05	3.980797e-05	3.980797e-05
# END HISTO1D

# BEGIN HISTO1D /./mY_300_mX_600/mY_300_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Path=/./mY_300_mX_600/mY_300_mX_600.yoda/ATLAS_2014_I1319490_EL/d26-x01-y02
Title=0.917933
#LineColor=black
#FillStyle=solid
#FillColor=blue
PlotOrder=2
LineColor=blue
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+01	1.018016e-02	2.008844e-03	2.008844e-03
