# BEGIN PLOT
LegendOnly=/CMS_2014_I1298810/d01-x01-y01 //home/david/Analysis/images/mY_500_mX_600.yoda/CMS_2014_I1298810/d01-x01-y01 //home/david/Analysis/images/mY_1000_mX_600.yoda/CMS_2014_I1298810/d01-x01-y01 //home/david/Analysis/images/mY_1500_mX_600.yoda/CMS_2014_I1298810/d01-x01-y01 //home/david/Analysis/images/mY_2000_mX_600.yoda/CMS_2014_I1298810/d01-x01-y01
DrawOnly=/CMS_2014_I1298810/d01-x01-y01 //home/david/Analysis/images/mY_500_mX_600.yoda/CMS_2014_I1298810/d01-x01-y01 //home/david/Analysis/images/mY_1000_mX_600.yoda/CMS_2014_I1298810/d01-x01-y01 //home/david/Analysis/images/mY_1500_mX_600.yoda/CMS_2014_I1298810/d01-x01-y01 //home/david/Analysis/images/mY_2000_mX_600.yoda/CMS_2014_I1298810/d01-x01-y01
Title=CMS inclusive jet double differential cross section ($\left|y\right| < 0.5$)
LogY=1
CustomLegend=$g_{q}=0.375, g_{\textsc{dm}}=1$ \\$M_{\textsc{dm}} = 600$ GeV
LegendXPos=0.5
LegendYPos=1.0
XLabel=$p_{T}$ (GeV)
YLabel=$d^2\sigma/dp_{T}dy$ (pb/GeV)
#LegendYPos=0.3
#LegendAlign=1
Legend=1
#FullRange=1
YMin=10e-7
# END PLOT

# BEGIN HISTO1D /CMS_2014_I1298810/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
LineColor=black
Path=/CMS_2014_I1298810/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.600000e+01	6.400000e+01	9.244854e+04	6.040715e+03	6.040715e+03
6.400000e+01	7.400000e+01	4.628194e+04	2.827305e+03	2.827305e+03
7.400000e+01	8.400000e+01	2.305051e+04	1.349376e+03	1.349376e+03
8.400000e+01	9.700000e+01	1.146418e+04	6.566678e+02	6.566678e+02
9.700000e+01	1.140000e+02	5.262192e+03	2.692820e+02	2.692820e+02
1.140000e+02	1.330000e+02	2.319069e+03	1.164338e+02	1.164338e+02
1.330000e+02	1.530000e+02	1.076209e+03	5.372194e+01	5.372194e+01
1.530000e+02	1.740000e+02	5.113975e+02	2.602181e+01	2.602181e+01
1.740000e+02	1.960000e+02	2.522901e+02	1.213269e+01	1.213269e+01
1.960000e+02	2.200000e+02	1.316132e+02	6.381276e+00	6.381276e+00
2.200000e+02	2.450000e+02	6.966102e+01	3.442873e+00	3.442873e+00
2.450000e+02	2.720000e+02	3.774143e+01	1.912376e+00	1.912376e+00
2.720000e+02	3.000000e+02	2.109826e+01	1.103602e+00	1.103602e+00
3.000000e+02	3.300000e+02	1.168242e+01	5.964920e-01	5.964920e-01
3.300000e+02	3.620000e+02	6.603675e+00	3.447199e-01	3.447199e-01
3.620000e+02	3.950000e+02	3.820173e+00	2.018645e-01	2.018645e-01
3.950000e+02	4.300000e+02	2.230629e+00	1.207023e-01	1.207023e-01
4.300000e+02	4.680000e+02	1.297215e+00	7.238345e-02	7.238345e-02
4.680000e+02	5.070000e+02	7.520265e-01	4.338266e-02	4.338266e-02
5.070000e+02	5.480000e+02	4.459203e-01	2.630869e-02	2.630869e-02
